,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Flomax,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;chest pain;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;feeling of constant movement of self or surroundings;painful or prolonged erection of the penis;sensation of spinning;blistering, peeling, or loosening of the skin;blurred vision;confusion;diarrhea;difficult or labored breathing;fast, pounding, or irregular heartbeat or pulse;itching;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;red skin lesions, often with a purple center;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sweating;tightness of the chest;unusual tiredness or weakness;abnormal ejaculation;back pain;body aches or pain;congestion;headache;lack or loss of strength;sneezing;stuffy or runny nose;tender, swollen glands in the neck;trouble swallowing;voice changes;decreased interest in sexual intercourse;decreased sexual drive or performance;drowsiness;inability to have or keep an erection;increased cough;loss in sexual ability, desire, drive, or performance;nausea;pain or tenderness around the eyes and cheekbones;sleepiness or unusual drowsiness;tooth disorder;trouble sleeping;constipation;hives or welts, skin rash;redness of the skin;vomiting",,,,,,,,
1,1,tamsulosin,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;chest pain;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;feeling of constant movement of self or surroundings;painful or prolonged erection of the penis;sensation of spinning;blistering, peeling, or loosening of the skin;blurred vision;confusion;diarrhea;difficult or labored breathing;fast, pounding, or irregular heartbeat or pulse;itching;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;red skin lesions, often with a purple center;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sweating;tightness of the chest;unusual tiredness or weakness;abnormal ejaculation;back pain;body aches or pain;congestion;headache;lack or loss of strength;sneezing;stuffy or runny nose;tender, swollen glands in the neck;trouble swallowing;voice changes;decreased interest in sexual intercourse;decreased sexual drive or performance;drowsiness;inability to have or keep an erection;increased cough;loss in sexual ability, desire, drive, or performance;nausea;pain or tenderness around the eyes and cheekbones;sleepiness or unusual drowsiness;tooth disorder;trouble sleeping;constipation;hives or welts, skin rash;redness of the skin;vomiting",,,,,,,,
2,2,allopurinol,,,,,,,,,,,"ankle, knee, or great toe joint pain;joint stiffness or swelling;rash;rash with flat lesions or small raised lesions on the skin;abdominal or stomach pain;agitation;ammonia-like breath odor;anxiety;bleeding gums;blistering, peeling, or loosening of the skin;blood in the urine or stools;bloody nose;bloody or black, tarry stools;blue or pale skin;bruising;changes in skin color;chest pain or discomfort;chest pain, possibly moving to the left arm, neck, or shoulder;chills;clay-colored stools;cloudy urine;coma;confusion;constipation;cough or hoarseness;coughing up blood;cracks in the skin;dark urine;decreased urine output;depression;diarrhea;difficulty with breathing;dizziness;drowsiness;dry mouth;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;fever;fever with or without chills;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;general feeling of tiredness or weakness;headache;hostility;incoherent speech;increased urination;irritability;itching;joint or muscle pain;large, flat, blue or purplish patches in the skin;lethargy;light-colored stools;loss of appetite;loss of heat from the body;lower back or side pain;metallic taste;muscle twitching;muscle weakness;nausea or vomiting;pain, tenderness, or swelling of the foot or leg;painful or difficult urination;pinpoint red or purple spots on the skin;rapid weight gain;rash;red, irritated eyes;red, swollen skin;redness, soreness, or itching skin;right upper abdominal or stomach pain and fullness;scaly skin;seizures;severe stomach pain;shortness of breath;slow or irregular heartbeat;sore throat;sores, ulcers, or white spots on the lips or in the mouth;sores, welting, or blisters;stupor;sweating;swelling of the face, ankles, hands, or lower legs;swollen or painful glands;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thirst;tightness in the chest;unpleasant breath odor;unusual bleeding or bruising;unusual weight gain or loss;vomiting of blood or material that looks like coffee grounds;wheezing;yellow eyes or skin;bad, unusual, or unpleasant (after) taste;blindness;blue-yellow color blindness;blurred vision;body aches or pain;burning feeling in the chest or stomach;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;burning, dry, or itching eyes;burning, numbness, tingling, or painful sensations;change in taste;change in vision;congestion;continuing ringing or buzzing or other unexplained noise in the ears;decreased interest in sexual intercourse;decreased vision;difficulty with moving;discharge or excessive tearing;feeling of constant movement of self or surroundings;hair loss or thinning of the hair;hearing loss;hives or welts;impaired vision;inability to have or keep an erection;indigestion;lack or loss of strength;loss in sexual ability, desire, drive, or performance;loss of appetite;loss of memory;multiple swollen and inflamed skin lesions;muscle aching or cramping;muscle pain or stiffness;muscular pain, tenderness, wasting, or weakness;noisy breathing;problems with memory;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;runny nose;sensation of spinning;sensitivity to light;sleepiness or unusual drowsiness;sleeplessness;sneezing;stomach upset;stuffy nose;sweating;swelling of the breasts or breast soreness in both females and males;swelling of the salivary glands;swelling or inflammation of the mouth;swollen joints;tearing;tender, swollen glands in the neck;tenderness in the stomach area;throbbing pain;tightness in the chest;trouble getting pregnant;trouble with sleeping;trouble with swallowing;unable to sleep;unsteadiness or awkwardness;voice changes;weakness in the arms, hands, legs, or feet;weight loss;or",,,,,,,,
3,3,magnesium oxide,,,,,,,,,,,or,,,,,,,,
4,4,Bicitra,,,,,,,,,,,,,,,,,,,
5,5,Cytra-K,,,,,,,,,,,,,,,,,,,
6,6,Mag-Ox 400,,,,,,,,,,,or,,,,,,,,
7,7,citric acid / potassium citrate,,,,,,,,,,,,,,,,,,,
8,8,citric acid / sodium citrate,,,,,,,,,,,,,,,,,,,
9,9,Cytra-2,,,,,,,,,,,,,,,,,,,
