,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,pseudoephedrine,,,,,,,,,,,"convulsions (seizures);hallucinations (seeing, hearing, or feeling things that are not there);irregular or slow heartbeat;shortness of breath or troubled breathing;convulsions (seizures);fast breathing;hallucinations (seeing, hearing, or feeling things that are not there);increase in blood pressure;irregular heartbeat (continuing);shortness of breath or troubled breathing (severe or continuing);slow or fast heartbeat (severe or continuing);unusual nervousness, restlessness, or excitement;nervousness;restlessness;trouble in sleeping;difficult or painful urination;dizziness or light-headedness;fast or pounding heartbeat;headache;increased sweating;nausea or vomiting;trembling;unusual paleness;weakness;or",,,,,,,,
1,1,Afrin,,,,,,,,,,,"blurred vision;fast, irregular, or pounding heartbeat;headache, dizziness, drowsiness, or lightheadedness;high blood pressure;increase in runny or stuffy nose;nervousness;trembling;trouble in sleeping;weakness;burning, dryness, or stinging inside of nose;sneezing;or",,,,,,,,
2,2,Sudafed 12-Hour,,,,,,,,,,,"convulsions (seizures);hallucinations (seeing, hearing, or feeling things that are not there);irregular or slow heartbeat;shortness of breath or troubled breathing;convulsions (seizures);fast breathing;hallucinations (seeing, hearing, or feeling things that are not there);increase in blood pressure;irregular heartbeat (continuing);shortness of breath or troubled breathing (severe or continuing);slow or fast heartbeat (severe or continuing);unusual nervousness, restlessness, or excitement;nervousness;restlessness;trouble in sleeping;difficult or painful urination;dizziness or light-headedness;fast or pounding heartbeat;headache;increased sweating;nausea or vomiting;trembling;unusual paleness;weakness;or",,,,,,,,
3,3,phenylephrine,,,,,,,,,,,"blurred vision;chest pain or discomfort;difficult or labored breathing;dizziness;fainting;fast, slow, or irregular heartbeat;headache;nausea or vomiting;nervousness;pain in the shoulders, arms, jaw, or neck;pounding in the ears;sweating;tightness in the chest;unusual tiredness;feeling of fullness in the head;pounding or rapid pulse;tingling in the arms or legs;vomiting;heartburn;itching skin;nausea;pain in the neck;pain or discomfort in chest, upper stomach, or throat;or",,,,,,,,
4,4,Sudafed Congestion,,,,,,,,,,,"convulsions (seizures);hallucinations (seeing, hearing, or feeling things that are not there);irregular or slow heartbeat;shortness of breath or troubled breathing;convulsions (seizures);fast breathing;hallucinations (seeing, hearing, or feeling things that are not there);increase in blood pressure;irregular heartbeat (continuing);shortness of breath or troubled breathing (severe or continuing);slow or fast heartbeat (severe or continuing);unusual nervousness, restlessness, or excitement;nervousness;restlessness;trouble in sleeping;difficult or painful urination;dizziness or light-headedness;fast or pounding heartbeat;headache;increased sweating;nausea or vomiting;trembling;unusual paleness;weakness;or",,,,,,,,
5,5,Claritin-D,,,,,,,,,,,,,,,,,,,
6,6,oxymetazoline,,,,,,,,,,,"blurred vision;fast, irregular, or pounding heartbeat;headache, dizziness, drowsiness, or lightheadedness;high blood pressure;increase in runny or stuffy nose;nervousness;trembling;trouble in sleeping;weakness;burning, dryness, or stinging inside of nose;sneezing;or",,,,,,,,
7,7,Claritin-D 24 Hour,,,,,,,,,,,,,,,,,,,
8,8,Sudafed PE Congestion,,,,,,,,,,,"blurred vision;chest pain or discomfort;difficult or labored breathing;dizziness;fainting;fast, slow, or irregular heartbeat;headache;nausea or vomiting;nervousness;pain in the shoulders, arms, jaw, or neck;pounding in the ears;sweating;tightness in the chest;unusual tiredness;feeling of fullness in the head;pounding or rapid pulse;tingling in the arms or legs;vomiting;heartburn;itching skin;nausea;pain in the neck;pain or discomfort in chest, upper stomach, or throat;or",,,,,,,,
9,9,Loratadine-D 24 Hour,,,,,,,,,,,,,,,,,,,
10,10,Neo-Synephrine,,,,,,,,,,,"blurred vision;chest pain or discomfort;difficult or labored breathing;dizziness;fainting;fast, slow, or irregular heartbeat;headache;nausea or vomiting;nervousness;pain in the shoulders, arms, jaw, or neck;pounding in the ears;sweating;tightness in the chest;unusual tiredness;feeling of fullness in the head;pounding or rapid pulse;tingling in the arms or legs;vomiting;heartburn;itching skin;nausea;pain in the neck;pain or discomfort in chest, upper stomach, or throat;or",,,,,,,,
11,11,Ayr Saline Nasal,,,,,,,,,,,,,,,,,,,
