,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Omnipaque 350,,,,,,,,,,,"swelling or pain;arm, back, or jaw pain;chest pain or discomfort;chest tightness or heaviness;difficulty breathing;dizziness;fainting;fast, slow, or irregular heartbeat;nausea;shortness of breath;sweating;swelling in the throat;blurred vision;confusion;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;headache;nervousness;pounding in the ears;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;confusion;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;feeling of constant movement of self or surroundings;headache;nervousness;pounding in the ears;seizures;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;confusion;dilated neck veins;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;extreme fatigue;fast, pounding, or irregular heartbeat or pulse;feeling cold;feeling of constant movement of self or surroundings;fever;irregular breathing;pale skin;seizures;sensation of spinning;swelling of the face, fingers, feet, or lower legs;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;muscle weakness;nausea;pain in the neck, back, or nerve;abdominal or stomach pain;bloated or full feeling;diarrhea;excess air or gas in the stomach or intestines;nausea;passing gas;vomiting;vomiting;bad, unusual, or unpleasant (after) taste;change in taste;headache;hives or welts, itching, or skin rash;redness of the skin;sleepiness or unusual drowsiness;change in color vision;continuing ringing or buzzing or other unexplained noise in the ears;difficulty seeing at night;drowsiness;hearing loss;increased sensitivity of the eyes to sunlight;loss of appetite;sensation of spinning;acid or sour stomach;anxiety;belching;chills;cold sweats;coma;cool, pale skin;cough;depression;diarrhea;dry mouth;heartburn;hives or welts, itching, or rash;increased hunger;indigestion;nightmares;redness of the skin;runny nose;shakiness;sleepiness or unusual drowsiness;slurred speech;sneezing;stomach discomfort, upset, or pain;stuffy nose;uncontrolled eye movements;vomiting;or",,,,,,,,
1,1,Optiray 320,,,,,,,,,,,"arm, back, or jaw pain;blood in the stools or urine;blue lips and fingernails;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;bruising;changes in skin color;chest pain or discomfort;chest tightness or heaviness;confusion;coughing;coughing or vomiting blood;coughing that sometimes produces a pink frothy sputum;decrease in the frequency of urination;decrease in urine volume;difficult, fast, noisy breathing, sometimes with wheezing;difficulty in passing urine (dribbling);difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;feeling of constant movement of self or surroundings;headache;hives or welts, itching, or skin rash;hoarseness;increased sweating;nausea;nervousness;painful urination;pains in the chest, groin, or legs, especially calves of the legs;pain, tenderness, or swelling of the foot or leg;pale skin;persistent bleeding or oozing from puncture sites, mouth, or nose;pounding in the ears;rapid weight gain;redness of the skin;seizures;sensation of spinning;severe headaches of sudden onset;severe numbness, especially on one side of the face or body;severe, unusual tiredness or weakness;slow, fast, or irregular heartbeat;slow or irregular breathing;stupor;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden vision changes;sweating;swelling around the eyes;swelling in the legs and ankles;unusual tiredness or weakness;agitation;blistering, peeling, or loosening of the skin;chills;coma;confusion;depression;diarrhea;extremely high fever or body temperature;fast, shallow breathing;fast, weak heartbeat;fever;hostility;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lethargy;muscle cramps;muscle twitching;no sensation in the legs;not able to pass urine;pale, clammy skin;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;thirst;unable to move the legs;bad taste;collection of blood under the skin;deep, dark purple bruise;dry mouth;pain, redness, or pale skin at the injection site;vomiting;or",,,,,,,,
2,2,Optiray 350,,,,,,,,,,,"arm, back, or jaw pain;blood in the stools or urine;blue lips and fingernails;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;bruising;changes in skin color;chest pain or discomfort;chest tightness or heaviness;confusion;coughing;coughing or vomiting blood;coughing that sometimes produces a pink frothy sputum;decrease in the frequency of urination;decrease in urine volume;difficult, fast, noisy breathing, sometimes with wheezing;difficulty in passing urine (dribbling);difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;feeling of constant movement of self or surroundings;headache;hives or welts, itching, or skin rash;hoarseness;increased sweating;nausea;nervousness;painful urination;pains in the chest, groin, or legs, especially calves of the legs;pain, tenderness, or swelling of the foot or leg;pale skin;persistent bleeding or oozing from puncture sites, mouth, or nose;pounding in the ears;rapid weight gain;redness of the skin;seizures;sensation of spinning;severe headaches of sudden onset;severe numbness, especially on one side of the face or body;severe, unusual tiredness or weakness;slow, fast, or irregular heartbeat;slow or irregular breathing;stupor;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden vision changes;sweating;swelling around the eyes;swelling in the legs and ankles;unusual tiredness or weakness;agitation;blistering, peeling, or loosening of the skin;chills;coma;confusion;depression;diarrhea;extremely high fever or body temperature;fast, shallow breathing;fast, weak heartbeat;fever;hostility;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lethargy;muscle cramps;muscle twitching;no sensation in the legs;not able to pass urine;pale, clammy skin;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;thirst;unable to move the legs;bad taste;collection of blood under the skin;deep, dark purple bruise;dry mouth;pain, redness, or pale skin at the injection site;vomiting;or",,,,,,,,
3,3,Oxilan,,,,,,,,,,,or,,,,,,,,
4,4,Optiray 300,,,,,,,,,,,"arm, back, or jaw pain;blood in the stools or urine;blue lips and fingernails;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;bruising;changes in skin color;chest pain or discomfort;chest tightness or heaviness;confusion;coughing;coughing or vomiting blood;coughing that sometimes produces a pink frothy sputum;decrease in the frequency of urination;decrease in urine volume;difficult, fast, noisy breathing, sometimes with wheezing;difficulty in passing urine (dribbling);difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;feeling of constant movement of self or surroundings;headache;hives or welts, itching, or skin rash;hoarseness;increased sweating;nausea;nervousness;painful urination;pains in the chest, groin, or legs, especially calves of the legs;pain, tenderness, or swelling of the foot or leg;pale skin;persistent bleeding or oozing from puncture sites, mouth, or nose;pounding in the ears;rapid weight gain;redness of the skin;seizures;sensation of spinning;severe headaches of sudden onset;severe numbness, especially on one side of the face or body;severe, unusual tiredness or weakness;slow, fast, or irregular heartbeat;slow or irregular breathing;stupor;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden vision changes;sweating;swelling around the eyes;swelling in the legs and ankles;unusual tiredness or weakness;agitation;blistering, peeling, or loosening of the skin;chills;coma;confusion;depression;diarrhea;extremely high fever or body temperature;fast, shallow breathing;fast, weak heartbeat;fever;hostility;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lethargy;muscle cramps;muscle twitching;no sensation in the legs;not able to pass urine;pale, clammy skin;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;thirst;unable to move the legs;bad taste;collection of blood under the skin;deep, dark purple bruise;dry mouth;pain, redness, or pale skin at the injection site;vomiting;or",,,,,,,,
5,5,ioversol,,,,,,,,,,,"arm, back, or jaw pain;blood in the stools or urine;blue lips and fingernails;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;bruising;changes in skin color;chest pain or discomfort;chest tightness or heaviness;confusion;coughing;coughing or vomiting blood;coughing that sometimes produces a pink frothy sputum;decrease in the frequency of urination;decrease in urine volume;difficult, fast, noisy breathing, sometimes with wheezing;difficulty in passing urine (dribbling);difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;feeling of constant movement of self or surroundings;headache;hives or welts, itching, or skin rash;hoarseness;increased sweating;nausea;nervousness;painful urination;pains in the chest, groin, or legs, especially calves of the legs;pain, tenderness, or swelling of the foot or leg;pale skin;persistent bleeding or oozing from puncture sites, mouth, or nose;pounding in the ears;rapid weight gain;redness of the skin;seizures;sensation of spinning;severe headaches of sudden onset;severe numbness, especially on one side of the face or body;severe, unusual tiredness or weakness;slow, fast, or irregular heartbeat;slow or irregular breathing;stupor;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden vision changes;sweating;swelling around the eyes;swelling in the legs and ankles;unusual tiredness or weakness;agitation;blistering, peeling, or loosening of the skin;chills;coma;confusion;depression;diarrhea;extremely high fever or body temperature;fast, shallow breathing;fast, weak heartbeat;fever;hostility;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lethargy;muscle cramps;muscle twitching;no sensation in the legs;not able to pass urine;pale, clammy skin;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;thirst;unable to move the legs;bad taste;collection of blood under the skin;deep, dark purple bruise;dry mouth;pain, redness, or pale skin at the injection site;vomiting;or",,,,,,,,
6,6,iohexol,,,,,,,,,,,"swelling or pain;arm, back, or jaw pain;chest pain or discomfort;chest tightness or heaviness;difficulty breathing;dizziness;fainting;fast, slow, or irregular heartbeat;nausea;shortness of breath;sweating;swelling in the throat;blurred vision;confusion;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;headache;nervousness;pounding in the ears;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;confusion;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;feeling of constant movement of self or surroundings;headache;nervousness;pounding in the ears;seizures;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;confusion;dilated neck veins;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;extreme fatigue;fast, pounding, or irregular heartbeat or pulse;feeling cold;feeling of constant movement of self or surroundings;fever;irregular breathing;pale skin;seizures;sensation of spinning;swelling of the face, fingers, feet, or lower legs;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;muscle weakness;nausea;pain in the neck, back, or nerve;abdominal or stomach pain;bloated or full feeling;diarrhea;excess air or gas in the stomach or intestines;nausea;passing gas;vomiting;vomiting;bad, unusual, or unpleasant (after) taste;change in taste;headache;hives or welts, itching, or skin rash;redness of the skin;sleepiness or unusual drowsiness;change in color vision;continuing ringing or buzzing or other unexplained noise in the ears;difficulty seeing at night;drowsiness;hearing loss;increased sensitivity of the eyes to sunlight;loss of appetite;sensation of spinning;acid or sour stomach;anxiety;belching;chills;cold sweats;coma;cool, pale skin;cough;depression;diarrhea;dry mouth;heartburn;hives or welts, itching, or rash;increased hunger;indigestion;nightmares;redness of the skin;runny nose;shakiness;sleepiness or unusual drowsiness;slurred speech;sneezing;stomach discomfort, upset, or pain;stuffy nose;uncontrolled eye movements;vomiting;or",,,,,,,,
7,7,Omnipaque 140,,,,,,,,,,,"swelling or pain;arm, back, or jaw pain;chest pain or discomfort;chest tightness or heaviness;difficulty breathing;dizziness;fainting;fast, slow, or irregular heartbeat;nausea;shortness of breath;sweating;swelling in the throat;blurred vision;confusion;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;headache;nervousness;pounding in the ears;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;confusion;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;feeling of constant movement of self or surroundings;headache;nervousness;pounding in the ears;seizures;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;confusion;dilated neck veins;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;extreme fatigue;fast, pounding, or irregular heartbeat or pulse;feeling cold;feeling of constant movement of self or surroundings;fever;irregular breathing;pale skin;seizures;sensation of spinning;swelling of the face, fingers, feet, or lower legs;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;muscle weakness;nausea;pain in the neck, back, or nerve;abdominal or stomach pain;bloated or full feeling;diarrhea;excess air or gas in the stomach or intestines;nausea;passing gas;vomiting;vomiting;bad, unusual, or unpleasant (after) taste;change in taste;headache;hives or welts, itching, or skin rash;redness of the skin;sleepiness or unusual drowsiness;change in color vision;continuing ringing or buzzing or other unexplained noise in the ears;difficulty seeing at night;drowsiness;hearing loss;increased sensitivity of the eyes to sunlight;loss of appetite;sensation of spinning;acid or sour stomach;anxiety;belching;chills;cold sweats;coma;cool, pale skin;cough;depression;diarrhea;dry mouth;heartburn;hives or welts, itching, or rash;increased hunger;indigestion;nightmares;redness of the skin;runny nose;shakiness;sleepiness or unusual drowsiness;slurred speech;sneezing;stomach discomfort, upset, or pain;stuffy nose;uncontrolled eye movements;vomiting;or",,,,,,,,
8,8,Omnipaque 180,,,,,,,,,,,"swelling or pain;arm, back, or jaw pain;chest pain or discomfort;chest tightness or heaviness;difficulty breathing;dizziness;fainting;fast, slow, or irregular heartbeat;nausea;shortness of breath;sweating;swelling in the throat;blurred vision;confusion;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;headache;nervousness;pounding in the ears;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;confusion;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;feeling of constant movement of self or surroundings;headache;nervousness;pounding in the ears;seizures;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;confusion;dilated neck veins;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;extreme fatigue;fast, pounding, or irregular heartbeat or pulse;feeling cold;feeling of constant movement of self or surroundings;fever;irregular breathing;pale skin;seizures;sensation of spinning;swelling of the face, fingers, feet, or lower legs;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;muscle weakness;nausea;pain in the neck, back, or nerve;abdominal or stomach pain;bloated or full feeling;diarrhea;excess air or gas in the stomach or intestines;nausea;passing gas;vomiting;vomiting;bad, unusual, or unpleasant (after) taste;change in taste;headache;hives or welts, itching, or skin rash;redness of the skin;sleepiness or unusual drowsiness;change in color vision;continuing ringing or buzzing or other unexplained noise in the ears;difficulty seeing at night;drowsiness;hearing loss;increased sensitivity of the eyes to sunlight;loss of appetite;sensation of spinning;acid or sour stomach;anxiety;belching;chills;cold sweats;coma;cool, pale skin;cough;depression;diarrhea;dry mouth;heartburn;hives or welts, itching, or rash;increased hunger;indigestion;nightmares;redness of the skin;runny nose;shakiness;sleepiness or unusual drowsiness;slurred speech;sneezing;stomach discomfort, upset, or pain;stuffy nose;uncontrolled eye movements;vomiting;or",,,,,,,,
9,9,Omnipaque 240,,,,,,,,,,,"swelling or pain;arm, back, or jaw pain;chest pain or discomfort;chest tightness or heaviness;difficulty breathing;dizziness;fainting;fast, slow, or irregular heartbeat;nausea;shortness of breath;sweating;swelling in the throat;blurred vision;confusion;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;headache;nervousness;pounding in the ears;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;confusion;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;feeling of constant movement of self or surroundings;headache;nervousness;pounding in the ears;seizures;slow or fast heartbeat;sweating;unusual tiredness or weakness;blurred vision;confusion;dilated neck veins;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;extreme fatigue;fast, pounding, or irregular heartbeat or pulse;feeling cold;feeling of constant movement of self or surroundings;fever;irregular breathing;pale skin;seizures;sensation of spinning;swelling of the face, fingers, feet, or lower legs;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;muscle weakness;nausea;pain in the neck, back, or nerve;abdominal or stomach pain;bloated or full feeling;diarrhea;excess air or gas in the stomach or intestines;nausea;passing gas;vomiting;vomiting;bad, unusual, or unpleasant (after) taste;change in taste;headache;hives or welts, itching, or skin rash;redness of the skin;sleepiness or unusual drowsiness;change in color vision;continuing ringing or buzzing or other unexplained noise in the ears;difficulty seeing at night;drowsiness;hearing loss;increased sensitivity of the eyes to sunlight;loss of appetite;sensation of spinning;acid or sour stomach;anxiety;belching;chills;cold sweats;coma;cool, pale skin;cough;depression;diarrhea;dry mouth;heartburn;hives or welts, itching, or rash;increased hunger;indigestion;nightmares;redness of the skin;runny nose;shakiness;sleepiness or unusual drowsiness;slurred speech;sneezing;stomach discomfort, upset, or pain;stuffy nose;uncontrolled eye movements;vomiting;or",,,,,,,,
