,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Prozac,,,,,,,,,,,"hives, itching, or skin rash;inability to sit still;restlessness;chills or fever;joint or muscle pain;anxiety;cold sweats;confusion;convulsions (seizures);cool pale skin;diarrhea;difficulty with concentration;drowsiness;dryness of the mouth;excessive hunger;fast or irregular heartbeat;headache;increased sweating;increased thirst;lack of energy;mood or behavior changes;overactive reflexes;purple or red spots on the skin;racing heartbeat;shakiness or unsteady walk;shivering or shaking;talking, feeling, and acting with excitement and activity you cannot control;trouble with breathing;unusual or incomplete body or facial movements;unusual tiredness or weakness;abdominal or stomach pain;agitation;back or leg pains;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine or stools;bloody, black or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;clay-colored stools;constipation;continuing vomiting;cough or dry cough;dark urine;decreased urine output;decreased vision;depression;difficulty with breathing;difficulty with swallowing;dizziness or lightheadedness;eye pain;fainting;fast, pounding, or irregular heartbeat or pulse;general body swelling;high fever;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hostility;indigestion;irregular or slow heart rate;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;loss of bladder control;muscle twitching;nausea;nightmares;noisy breathing;nosebleeds;pain in the ankles or knees;painful, red lumps under the skin, mostly on the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pinpoint red spots on the skin;rapid weight gain;red or irritated eyes;red skin lesions, often with a purple center;redness, tenderness, itching, burning, or peeling of the skin;severe muscle stiffness;severe sleepiness;slurred speech;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stopping of heart;sudden shortness of breath or troubled breathing;sudden weakness in the arms or legs;sudden, severe chest pain;swelling of the face, ankles, or hands;swollen or painful glands;thoughts of killing oneself;tightness in the chest;tiredness;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually pale skin;use of extreme physical or emotional force;vomiting of blood;yellow eyes or skin;decreased appetite;abnormal dreams;breast enlargement or pain;change in sense of taste;changes in vision;feeling of warmth or heat;flushing or redness of the skin, especially on face and neck;frequent urination;hair loss;increased appetite;increased sensitivity of the skin to sunlight;menstrual pain;stomach cramps, gas, or pain;unusual secretion of milk, in females;weight loss;yawning;cracks in the skin;loss of heat from the body;painful or prolonged erections of the penis;scaly skin;swelling of the breasts or breast soreness in both females and males;unusual milk production;or",,,,,,,,
1,1,Topamax,,,,,,,,,,,"any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision;burning, prickling, or tingling sensations;clumsiness or unsteadiness;confusion;continuous, uncontrolled back-and-forth or rolling eye movements;dizziness;drowsiness;eye redness;generalized slowing of mental and physical activity;increased eye pressure;memory problems;menstrual changes;menstrual pain;nervousness;speech or language problems;trouble in concentrating or paying attention;unusual tiredness or weakness;abdominal or stomach pain;fever, chills, or sore throat;lessening of sensations or perception;loss of appetite;mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression;red, irritated, or bleeding gums;weight loss;blood in the urine;decrease in sexual performance or desire;difficult or painful urination;frequent urination;hearing loss;loss of bladder control;lower back or side pain;nosebleeds;pale skin;red or irritated eyes;ringing or buzzing in the ears;skin rash or itching;swelling;trouble breathing;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;bloating;clay-colored stools;constipation;cough;diarrhea;increased rate of breathing;joint or muscle pain;pain or tenderness in upper abdomen or stomach;red skin lesions, often with a purple center;sores, ulcers, or white spots in the mouth or on the lips;yellow eyes or skin;decreased awareness or responsiveness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;severe sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;breast pain in women;tremors;back pain;chest pain;constipation;heartburn;hot flushes;increased sweating;leg pain;or",,,,,,,,
2,2,fluoxetine,,,,,,,,,,,"hives, itching, or skin rash;inability to sit still;restlessness;chills or fever;joint or muscle pain;anxiety;cold sweats;confusion;convulsions (seizures);cool pale skin;diarrhea;difficulty with concentration;drowsiness;dryness of the mouth;excessive hunger;fast or irregular heartbeat;headache;increased sweating;increased thirst;lack of energy;mood or behavior changes;overactive reflexes;purple or red spots on the skin;racing heartbeat;shakiness or unsteady walk;shivering or shaking;talking, feeling, and acting with excitement and activity you cannot control;trouble with breathing;unusual or incomplete body or facial movements;unusual tiredness or weakness;abdominal or stomach pain;agitation;back or leg pains;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine or stools;bloody, black or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;clay-colored stools;constipation;continuing vomiting;cough or dry cough;dark urine;decreased urine output;decreased vision;depression;difficulty with breathing;difficulty with swallowing;dizziness or lightheadedness;eye pain;fainting;fast, pounding, or irregular heartbeat or pulse;general body swelling;high fever;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hostility;indigestion;irregular or slow heart rate;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;loss of bladder control;muscle twitching;nausea;nightmares;no blood pressure or pulse;noisy breathing;nosebleeds;pain in the ankles or knees;painful, red lumps under the skin, mostly on the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pinpoint red spots on the skin;rapid weight gain;red or irritated eyes;red skin lesions, often with a purple center;redness, tenderness, itching, burning, or peeling of the skin;severe muscle stiffness;severe sleepiness;slurred speech;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stopping of heart;sudden shortness of breath or troubled breathing;sudden weakness in the arms or legs;sudden, severe chest pain;swelling of the face, ankles, or hands;swollen or painful glands;thoughts of killing oneself;tightness in the chest;tiredness;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually pale skin;use of extreme physical or emotional force;vomiting of blood;yellow eyes or skin;decreased appetite;abnormal dreams;breast enlargement or pain;change in sense of taste;changes in vision;feeling of warmth or heat;flushing or redness of the skin, especially on face and neck;frequent urination;hair loss;increased appetite;increased sensitivity of the skin to sunlight;menstrual pain;stomach cramps, gas, or pain;unusual secretion of milk, in females;weight loss;yawning;cracks in the skin;loss of heat from the body;painful or prolonged erections of the penis;scaly skin;swelling of the breasts or breast soreness in both females and males;unusual milk production;or",,,,,,,,
3,3,Effexor,,,,,,,,,,,"high blood pressure;lack or loss of strength;severe headache;sweating;blurred vision;chest pain;fast or irregular heartbeat;mood or mental changes;ringing or buzzing in the ears;suicidal thoughts;actions that are out of control;convulsions;high fever;high or low blood pressure;irritability;itching or skin rash;lightheadedness or fainting, especially when getting up suddenly from a sitting or lying position;menstrual changes;nervousness;problems with urinating or holding urine;severe muscle stiffness;talking, feeling, and acting with excitement that you cannot control;trouble breathing;unusually pale skin;agitation;bloody, black, or tarry stools;bloody stool or urine;confusion;dark urine;decreased frequency or amount of urine;diarrhea;drowsiness;fever;general feeling of tiredness or weakness;headache;increased thirst;light-colored stools;muscle cramps, spasms, or pain;nausea or vomiting;nosebleeds;overactive reflexes;poor coordination;red or purple spots on skin;restlessness;shivering;stomach pain on upper right side;swelling of the face, lower legs, ankles, hands, or fingers;trembling or shaking that is hard to control;twitching;unusual bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;yellow eyes or skin;abnormal dreams;chills;constipation;decrease in sexual desire or ability;diarrhea;drowsiness;dry mouth;heartburn;increased sweating;loss of appetite;nausea;stomach pain or gas;stuffy or runny nose;tingling, burning, or prickly sensations;trembling or shaking;trouble sleeping;unusual tiredness or weakness;vomiting;weight loss;change in taste;muscle tension;yawning;night sweats;or",,,,,,,,
4,4,topiramate,,,,,,,,,,,"any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision;burning, prickling, or tingling sensations;clumsiness or unsteadiness;confusion;continuous, uncontrolled back-and-forth or rolling eye movements;dizziness;drowsiness;eye redness;generalized slowing of mental and physical activity;increased eye pressure;memory problems;menstrual changes;menstrual pain;nervousness;speech or language problems;trouble in concentrating or paying attention;unusual tiredness or weakness;abdominal or stomach pain;fever, chills, or sore throat;lessening of sensations or perception;loss of appetite;mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression;red, irritated, or bleeding gums;weight loss;blood in the urine;decrease in sexual performance or desire;difficult or painful urination;frequent urination;hearing loss;loss of bladder control;lower back or side pain;nosebleeds;pale skin;red or irritated eyes;ringing or buzzing in the ears;skin rash or itching;swelling;trouble breathing;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;bloating;clay-colored stools;constipation;cough;diarrhea;increased rate of breathing;joint or muscle pain;pain or tenderness in upper abdomen or stomach;red skin lesions, often with a purple center;sores, ulcers, or white spots in the mouth or on the lips;yellow eyes or skin;decreased awareness or responsiveness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;severe sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;breast pain in women;tremors;back pain;chest pain;constipation;heartburn;hot flushes;increased sweating;leg pain;or",,,,,,,,
5,5,Rapiflux,,,,,,,,,,,"hives, itching, or skin rash;inability to sit still;restlessness;chills or fever;joint or muscle pain;anxiety;cold sweats;confusion;convulsions (seizures);cool pale skin;diarrhea;difficulty with concentration;drowsiness;dryness of the mouth;excessive hunger;fast or irregular heartbeat;headache;increased sweating;increased thirst;lack of energy;mood or behavior changes;overactive reflexes;purple or red spots on the skin;racing heartbeat;shakiness or unsteady walk;shivering or shaking;talking, feeling, and acting with excitement and activity you cannot control;trouble with breathing;unusual or incomplete body or facial movements;unusual tiredness or weakness;abdominal or stomach pain;agitation;back or leg pains;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine or stools;bloody, black or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;clay-colored stools;constipation;continuing vomiting;cough or dry cough;dark urine;decreased urine output;decreased vision;depression;difficulty with breathing;difficulty with swallowing;dizziness or lightheadedness;eye pain;fainting;fast, pounding, or irregular heartbeat or pulse;general body swelling;high fever;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hostility;indigestion;irregular or slow heart rate;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;loss of bladder control;muscle twitching;nausea;nightmares;no blood pressure or pulse;noisy breathing;nosebleeds;pain in the ankles or knees;painful, red lumps under the skin, mostly on the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pinpoint red spots on the skin;rapid weight gain;red or irritated eyes;red skin lesions, often with a purple center;redness, tenderness, itching, burning, or peeling of the skin;severe muscle stiffness;severe sleepiness;slurred speech;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stopping of heart;sudden shortness of breath or troubled breathing;sudden weakness in the arms or legs;sudden, severe chest pain;swelling of the face, ankles, or hands;swollen or painful glands;thoughts of killing oneself;tightness in the chest;tiredness;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually pale skin;use of extreme physical or emotional force;vomiting of blood;yellow eyes or skin;decreased appetite;abnormal dreams;breast enlargement or pain;change in sense of taste;changes in vision;feeling of warmth or heat;flushing or redness of the skin, especially on face and neck;frequent urination;hair loss;increased appetite;increased sensitivity of the skin to sunlight;menstrual pain;stomach cramps, gas, or pain;unusual secretion of milk, in females;weight loss;yawning;cracks in the skin;loss of heat from the body;painful or prolonged erections of the penis;scaly skin;swelling of the breasts or breast soreness in both females and males;unusual milk production;or",,,,,,,,
6,6,Topiragen,,,,,,,,,,,"any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision;burning, prickling, or tingling sensations;clumsiness or unsteadiness;confusion;continuous, uncontrolled back-and-forth or rolling eye movements;dizziness;drowsiness;eye redness;generalized slowing of mental and physical activity;increased eye pressure;memory problems;menstrual changes;menstrual pain;nervousness;speech or language problems;trouble in concentrating or paying attention;unusual tiredness or weakness;abdominal or stomach pain;fever, chills, or sore throat;lessening of sensations or perception;loss of appetite;mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression;red, irritated, or bleeding gums;weight loss;blood in the urine;decrease in sexual performance or desire;difficult or painful urination;frequent urination;hearing loss;loss of bladder control;lower back or side pain;nosebleeds;pale skin;red or irritated eyes;ringing or buzzing in the ears;skin rash or itching;swelling;trouble breathing;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;bloating;clay-colored stools;constipation;cough;diarrhea;increased rate of breathing;joint or muscle pain;pain or tenderness in upper abdomen or stomach;red skin lesions, often with a purple center;sores, ulcers, or white spots in the mouth or on the lips;yellow eyes or skin;decreased awareness or responsiveness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;severe sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;breast pain in women;tremors;back pain;chest pain;constipation;heartburn;hot flushes;increased sweating;leg pain;or",,,,,,,,
7,7,Prozac Weekly,,,,,,,,,,,"hives, itching, or skin rash;inability to sit still;restlessness;chills or fever;joint or muscle pain;anxiety;cold sweats;confusion;convulsions (seizures);cool pale skin;diarrhea;difficulty with concentration;drowsiness;dryness of the mouth;excessive hunger;fast or irregular heartbeat;headache;increased sweating;increased thirst;lack of energy;mood or behavior changes;overactive reflexes;purple or red spots on the skin;racing heartbeat;shakiness or unsteady walk;shivering or shaking;talking, feeling, and acting with excitement and activity you cannot control;trouble with breathing;unusual or incomplete body or facial movements;unusual tiredness or weakness;abdominal or stomach pain;agitation;back or leg pains;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine or stools;bloody, black or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;clay-colored stools;constipation;continuing vomiting;cough or dry cough;dark urine;decreased urine output;decreased vision;depression;difficulty with breathing;difficulty with swallowing;dizziness or lightheadedness;eye pain;fainting;fast, pounding, or irregular heartbeat or pulse;general body swelling;high fever;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hostility;indigestion;irregular or slow heart rate;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;loss of bladder control;muscle twitching;nausea;nightmares;no blood pressure or pulse;noisy breathing;nosebleeds;pain in the ankles or knees;painful, red lumps under the skin, mostly on the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pinpoint red spots on the skin;rapid weight gain;red or irritated eyes;red skin lesions, often with a purple center;redness, tenderness, itching, burning, or peeling of the skin;severe muscle stiffness;severe sleepiness;slurred speech;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stopping of heart;sudden shortness of breath or troubled breathing;sudden weakness in the arms or legs;sudden, severe chest pain;swelling of the face, ankles, or hands;swollen or painful glands;thoughts of killing oneself;tightness in the chest;tiredness;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually pale skin;use of extreme physical or emotional force;vomiting of blood;yellow eyes or skin;decreased appetite;abnormal dreams;breast enlargement or pain;change in sense of taste;changes in vision;feeling of warmth or heat;flushing or redness of the skin, especially on face and neck;frequent urination;hair loss;increased appetite;increased sensitivity of the skin to sunlight;menstrual pain;stomach cramps, gas, or pain;unusual secretion of milk, in females;weight loss;yawning;cracks in the skin;loss of heat from the body;painful or prolonged erections of the penis;scaly skin;swelling of the breasts or breast soreness in both females and males;unusual milk production;or",,,,,,,,
8,8,venlafaxine,,,,,,,,,,,"high blood pressure;lack or loss of strength;severe headache;sweating;blurred vision;chest pain;fast or irregular heartbeat;mood or mental changes;ringing or buzzing in the ears;suicidal thoughts;actions that are out of control;convulsions;high fever;high or low blood pressure;irritability;itching or skin rash;lightheadedness or fainting, especially when getting up suddenly from a sitting or lying position;menstrual changes;nervousness;problems with urinating or holding urine;severe muscle stiffness;talking, feeling, and acting with excitement that you cannot control;trouble breathing;unusually pale skin;agitation;bloody, black, or tarry stools;bloody stool or urine;confusion;dark urine;decreased frequency or amount of urine;diarrhea;drowsiness;fever;general feeling of tiredness or weakness;headache;increased thirst;light-colored stools;muscle cramps, spasms, or pain;nausea or vomiting;nosebleeds;overactive reflexes;poor coordination;red or purple spots on skin;restlessness;shivering;stomach pain on upper right side;swelling of the face, lower legs, ankles, hands, or fingers;trembling or shaking that is hard to control;twitching;unusual bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;yellow eyes or skin;abnormal dreams;chills;constipation;decrease in sexual desire or ability;diarrhea;drowsiness;dry mouth;heartburn;increased sweating;loss of appetite;nausea;stomach pain or gas;stuffy or runny nose;tingling, burning, or prickly sensations;trembling or shaking;trouble sleeping;unusual tiredness or weakness;vomiting;weight loss;change in taste;muscle tension;yawning;night sweats;or",,,,,,,,
9,9,Topamax Sprinkle,,,,,,,,,,,"any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision;burning, prickling, or tingling sensations;clumsiness or unsteadiness;confusion;continuous, uncontrolled back-and-forth or rolling eye movements;dizziness;drowsiness;eye redness;generalized slowing of mental and physical activity;increased eye pressure;memory problems;menstrual changes;menstrual pain;nervousness;speech or language problems;trouble in concentrating or paying attention;unusual tiredness or weakness;abdominal or stomach pain;fever, chills, or sore throat;lessening of sensations or perception;loss of appetite;mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression;red, irritated, or bleeding gums;weight loss;blood in the urine;decrease in sexual performance or desire;difficult or painful urination;frequent urination;hearing loss;loss of bladder control;lower back or side pain;nosebleeds;pale skin;red or irritated eyes;ringing or buzzing in the ears;skin rash or itching;swelling;trouble breathing;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;bloating;clay-colored stools;constipation;cough;diarrhea;increased rate of breathing;joint or muscle pain;pain or tenderness in upper abdomen or stomach;red skin lesions, often with a purple center;sores, ulcers, or white spots in the mouth or on the lips;yellow eyes or skin;decreased awareness or responsiveness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;severe sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;breast pain in women;tremors;back pain;chest pain;constipation;heartburn;hot flushes;increased sweating;leg pain;or",,,,,,,,
