,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Gleevec,,,,,,,,,,,"abdominal or stomach pain, cramping, burning, or tenderness;bleeding from wound after surgery;bleeding gums;bleeding problems;bloating or swelling of the face, hands, lower legs, or feet;blood in the urine;bloody eye;bloody nose;blue lips and fingernails;blurred vision;body aches or pain;chest pain or discomfort;chills;clay-colored stools;cough;coughing that sometimes produces a pink frothy sputum;coughing up blood;decrease in the amount of urine;decreased appetite;decreased urination;diarrhea;difficult or labored breathing;difficulty with swallowing;dizziness;dry mouth;ear congestion;fever;general feeling of discomfort or illness;headache;inability to speak;increased menstrual flow or vaginal bleeding;increased thirst;irregular heartbeat;itching or skin rash;joint pain;large, flat, blue, or purplish patches on the skin;loss of appetite;loss of voice;mood changes;muscle aches and pain;muscle cramps;nausea and vomiting;noisy, rattling breathing;nosebleed;numbness or tingling in the hands, feet, or lips;pain or tenderness around the eyes and cheekbones;painful or difficult urination;pale skin;prolonged bleeding from cuts;rapid weight gain;red, black, bloody, or tarry stools;red or dark brown urine;redness of the eye;seizures;shivering;slurred speech;small red or purple spots on the skin;sneezing;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stuffy or runny nose;sweating;swelling in the legs and ankles;swollen glands;temporary blindness;tightness in the chest;trouble sleeping;troubled breathing at rest;troubled breathing when moving or walking;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weakness in the arm or leg on one side of the body, sudden and severe;yellow eyes or skin;anxiety;blistering, peeling, or loosening of the skin;change in vision not present before treatment;chest pain, possibly moving to the left arm, neck, or shoulder;confusion;delayed or slow growth in children;irregular, fast or slow, or shallow breathing;nausea, heartburn, or indigestion, severe and continuing;pain in the bones;red, irritated eyes;red skin lesions, often with a purple center;seeing floaters, veil, or curtain appearing across part of vision;severe abdominal or stomach pain, cramping, or burning;severe constipation;severe vomiting;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over affected area;acid or sour stomach;belching;difficulty having a bowel movement (stool);difficulty with moving;discouragement;excess air or gas in the stomach or intestines;fear or nervousness;feeling sad or empty;feeling unusually cold;full or bloated feeling;increased bowel movements;irritability;lack or loss of strength;loose stools;loss of interest or pleasure;muscle stiffness;night sweats;passing gas;stomach discomfort, upset, or pain;swollen joints;trouble concentrating;weight loss;back pain;bad, unusual, or unpleasant (after) taste;change in taste;watering of the eyes;or",,,,,,,,
1,1,Tasigna,,,,,,,,,,,"abdominal or stomach pain or tenderness;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;bone pain;clay colored stools;confusion;convulsions;cough or hoarseness;dark urine;decreased appetite;difficult or labored breathing;dry mouth;fainting;fever or chills;flushed, dry skin;fruit-like breath odor;headache;increased hunger;increased thirst;increased urination;irregular heartbeat, recurrent;loss of appetite;lower back or side pain;muscle aches, cramps, or pain;nausea and vomiting;no blood pressure;no breathing;no pulse;numbness, tingling, pain, or weakness in the hands or feet;painful or difficult urination;pale skin;pinpoint red spots on the skin;seizures;skin rash or itching;sore throat;stuffy or runny nose;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trembling;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unexplained weight loss;unusual bleeding or bruising;unusual tiredness or weakness;weakness and heaviness of the legs;yellow eyes or skin;coma;decreased urine output;dizziness;fast heartbeat;muscle cramps in the hands, arms, feet, legs, or face;nervousness;numbness and tingling around the mouth, fingertips, or lips;rapid weight gain;tremor;bladder pain;bloody or cloudy urine;body aches or pain;constipation;cough producing mucus;depressed mood;difficult, burning, or painful urination;dry skin and hair;ear congestion;feeling cold;frequent urge to urinate;hair loss;loss of voice;muscle stiffness;pain or tenderness around the eyes and cheekbones;sensitivity to heat;slowed heartbeat;sneezing;swelling or puffiness of the face;tender, swollen glands in the neck;trouble sleeping;trouble swallowing;weight changes;white patches in the mouth or throat or on the tongue;white patches with diaper rash;pain or swelling of the treated skin;rapid, shallow breathing;back pain;burning, itching, and pain in hairy areas;diarrhea;difficulty with moving;lack or loss of strength;muscle spasms;pain in the arms or legs;pain in the joints;pus at the root of the hair;swollen joints",,,,,,,,
2,2,Sprycel,,,,,,,,,,,"bloody or black, tarry stools;body aches or pain;burning, tingling, numbness or pain in the hands, arms, feet, or legs;chest pain;constipation;cough or hoarseness;coughing up blood;decrease in the amount of urine;dizziness;ear congestion;fainting;fast, slow, or irregular heartbeat;fever or chills;full or bloated feeling;headache;loss of voice;lower back or side pain;nasal congestion;noisy or rattling breathing;painful or difficult urination;pale skin;paralysis;pressure in the stomach;runny nose;sensation of pins and needles;severe stomach pain;sneezing;sore throat;stabbing pain;swelling of the abdominal or stomach area;swelling of the face, fingers, hands, feet, or lower legs;tightness in the chest;troubled breathing;ulcers, sores, or white spots in the mouth;unsteadiness or awkwardness;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weakness in the arms, hands, legs, or feet;weight gain;bloating;blue lips and fingernails;chest discomfort;coughing that sometimes produces a pink frothy sputum;decreased urine output;difficult or fast breathing;dilated neck veins;increased sweating;irregular breathing;irregular heartbeat;nausea;swelling;swelling in the legs and ankles;anxiety;pain, redness, or swelling in the arm or leg;sudden shortness of breath or troubled breathing;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;abdominal or stomach pain;bleeding gums;cracked lips;diarrhea;difficulty with moving;difficulty with swallowing;increased menstrual flow or vaginal bleeding;itching skin or rash;lack or loss of strength;loss of appetite;muscle aching or cramping;muscle or bone pain;muscle stiffness;nose bleeds;pain;pain in the joints;prolonged bleeding from cuts;red or dark brown urine;swollen joints;vomiting;weight loss",,,,,,,,
3,3,Hydrea,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;black, tarry stools;blackening of the fingernails and toenails;blood in the urine or stools;pinpoint red spots on the skin;sores in the mouth and on the lips;unusual bleeding or bruising;confusion;convulsions (seizures);difficulty with urination;dizziness;headache;joint pain;seeing, hearing, or feeling things that are not there;swelling of the feet or lower legs;bleeding under the skin;blisters on the skin;bluish or pale color on the skin of the fingers or toes;coldness of the fingers or toes;crater-like lesions on the skin;itching skin;numbness or tingling of the fingers or toes;pain in the fingers or toes;unusual tiredness or weakness;weight loss;diarrhea;drowsiness;loss of appetite;nausea or vomiting;constipation;redness of skin at the place of radiation;skin rash and itching;or",,,,,,,,
4,4,imatinib,,,,,,,,,,,"abdominal or stomach pain, cramping, burning, or tenderness;bleeding from wound after surgery;bleeding gums;bleeding problems;bloating or swelling of the face, hands, lower legs, or feet;blood in the urine;bloody eye;bloody nose;blue lips and fingernails;blurred vision;body aches or pain;chest pain or discomfort;chills;clay-colored stools;cough;coughing that sometimes produces a pink frothy sputum;coughing up blood;decrease in the amount of urine;decreased appetite;decreased urination;diarrhea;difficult or labored breathing;difficulty with swallowing;dizziness;dry mouth;ear congestion;fever;general feeling of discomfort or illness;headache;inability to speak;increased menstrual flow or vaginal bleeding;increased thirst;irregular heartbeat;itching or skin rash;joint pain;large, flat, blue, or purplish patches on the skin;loss of appetite;loss of voice;mood changes;muscle aches and pain;muscle cramps;nausea and vomiting;noisy, rattling breathing;nosebleed;numbness or tingling in the hands, feet, or lips;pain or tenderness around the eyes and cheekbones;painful or difficult urination;pale skin;prolonged bleeding from cuts;rapid weight gain;red, black, bloody, or tarry stools;red or dark brown urine;redness of the eye;seizures;shivering;slurred speech;small red or purple spots on the skin;sneezing;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stuffy or runny nose;sweating;swelling in the legs and ankles;swollen glands;temporary blindness;tightness in the chest;trouble sleeping;troubled breathing at rest;troubled breathing when moving or walking;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weakness in the arm or leg on one side of the body, sudden and severe;yellow eyes or skin;anxiety;blistering, peeling, or loosening of the skin;change in vision not present before treatment;chest pain, possibly moving to the left arm, neck, or shoulder;confusion;delayed or slow growth in children;irregular, fast or slow, or shallow breathing;nausea, heartburn, or indigestion, severe and continuing;pain in the bones;red, irritated eyes;red skin lesions, often with a purple center;seeing floaters, veil, or curtain appearing across part of vision;severe abdominal or stomach pain, cramping, or burning;severe constipation;severe vomiting;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over affected area;acid or sour stomach;belching;difficulty having a bowel movement (stool);difficulty with moving;discouragement;excess air or gas in the stomach or intestines;fear or nervousness;feeling sad or empty;feeling unusually cold;full or bloated feeling;increased bowel movements;irritability;lack or loss of strength;loose stools;loss of interest or pleasure;muscle stiffness;night sweats;passing gas;stomach discomfort, upset, or pain;swollen joints;trouble concentrating;weight loss;back pain;bad, unusual, or unpleasant (after) taste;change in taste;watering of the eyes;or",,,,,,,,
5,5,hydroxyurea,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;black, tarry stools;blackening of the fingernails and toenails;blood in the urine or stools;pinpoint red spots on the skin;sores in the mouth and on the lips;unusual bleeding or bruising;confusion;convulsions (seizures);difficulty with urination;dizziness;headache;joint pain;seeing, hearing, or feeling things that are not there;swelling of the feet or lower legs;bleeding under the skin;blisters on the skin;bluish or pale color on the skin of the fingers or toes;coldness of the fingers or toes;crater-like lesions on the skin;itching skin;numbness or tingling of the fingers or toes;pain in the fingers or toes;unusual tiredness or weakness;weight loss;diarrhea;drowsiness;loss of appetite;nausea or vomiting;constipation;redness of skin at the place of radiation;skin rash and itching;or",,,,,,,,
6,6,Cytoxan,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;missing menstrual periods;painful or difficult urination;blood in the urine;dizziness, confusion, or agitation;fast heartbeat;joint pain;shortness of breath;swelling of the feet or lower legs;unusual tiredness or weakness;black, tarry stools;pinpoint red spots on the skin;unusual bleeding or bruising;frequent urination;redness, swelling, or pain at the injection site;sores in the mouth and on the lips;sudden shortness of breath;unusual thirst;yellow eyes or skin;darkening of the skin and fingernails;loss of appetite;nausea or vomiting;diarrhea;flushing or redness of the face;headache;increased sweating;skin rash, hives, or itching;stomach pain;swollen lips;or",,,,,,,,
7,7,nilotinib,,,,,,,,,,,"abdominal or stomach pain or tenderness;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;bone pain;clay colored stools;confusion;convulsions;cough or hoarseness;dark urine;decreased appetite;difficult or labored breathing;dry mouth;fainting;fever or chills;flushed, dry skin;fruit-like breath odor;headache;increased hunger;increased thirst;increased urination;irregular heartbeat, recurrent;loss of appetite;lower back or side pain;muscle aches, cramps, or pain;nausea and vomiting;no blood pressure;no breathing;no pulse;numbness, tingling, pain, or weakness in the hands or feet;painful or difficult urination;pale skin;pinpoint red spots on the skin;seizures;skin rash or itching;sore throat;stuffy or runny nose;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trembling;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unexplained weight loss;unusual bleeding or bruising;unusual tiredness or weakness;weakness and heaviness of the legs;yellow eyes or skin;coma;decreased urine output;dizziness;fast heartbeat;muscle cramps in the hands, arms, feet, legs, or face;nervousness;numbness and tingling around the mouth, fingertips, or lips;rapid weight gain;tremor;bladder pain;bloody or cloudy urine;body aches or pain;constipation;cough producing mucus;depressed mood;difficult, burning, or painful urination;dry skin and hair;ear congestion;feeling cold;frequent urge to urinate;hair loss;loss of voice;muscle stiffness;pain or tenderness around the eyes and cheekbones;sensitivity to heat;slowed heartbeat;sneezing;swelling or puffiness of the face;tender, swollen glands in the neck;trouble sleeping;trouble swallowing;weight changes;white patches in the mouth or throat or on the tongue;white patches with diaper rash;pain or swelling of the treated skin;rapid, shallow breathing;back pain;burning, itching, and pain in hairy areas;diarrhea;difficulty with moving;lack or loss of strength;muscle spasms;pain in the arms or legs;pain in the joints;pus at the root of the hair;swollen joints",,,,,,,,
8,8,Bosulif,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chills;cough;difficult or labored breathing;fever;lower back or side pain;painful or difficult urination;pale skin;pinpoint red spots on the skin;sore throat;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain or tenderness;agitation;chest pain or discomfort;clay-colored stools;cough with mucus;confusion;dark urine;decreased appetite;decreased urination;depression;diarrhea;dizziness;dry mouth;fainting;fast or irregular heartbeat;general feeling of discomfort or illness;headache;hives, itching, or skin rash;hoarseness;hostility;increased sweating;increased thirst;irritation;joint pain, stiffness or swelling;lightheadedness;loss of appetite;muscle aches, pains, or twitching;nausea or vomiting;numbness or tingling in the hands, feet, or lips;rapid breathing;rapid weight gain;redness of the skin;runny nose;seizures;shivering;sneezing;sunken eyes;swelling of the eyelids, face, lips, hands, or feet;thirst;trouble sleeping;trouble swallowing;weakness or heaviness of the legs;wrinkled skin;blistering, peeling, loosening of the skin;bloating;blue lips, fingernails, or skin;chest pain, possibly moving to the left arm, neck, or shoulder;constipation;coughing that sometimes produces a pink frothy sputum;difficult, noisy breathing, sometimes with wheezing;indigestion;irregular, fast or slow, or shallow breathing;pains in the stomach, side, or abdomen, possibly radiating to the back;puffiness or swelling of the eyelids or around the eyes, face, lips or tongue;red, irritated eyes;vomiting of blood or material that looks like coffee grounds;yellow eyes or skin;back pain;difficulty with moving;lack or loss of strength;muscle stiffness;stuffy nose;blemishes on the skin;burning feeling in the chest or stomach;change in taste;hearing loss;loss of taste;muscle cramping;pimples;ringing, buzzing, or other unexplained noise in the ears that continues;stomach upset;tenderness in the stomach area;flaking and falling off of the skin",,,,,,,,
9,9,Iclusig,,,,,,,,,,,"bladder pain;bleeding gums;bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;chest pain;chills;cloudy urine;confusion;constipation;cough or hoarseness;coughing up blood;decreased urine output;difficult, burning, or painful urination;difficulty with breathing or swallowing;dilated neck veins;dizziness;extreme fatigue;fainting;frequent urge to urinate;increased menstrual flow or vaginal bleeding;indigestion;irregular breathing;joint pain, stiffness, or swelling;lightheadedness;lower back, side, or stomach pain;nervousness;nosebleeds;pains in the chest, groin, or legs, especially calves of the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;paralysis;pinpoint red spots on the skin;pounding in the ears;prolonged bleeding from cuts;rapid weight gain;rapid, shallow breathing;red or black, tarry stools;red or dark brown urine;severe headaches of sudden onset;slow or fast heartbeat;sore throat;sudden loss of coordination;sudden shortness of breath;sudden slurred speech;sudden vision changes;tingling of the hands or feet;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual weight gain or loss;anxiety;burning, numbness, tingling, or painful sensations;chest pain or discomfort;fast, pounding, or irregular heartbeat or pulse;pain, redness, or swelling in the arms or legs;sudden shortness of breath;unsteadiness or awkwardness;weakness in the arms, hands, legs, or feet;abdominal or stomach cramps or tenderness;blue-green halos seen around objects;clay-colored stools;dark urine;decreased appetite;diarrhea;dry eyes;fever;headache;itching or skin rash;loss of appetite;nausea and vomiting;sensitivity of the eyes to light;severe vomiting, sometimes with blood;unusual tiredness or weakness;yellow eyes or skin;back or bone pain;cracked lips;difficulty having a bowel movement (stool);difficulty with moving;dry skin;itching, pain, redness, swelling, tenderness, or warmth on the skin;lack or loss of strength;muscle aches;muscle pain or stiffness;sore throat;stuffy or runny nose;trouble sleeping",,,,,,,,
