,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Casodex,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine;blurred vision;body aches or pain;congestion;cough or hoarseness;cough producing mucus;difficult or labored breathing;dizziness;dryness or soreness of the throat;fever or chills;headache;lower back or side pain;nervousness;painful or difficult urination;pounding in the ears;rapid weight gain;runny nose;shortness of breath;slow or fast heartbeat;sweating;tender, swollen glands in the neck;tightness in the chest;tingling of the hands or feet;trouble with swallowing;unusual weight gain or loss;voice changes;wheezing;abnormal growth filled with fluid or semisolid material;ankle, knee, or great toe joint pain;arm, back, or jaw pain;bleeding from the rectum or bloody stools;blindness;bloody nose;burning while urinating;burning, tingling, numbness, or pain in the hands, arms, feet, or legs;change in bowel habits;chest pain or discomfort;chest tightness or heaviness;chills;confusion;decrease in frequency of urination;decrease in urine volume;decreased vision;difficulty in passing urine (dribbling);difficulty with swallowing or eating;dilated neck veins;dry mouth;fainting;fast or irregular heartbeat;fever;irregular breathing;joint stiffness or swelling;lightheadedness;loss of appetite;lump or swelling in the abdomen;nausea;no blood pressure or pulse;noisy breathing;pain in the neck;pain or discomfort in the arms, jaw, back, or neck;painful blisters on trunk of the body;persistent non-healing sore;rapid, shallow breathing;reddish patch or irritated area;sensation of pins and needles;shiny bump;stabbing pain;stomach discomfort;stopping of heart;sunken eyes;swelling of the face, fingers, feet, or lower legs;thirst;tumor;unconsciousness;unexplained weight loss;unusual tiredness or weakness;vomiting;weight gain;white, yellow or waxy scar-like area;wrinkled skin;yellow skin or eyes;hives or welts;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;redness of the skin;skin rash;acid or sour stomach;belching;breast pain;constipation;decreased interest in sexual intercourse;diarrhea;difficulty with moving;dry skin;hair loss or thinning of the hair;heartburn;inability to have or keep an erection;indigestion;lack or loss of strength;leg cramps;loss in sexual ability, desire, drive, or performance;loss of strength or energy;muscle aching or cramping;muscle pain or weakness;nervousness;pain in the pelvis;pain or tenderness around the eyes and cheekbones;passing of gas;sleepiness or unusual drowsiness;stomach pain, fullness, or discomfort;stuffy or runny nose;swelling of the breasts or breast soreness in both females and males",,,,,,,,
1,1,bicalutamide,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine;blurred vision;body aches or pain;congestion;cough or hoarseness;cough producing mucus;difficult or labored breathing;dizziness;dryness or soreness of the throat;fever or chills;headache;lower back or side pain;nervousness;painful or difficult urination;pounding in the ears;rapid weight gain;runny nose;shortness of breath;slow or fast heartbeat;sweating;tender, swollen glands in the neck;tightness in the chest;tingling of the hands or feet;trouble with swallowing;unusual weight gain or loss;voice changes;wheezing;abnormal growth filled with fluid or semisolid material;ankle, knee, or great toe joint pain;arm, back, or jaw pain;bleeding from the rectum or bloody stools;blindness;bloody nose;burning while urinating;burning, tingling, numbness, or pain in the hands, arms, feet, or legs;change in bowel habits;chest pain or discomfort;chest tightness or heaviness;chills;confusion;decrease in frequency of urination;decrease in urine volume;decreased vision;difficulty in passing urine (dribbling);difficulty with swallowing or eating;dilated neck veins;dry mouth;fainting;fast or irregular heartbeat;fever;irregular breathing;joint stiffness or swelling;lightheadedness;loss of appetite;lump or swelling in the abdomen;nausea;no blood pressure or pulse;noisy breathing;pain in the neck;pain or discomfort in the arms, jaw, back, or neck;painful blisters on trunk of the body;persistent non-healing sore;rapid, shallow breathing;reddish patch or irritated area;sensation of pins and needles;shiny bump;stabbing pain;stomach discomfort;stopping of heart;sunken eyes;swelling of the face, fingers, feet, or lower legs;thirst;tumor;unconsciousness;unexplained weight loss;unusual tiredness or weakness;vomiting;weight gain;white, yellow or waxy scar-like area;wrinkled skin;yellow skin or eyes;hives or welts;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;redness of the skin;skin rash;acid or sour stomach;belching;breast pain;constipation;decreased interest in sexual intercourse;diarrhea;difficulty with moving;dry skin;hair loss or thinning of the hair;heartburn;inability to have or keep an erection;indigestion;lack or loss of strength;leg cramps;loss in sexual ability, desire, drive, or performance;loss of strength or energy;muscle aching or cramping;muscle pain or weakness;nervousness;pain in the pelvis;pain or tenderness around the eyes and cheekbones;passing of gas;sleepiness or unusual drowsiness;stomach pain, fullness, or discomfort;stuffy or runny nose;swelling of the breasts or breast soreness in both females and males",,,,,,,,
2,2,Lupron,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
3,3,Zytiga,,,,,,,,,,,"bladder pain;bloating or swelling of the face, arms, hands, lower legs, or feet;bloody or cloudy urine;blurred vision;bone fracture;chest pain or discomfort;convulsions;decreased urine;difficult, burning, or painful urination;dizziness;dry mouth;fainting;fast, pounding, or irregular heartbeat or pulse;feeling of warmth;frequent urge to urinate;headache;increased need to urinate;increased thirst;increased urge to urinate during the night;lightheadedness, dizziness, or fainting;loss of appetite;lower back or side pain;mood changes;muscle pain or cramps;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;pain or swelling in the arms or legs without any injury;passing urine more often;pounding in the ears;rapid weight gain;redness of the face, neck, arms, and occasionally, upper chest;shortness of breath;slow heartbeat;sudden sweating;swelling;swelling with pits or depressions on the skin;unusual tiredness or weakness;unusual weight gain or loss;waking to urinate at night;abdominal or stomach pain or tenderness;arm, back, or jaw pain;chest tightness or heaviness;clay colored stools;cool, sweaty skin;dark urine;decreased appetite;decreased urine output;difficulty with breathing;dilated neck veins;extreme fatigue;fever;headache;irregular breathing;itching skin;rash;sweating;swelling of the face, fingers, feet, or lower legs;weakness;weight gain;wheezing;yellow eyes or skin;darkening of the skin;diarrhea;mental depression;acid or sour stomach;belching;body aches or pain;chills;cough;difficulty with moving;ear congestion;heartburn;indigestion;joint pain;loss of voice;muscle cramps or spasms;muscle or bone pain;muscle stiffness;nasal congestion;runny nose;sneezing;sore throat;stomach discomfort or upset;swelling or stiffness of the joints",,,,,,,,
4,4,Lupron Depot,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
5,5,Xtandi,,,,,,,,,,,"back pain;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine;blurred vision;chest pain;cough with mucus;difficulty with breathing;dizziness;fever or chills;loss of bladder or bowel control;nervousness;painful or difficult urination;pounding in the ears;slow or fast heartbeat;sore throat;tingling of the hands or feet;unable to move the legs;unusual weight gain or loss;anxiety;confusion or excitement;depression;fainting;falling;lightheadedness;loss of memory;memory or attention span problems;nightmares or vivid dreams;rapid, shallow breathing;seizures;body aches or pain;bone pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;dry throat;ear congestion;feeling of constant movement of self or surroundings;feeling of warmth;hoarseness;joint pain;lack or loss of strength;loss of voice;muscle pain, stiffness, or weakness;pain or tenderness around the eyes and cheekbones;redness of the face, neck, arms, and upper chest;sensation of spinning;stuffy or runny nose;tender, swollen glands in the neck;trouble sleeping;trouble with swallowing;unusual tiredness or weakness;bloody nose;dry skin;frequent urination;itching skin;pale-colored urine",,,,,,,,
6,6,Zoladex,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;changes in skin color of the face;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;pain in the chest;pain in the groin or legs (especially in the calves of the legs);sudden sweating and feelings of warmth (also called hot flashes);blurred vision;burning, itching, redness, or swelling at the place of injection;decreased interest in sexual intercourse;dizziness;headache;nausea or vomiting;swelling and increased tenderness of the breasts;swelling of the feet or lower legs;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;bone pain;constipation;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
7,7,Eligard,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
8,8,Firmagon,,,,,,,,,,,"back pain;blurred vision;dizziness;fever;flushing or redness of the skin;hard lump;headache;nervousness;pain;pounding in the ears;slow or fast heartbeat;small lumps under the skin;swelling;unusually warm skin;bladder pain;bloody or cloudy urine;chills;decrease in testicle size;decreased interest in sexual intercourse;difficult, burning, or painful urination;difficulty in moving;frequent urge to urinate;inability to have or keep an erection;increased sweating;loss in sexual ability, desire, drive, or performance;lower back or side pain;muscle pain or stiffness;pain in the joints;chest pain or discomfort;fainting;irregular heartbeat;pounding heartbeat;shortness of breath;difficulty having a bowel movement (stool);feeling of warmth;increased weight;redness of the face, neck, arms, and occasionally, upper chest;sudden sweating;unusual tiredness or weakness;diarrhea;lack or loss of strength;nausea;night sweats;sleeplessness;swelling of the breasts or breast soreness;trouble sleeping;unable to sleep",,,,,,,,
9,9,Taxotere,,,,,,,,,,,"burning, numbness, tingling, or pain in the arms, hands, legs, or feet;swelling of the stomach, face, fingers, hands, feet, or lower legs;unusual tiredness or weakness;weight gain;black, tarry stools;blood in the urine or stools;cough or hoarseness (accompanied by fever or chills);difficult or labored breathing;difficult or painful urination (accompanied by fever or chills);difficulty with swallowing;dizziness;fast heartbeat;fever or chills;hives or skin rash;itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;lower back or side pain (accompanied by fever or chills);noisy, rattling breathing;pinpoint red spots on the skin;red, scaly, swollen, or peeling areas of the skin (severe);tightness in the chest;troubled breathing while at rest;unusual bleeding or bruising;chest pain or discomfort;decreased blood pressure;fast or irregular heartbeat;increased blood pressure;congestion;diarrhea;dryness or soreness of the throat;nausea;skin rash or redness (mild);sores or ulcers on the lips or tongue or inside the mouth;weakness in the arms, hands, legs, or feet;bloody nose;body aches or pain;change in the color of the fingernails or toenails;dry, red, hot, or irritated skin at the injection site;headache;hoarseness;loosening or loss of the fingernails or toenails, sometimes painful;pain in the joints or muscles;pain, swelling, or lump under the skin at the injection site;runny nose;tender, swollen glands in the neck;voice changes;vomiting;burning, dry, or itching eyes;burning upper abdominal or stomach pain;confusion;difficulty having a bowel movement (stool);discharge from the eyes;excessive tearing;pain and redness of the skin at the place of earlier radiation treatment;rapid breathing;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;sunken eyes;tearing of the eyes;wrinkled skin",,,,,,,,
