,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,baclofen,,,,,,,,,,,"bloody or dark urine;chest pain;fainting;hallucinations (seeing or hearing things that are not there);mental depression or other mood changes;ringing or buzzing in the ears;skin rash or itching;blurred or double vision;convulsions (seizures);muscle weakness (severe);shortness of breath or unusually slow or troubled breathing;vomiting;confusion;dizziness or lightheadedness;drowsiness;nausea;unusual weakness, especially muscle weakness;abdominal or stomach pain or discomfort;clumsiness, unsteadiness, trembling, or other problems with muscle control;constipation;diarrhea;difficult or painful urination or decrease in amount of urine;false sense of well-being;frequent urge to urinate or uncontrolled urination;headache;loss of appetite;low blood pressure;muscle or joint pain;numbness or tingling in hands or feet;pounding heartbeat;sexual problems in males;slurred speech or other speech problems;stuffy nose;swelling of ankles;trouble in sleeping;unexplained muscle stiffness;unusual excitement;unusual tiredness;weight gain;convulsions (seizures);hallucinations (seeing or hearing things that are not there);increase in muscle spasm, cramping, or tightness;mood or mental changes;unusual nervousness or restlessness;or",,,,,,,,
1,1,Botox,,,,,,,,,,,"difficulty with swallowing;difficulty with breathing or speaking;muscle weakness;dryness of the eyes;inability to close the eyelids completely;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;frequent urge to urinate;lower back or side pain;decreased blinking;irritation of the cornea (colored portion) of the eyes;turning outward or inward of the edge of the eyelids;swelling of the eyelids;blue or purplish bruise on the eyelids;drooping of the upper eyelids;irritation or watering of the eyes;sensitivity of the eyes to light;body aches or pain;chills;cough, fever, sneezing, or sore throat;ear congestion;headache;loss of voice;nasal congestion;neck pain;runny nose;unusual tiredness or weakness;neck pain;body aches or pain;chills;congestion;cough;diarrhea;dryness or soreness of the throat;fear;fever;general feeling of discomfort or illness;headache;heavy bleeding from the place where shot was given;itching skin;joint pain;loss of appetite;nausea;nervousness;painful or difficult urination;runny nose;shivering;sweating;tender, swollen glands in the neck;trouble sleeping;trouble swallowing;voice changes;vomiting;drooping of the upper eyelid;eye pointing upward or downward instead of straight ahead;pain in the arms;skin rash;swelling of the eyelid skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;blurred vision;body aches or pain;cough producing mucus;difficulty breathing;dizziness;drooping of the upper eyelid;headache;muscle aches and pains;nervousness;pounding in the ears;slow or fast heartbeat;tightness in the chest;difficulty finding the location of objects;double vision;back pain;body aches or pain;chills;cough;difficulty in breathing;ear congestion;fever;headache;loss of voice;nasal congestion;sneezing;sore throat;unusual tiredness or weakness;cough producing mucus;difficulty breathing;muscle weakness;nausea;tightness in the chest;weakness",,,,,,,,
2,2,lorazepam,,,,,,,,,,,"drowsiness;relaxed and calm;sleepiness;abdominal or stomach pain;aggressive, angry;agitation;anxiety;attack, assault, or force;black, tarry stools;bleeding gums;blood in urine or stools;bluish lips or skin;blurred vision;change in consciousness;chills;coma;confusion;confusion about identity, place, and time;convulsions;cough or hoarseness;dark urine;decreased urine output;difficulty in breathing and/or swallowing;difficulty in speaking;discouragement;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drooling;dry mouth;excitation;false or unusual sense of well-being;fast or irregular heartbeat;fear or nervousness;feeling sad or empty;fever with or without chills;general feeling of tiredness or weakness;headache;hives;hyperventilation;increased thirst;irregular, fast or slow, or shallow breathing;irritability;itching;loss of appetite;loss of balance control;loss of consciousness;loss of interest or pleasure;loss of memory;lower back or side pain;muscle pain or cramps;muscle trembling, jerking, or stiffness;nausea or vomiting;not breathing;painful or difficult urination;pale or blue lips, fingernails, or skin;pinpoint red spots on skin;problems with memory;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;reddening of the skin, especially around ears;restlessness;seeing, hearing, or feeling things that are not there;seizures;shaking;shortness of breath;shuffling walk;sleeplessness;sore throat;sores, ulcers, or white spots on lips or in mouth;stiffness of limbs;sweating;swelling of eyes or inside of nose;swelling of face, ankles, or hands;swollen glands;thoughts or attempts at killing oneself;tightness in chest;trouble concentrating;trouble sleeping;twisting movements of body;unable to sleep;uncontrolled movements, especially of face, neck, and back;unexplained bleeding or bruising;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood;wheezing;yellow eyes or skin;changes in patterns and rhythms of speech;increased sweating;loss of strength or energy;low blood pressure;nightmares;shakiness and unsteady walk;slurred speech;trouble in speaking;unsteadiness, trembling, or other problems with muscle control or coordination;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusual excitement, nervousness, restlessness, or irritability;unusual paleness unusual weak feeling;being forgetful;clumsiness;constipation;decreased interest in sexual intercourse;disturbed color perception;dizziness or lightheadedness;double vision;drowsiness;feeling of constant movement of self or surroundings;hair loss, thinning of hair;halos around lights;hostility;inability to have or keep an erection;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;lack or loss of self-control;lethargy;loss in sexual ability, desire, drive, or performance;low body temperature;muscle aches;muscle twitching;muscle weakness;night blindness;overbright appearance of lights;rapid weight gain;sensation of spinning;shakiness in legs, arms, hands, or feet;shivering;sleepiness;stupor;trembling or shaking of hands or feet;tunnel vision;weak or feeble pulse;or",,,,,,,,
3,3,Lioresal,,,,,,,,,,,"bloody or dark urine;chest pain;fainting;hallucinations (seeing or hearing things that are not there);mental depression or other mood changes;ringing or buzzing in the ears;skin rash or itching;blurred or double vision;convulsions (seizures);muscle weakness (severe);shortness of breath or unusually slow or troubled breathing;vomiting;confusion;dizziness or lightheadedness;drowsiness;nausea;unusual weakness, especially muscle weakness;abdominal or stomach pain or discomfort;clumsiness, unsteadiness, trembling, or other problems with muscle control;constipation;diarrhea;difficult or painful urination or decrease in amount of urine;false sense of well-being;frequent urge to urinate or uncontrolled urination;headache;loss of appetite;low blood pressure;muscle or joint pain;numbness or tingling in hands or feet;pounding heartbeat;sexual problems in males;slurred speech or other speech problems;stuffy nose;swelling of ankles;trouble in sleeping;unexplained muscle stiffness;unusual excitement;unusual tiredness;weight gain;convulsions (seizures);hallucinations (seeing or hearing things that are not there);increase in muscle spasm, cramping, or tightness;mood or mental changes;unusual nervousness or restlessness;or",,,,,,,,
4,4,Dysport,,,,,,,,,,,"difficulty with swallowing or speaking;hoarseness;muscle or bone pain;muscle weakness;sore throat;voice changes;blistering, burning, crusting, dryness, or flaking of the skin;body aches or pain;chills;cough;cough producing mucus;diarrhea;difficult or labored breathing;ear congestion;fever;general feeling of discomfort or illness;headache;itching, scaling, severe redness, soreness, or swelling of the skin;joint pain;loss of appetite;loss of voice;muscle aches and pains;nausea;shivering;sneezing;stiff muscles;stuffy or runny nose;sweating;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;flushing or redness of the skin;partial or slight paralysis of the face;unusually warm skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;blurred vision;decreased vision;double vision;dry eyes;dry mouth;eye pain;itching of the eyes;problems with focusing the eyes;seeing double;dizziness;drooping upper eyelids;pain or tenderness around the eyes and cheekbones;swelling of the eyelids;change in color vision;difficulty seeing at night;dizziness or lightheadedness;feeling of constant movement of self or surroundings;increased sensitivity of the eyes to sunlight;sensation of spinning",,,,,,,,
5,5,Xeomin,,,,,,,,,,,"difficulty with swallowing;muscle or bone pain;muscle weakness;pain in the neck;dry eyes;itching, pain, redness, or swelling at the injection site;pain in the face;swelling of the eyelids;changes in patterns and rhythms of speech;fast heartbeat;fever;hives, itching, or rash;hoarseness;irritation;joint pain, stiffness, or swelling;muscle spasm;pain at the injection site;redness of the skin;slurred speech;swelling of the eyes or eyelids;swelling of the face, lips, hands, or feet;tightness in the chest;trouble with speaking;troubled breathing or swallowing;chills;cough;lower back or side pain;painful or difficult urination;blurred vision;diarrhea;drooping upper eyelids;dry mouth;headache;difficult or labored breathing;muscle aches;sneezing;sore throat;stuffy or runny nose;unusual tiredness or weakness;dry mouth;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;drooping of the eyelids;increased blinking;twitching of the eyelids;difficulty with moving;joint pain;muscle aching or cramping;muscle pains or stiffness;nausea;painful blisters on the trunk of the body;swollen joints",,,,,,,,
6,6,Kemstro,,,,,,,,,,,"bloody or dark urine;chest pain;fainting;hallucinations (seeing or hearing things that are not there);mental depression or other mood changes;ringing or buzzing in the ears;skin rash or itching;blurred or double vision;convulsions (seizures);muscle weakness (severe);shortness of breath or unusually slow or troubled breathing;vomiting;confusion;dizziness or lightheadedness;drowsiness;nausea;unusual weakness, especially muscle weakness;abdominal or stomach pain or discomfort;clumsiness, unsteadiness, trembling, or other problems with muscle control;constipation;diarrhea;difficult or painful urination or decrease in amount of urine;false sense of well-being;frequent urge to urinate or uncontrolled urination;headache;loss of appetite;low blood pressure;muscle or joint pain;numbness or tingling in hands or feet;pounding heartbeat;sexual problems in males;slurred speech or other speech problems;stuffy nose;swelling of ankles;trouble in sleeping;unexplained muscle stiffness;unusual excitement;unusual tiredness;weight gain;convulsions (seizures);hallucinations (seeing or hearing things that are not there);increase in muscle spasm, cramping, or tightness;mood or mental changes;unusual nervousness or restlessness;or",,,,,,,,
7,7,onabotulinumtoxinA,,,,,,,,,,,"difficulty with swallowing;difficulty with breathing or speaking;muscle weakness;dryness of the eyes;inability to close the eyelids completely;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;frequent urge to urinate;lower back or side pain;decreased blinking;irritation of the cornea (colored portion) of the eyes;turning outward or inward of the edge of the eyelids;swelling of the eyelids;blue or purplish bruise on the eyelids;drooping of the upper eyelids;irritation or watering of the eyes;sensitivity of the eyes to light;body aches or pain;chills;cough, fever, sneezing, or sore throat;ear congestion;headache;loss of voice;nasal congestion;neck pain;runny nose;unusual tiredness or weakness;neck pain;body aches or pain;chills;congestion;cough;diarrhea;dryness or soreness of the throat;fear;fever;general feeling of discomfort or illness;headache;heavy bleeding from the place where shot was given;itching skin;joint pain;loss of appetite;nausea;nervousness;painful or difficult urination;runny nose;shivering;sweating;tender, swollen glands in the neck;trouble sleeping;trouble swallowing;voice changes;vomiting;drooping of the upper eyelid;eye pointing upward or downward instead of straight ahead;pain in the arms;skin rash;swelling of the eyelid skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;blurred vision;body aches or pain;cough producing mucus;difficulty breathing;dizziness;drooping of the upper eyelid;headache;muscle aches and pains;nervousness;pounding in the ears;slow or fast heartbeat;tightness in the chest;difficulty finding the location of objects;double vision;back pain;body aches or pain;chills;cough;difficulty in breathing;ear congestion;fever;headache;loss of voice;nasal congestion;sneezing;sore throat;unusual tiredness or weakness;cough producing mucus;difficulty breathing;muscle weakness;nausea;tightness in the chest;weakness",,,,,,,,
8,8,Myobloc,,,,,,,,,,,"difficulty with swallowing;infection;neck pain;uncontrolled twisting movements of the neck;difficulty with breathing or speaking;muscle weakness;acid or sour stomach;back pain;belching;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;cough;difficulty with moving;dizziness;dry mouth;flu-like syndrome;headache;heartburn or indigestion;lack or loss of strength or energy;muscle pain, stiffness, or weakness;nausea;pain, swelling, or redness in the joints;stomach discomfort, upset, or pain",,,,,,,,
9,9,botulinum toxin type b,,,,,,,,,,,"difficulty with swallowing;infection;neck pain;uncontrolled twisting movements of the neck;difficulty with breathing or speaking;muscle weakness;acid or sour stomach;back pain;belching;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;cough;difficulty with moving;dizziness;dry mouth;flu-like syndrome;headache;heartburn or indigestion;lack or loss of strength or energy;muscle pain, stiffness, or weakness;nausea;pain, swelling, or redness in the joints;stomach discomfort, upset, or pain",,,,,,,,
10,10,abobotulinumtoxinA,,,,,,,,,,,"difficulty with swallowing or speaking;hoarseness;muscle or bone pain;muscle weakness;sore throat;voice changes;blistering, burning, crusting, dryness, or flaking of the skin;body aches or pain;chills;cough;cough producing mucus;diarrhea;difficult or labored breathing;ear congestion;fever;general feeling of discomfort or illness;headache;itching, scaling, severe redness, soreness, or swelling of the skin;joint pain;loss of appetite;loss of voice;muscle aches and pains;nausea;shivering;sneezing;stiff muscles;stuffy or runny nose;sweating;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;flushing or redness of the skin;partial or slight paralysis of the face;unusually warm skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;blurred vision;decreased vision;double vision;dry eyes;dry mouth;eye pain;itching of the eyes;problems with focusing the eyes;seeing double;dizziness;drooping upper eyelids;pain or tenderness around the eyes and cheekbones;swelling of the eyelids;change in color vision;difficulty seeing at night;dizziness or lightheadedness;feeling of constant movement of self or surroundings;increased sensitivity of the eyes to sunlight;sensation of spinning",,,,,,,,
11,11,incobotulinumtoxinA,,,,,,,,,,,"difficulty with swallowing;muscle or bone pain;muscle weakness;pain in the neck;dry eyes;itching, pain, redness, or swelling at the injection site;pain in the face;swelling of the eyelids;changes in patterns and rhythms of speech;fast heartbeat;fever;hives, itching, or rash;hoarseness;irritation;joint pain, stiffness, or swelling;muscle spasm;pain at the injection site;redness of the skin;slurred speech;swelling of the eyes or eyelids;swelling of the face, lips, hands, or feet;tightness in the chest;trouble with speaking;troubled breathing or swallowing;chills;cough;lower back or side pain;painful or difficult urination;blurred vision;diarrhea;drooping upper eyelids;dry mouth;headache;difficult or labored breathing;muscle aches;sneezing;sore throat;stuffy or runny nose;unusual tiredness or weakness;dry mouth;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;drooping of the eyelids;increased blinking;twitching of the eyelids;difficulty with moving;joint pain;muscle aching or cramping;muscle pains or stiffness;nausea;painful blisters on the trunk of the body;swollen joints",,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,
