,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Flagyl,,,,,,,,,,,"agitation;back pain;blindness;blurred vision;burning, numbness, tingling, or painful sensations in the hands or feet;changes in speech patterns;confusion;convulsions;decreased vision;depression;dizziness;drowsiness;eye pain;fever;hallucinations;headache;irritability;lack of coordination;nausea;seizures;shakiness and unsteady walk;slurred speech;stiff neck or back;trouble speaking;unsteadiness, trembling, or other problems with muscle control or coordination;unusual tiredness or weakness;vomiting;weakness in the arms, hands, legs, or feet;black, tarry stools;blood in the urine or stools;body aches or pain;chills;clumsiness or unsteadiness;difficulty with breathing;ear congestion;feeling of pelvic pressure;frequent or painful urination;loss of voice;nasal congestion;pinpoint red spots on the skin;runny nose;skin rash, hives, redness, or itching;sneezing;stomach and back pain (severe);unusual bleeding or bruising;vaginal irritation, discharge, or dryness not present before taking the medicine;bleeding gums;bloating;chest pain;constipation;cough;dark-colored urine;fast heartbeat;indigestion;loss of appetite;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;yellow eyes or skin;blistering, peeling, or loosening of the skin;bloody or cloudy urine;burning while urinating;continuing diarrhea;continuing stomach pain;diarrhea;feeling of warmth;increased volume of pale, dilute urine;joint or muscle pain;loss of bladder control;red skin lesions, often with a purple center;red, irritated eyes;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;abdominal or stomach cramps;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;sensation of spinning;trouble sleeping;weight loss;change in taste sensation;congestion;dry mouth;pain or tenderness around the eyes and cheekbones;tender, swollen glands in the neck;trouble with swallowing;unpleasant or sharp metallic taste;voice changes;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;painful sexual intercourse;or",,,,,,,,
1,1,vancomycin,,,,,,,,,,,"bladder pain;bloating or swelling of the face, arms, hands, lower legs, or feet;bloody or cloudy urine;convulsions;decreased urine;difficult, burning, or painful urination;dry mouth;fever;frequent urge to urinate;increased thirst;irregular heartbeat;loss of appetite;lower back or side pain;mood changes;muscle pain or cramps;nausea or vomiting;numbness or tingling in the hands, feet, or lips;rapid weight gain;shortness of breath;unusual tiredness or weakness;unusual weight gain or loss;change in the frequency of urination or amount of urine;difficulty with breathing;drowsiness;weakness;hives;redness or other discoloration of the skin;scaling or welting of the skin;skin rash;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blurred vision;chills;confusion;continuing ringing or buzzing or other unexplained noise in the ears;cough;diarrhea;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast heartbeat;feeling of constant movement of self or surroundings;feeling of fullness in the ears;hearing loss;itching;joint or muscle pain;loss of balance;lower back or side pain;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;ringing or buzzing in the ears;sensation of spinning;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sweating;tightness in the chest;troubled breathing with exertion;unusual bleeding or bruising;abdominal or stomach pain;back pain;bitter or unpleasant taste;excess air or gas in the stomach or intestines;headache;mouth irritation;passing gas;depression;difficulty having a bowel movement (stool);trouble sleeping;or",,,,,,,,
2,2,metronidazole,,,,,,,,,,,"agitation;back pain;blindness;blurred vision;burning, numbness, tingling, or painful sensations in the hands or feet;changes in speech patterns;confusion;convulsions;decreased vision;depression;dizziness;drowsiness;eye pain;fever;hallucinations;headache;irritability;lack of coordination;nausea;seizures;shakiness and unsteady walk;slurred speech;stiff neck or back;trouble speaking;unsteadiness, trembling, or other problems with muscle control or coordination;unusual tiredness or weakness;vomiting;weakness in the arms, hands, legs, or feet;black, tarry stools;blood in the urine or stools;body aches or pain;chills;clumsiness or unsteadiness;difficulty with breathing;ear congestion;feeling of pelvic pressure;frequent or painful urination;loss of voice;nasal congestion;pinpoint red spots on the skin;runny nose;skin rash, hives, redness, or itching;sneezing;stomach and back pain (severe);unusual bleeding or bruising;vaginal irritation, discharge, or dryness not present before taking the medicine;bleeding gums;bloating;chest pain;constipation;cough;dark-colored urine;fast heartbeat;indigestion;loss of appetite;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;yellow eyes or skin;blistering, peeling, or loosening of the skin;bloody or cloudy urine;burning while urinating;continuing diarrhea;continuing stomach pain;diarrhea;feeling of warmth;increased volume of pale, dilute urine;joint or muscle pain;loss of bladder control;red skin lesions, often with a purple center;red, irritated eyes;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;abdominal or stomach cramps;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;sensation of spinning;trouble sleeping;weight loss;change in taste sensation;congestion;dry mouth;pain or tenderness around the eyes and cheekbones;tender, swollen glands in the neck;trouble with swallowing;unpleasant or sharp metallic taste;voice changes;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;painful sexual intercourse;or",,,,,,,,
3,3,Dificid,,,,,,,,,,,"abdominal or stomach pain;bloating;bloody or black, tarry stools;chills;confusion;constipation;cough;drowsiness;fever;loss of appetite;lower back or side pain;muscle tremors;nausea;painful or difficult urination;pale skin;rapid, deep breathing;restlessness;severe constipation;shortness of breath;sore throat;stomach cramps;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;vomiting;vomiting of blood or material that looks like coffee grounds;abdominal or stomach distension or tenderness;acid or sour stomach;belching;blurred vision;difficulty with swallowing;dry mouth;excess air or gas in the stomach or intestines;flushed, dry skin;fruit-like breath odor;full feeling;heartburn;increased hunger;increased thirst;increased urination;indigestion;itching skin;passing gas;rash;stomach discomfort or upset;sweating;troubled breathing;unexplained weight loss;or",,,,,,,,
4,4,Vancocin,,,,,,,,,,,"bladder pain;bloating or swelling of the face, arms, hands, lower legs, or feet;bloody or cloudy urine;convulsions;decreased urine;difficult, burning, or painful urination;dry mouth;fever;frequent urge to urinate;increased thirst;irregular heartbeat;loss of appetite;lower back or side pain;mood changes;muscle pain or cramps;nausea or vomiting;numbness or tingling in the hands, feet, or lips;rapid weight gain;shortness of breath;unusual tiredness or weakness;unusual weight gain or loss;change in the frequency of urination or amount of urine;difficulty with breathing;drowsiness;weakness;hives;redness or other discoloration of the skin;scaling or welting of the skin;skin rash;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blurred vision;chills;confusion;continuing ringing or buzzing or other unexplained noise in the ears;cough;diarrhea;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast heartbeat;feeling of constant movement of self or surroundings;feeling of fullness in the ears;hearing loss;itching;joint or muscle pain;loss of balance;lower back or side pain;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;ringing or buzzing in the ears;sensation of spinning;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sweating;tightness in the chest;troubled breathing with exertion;unusual bleeding or bruising;abdominal or stomach pain;back pain;bitter or unpleasant taste;excess air or gas in the stomach or intestines;headache;mouth irritation;passing gas;depression;difficulty having a bowel movement (stool);trouble sleeping;or",,,,,,,,
5,5,fidaxomicin,,,,,,,,,,,"abdominal or stomach pain;bloating;bloody or black, tarry stools;chills;confusion;constipation;cough;drowsiness;fever;loss of appetite;lower back or side pain;muscle tremors;nausea;painful or difficult urination;pale skin;rapid, deep breathing;restlessness;severe constipation;shortness of breath;sore throat;stomach cramps;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;vomiting;vomiting of blood or material that looks like coffee grounds;abdominal or stomach distension or tenderness;acid or sour stomach;belching;blurred vision;difficulty with swallowing;dry mouth;excess air or gas in the stomach or intestines;flushed, dry skin;fruit-like breath odor;full feeling;heartburn;increased hunger;increased thirst;increased urination;indigestion;itching skin;passing gas;rash;stomach discomfort or upset;sweating;troubled breathing;unexplained weight loss;or",,,,,,,,
6,6,Metro,,,,,,,,,,,"agitation;back pain;blindness;blurred vision;burning, numbness, tingling, or painful sensations in the hands or feet;changes in speech patterns;confusion;convulsions;decreased vision;depression;dizziness;drowsiness;eye pain;fever;hallucinations;headache;irritability;lack of coordination;nausea;seizures;shakiness and unsteady walk;slurred speech;stiff neck or back;trouble speaking;unsteadiness, trembling, or other problems with muscle control or coordination;unusual tiredness or weakness;vomiting;weakness in the arms, hands, legs, or feet;black, tarry stools;blood in the urine or stools;body aches or pain;chills;clumsiness or unsteadiness;difficulty with breathing;ear congestion;feeling of pelvic pressure;frequent or painful urination;loss of voice;nasal congestion;pinpoint red spots on the skin;runny nose;skin rash, hives, redness, or itching;sneezing;stomach and back pain (severe);unusual bleeding or bruising;vaginal irritation, discharge, or dryness not present before taking the medicine;bleeding gums;bloating;chest pain;constipation;cough;dark-colored urine;fast heartbeat;indigestion;loss of appetite;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;yellow eyes or skin;blistering, peeling, or loosening of the skin;bloody or cloudy urine;burning while urinating;continuing diarrhea;continuing stomach pain;diarrhea;feeling of warmth;increased volume of pale, dilute urine;joint or muscle pain;loss of bladder control;red skin lesions, often with a purple center;red, irritated eyes;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;abdominal or stomach cramps;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;sensation of spinning;trouble sleeping;weight loss;change in taste sensation;congestion;dry mouth;pain or tenderness around the eyes and cheekbones;tender, swollen glands in the neck;trouble with swallowing;unpleasant or sharp metallic taste;voice changes;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;painful sexual intercourse;or",,,,,,,,
7,7,Vancocin HCl,,,,,,,,,,,"bladder pain;bloating or swelling of the face, arms, hands, lower legs, or feet;bloody or cloudy urine;convulsions;decreased urine;difficult, burning, or painful urination;dry mouth;fever;frequent urge to urinate;increased thirst;irregular heartbeat;loss of appetite;lower back or side pain;mood changes;muscle pain or cramps;nausea or vomiting;numbness or tingling in the hands, feet, or lips;rapid weight gain;shortness of breath;unusual tiredness or weakness;unusual weight gain or loss;change in the frequency of urination or amount of urine;difficulty with breathing;drowsiness;weakness;hives;redness or other discoloration of the skin;scaling or welting of the skin;skin rash;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blurred vision;chills;confusion;continuing ringing or buzzing or other unexplained noise in the ears;cough;diarrhea;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast heartbeat;feeling of constant movement of self or surroundings;feeling of fullness in the ears;hearing loss;itching;joint or muscle pain;loss of balance;lower back or side pain;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;ringing or buzzing in the ears;sensation of spinning;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sweating;tightness in the chest;troubled breathing with exertion;unusual bleeding or bruising;abdominal or stomach pain;back pain;bitter or unpleasant taste;excess air or gas in the stomach or intestines;headache;mouth irritation;passing gas;depression;difficulty having a bowel movement (stool);trouble sleeping;or",,,,,,,,
8,8,Flagyl IV,,,,,,,,,,,"agitation;back pain;blindness;blurred vision;burning, numbness, tingling, or painful sensations in the hands or feet;changes in speech patterns;confusion;convulsions;decreased vision;depression;dizziness;drowsiness;eye pain;fever;hallucinations;headache;irritability;lack of coordination;nausea;seizures;shakiness and unsteady walk;slurred speech;stiff neck or back;trouble speaking;unsteadiness, trembling, or other problems with muscle control or coordination;unusual tiredness or weakness;vomiting;weakness in the arms, hands, legs, or feet;black, tarry stools;blood in the urine or stools;body aches or pain;chills;clumsiness or unsteadiness;difficulty with breathing;ear congestion;feeling of pelvic pressure;frequent or painful urination;loss of voice;nasal congestion;pinpoint red spots on the skin;runny nose;skin rash, hives, redness, or itching;sneezing;stomach and back pain (severe);unusual bleeding or bruising;vaginal irritation, discharge, or dryness not present before taking the medicine;bleeding gums;bloating;chest pain;constipation;cough;dark-colored urine;fast heartbeat;indigestion;loss of appetite;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;yellow eyes or skin;blistering, peeling, or loosening of the skin;bloody or cloudy urine;burning while urinating;continuing diarrhea;continuing stomach pain;diarrhea;feeling of warmth;increased volume of pale, dilute urine;joint or muscle pain;loss of bladder control;red skin lesions, often with a purple center;red, irritated eyes;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;abdominal or stomach cramps;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;sensation of spinning;trouble sleeping;weight loss;change in taste sensation;congestion;dry mouth;pain or tenderness around the eyes and cheekbones;tender, swollen glands in the neck;trouble with swallowing;unpleasant or sharp metallic taste;voice changes;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;painful sexual intercourse;or",,,,,,,,
9,9,Flagyl 375,,,,,,,,,,,"agitation;back pain;blindness;blurred vision;burning, numbness, tingling, or painful sensations in the hands or feet;changes in speech patterns;confusion;convulsions;decreased vision;depression;dizziness;drowsiness;eye pain;fever;hallucinations;headache;irritability;lack of coordination;nausea;seizures;shakiness and unsteady walk;slurred speech;stiff neck or back;trouble speaking;unsteadiness, trembling, or other problems with muscle control or coordination;unusual tiredness or weakness;vomiting;weakness in the arms, hands, legs, or feet;black, tarry stools;blood in the urine or stools;body aches or pain;chills;clumsiness or unsteadiness;difficulty with breathing;ear congestion;feeling of pelvic pressure;frequent or painful urination;loss of voice;nasal congestion;pinpoint red spots on the skin;runny nose;skin rash, hives, redness, or itching;sneezing;stomach and back pain (severe);unusual bleeding or bruising;vaginal irritation, discharge, or dryness not present before taking the medicine;bleeding gums;bloating;chest pain;constipation;cough;dark-colored urine;fast heartbeat;indigestion;loss of appetite;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;yellow eyes or skin;blistering, peeling, or loosening of the skin;bloody or cloudy urine;burning while urinating;continuing diarrhea;continuing stomach pain;diarrhea;feeling of warmth;increased volume of pale, dilute urine;joint or muscle pain;loss of bladder control;red skin lesions, often with a purple center;red, irritated eyes;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;abdominal or stomach cramps;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;sensation of spinning;trouble sleeping;weight loss;change in taste sensation;congestion;dry mouth;pain or tenderness around the eyes and cheekbones;tender, swollen glands in the neck;trouble with swallowing;unpleasant or sharp metallic taste;voice changes;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;painful sexual intercourse;or",,,,,,,,
