,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,salicylic acid,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
1,1,Compound W,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
2,2,Duofilm,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
3,3,Wart Remover,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
4,4,Dr Scholl's Clear Away Wart Remover,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
5,5,fluorouracil,,,,,,,,,,,"diarrhea;heartburn;sores in mouth and on lips;black, tarry stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;nausea and vomiting (severe);painful or difficult urination, accompanied by fever or chills;stomach cramps;blood in urine or stools;pinpoint red spots on skin;unusual bleeding or bruising;chest pain;cough;shortness of breath;tingling of hands and feet, followed by pain, redness, and swelling;trouble with balance;loss of appetite;nausea and vomiting;skin rash and itching;weakness;dry or cracked skin;black, tarry stools;blood in urine or stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;or",,,,,,,,
6,6,Mediplast,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
7,7,Durasal,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
8,8,Occlusal-HP,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
9,9,Clear Away Wart Removal System,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
10,10,Acnex,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
11,11,Sal-Plant Gel,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
12,12,Duoplant,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
13,13,Sal-Acid Plasters,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
14,14,Salactic Film,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
15,15,Trans-Ver-Sal,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
16,16,Gordofilm,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
17,17,Tinamed Plantar,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
18,18,UltraSal-ER,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
19,19,Virasal,,,,,,,,,,,"skin irritation not present before use of this medicine (moderate or severe);difficult breathing;dryness and peeling of skin;fainting;hives or itching;redness of the skin;swelling of the eyes, face, lips, or tongue;tightness in the throat;unusually warm skin;confusion;diarrhea;dizziness;fast or deep breathing;headache (severe or continuing);hearing loss;lightheadedness;nausea;rapid breathing;ringing or buzzing in the ears (continuing);severe drowsiness;stomach pain;vomiting;skin irritation not present before use of this medicine (mild);stinging",,,,,,,,
20,20,silver nitrate,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,
