,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Aldara,,,,,,,,,,,"blisters on the skin;body aches or pain;chills;cough;difficulty with breathing;ear congestion;itching in the genital or other skin areas;loss of voice;open sores or scabs on the skin;pain or tenderness around the eyes and cheekbones;redness of the skin (severe);scaling;shortness of breath or troubled breathing;skin rash;sneezing;sore throat;stuffy or runny nose;tightness of the chest or wheezing;unusual tiredness or weakness;abdominal or stomach pain;ankle, knee, or great toe joint pain;bladder pain;bloody or cloudy urine;blurred vision;chest pain;cold flu-like symptoms;difficult, burning, or painful urination;dizziness;fainting;fast or irregular heartbeat;frequent urge to urinate;hoarseness;joint stiffness or swelling;lower back or side pain;lump in the abdomen or stomach;nervousness;persistent non-healing sore;pink growth on the skin;pounding in the ears;reddish patch or irritated area;severe headache;shiny bump on the skin;slow or fast heartbeat;swollen, painful, or tender lymph glands in the neck, armpit, or groin;white, yellow or waxy scar-like area;blue lips and fingernails;convulsions;coughing that sometimes produces a pink frothy sputum;dilated neck veins;extreme fatigue;fast, irregular, or pounding heartbeat;headache;irregular breathing;nausea or vomiting;pain in the shoulders, arms, jaw, or neck;slurred speech;sudden and severe inability to speak;suicide;sweating;swelling of the face, fingers, feet, or lower legs;temporary blindness;weakness in the arm or leg on one side of the body;weight gain;confusion;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;burning or stinging of the skin (mild);flaking of the skin;mild headache;pain, soreness, or tenderness of the skin (mild);rash;redness of the skin (mild);swelling at place of application;back pain;lightening of the treated skin",,,,,,,,
1,1,imiquimod,,,,,,,,,,,"blisters on the skin;body aches or pain;chills;cough;difficulty with breathing;ear congestion;itching in the genital or other skin areas;loss of voice;open sores or scabs on the skin;pain or tenderness around the eyes and cheekbones;redness of the skin (severe);scaling;shortness of breath or troubled breathing;skin rash;sneezing;sore throat;stuffy or runny nose;tightness of the chest or wheezing;unusual tiredness or weakness;abdominal or stomach pain;ankle, knee, or great toe joint pain;bladder pain;bloody or cloudy urine;blurred vision;chest pain;cold flu-like symptoms;difficult, burning, or painful urination;dizziness;fainting;fast or irregular heartbeat;frequent urge to urinate;hoarseness;joint stiffness or swelling;lower back or side pain;lump in the abdomen or stomach;nervousness;persistent non-healing sore;pink growth on the skin;pounding in the ears;reddish patch or irritated area;severe headache;shiny bump on the skin;slow or fast heartbeat;swollen, painful, or tender lymph glands in the neck, armpit, or groin;white, yellow or waxy scar-like area;blue lips and fingernails;convulsions;coughing that sometimes produces a pink frothy sputum;dilated neck veins;extreme fatigue;fast, irregular, or pounding heartbeat;headache;irregular breathing;nausea or vomiting;pain in the shoulders, arms, jaw, or neck;slurred speech;sudden and severe inability to speak;suicide;sweating;swelling of the face, fingers, feet, or lower legs;temporary blindness;weakness in the arm or leg on one side of the body;weight gain;confusion;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;burning or stinging of the skin (mild);flaking of the skin;mild headache;pain, soreness, or tenderness of the skin (mild);rash;redness of the skin (mild);swelling at place of application;back pain;lightening of the treated skin",,,,,,,,
2,2,Condylox,,,,,,,,,,,"bad odor (solution only);bleeding of treated skin;blistering, crusting, or scabbing of treated skin;bloody urine (solution only);burning feeling of treated skin;dizziness (solution only);headache (gel only);itching of treated skin;pain during sexual intercourse (solution only);pain of treated skin;problems with foreskin of penis (solution only);redness or swelling of treated skin;scarring of treated skin (solution only);skin ulcers of treated skin;vomiting (solution only);nausea;vomiting;diarrhea;chills;fever;sore throat;unusual bleeding or bruising;oral ulcers;dryness of treated skin;peeling of treated skin;soreness or tenderness of treated skin;stinging or tingling of treated skin;trouble in sleeping (solution only);changes in color of treated skin (gel only);skin rash (gel only)",,,,,,,,
3,3,podofilox,,,,,,,,,,,"bad odor (solution only);bleeding of treated skin;blistering, crusting, or scabbing of treated skin;bloody urine (solution only);burning feeling of treated skin;dizziness (solution only);headache (gel only);itching of treated skin;pain during sexual intercourse (solution only);pain of treated skin;problems with foreskin of penis (solution only);redness or swelling of treated skin;scarring of treated skin (solution only);skin ulcers of treated skin;vomiting (solution only);nausea;vomiting;diarrhea;chills;fever;sore throat;unusual bleeding or bruising;oral ulcers;dryness of treated skin;peeling of treated skin;soreness or tenderness of treated skin;stinging or tingling of treated skin;trouble in sleeping (solution only);changes in color of treated skin (gel only);skin rash (gel only)",,,,,,,,
4,4,Zyclara,,,,,,,,,,,"blisters on the skin;body aches or pain;chills;cough;difficulty with breathing;ear congestion;itching in the genital or other skin areas;loss of voice;open sores or scabs on the skin;pain or tenderness around the eyes and cheekbones;redness of the skin (severe);scaling;shortness of breath or troubled breathing;skin rash;sneezing;sore throat;stuffy or runny nose;tightness of the chest or wheezing;unusual tiredness or weakness;abdominal or stomach pain;ankle, knee, or great toe joint pain;bladder pain;bloody or cloudy urine;blurred vision;chest pain;cold flu-like symptoms;difficult, burning, or painful urination;dizziness;fainting;fast or irregular heartbeat;frequent urge to urinate;hoarseness;joint stiffness or swelling;lower back or side pain;lump in the abdomen or stomach;nervousness;persistent non-healing sore;pink growth on the skin;pounding in the ears;reddish patch or irritated area;severe headache;shiny bump on the skin;slow or fast heartbeat;swollen, painful, or tender lymph glands in the neck, armpit, or groin;white, yellow or waxy scar-like area;blue lips and fingernails;convulsions;coughing that sometimes produces a pink frothy sputum;dilated neck veins;extreme fatigue;fast, irregular, or pounding heartbeat;headache;irregular breathing;nausea or vomiting;pain in the shoulders, arms, jaw, or neck;slurred speech;sudden and severe inability to speak;suicide;sweating;swelling of the face, fingers, feet, or lower legs;temporary blindness;weakness in the arm or leg on one side of the body;weight gain;confusion;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;burning or stinging of the skin (mild);flaking of the skin;mild headache;pain, soreness, or tenderness of the skin (mild);rash;redness of the skin (mild);swelling at place of application;back pain;lightening of the treated skin",,,,,,,,
5,5,sinecatechins,,,,,,,,,,,"blistering, peeling, or loosening of the skin;breakdown of skin;burning of skin;cracking of skin;flushing, redness of skin;hardening or thickening of skin;irritation of skin;itching skin;pain or discomfort in skin;swelling of skin;unusually warm skin;bleeding of skin;blood in urine;break in the skin, especially associated with blue-black discoloration, swelling, or drainage of fluid;burning or itching around anus;changes in skin coloring;discharge from skin;dryness of skin;increased frequency of urination;increased sensitivity to pain;increased sensitivity to touch;pain or burning during urination;peeling of one area of skin;pelvic pain;problems with foreskin of penis;rash with flat lesions or small raised lesions on the skin;scarring of skin;skin rash, encrusted, scaly and oozing;skin rash on the face;swollen, painful, or tender lymph glands in neck, armpit, or groin;tingling in the hands and feet",,,,,,,,
6,6,Veregen,,,,,,,,,,,"blistering, peeling, or loosening of the skin;breakdown of skin;burning of skin;cracking of skin;flushing, redness of skin;hardening or thickening of skin;irritation of skin;itching skin;pain or discomfort in skin;swelling of skin;unusually warm skin;bleeding of skin;blood in urine;break in the skin, especially associated with blue-black discoloration, swelling, or drainage of fluid;burning or itching around anus;changes in skin coloring;discharge from skin;dryness of skin;increased frequency of urination;increased sensitivity to pain;increased sensitivity to touch;pain or burning during urination;peeling of one area of skin;pelvic pain;problems with foreskin of penis;rash with flat lesions or small raised lesions on the skin;scarring of skin;skin rash, encrusted, scaly and oozing;skin rash on the face;swollen, painful, or tender lymph glands in neck, armpit, or groin;tingling in the hands and feet",,,,,,,,
7,7,Intron A,,,,,,,,,,,"depression;difficult or labored breathing;swelling or puffiness of the face;tightness in the chest;weight loss;back, leg, or stomach pains;bleeding, tender, or enlarged gums;bloody, black, or tarry stools;bloody nose;bloody or cloudy urine;blurred vision;change in personality;changes in behavior;chest pain, discomfort, or heaviness;chills;clay-colored stools;confusion as to time, place, or person;constipation;cough producing mucus;coughing or spitting up blood;dark urine;decreased urination;diarrhea;difficult or painful urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fainting;fast, slow, pounding, irregular, or racing heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever;hallucinations;headache;hearing loss;heavier menstrual periods;hives or rash;hoarseness or husky voice;inability to speak;increased thirst;increased urination;indigestion;irritability;itching, pain, redness, or swelling of the skin;light-colored stools;lightheadedness;loss of appetite;loss of consciousness;loss of hearing;lower back or side pain;metallic taste;muscle aches or cramps;nausea or vomiting;pale skin;passing of gas;pinpoint red spots on the skin;seizures;severe mood or mental changes;severe stomach pain with nausea and vomiting;slow speech;sneezing;sores, ulcers, or white spots on the lips or tongue or inside the mouth;stiffness of the limbs;stomach cramps, tenderness, or discomfort;stomach pain, continuing;stomach upset;sweating;swelling around the eyes;swelling of the face, fingers, hands, ankles, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thoughts of hurting or killing oneself;trouble sleeping;unusual behavior;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;yellowing of the eyes or skin;acid or sour stomach;bleeding gums;blistering, crusting, irritation, itching, or reddening of the skin;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste, or bad, unusual, or unpleasant (after) taste;cracked, dry, or scaly skin;hair loss or thinning of the hair;irritation in the mouth;joint pain;lack or loss of strength;loss of memory;muscle or bone pain;pain or tenderness around the eyes and cheekbones;poor concentration;problems with memory;redness and swelling of the gums;stuffy or runny nose;swollen joints;abnormal ejaculation;absent, missed, or irregular menstrual periods;bleeding, burning, inflammation, itching, or pain at the injection site;bone deformity;burning, itching, and pain in the hairy areas, pus at the root of the hair;burning, numbness, pain, or tingling in all fingers except smallest finger;cold and clammy skin;decrease in height;decreased interest in sexual intercourse;degenerative disease of the joint;difficulty with moving or walking;discoloration of the skin;inability to have or keep an erection;increased clear or white vaginal discharge;increased sensitivity of the skin to sunlight;itching or pain of the genital area;leg cramps;longer menstrual periods;loss in sexual ability, desire, drive, or performance;multiple swollen and inflamed skin lesions;pain in the ankles or knees;pain in the ribs;pain, inflammation, or swelling in the calves, shoulders, or hands;painful, red lumps under the skin, mostly on the legs;pelvic pain;rash with flat lesions or small raised lesions on the skin;red or irritated eyes;redness or swelling in the arms or legs;redness, tenderness, itching, burning, or peeling of the skin;severe sunburn;shivering;skin rash, encrusted, scaly, and oozing small lumps under the skin;small lumps under the skin;soreness of the muscles;stopping of menstrual bleeding;swelling or redness in the joints;tanning or blue-gray discoloration of the skin;tearing of the eyes;underactive reflexes;unexpected menstrual bleeding",,,,,,,,
8,8,Alferon N,,,,,,,,,,,,,,,,,,,
9,9,interferon alfa-2b,,,,,,,,,,,"depression;difficult or labored breathing;swelling or puffiness of the face;tightness in the chest;weight loss;back, leg, or stomach pains;bleeding, tender, or enlarged gums;bloody, black, or tarry stools;bloody nose;bloody or cloudy urine;blurred vision;change in personality;changes in behavior;chest pain, discomfort, or heaviness;chills;clay-colored stools;confusion as to time, place, or person;constipation;cough producing mucus;coughing or spitting up blood;dark urine;decreased urination;diarrhea;difficult or painful urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fainting;fast, slow, pounding, irregular, or racing heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever;hallucinations;headache;hearing loss;heavier menstrual periods;hives or rash;hoarseness or husky voice;inability to speak;increased thirst;increased urination;indigestion;irritability;itching, pain, redness, or swelling of the skin;light-colored stools;lightheadedness;loss of appetite;loss of consciousness;loss of hearing;lower back or side pain;metallic taste;muscle aches or cramps;nausea or vomiting;pale skin;passing of gas;pinpoint red spots on the skin;seizures;severe mood or mental changes;severe stomach pain with nausea and vomiting;slow speech;sneezing;sores, ulcers, or white spots on the lips or tongue or inside the mouth;stiffness of the limbs;stomach cramps, tenderness, or discomfort;stomach pain, continuing;stomach upset;sweating;swelling around the eyes;swelling of the face, fingers, hands, ankles, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thoughts of hurting or killing oneself;trouble sleeping;unusual behavior;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;yellowing of the eyes or skin;acid or sour stomach;bleeding gums;blistering, crusting, irritation, itching, or reddening of the skin;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste, or bad, unusual, or unpleasant (after) taste;cracked, dry, or scaly skin;hair loss or thinning of the hair;irritation in the mouth;joint pain;lack or loss of strength;loss of memory;muscle or bone pain;pain or tenderness around the eyes and cheekbones;poor concentration;problems with memory;redness and swelling of the gums;stuffy or runny nose;swollen joints;abnormal ejaculation;absent, missed, or irregular menstrual periods;bleeding, burning, inflammation, itching, or pain at the injection site;bone deformity;burning, itching, and pain in the hairy areas, pus at the root of the hair;burning, numbness, pain, or tingling in all fingers except smallest finger;cold and clammy skin;decrease in height;decreased interest in sexual intercourse;degenerative disease of the joint;difficulty with moving or walking;discoloration of the skin;inability to have or keep an erection;increased clear or white vaginal discharge;increased sensitivity of the skin to sunlight;itching or pain of the genital area;leg cramps;longer menstrual periods;loss in sexual ability, desire, drive, or performance;multiple swollen and inflamed skin lesions;pain in the ankles or knees;pain in the ribs;pain, inflammation, or swelling in the calves, shoulders, or hands;painful, red lumps under the skin, mostly on the legs;pelvic pain;rash with flat lesions or small raised lesions on the skin;red or irritated eyes;redness or swelling in the arms or legs;redness, tenderness, itching, burning, or peeling of the skin;severe sunburn;shivering;skin rash, encrusted, scaly, and oozing small lumps under the skin;small lumps under the skin;soreness of the muscles;stopping of menstrual bleeding;swelling or redness in the joints;tanning or blue-gray discoloration of the skin;tearing of the eyes;underactive reflexes;unexpected menstrual bleeding",,,,,,,,
