,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Linzess,,,,,,,,,,,"abdominal or stomach pain;severe diarrhea;heartburn;loss of appetite;nausea;vomiting;weakness;bleeding from the rectum;bloody, black, or tarry stools;confusion;cough;decreased urination;difficulty swallowing;dizziness;dry mouth;fainting;fast heartbeat;hives or welts, itching, or skin rash or redness;increase in heart rate;itching;lightheadedness;loss of bowel control;puffiness or swelling of the eyelids or around the eyes, face, lips or tongue;rapid breathing;shortness of breath;sunken eyes;thirst;tightness in chest;unusual tiredness or weakness;wrinkled skin;body aches or pain;chills;ear congestion;excess air or gas in the stomach or intestines;fever;full or bloated feeling;headache;loss of voice;passing gas;sneezing;sore throat;stuffy or runny nose;acid or sour stomach;belching;indigestion;pain or tenderness around the eyes and cheekbones;pressure in the stomach;stomach discomfort or upset;swelling of abdominal or stomach area",,,,,,,,
1,1,Amitiza,,,,,,,,,,,"diarrhea;full or bloated feeling or pressure in the stomach;nausea;stomach pain;swelling of the abdominal or stomach area;abdominal or stomach discomfort;black, tarry stools;blood in the stools;chest discomfort or pain;chills;cold or flu-like symptoms;cough;difficult or labored breathing;fever;general feeling of discomfort or illness;headache;increased sweating;joint pain;loss of appetite;loss of bowel control;muscle aches and pains;runny nose;shivering;sore throat;sweating;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach tenderness;blurred vision;confusion;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, pounding, or irregular heartbeat or pulse;hives or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;swelling;dry heaves;dry mouth;feeling of warmth;lack or loss of strength;paleness of the skin;redness of the face, neck, arms, and occasionally, upper chest;severe, unusual tiredness or weakness;weight loss;excess air or gas in the stomach or intestines;passing gas;acid or sour stomach;belching;bladder pain;bloody or cloudy urine;change in taste;cold sweats;difficult, burning, or painful urination;difficulty with moving;discouragement;dizziness;fear or nervousness;feeling sad or empty;frequent urge to urinate;heartburn;increased weight;indigestion;irritability;loss of interest or pleasure;loss of taste;lower back or side pain;muscle cramps;muscle stiffness;sore throat;stomach upset;swollen joints;tingling of the hands or feet;unusual drowsiness, dullness, tiredness, or feeling of sluggishness",,,,,,,,
2,2,lactulose,,,,,,,,,,,,,,,,,,,
3,3,Generlac,,,,,,,,,,,,,,,,,,,
4,4,Enulose,,,,,,,,,,,,,,,,,,,
5,5,Relistor,,,,,,,,,,,chills;diarrhea;fear or nervousness;increased sweating;severe abdominal or stomach pain;severe or persistent diarrhea;yawning;full or bloated feeling;headache;muscle spasms;pressure in the stomach;runny nose;swelling of abdominal or stomach area;vomiting,,,,,,,,
6,6,GoLYTELY,,,,,,,,,,,"full or bloated feeling;pain in the upper stomach;pressure in the stomach;stomach pain;swelling of abdominal or stomach area;vomiting;coma;confusion;convulsions;decreased urine output;dizziness;dry mouth;fast or irregular heartbeat;headache;increased thirst;loss of appetite;muscle pain or cramps;numbness or tingling in the hands, feet, fingertips, lips, or mouth;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;burning, itching, or pain around the anus;difficulty with sleeping;feeling unusually cold;general feeling of discomfort or illness;hunger;nausea;shivering;thirst;acid or sour stomach;belching;heartburn;indigestion;stomach discomfort or upset",,,,,,,,
7,7,Constulose,,,,,,,,,,,,,,,,,,,
8,8,Kristalose,,,,,,,,,,,,,,,,,,,
9,9,polyethylene glycol 3350 with electrolytes,,,,,,,,,,,"full or bloated feeling;pain in the upper stomach;pressure in the stomach;stomach pain;swelling of abdominal or stomach area;vomiting;coma;confusion;convulsions;decreased urine output;dizziness;dry mouth;fast or irregular heartbeat;headache;increased thirst;loss of appetite;muscle pain or cramps;numbness or tingling in the hands, feet, fingertips, lips, or mouth;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;burning, itching, or pain around the anus;difficulty with sleeping;feeling unusually cold;general feeling of discomfort or illness;hunger;nausea;shivering;thirst;acid or sour stomach;belching;heartburn;indigestion;stomach discomfort or upset",,,,,,,,
10,10,colchicine,,,,,,,,,,,"diarrhea;nausea or vomiting;stomach pain;black, tarry stools;blood in the urine or stools;burning, ""crawling"", or tingling feeling in the skin;difficulty with breathing when exercising;fever with or without chills;headache;large, hive-like swellings on the face, eyelids, mouth, lips, or tongue;muscle weakness;numbness in the fingers or toes (usually mild);pain;peeling of the skin;pinpoint red spots on the skin;redness;skin rash or hives;sores, ulcers, or white spots on the lips or in the mouth;sore throat;swelling;tenderness;unusual bleeding or bruising;unusual tiredness or weakness;bleeding;burning feeling in the stomach, throat, or skin;convulsions (seizures);diarrhea (severe or bloody);fast, shallow breathing;muscle weakness (very severe);nausea, stomach pain, or vomiting (severe);hair loss;loss of appetite;or",,,,,,,,
11,11,linaclotide,,,,,,,,,,,"abdominal or stomach pain;severe diarrhea;heartburn;loss of appetite;nausea;vomiting;weakness;bleeding from the rectum;bloody, black, or tarry stools;confusion;cough;decreased urination;difficulty swallowing;dizziness;dry mouth;fainting;fast heartbeat;hives or welts, itching, or skin rash or redness;increase in heart rate;itching;lightheadedness;loss of bowel control;puffiness or swelling of the eyelids or around the eyes, face, lips or tongue;rapid breathing;shortness of breath;sunken eyes;thirst;tightness in chest;unusual tiredness or weakness;wrinkled skin;body aches or pain;chills;ear congestion;excess air or gas in the stomach or intestines;fever;full or bloated feeling;headache;loss of voice;passing gas;sneezing;sore throat;stuffy or runny nose;acid or sour stomach;belching;indigestion;pain or tenderness around the eyes and cheekbones;pressure in the stomach;stomach discomfort or upset;swelling of abdominal or stomach area",,,,,,,,
12,12,MoviPrep,,,,,,,,,,,"full or bloated feeling;pain in the upper stomach;pressure in the stomach;stomach pain;swelling of abdominal or stomach area;vomiting;coma;confusion;convulsions;decreased urine output;dizziness;dry mouth;fast or irregular heartbeat;headache;increased thirst;loss of appetite;muscle pain or cramps;numbness or tingling in the hands, feet, fingertips, lips, or mouth;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;burning, itching, or pain around the anus;difficulty with sleeping;feeling unusually cold;general feeling of discomfort or illness;hunger;nausea;shivering;thirst;acid or sour stomach;belching;heartburn;indigestion;stomach discomfort or upset",,,,,,,,
