,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,amphotericin b,,,,,,,,,,,"fever and chills;headache;increased or decreased urination;irregular heartbeat;muscle cramps or pain;nausea;pain at the place of injection;unusual tiredness or weakness;vomiting;blurred or double vision;convulsions (seizures);numbness, tingling, pain, or weakness in hands or feet;shortness of breath, troubled breathing, wheezing, or tightness in chest;skin rash or itching;sore throat and fever;unusual bleeding or bruising;blurred vision or any change in vision;difficult urination;numbness, tingling, pain, or weakness;diarrhea;headache;indigestion;loss of appetite;nausea or vomiting;stomach pain;back, leg, or neck pain;dizziness or lightheadedness;headache;nausea or vomiting;or",,,,,,,,
1,1,fluconazole,,,,,,,,,,,"abdominal or stomach pain;chills;clay-colored stools;cough;dark urine;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;fever;general feeling of tiredness or weakness;headache;hives, itching, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;nausea and vomiting;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;stomach pain, continuing;tightness in the chest;unpleasant breath odor;unusual tiredness or weakness;upper right abdominal or stomach pain;vomiting of blood;yellow eyes and skin;black, tarry stools;blistering, peeling, or loosening of the skin;chest pain or discomfort;convulsions;decreased urine;dry mouth;fainting;hoarseness;increased thirst;irregular or slow heart rate;joint or muscle pain;loss of bladder control;lower back or side pain;mood changes;muscle pain or cramps;muscle spasm or jerking of all extremities;numbness or tingling in the hands, feet, or lips;painful or difficult urination;pale skin;red skin lesions, often with a purple center;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sudden loss of consciousness;swollen glands;unusual bleeding or bruising;fearfulness, suspiciousness, or other mental changes;seeing, hearing, or feeling things that are not there;acid or sour stomach;belching;change in taste or bad, unusual, or unpleasant (after) taste;heartburn;indigestion;stomach discomfort or upset;hair loss or thinning of the hair;or",,,,,,,,
2,2,flucytosine,,,,,,,,,,,"skin rash, redness, or itching;sore throat and fever;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;confusion;hallucinations (seeing, hearing, or feeling things that are not there);increased sensitivity of skin to sunlight;abdominal pain;diarrhea;loss of appetite;nausea or vomiting;dizziness or lightheadedness;drowsiness;headache",,,,,,,,
3,3,Diflucan,,,,,,,,,,,"abdominal or stomach pain;chills;clay-colored stools;cough;dark urine;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;fever;general feeling of tiredness or weakness;headache;hives, itching, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;nausea and vomiting;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;stomach pain, continuing;tightness in the chest;unpleasant breath odor;unusual tiredness or weakness;upper right abdominal or stomach pain;vomiting of blood;yellow eyes and skin;black, tarry stools;blistering, peeling, or loosening of the skin;chest pain or discomfort;convulsions;decreased urine;dry mouth;fainting;hoarseness;increased thirst;irregular or slow heart rate;joint or muscle pain;loss of bladder control;lower back or side pain;mood changes;muscle pain or cramps;muscle spasm or jerking of all extremities;numbness or tingling in the hands, feet, or lips;painful or difficult urination;pale skin;red skin lesions, often with a purple center;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sudden loss of consciousness;swollen glands;unusual bleeding or bruising;fearfulness, suspiciousness, or other mental changes;seeing, hearing, or feeling things that are not there;acid or sour stomach;belching;change in taste or bad, unusual, or unpleasant (after) taste;heartburn;indigestion;stomach discomfort or upset;hair loss or thinning of the hair;or",,,,,,,,
4,4,AmBisome,,,,,,,,,,,"chills;fever;irregular heartbeat;muscle cramps or pain;unusual tiredness or weakness;back pain;chest pain;dark urine;difficulty in breathing;headache;yellowing of eyes or skin;difficulty in swallowing;hives;itching, especially of feet or hands;reddening of skin, especially around ears;swelling of eyes, face, or inside of nose;unusual tiredness or weakness (sudden and severe);abdominal pain;cough;diarrhea;dizziness;nausea;vomiting;skin rash",,,,,,,,
5,5,Amphocin,,,,,,,,,,,"fever and chills;headache;increased or decreased urination;irregular heartbeat;muscle cramps or pain;nausea;pain at the place of injection;unusual tiredness or weakness;vomiting;blurred or double vision;convulsions (seizures);numbness, tingling, pain, or weakness in hands or feet;shortness of breath, troubled breathing, wheezing, or tightness in chest;skin rash or itching;sore throat and fever;unusual bleeding or bruising;blurred vision or any change in vision;difficult urination;numbness, tingling, pain, or weakness;diarrhea;headache;indigestion;loss of appetite;nausea or vomiting;stomach pain;back, leg, or neck pain;dizziness or lightheadedness;headache;nausea or vomiting;or",,,,,,,,
6,6,Sporanox,,,,,,,,,,,"convulsions;decreased urine;dry mouth;fever;increased thirst;irregular heartbeat;loss of appetite;mood changes;muscle pain or cramps;nausea or vomiting;numbness or tingling in the hands, feet, or lips;trouble breathing;unusual tiredness or weakness;abdominal or stomach cramps or pain;blurred vision;chest pain;chills;clay-colored stools;cloudy urine;cold sweats;confusion;cough;dark urine;decrease in urine output or decrease in urine-concentrating ability;diarrhea;dizziness;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drowsiness;feeling unusually cold;headache;itching or rash;light-colored stools;mental changes;muscle cramps in the hands, arms, feet, legs, or face;muscle spasms (tetany) or twitching;nervousness;noisy, rattling breathing;numbness and tingling around the mouth or fingertips;pounding in the ears;shivering;slow, fast, or pounding heartbeat or pulse;sneezing;sore throat;sweating;swelling of the fingers, hands, feet, or lower legs;tightness in the chest;trembling;troubled breathing at rest;unpleasant breath odor;vomiting of blood;weight gain;yellow eyes or skin;abdominal or stomach tenderness;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine or stools;blue lips and fingernails;burning, crawling, itching, numbness, painful, prickling, ""pins and needles"", or tingling feelings;continuing ringing or buzzing or other unexplained noise in the ears;coughing that sometimes produces a pink frothy sputum;cracks in the skin;decreased appetite;difficulty with swallowing;dilated neck veins;disturbed color perception;double vision;extreme fatigue;fast or irregular breathing;feeling of discomfort;general feeling of tiredness or weakness;halos around lights;hearing loss;hives or welts;inflammation of the joints;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of heat from the body;loss of vision;lower back or side pain;night blindness;overbright appearance of lights;painful or difficult urination;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;scaly skin;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;swollen lymph glands;tingling of the hands or feet;tunnel vision;unsteadiness or awkwardness;unusual bleeding or bruising;unusual weight gain or loss;upper right abdominal or stomach pain;weakness in the arms, hands, legs, or feet;decreased interest in sexual intercourse;difficulty having a bowel movement (stool);difficulty with moving;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;inability to have or keep an erection;indigestion;irritability;loss in sexual ability, desire, drive, or performance;loss of interest or pleasure;muscle aching or stiffness;pain or tenderness around the eyes and cheekbones;passing of gas;sensation of spinning;sleepiness or unusual drowsiness;soreness of the skin;stomach fullness or discomfort;stuffy or runny nose;swollen joints;tiredness;trouble concentrating;trouble sleeping;acid or sour stomach;belching;change in taste;hair loss or thinning of the hair;heartburn;increased need to urinate;increased sensitivity of the eyes to sunlight;increased sensitivity of the skin to sunlight;loss of bladder control;loss of taste;menstrual changes;passing urine more often;redness or other discoloration of the skin;severe sunburn;stomach fullness, discomfort, or upset;or",,,,,,,,
7,7,Fungizone,,,,,,,,,,,"fever and chills;headache;increased or decreased urination;irregular heartbeat;muscle cramps or pain;nausea;pain at the place of injection;unusual tiredness or weakness;vomiting;blurred or double vision;convulsions (seizures);numbness, tingling, pain, or weakness in hands or feet;shortness of breath, troubled breathing, wheezing, or tightness in chest;skin rash or itching;sore throat and fever;unusual bleeding or bruising;blurred vision or any change in vision;difficult urination;numbness, tingling, pain, or weakness;diarrhea;headache;indigestion;loss of appetite;nausea or vomiting;stomach pain;back, leg, or neck pain;dizziness or lightheadedness;headache;nausea or vomiting;or",,,,,,,,
8,8,Ancobon,,,,,,,,,,,"skin rash, redness, or itching;sore throat and fever;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;confusion;hallucinations (seeing, hearing, or feeling things that are not there);increased sensitivity of skin to sunlight;abdominal pain;diarrhea;loss of appetite;nausea or vomiting;dizziness or lightheadedness;drowsiness;headache",,,,,,,,
9,9,itraconazole,,,,,,,,,,,"convulsions;decreased urine;dry mouth;fever;increased thirst;irregular heartbeat;loss of appetite;mood changes;muscle pain or cramps;nausea or vomiting;numbness or tingling in the hands, feet, or lips;trouble breathing;unusual tiredness or weakness;abdominal or stomach cramps or pain;blurred vision;chest pain;chills;clay-colored stools;cloudy urine;cold sweats;confusion;cough;dark urine;decrease in urine output or decrease in urine-concentrating ability;diarrhea;dizziness;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drowsiness;feeling unusually cold;headache;itching or rash;light-colored stools;mental changes;muscle cramps in the hands, arms, feet, legs, or face;muscle spasms (tetany) or twitching;nervousness;noisy, rattling breathing;numbness and tingling around the mouth or fingertips;pounding in the ears;shivering;slow, fast, or pounding heartbeat or pulse;sneezing;sore throat;sweating;swelling of the fingers, hands, feet, or lower legs;tightness in the chest;trembling;troubled breathing at rest;unpleasant breath odor;vomiting of blood;weight gain;yellow eyes or skin;abdominal or stomach tenderness;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine or stools;blue lips and fingernails;burning, crawling, itching, numbness, painful, prickling, ""pins and needles"", or tingling feelings;continuing ringing or buzzing or other unexplained noise in the ears;coughing that sometimes produces a pink frothy sputum;cracks in the skin;decreased appetite;difficulty with swallowing;dilated neck veins;disturbed color perception;double vision;extreme fatigue;fast or irregular breathing;feeling of discomfort;general feeling of tiredness or weakness;halos around lights;hearing loss;hives or welts;inflammation of the joints;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of heat from the body;loss of vision;lower back or side pain;night blindness;overbright appearance of lights;painful or difficult urination;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;scaly skin;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;swollen lymph glands;tingling of the hands or feet;tunnel vision;unsteadiness or awkwardness;unusual bleeding or bruising;unusual weight gain or loss;upper right abdominal or stomach pain;weakness in the arms, hands, legs, or feet;decreased interest in sexual intercourse;difficulty having a bowel movement (stool);difficulty with moving;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;inability to have or keep an erection;indigestion;irritability;loss in sexual ability, desire, drive, or performance;loss of interest or pleasure;muscle aching or stiffness;pain or tenderness around the eyes and cheekbones;passing of gas;sensation of spinning;sleepiness or unusual drowsiness;soreness of the skin;stomach fullness or discomfort;stuffy or runny nose;swollen joints;tiredness;trouble concentrating;trouble sleeping;acid or sour stomach;belching;change in taste;hair loss or thinning of the hair;heartburn;increased need to urinate;increased sensitivity of the eyes to sunlight;increased sensitivity of the skin to sunlight;loss of bladder control;loss of taste;menstrual changes;passing urine more often;redness or other discoloration of the skin;severe sunburn;stomach fullness, discomfort, or upset;or",,,,,,,,
