,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Lotemax,,,,,,,,,,,"blurred vision or other change in vision;redness or swelling of the eye;sensitivity of the eyes to light;swelling of the membrane covering the white part of the eye;discharge from the eye;eye discomfort, irritation, or pain;redness of the eyelid or inner lining of the eyelid;tiny bumps on the inner lining of the eyelid;blindness;delayed wound healing;loss of vision;nausea or vomiting;burning when medicine is applied;dry eyes;feeling of something in the eye;headache;itching;runny nose;sore throat;tearing or watery eye",,,,,,,,
1,1,Alrex,,,,,,,,,,,"blurred vision or other change in vision;redness or swelling of the eye;sensitivity of the eyes to light;swelling of the membrane covering the white part of the eye;discharge from the eye;eye discomfort, irritation, or pain;redness of the eyelid or inner lining of the eyelid;tiny bumps on the inner lining of the eyelid;blindness;delayed wound healing;loss of vision;nausea or vomiting;burning when medicine is applied;dry eyes;feeling of something in the eye;headache;itching;runny nose;sore throat;tearing or watery eye",,,,,,,,
2,2,loteprednol,,,,,,,,,,,"blurred vision or other change in vision;redness or swelling of the eye;sensitivity of the eyes to light;swelling of the membrane covering the white part of the eye;discharge from the eye;eye discomfort, irritation, or pain;redness of the eyelid or inner lining of the eyelid;tiny bumps on the inner lining of the eyelid;blindness;delayed wound healing;loss of vision;nausea or vomiting;burning when medicine is applied;dry eyes;feeling of something in the eye;headache;itching;runny nose;sore throat;tearing or watery eye",,,,,,,,
3,3,Zylet,,,,,,,,,,,"blurred vision;change in vision;feeling like something is in the eye;increased intraocular pressure;loss of vision;pain or irritation of the clear front part of the eye;sensitivity of the eyes to light;blurred vision or seeing blue-green halos around objects;decreased vision;difficulty seeing at night;discharge from the eye;dry eyes;eyelid burning, redness, itching, pain, or tenderness;fast heartbeat;fever;hives;hoarseness;irritation and swelling of the eye;itching;joint pain;lid itching and swelling;pain in the eye;rash;redness of the eyelid;redness of the skin;shortness of breath;stiffness or swelling;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled breathing or swallowing;wheezing;redness of the eye;tearing;burning of the eye;headache;increased sensitivity of the eyes to light;stinging of the eye",,,,,,,,
4,4,dexamethasone,,,,,,,,,,,"aggression;agitation;anxiety;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mental depression;mood changes;nervousness;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal cramping and/or burning (severe);abdominal pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fatigue;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn and/or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in back, ribs, arms, or legs;painful or difficult urination;skin rash;sleeplessness;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
5,5,loteprednol / tobramycin,,,,,,,,,,,"blurred vision;change in vision;feeling like something is in the eye;increased intraocular pressure;loss of vision;pain or irritation of the clear front part of the eye;sensitivity of the eyes to light;blurred vision or seeing blue-green halos around objects;decreased vision;difficulty seeing at night;discharge from the eye;dry eyes;eyelid burning, redness, itching, pain, or tenderness;fast heartbeat;fever;hives;hoarseness;irritation and swelling of the eye;itching;joint pain;lid itching and swelling;pain in the eye;rash;redness of the eyelid;redness of the skin;shortness of breath;stiffness or swelling;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled breathing or swallowing;wheezing;redness of the eye;tearing;burning of the eye;headache;increased sensitivity of the eyes to light;stinging of the eye",,,,,,,,
6,6,Maxidex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
7,7,Ocu-Dex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
8,8,AK-Dex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
9,9,Dexasol,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
