,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,nitrofurantoin,,,,,,,,,,,"changes in facial skin color;chest pain;chills;cough;fever;general feeling of discomfort or illness;hives;hoarseness;itching;joint or muscle pain;shortness of breath;skin rash;sudden trouble in swallowing or breathing;swelling of the face, mouth, hands, or feet;troubled breathing;black, tarry stools;blood in the urine or stools;burning, numbness, tingling, or painful sensations;dizziness;drowsiness;headache;pinpoint red spots on the skin;sore throat;unsteadiness or awkwardness;unusual bleeding or bruising;unusual tiredness or weakness;weakness in the arms, hands, legs, or feet;abdominal or stomach pain;blindness;blistering, peeling, or loosening of the skin and mucous membranes;blue-yellow color blindness;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision or loss of vision, with or without eye pain;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;confusion;cracks in the skin;darkening of the urine;decreased vision;diarrhea;diarrhea, watery and severe, which may also be bloody;eye pain;general tiredness and weakness;light-colored stools;loss of appetite;loss of heat from the body;mental depression;mood or mental changes;nausea or vomiting;pale skin;pale stools;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;red, thickened, or scaly skin;skin rash;sores, ulcers, or white spots on the lips or in the mouth;swollen or painful glands;tenderness of salivary glands;unpleasant breath odor;upper right abdominal pain;visual changes;vomiting of blood;wheezing or tightness in the chest;yellow eyes or skin;diarrhea;gas;dizziness or lightheadedness;feeling of constant movement of self or surroundings;lack or loss of strength;loss of hair, temporary;sensation of spinning;uncontrolled eye movements;or",,,,,,,,
1,1,Macrobid,,,,,,,,,,,"changes in facial skin color;chest pain;chills;cough;fever;general feeling of discomfort or illness;hives;hoarseness;itching;joint or muscle pain;shortness of breath;skin rash;sudden trouble in swallowing or breathing;swelling of the face, mouth, hands, or feet;troubled breathing;black, tarry stools;blood in the urine or stools;burning, numbness, tingling, or painful sensations;dizziness;drowsiness;headache;pinpoint red spots on the skin;sore throat;unsteadiness or awkwardness;unusual bleeding or bruising;unusual tiredness or weakness;weakness in the arms, hands, legs, or feet;abdominal or stomach pain;blindness;blistering, peeling, or loosening of the skin and mucous membranes;blue-yellow color blindness;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision or loss of vision, with or without eye pain;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;confusion;cracks in the skin;darkening of the urine;decreased vision;diarrhea;diarrhea, watery and severe, which may also be bloody;eye pain;general tiredness and weakness;light-colored stools;loss of appetite;loss of heat from the body;mental depression;mood or mental changes;nausea or vomiting;pale skin;pale stools;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;red, thickened, or scaly skin;skin rash;sores, ulcers, or white spots on the lips or in the mouth;swollen or painful glands;tenderness of salivary glands;unpleasant breath odor;upper right abdominal pain;visual changes;vomiting of blood;wheezing or tightness in the chest;yellow eyes or skin;diarrhea;gas;dizziness or lightheadedness;feeling of constant movement of self or surroundings;lack or loss of strength;loss of hair, temporary;sensation of spinning;uncontrolled eye movements;or",,,,,,,,
2,2,Macrodantin,,,,,,,,,,,"changes in facial skin color;chest pain;chills;cough;fever;general feeling of discomfort or illness;hives;hoarseness;itching;joint or muscle pain;shortness of breath;skin rash;sudden trouble in swallowing or breathing;swelling of the face, mouth, hands, or feet;troubled breathing;black, tarry stools;blood in the urine or stools;burning, numbness, tingling, or painful sensations;dizziness;drowsiness;headache;pinpoint red spots on the skin;sore throat;unsteadiness or awkwardness;unusual bleeding or bruising;unusual tiredness or weakness;weakness in the arms, hands, legs, or feet;abdominal or stomach pain;blindness;blistering, peeling, or loosening of the skin and mucous membranes;blue-yellow color blindness;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision or loss of vision, with or without eye pain;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;confusion;cracks in the skin;darkening of the urine;decreased vision;diarrhea;diarrhea, watery and severe, which may also be bloody;eye pain;general tiredness and weakness;light-colored stools;loss of appetite;loss of heat from the body;mental depression;mood or mental changes;nausea or vomiting;pale skin;pale stools;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;red, thickened, or scaly skin;skin rash;sores, ulcers, or white spots on the lips or in the mouth;swollen or painful glands;tenderness of salivary glands;unpleasant breath odor;upper right abdominal pain;visual changes;vomiting of blood;wheezing or tightness in the chest;yellow eyes or skin;diarrhea;gas;dizziness or lightheadedness;feeling of constant movement of self or surroundings;lack or loss of strength;loss of hair, temporary;sensation of spinning;uncontrolled eye movements;or",,,,,,,,
3,3,Bactrim,,,,,,,,,,,"abdominal or stomach pain;black, tarry stools;blistering, peeling, or loosening of the skin;changes in skin color;chest pain;chills;cough or hoarseness;dark urine;diarrhea;dizziness;fever with or without chills;general feeling of tiredness or weakness;headache;itching;joint or muscle pain;light-colored stools;loss of appetite;lower back or side pain;nausea;pain, tenderness, or swelling of the foot or leg;painful or difficult urination;pale skin;rash;red skin lesions, often with a purple center;red, irritated eyes;shortness of breath;sore throat;sores, ulcers, or white spots in the mouth or on the lips;swollen or painful glands;tightness in the chest;unpleasant breath odor;unusual bleeding or bruising;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach tenderness;back, leg, or stomach pains;bleeding gums;blindness or vision changes;blisters, hives, or itching;bloating;blood in the urine or stools;bluish-colored lips, fingernails, or palms;burning, crawling, itching, numbness, painful, prickling, ""pins and needles"", or tingling feelings;burning of the face or mouth;chest pain;cloudy urine;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;convulsions;cracks in the skin;decreased frequency or amount of urine;diarrhea, watery and severe, which may also be bloody;difficulty with breathing;difficulty with swallowing;fainting spells;general body swelling;general feeling of discomfort or illness;hair loss;hearing loss;hives;increased thirst;indigestion;irregular heartbeat;large, flat, blue, or purplish patches in the skin;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of heat from the body;muscle or joint pain;nosebleeds;not able to pass urine;numbness or tingling in the hands, feet, or lips;pain or burning while urinating;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;raised red swellings on the skin, the buttocks, legs, or ankles;redness of the white part of the eyes;redness, swelling, or soreness of the tongue;sores, ulcers, or white spots on the lips or in the mouth;soreness of the muscles;stiff neck or back;swelling of the face, hands, legs, and feet;unsteadiness, trembling, or other problems with muscle control or coordination;unusual weight loss;weakness in the hands or feet;weakness or heaviness of the legs;weight gain;passing of gas;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;increased sensitivity of the skin to sunlight;irritability;lack of feeling or emotion;loss of interest or pleasure;nervousness;redness or other discoloration of the skin;seeing, hearing, or feeling things that are not there;sensation of spinning;severe sunburn;trouble concentrating;trouble sleeping;uncaring;weight loss",,,,,,,,
4,4,Hiprex,,,,,,,,,,,skin rash;blood in urine;lower back pain;pain or burning while urinating;nausea and vomiting;or,,,,,,,,
5,5,methenamine,,,,,,,,,,,skin rash;blood in urine;lower back pain;pain or burning while urinating;nausea and vomiting;or,,,,,,,,
6,6,trimethoprim,,,,,,,,,,,"skin rash or itching;black, tarry stools;blood in urine or stools;bluish fingernails, lips, or skin;changes in facial skin color;chills;difficult breathing or shortness of breath;fever with or without chills;general feeling of discomfort or illness;headache;joint or muscle pain;nausea;neck stiffness;pale skin;pinpoint red spots on skin;redness, blistering, burning, tenderness, peeling, or loosening of skin or mucous membranes;redness, swelling, or soreness of tongue;red skin lesions, often with a purple center;sore throat;swelling;thickened or scaly skin;unusual bleeding or bruising;unusual tiredness or weakness;diarrhea;loss of appetite;nausea or vomiting;stomach cramps or pain;or",,,,,,,,
7,7,sulfamethoxazole / trimethoprim,,,,,,,,,,,"abdominal or stomach pain;black, tarry stools;blistering, peeling, or loosening of the skin;changes in skin color;chest pain;chills;cough or hoarseness;dark urine;diarrhea;dizziness;fever with or without chills;general feeling of tiredness or weakness;headache;itching;joint or muscle pain;light-colored stools;loss of appetite;lower back or side pain;nausea;pain, tenderness, or swelling of the foot or leg;painful or difficult urination;pale skin;rash;red skin lesions, often with a purple center;red, irritated eyes;shortness of breath;sore throat;sores, ulcers, or white spots in the mouth or on the lips;swollen or painful glands;tightness in the chest;unpleasant breath odor;unusual bleeding or bruising;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach tenderness;back, leg, or stomach pains;bleeding gums;blindness or vision changes;blisters, hives, or itching;bloating;blood in the urine or stools;bluish-colored lips, fingernails, or palms;burning, crawling, itching, numbness, painful, prickling, ""pins and needles"", or tingling feelings;burning of the face or mouth;chest pain;cloudy urine;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;convulsions;cracks in the skin;decreased frequency or amount of urine;diarrhea, watery and severe, which may also be bloody;difficulty with breathing;difficulty with swallowing;fainting spells;general body swelling;general feeling of discomfort or illness;hair loss;hearing loss;hives;increased thirst;indigestion;irregular heartbeat;large, flat, blue, or purplish patches in the skin;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of heat from the body;muscle or joint pain;nosebleeds;not able to pass urine;numbness or tingling in the hands, feet, or lips;pain or burning while urinating;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;raised red swellings on the skin, the buttocks, legs, or ankles;redness of the white part of the eyes;redness, swelling, or soreness of the tongue;sores, ulcers, or white spots on the lips or in the mouth;soreness of the muscles;stiff neck or back;swelling of the face, hands, legs, and feet;unsteadiness, trembling, or other problems with muscle control or coordination;unusual weight loss;weakness in the hands or feet;weakness or heaviness of the legs;weight gain;passing of gas;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;increased sensitivity of the skin to sunlight;irritability;lack of feeling or emotion;loss of interest or pleasure;nervousness;redness or other discoloration of the skin;seeing, hearing, or feeling things that are not there;sensation of spinning;severe sunburn;trouble concentrating;trouble sleeping;uncaring;weight loss",,,,,,,,
8,8,Mandelamine,,,,,,,,,,,skin rash;blood in urine;lower back pain;pain or burning while urinating;nausea and vomiting;or,,,,,,,,
9,9,Bactrim DS,,,,,,,,,,,"abdominal or stomach pain;black, tarry stools;blistering, peeling, or loosening of the skin;changes in skin color;chest pain;chills;cough or hoarseness;dark urine;diarrhea;dizziness;fever with or without chills;general feeling of tiredness or weakness;headache;itching;joint or muscle pain;light-colored stools;loss of appetite;lower back or side pain;nausea;pain, tenderness, or swelling of the foot or leg;painful or difficult urination;pale skin;rash;red skin lesions, often with a purple center;red, irritated eyes;shortness of breath;sore throat;sores, ulcers, or white spots in the mouth or on the lips;swollen or painful glands;tightness in the chest;unpleasant breath odor;unusual bleeding or bruising;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach tenderness;back, leg, or stomach pains;bleeding gums;blindness or vision changes;blisters, hives, or itching;bloating;blood in the urine or stools;bluish-colored lips, fingernails, or palms;burning, crawling, itching, numbness, painful, prickling, ""pins and needles"", or tingling feelings;burning of the face or mouth;chest pain;cloudy urine;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;convulsions;cracks in the skin;decreased frequency or amount of urine;diarrhea, watery and severe, which may also be bloody;difficulty with breathing;difficulty with swallowing;fainting spells;general body swelling;general feeling of discomfort or illness;hair loss;hearing loss;hives;increased thirst;indigestion;irregular heartbeat;large, flat, blue, or purplish patches in the skin;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of heat from the body;muscle or joint pain;nosebleeds;not able to pass urine;numbness or tingling in the hands, feet, or lips;pain or burning while urinating;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;raised red swellings on the skin, the buttocks, legs, or ankles;redness of the white part of the eyes;redness, swelling, or soreness of the tongue;sores, ulcers, or white spots on the lips or in the mouth;soreness of the muscles;stiff neck or back;swelling of the face, hands, legs, and feet;unsteadiness, trembling, or other problems with muscle control or coordination;unusual weight loss;weakness in the hands or feet;weakness or heaviness of the legs;weight gain;passing of gas;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;increased sensitivity of the skin to sunlight;irritability;lack of feeling or emotion;loss of interest or pleasure;nervousness;redness or other discoloration of the skin;seeing, hearing, or feeling things that are not there;sensation of spinning;severe sunburn;trouble concentrating;trouble sleeping;uncaring;weight loss",,,,,,,,
