,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Elmiron,,,,,,,,,,,chills;difficulty in breathing;fever;skin rash or hives;sore throat;unusual bleeding or bruising;unusual tiredness or weakness;vision impairment;abdominal pain;bleeding gums;constipation;diarrhea;difficulty or pain upon swallowing;dizziness;dryness of throat;hair loss;headache;heartburn;increased sensitivity of skin to sunlight;irritated or red eyes;itching;loss of appetite;nausea;nosebleed;ringing in the ears;runny nose;sores in mouth;stomach gas;stomach upset;vomiting,,,,,,,,
1,1,phenazopyridine,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
2,2,Pyridium,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
3,3,amitriptyline,,,,,,,,,,,"abdominal or stomach pain;agitation;black, tarry stools;bleeding gums;blood in urine or stools;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in consciousness;changes in patterns and rhythms of speech;chest pain or discomfort;chills;cold sweats;coma;confusion;confusion about identity, place, and time;continuing ringing, buzzing, or other unexplained noise in ears;convulsions;cool, pale skin;cough or hoarseness;dark urine;decrease in frequency of urination;decrease in urine volume;decreased urine output;difficulty in breathing;difficulty in passing urine (dribbling);difficulty in speaking;disturbance of accommodation;disturbed concentration;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;double vision;drooling;dry mouth;excitement;fainting;false beliefs that cannot be changed by facts;fast, slow, or irregular heartbeat;fear or nervousness;fever with or without chills;flushed, dry skin;fruit-like breath odor;general feeling of tiredness or weakness;headache;hearing loss;high fever;high or low blood pressure;hostility;inability to move arms, legs, or facial muscles;inability to speak;increased hunger;increased need to urinate;increased ocular pressure;increased sweating;increased thirst;increased urination;irritability;lack of coordination;lethargy;light-colored stools;lip smacking or puckering;loss of appetite;loss of balance control;loss of bladder control;loss of consciousness;lower back or side pain;mental depression or anxiety;muscle spasm or jerking of all extremities;muscle tightness;muscle trembling, jerking, or stiffness;muscle twitching;nausea and vomiting;nightmares or unusually vivid dreams;overactive reflexes;painful or difficult urination;passing urine more often;pinpoint red spots on skin;poor coordination;pounding in the ears;puffing of cheeks;rapid or worm-like movements of tongue;rapid weight gain;restlessness;seeing, hearing, or feeling things that are not there;seizures;severe muscle stiffness;shakiness and unsteady walk;shivering;shortness of breath;shuffling walk;sleeplessness;slow speech;slurred speech;sore throat;sores, ulcers, or white spots on lips or in mouth;stiffness of limbs;stupor;sudden loss of consciousness;sweating;swelling of face, ankles, or hands;swelling or puffiness of face;swollen glands;talking or acting with excitement you cannot control;trouble in speaking;trouble sleeping;troubled breathing;twisting movements of body pain or discomfort in arms, jaw, back, or neck;unable to sleep;uncontrolled chewing movements;uncontrolled movements, especially of arms, face, neck, back, and legs;unexplained weight loss;unpleasant breath odor;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bleeding or bruising;unusual tiredness or weakness;unusually pale skin;upper right abdominal pain;vomiting of blood;weakness in arms, hands, legs, or feet;weight gain or loss;yellow eyes and skin;clumsiness;drowsiness;low body temperature;muscle aches;muscle weakness;sleepiness;tiredness;weak or feeble pulse;bigger, dilated, or enlarged pupils (black part of eye);black tongue;bloating;breast enlargement in females;constipation;decreased interest in sexual intercourse;diarrhea;hair loss, thinning of hair;hives or welts;inability to have or keep an erection;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased sensitivity of eyes to light;loss in sexual ability, desire, drive, or performance;loss of sense of taste;redness or other discoloration of skin;severe sunburn;skin rash;swelling of testicles;swelling of the breasts or breast soreness in males;swelling of the parotid glands;swelling or inflammation of the mouth;unexpected or excess milk flow from breasts;or",,,,,,,,
4,4,Sanctura,,,,,,,,,,,"bladder pain;bloody or cloudy urine;decrease in the frequency of urination;decrease in urine volume;difficult or burning urination;difficulty in passing urine (dribbling);frequent urge to urinate;lower back or side pain;painful urination;chills;cough;diarrhea;fast, pounding, or irregular heartbeat or pulse;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;changes in vision;clammy skin;confusion as to time, place, or person;dark-colored urine;difficulty with swallowing;dizziness;enlarged pupils;fainting;fast or slow heartbeat;hallucinations;hives;holding false beliefs that cannot be changed by fact;increased sensitivity of the eyes to light;increased sweating, possibly with fever or cold;itching;muscle cramps or spasms;muscle stiffness;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seeing, hearing, or feeling things that are not there;severe chest pain;severe headache;shortness of breath;skin rash;sores, ulcers, or white spots in the mouth or on the lips;stiff or sore neck;tightness in the chest;unusual excitement, nervousness, or restlessness;wheezing;back pain;blurred vision;difficulty having a bowel movement (stool);dry mouth;dry skin;sleepiness or unusual drowsiness;acid or sour stomach;belching;bloated or full feeling;dry eyes;excess air or gas in the stomach or intestines;heartburn;indigestion;passing gas;stomach discomfort, upset, or pain;stuffy nose;trouble with urinating;unable to have a bowel movement (stool);upper stomach pain;burning feeling in the chest or stomach;change in taste;dry throat;indigestion;loss of taste;swelling of the abdomen or stomach area;tenderness in the stomach area",,,,,,,,
5,5,hydroxyzine,,,,,,,,,,,"chest pain or discomfort;cough;difficulty with swallowing;dizziness;fainting;fast heartbeat;hives, itching, or skin rash;irregular or slow heart rate;puffiness or swelling of the eyelids or around the eyes, face, lips, or  tongue;shortness of breath;tightness in the chest;unusual tiredness or weakness;decreased awareness or responsiveness;drowsiness;nausea;seizures;severe sleepiness;vomiting;shakiness in the legs, arms, hands, or feet;trembling or shaking of the hands or feet;dry mouth;headache;seeing, hearing, or feeling things that are not there;or",,,,,,,,
6,6,Azo-Standard,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
7,7,Tofranil,,,,,,,,,,,"abdominal or stomach pain;agitation;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain or discomfort;clay-colored stools;cold sweats;confusion about identity, place, and time;continuing ringing or buzzing or other unexplained noise in the ears;cough or hoarseness;dark urine;decrease in the frequency of urination;difficulty in passing urine (dribbling);dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;double vision;dry mouth;false beliefs that cannot be changed by facts;fast, pounding, or irregular heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever with or without chills;flushed, dry skin;general feeling of tiredness or weakness;hearing loss;hostility;hyperventilation;inability to move the arms, legs, or facial muscles;irritability;itching or rash;lack of coordination;lethargy;loss of balance control;lower back or side pain;mood or mental changes;muscle spasm or jerking of all extremities;muscle trembling, jerking, or stiffness;nightmares;pain or discomfort in the arms, jaw, back, or neck;painful or difficult urination;pinpoint red or purple spots on the skin;rapid weight gain;redness of the face, neck, arms, and occasionally, upper chest;restlessness;seizures;shakiness and unsteady walk;slow speech;sore throat;stiffness of the limbs;stupor;sweating;swelling of the face, ankles, legs, or hands;talking, feeling, and acting with excitement;trouble sleeping;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;unusual behavior;unusual tiredness or weakness;weakness in the arms, hands, legs, or feet;yellow eyes or skin;bluish color of fingernails, lips, skin, palms, or nail beds;cold, clammy skin;decreased awareness or responsiveness;difficult or troubled breathing;disorientation;fast, weak pulse;hallucinations;irregular, fast, slow, or shallow breathing;severe sleepiness;bigger, dilated, or enlarged pupils (black part of the eye);black tongue;decreased interest or ability in sexual intercourse;difficulty having a bowel movement (stool);enlargement of the breast;hives or welts;increase in sexual ability, desire, drive, or performance;increased sensitivity of the eyes to light;increased urge to urinate during the night;peculiar taste;redness or other discoloration of the skin;severe sunburn;swelling of the testicles;swelling of the breasts or breast soreness in both females and males;swollen, painful, or tender lymph glands on the side of the face or neck;unexpected or excess milk flow from the breasts;waking to urinate at night;or",,,,,,,,
8,8,Uristat,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
9,9,Sanctura XR,,,,,,,,,,,"bladder pain;bloody or cloudy urine;decrease in the frequency of urination;decrease in urine volume;difficult or burning urination;difficulty in passing urine (dribbling);frequent urge to urinate;lower back or side pain;painful urination;chills;cough;diarrhea;fast, pounding, or irregular heartbeat or pulse;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;changes in vision;clammy skin;confusion as to time, place, or person;dark-colored urine;difficulty with swallowing;dizziness;enlarged pupils;fainting;fast or slow heartbeat;hallucinations;hives;holding false beliefs that cannot be changed by fact;increased sensitivity of the eyes to light;increased sweating, possibly with fever or cold;itching;muscle cramps or spasms;muscle stiffness;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seeing, hearing, or feeling things that are not there;severe chest pain;severe headache;shortness of breath;skin rash;sores, ulcers, or white spots in the mouth or on the lips;stiff or sore neck;tightness in the chest;unusual excitement, nervousness, or restlessness;wheezing;back pain;blurred vision;difficulty having a bowel movement (stool);dry mouth;dry skin;sleepiness or unusual drowsiness;acid or sour stomach;belching;bloated or full feeling;dry eyes;excess air or gas in the stomach or intestines;heartburn;indigestion;passing gas;stomach discomfort, upset, or pain;stuffy nose;trouble with urinating;unable to have a bowel movement (stool);upper stomach pain;burning feeling in the chest or stomach;change in taste;dry throat;indigestion;loss of taste;swelling of the abdomen or stomach area;tenderness in the stomach area",,,,,,,,
10,10,Azo Urinary Pain Relief,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
11,11,pentosan polysulfate sodium,,,,,,,,,,,chills;difficulty in breathing;fever;skin rash or hives;sore throat;unusual bleeding or bruising;unusual tiredness or weakness;vision impairment;abdominal pain;bleeding gums;constipation;diarrhea;difficulty or pain upon swallowing;dizziness;dryness of throat;hair loss;headache;heartburn;increased sensitivity of skin to sunlight;irritated or red eyes;itching;loss of appetite;nausea;nosebleed;ringing in the ears;runny nose;sores in mouth;stomach gas;stomach upset;vomiting,,,,,,,,
12,12,trospium,,,,,,,,,,,"bladder pain;bloody or cloudy urine;decrease in the frequency of urination;decrease in urine volume;difficult or burning urination;difficulty in passing urine (dribbling);frequent urge to urinate;lower back or side pain;painful urination;chills;cough;diarrhea;fast, pounding, or irregular heartbeat or pulse;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;changes in vision;clammy skin;confusion as to time, place, or person;dark-colored urine;difficulty with swallowing;dizziness;enlarged pupils;fainting;fast or slow heartbeat;hallucinations;hives;holding false beliefs that cannot be changed by fact;increased sensitivity of the eyes to light;increased sweating, possibly with fever or cold;itching;muscle cramps or spasms;muscle stiffness;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seeing, hearing, or feeling things that are not there;severe chest pain;severe headache;shortness of breath;skin rash;sores, ulcers, or white spots in the mouth or on the lips;stiff or sore neck;tightness in the chest;unusual excitement, nervousness, or restlessness;wheezing;back pain;blurred vision;difficulty having a bowel movement (stool);dry mouth;dry skin;sleepiness or unusual drowsiness;acid or sour stomach;belching;bloated or full feeling;dry eyes;excess air or gas in the stomach or intestines;heartburn;indigestion;passing gas;stomach discomfort, upset, or pain;stuffy nose;trouble with urinating;unable to have a bowel movement (stool);upper stomach pain;burning feeling in the chest or stomach;change in taste;dry throat;indigestion;loss of taste;swelling of the abdomen or stomach area;tenderness in the stomach area",,,,,,,,
13,13,Uricalm,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
