,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,gabapentin,,,,,,,,,,,"clumsiness or unsteadiness;continuous, uncontrolled, back-and-forth, or rolling eye movements;aggressive behavior or other behavior problems;anxiety;concentration problems and change in school performance;crying;depression;false sense of well-being;hyperactivity or increase in body movements;rapidly changing moods;reacting too quickly, too emotional, or overreacting;restlessness;suspiciousness or distrust;black, tarry stools;chest pain;chills;cough;depression, irritability, or other mood or mental changes;fever;loss of memory;pain or swelling in the arms or legs;painful or difficult urination;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain;blistering, peeling, or loosening of the skin;clay-colored stools;coma;confusion;convulsions;dark urine;decreased urine output;diarrhea;dizziness;fast or irregular heartbeat;headache;increased thirst;itching or skin rash;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;muscle ache or pain;nausea;red skin lesions, often with a purple center;red, irritated eyes;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;cold or flu-like symptoms;delusions;dementia;hoarseness;lack or loss of strength;lower back or side pain;swelling of the hands, feet, or lower legs;trembling or shaking;accidental injury;appetite increased;back pain;bloated or full feeling;body aches or pain;burning, dry, or itching eyes;change in vision;change in walking and balance;clumsiness or unsteadiness;congestion;constipation;cough producing mucus;decrease in sexual desire or ability;difficulty with breathing;dryness of the mouth or throat;earache;excess air or gas in the stomach or intestines;excessive tearing;eye discharge;feeling faint, dizzy, or lightheadedness;feeling of warmth or heat;flushed, dry skin;flushing or redness of the skin, especially on the face and neck;frequent urination;fruit-like breath odor;impaired vision;incoordination;increased hunger;increased sensitivity to pain;increased sensitivity to touch;increased thirst;indigestion;noise in the ears;pain, redness, rash, swelling, or bleeding where the skin is rubbed off;passing gas;redness or swelling in the ear;redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid;runny nose;sneezing;sweating;tender, swollen glands in the neck;tightness in the chest;tingling in the hands and feet;trouble sleeping;trouble swallowing;trouble thinking;twitching;unexplained weight loss;voice changes;vomiting;weakness or loss of strength;weight gain;or",,,,,,,,
1,1,Lyrica,,,,,,,,,,,"difficult or labored breathing;shortness of breath;tightness in the chest;blistering, peeling, or loosening of the skin;chills;cough;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;hives;itching;joint or muscle pain;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;skin rash;sore throat;sores, ulcers, or white spots in the mouth or on the lips;unusual tiredness or weakness;accidental injury;bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;burning, tingling, numbness or pain in the hands, arms, feet, or legs;change in walking and balance;clumsiness;confusion;delusions;dementia;difficulty having a bowel movement (stool);difficulty with speaking;double vision;dry mouth;fever;headache;hoarseness;increased appetite;lack of coordination;loss of memory;lower back or side pain;painful or difficult urination;problems with memory;rapid weight gain;seeing double;sensation of pins and needles;shakiness and unsteady walk;sleepiness or unusual drowsiness;stabbing pain;swelling;tingling of the hands or feet;trembling, or other problems with muscle control or coordination;unusual weight gain or loss;anxiety;bloated or full feeling;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;cold sweats;coma;cool, pale skin;cough producing mucus;decrease or change in vision;depression;excess air or gas in the stomach or intestines;eye disorder;false or unusual sense of well-being;general feeling of discomfort or illness;increased hunger;joint pain;loss of appetite;loss of bladder control;loss of strength or energy;muscle aches and pains;muscle twitching or jerking;muscle weakness;nausea;nervousness;nightmares;noisy breathing;pain;passing gas;rhythmic movement of the muscles;runny nose;seizures;shivering;slurred speech;sweating;trouble sleeping;twitching;uncontrolled eye movements;vomiting;or",,,,,,,,
2,2,Cymbalta,,,,,,,,,,,"abdominal or stomach pain;area rash;blindness;blistering, peeling, or loosening of the skin;blurred vision;change in consciousness;chills;clay-colored stools;cold sweats;confusion;convulsions;dark urine;decreased urine output;decreased vision;difficulty swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;eye pain;fainting;fast or irregular heartbeat;general tiredness or weakness;hives or welts, itching, or skin rash;hives, itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;increased thirst;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of consciousness;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;sores, ulcers, or white spots in the mouth or on the lips;swelling of the face, ankles, or hands;tearing;tightness in the chest;unpleasant breath odor;upper right stomach pain;vomiting of blood;yellow eyes and skin;agitation;diarrhea;fever;loss of bladder control;muscle spasm or jerking of all extremities;overactive reflexes;poor coordination;restlessness;shivering;sleepiness or unusual drowsiness;sudden loss of consciousness;sweating;talking or acting with excitement you cannot control;trembling or shaking;twitching;unusual tiredness or weakness;vomiting;body aches or pain;cough;difficulty having a bowel movement (stool);dry mouth;ear congestion;frequent urination;headache;lack or loss of strength;loss of appetite;loss of voice;muscle aches;nausea;sleepiness or unusual drowsiness;sneezing;sore throat;stuffy or runny nose;sweating increased;trouble sleeping;weight loss;abnormal orgasm;acid or sour stomach;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;change or problem with discharge of semen;decreased interest in sexual intercourse;difficulty with moving;feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest;heartburn;inability to have or keep an erection;indigestion;joint pain;longer than usual time to ejaculation of semen;loose stools;loss in sexual ability, desire, drive, or performance;loss of taste;muscle aching or cramping;muscle pains or stiffness;shakiness in the legs, arms, hands, or feet;stomach discomfort or upset;sudden sweating;swollen joints;trembling or shaking of the hands or feet;or",,,,,,,,
3,3,Topamax,,,,,,,,,,,"any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision;burning, prickling, or tingling sensations;clumsiness or unsteadiness;confusion;continuous, uncontrolled back-and-forth or rolling eye movements;dizziness;drowsiness;eye redness;generalized slowing of mental and physical activity;increased eye pressure;memory problems;menstrual changes;menstrual pain;nervousness;speech or language problems;trouble in concentrating or paying attention;unusual tiredness or weakness;abdominal or stomach pain;fever, chills, or sore throat;lessening of sensations or perception;loss of appetite;mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression;red, irritated, or bleeding gums;weight loss;blood in the urine;decrease in sexual performance or desire;difficult or painful urination;frequent urination;hearing loss;loss of bladder control;lower back or side pain;nosebleeds;pale skin;red or irritated eyes;ringing or buzzing in the ears;skin rash or itching;swelling;trouble breathing;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;bloating;clay-colored stools;constipation;cough;diarrhea;increased rate of breathing;joint or muscle pain;pain or tenderness in upper abdomen or stomach;red skin lesions, often with a purple center;sores, ulcers, or white spots in the mouth or on the lips;yellow eyes or skin;decreased awareness or responsiveness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;severe sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;breast pain in women;tremors;back pain;chest pain;constipation;heartburn;hot flushes;increased sweating;leg pain;or",,,,,,,,
4,4,Nucynta ER,,,,,,,,,,,"bladder pain;bloody or cloudy urine;body aches or pain;chills;cough;difficult, burning, or painful urination;difficulty with breathing;fever;headache;loss of voice;lower back or side pain;muscle aches;unusual tiredness or weakness;anxiety;being forgetful or confused;clumsiness or unsteadiness;convulsions;drowsiness;fast or irregular heartbeat;feeling drunk;irritability or restlessness;joint pain, stiffness, or swelling;pale or blue lips, fingernails, or skin;rash, hives, or itching;sensation of heaviness;shakiness or trembling;slurred speech;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;trouble with speaking or hoarseness;troubled breathing or swallowing;changes in behavior;dizziness;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;seeing, hearing, or feeling things that are not there;thoughts of killing oneself;constipation;nausea;vomiting;abnormal dreams;decreased appetite;difficulty with moving;heartburn or indigestion;increased sweating;muscle pain or stiffness;redness of the face, neck, arms, and occasionally, upper chest;stomach discomfort, upset, or pain;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;change in vision",,,,,,,,
5,5,pregabalin,,,,,,,,,,,"difficult or labored breathing;shortness of breath;tightness in the chest;blistering, peeling, or loosening of the skin;chills;cough;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;hives;itching;joint or muscle pain;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;skin rash;sore throat;sores, ulcers, or white spots in the mouth or on the lips;unusual tiredness or weakness;accidental injury;bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;burning, tingling, numbness or pain in the hands, arms, feet, or legs;change in walking and balance;clumsiness;confusion;delusions;dementia;difficulty having a bowel movement (stool);difficulty with speaking;double vision;dry mouth;fever;headache;hoarseness;increased appetite;lack of coordination;loss of memory;lower back or side pain;painful or difficult urination;problems with memory;rapid weight gain;seeing double;sensation of pins and needles;shakiness and unsteady walk;sleepiness or unusual drowsiness;stabbing pain;swelling;tingling of the hands or feet;trembling, or other problems with muscle control or coordination;unusual weight gain or loss;anxiety;bloated or full feeling;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;cold sweats;coma;cool, pale skin;cough producing mucus;decrease or change in vision;depression;excess air or gas in the stomach or intestines;eye disorder;false or unusual sense of well-being;general feeling of discomfort or illness;increased hunger;joint pain;loss of appetite;loss of bladder control;loss of strength or energy;muscle aches and pains;muscle twitching or jerking;muscle weakness;nausea;nervousness;nightmares;noisy breathing;pain;passing gas;rhythmic movement of the muscles;runny nose;seizures;shivering;slurred speech;sweating;trouble sleeping;twitching;uncontrolled eye movements;vomiting;or",,,,,,,,
6,6,duloxetine,,,,,,,,,,,"abdominal or stomach pain;area rash;blindness;blistering, peeling, or loosening of the skin;blurred vision;change in consciousness;chills;clay-colored stools;cold sweats;confusion;convulsions;dark urine;decreased urine output;decreased vision;difficulty swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;eye pain;fainting;fast or irregular heartbeat;general tiredness or weakness;hives or welts, itching, or skin rash;hives, itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;increased thirst;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of consciousness;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;sores, ulcers, or white spots in the mouth or on the lips;swelling of the face, ankles, or hands;tearing;tightness in the chest;unpleasant breath odor;upper right stomach pain;vomiting of blood;yellow eyes and skin;agitation;diarrhea;fever;loss of bladder control;muscle spasm or jerking of all extremities;overactive reflexes;poor coordination;restlessness;shivering;sleepiness or unusual drowsiness;sudden loss of consciousness;sweating;talking or acting with excitement you cannot control;trembling or shaking;twitching;unusual tiredness or weakness;vomiting;body aches or pain;cough;difficulty having a bowel movement (stool);dry mouth;ear congestion;frequent urination;headache;lack or loss of strength;loss of appetite;loss of voice;muscle aches;nausea;sleepiness or unusual drowsiness;sneezing;sore throat;stuffy or runny nose;sweating increased;trouble sleeping;weight loss;abnormal orgasm;acid or sour stomach;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;change or problem with discharge of semen;decreased interest in sexual intercourse;difficulty with moving;feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest;heartburn;inability to have or keep an erection;indigestion;joint pain;longer than usual time to ejaculation of semen;loose stools;loss in sexual ability, desire, drive, or performance;loss of taste;muscle aching or cramping;muscle pains or stiffness;shakiness in the legs, arms, hands, or feet;stomach discomfort or upset;sudden sweating;swollen joints;trembling or shaking of the hands or feet;or",,,,,,,,
7,7,tapentadol,,,,,,,,,,,"bladder pain;bloody or cloudy urine;body aches or pain;chills;cough;difficult, burning, or painful urination;difficulty with breathing;fever;headache;loss of voice;lower back or side pain;muscle aches;unusual tiredness or weakness;anxiety;being forgetful or confused;clumsiness or unsteadiness;convulsions;drowsiness;fast or irregular heartbeat;feeling drunk;irritability or restlessness;joint pain, stiffness, or swelling;pale or blue lips, fingernails, or skin;rash, hives, or itching;sensation of heaviness;shakiness or trembling;slurred speech;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;trouble with speaking or hoarseness;troubled breathing or swallowing;changes in behavior;dizziness;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;seeing, hearing, or feeling things that are not there;thoughts of killing oneself;constipation;nausea;vomiting;abnormal dreams;decreased appetite;difficulty with moving;heartburn or indigestion;increased sweating;muscle pain or stiffness;redness of the face, neck, arms, and occasionally, upper chest;stomach discomfort, upset, or pain;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;change in vision",,,,,,,,
8,8,topiramate,,,,,,,,,,,"any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision;burning, prickling, or tingling sensations;clumsiness or unsteadiness;confusion;continuous, uncontrolled back-and-forth or rolling eye movements;dizziness;drowsiness;eye redness;generalized slowing of mental and physical activity;increased eye pressure;memory problems;menstrual changes;menstrual pain;nervousness;speech or language problems;trouble in concentrating or paying attention;unusual tiredness or weakness;abdominal or stomach pain;fever, chills, or sore throat;lessening of sensations or perception;loss of appetite;mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression;red, irritated, or bleeding gums;weight loss;blood in the urine;decrease in sexual performance or desire;difficult or painful urination;frequent urination;hearing loss;loss of bladder control;lower back or side pain;nosebleeds;pale skin;red or irritated eyes;ringing or buzzing in the ears;skin rash or itching;swelling;trouble breathing;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;bloating;clay-colored stools;constipation;cough;diarrhea;increased rate of breathing;joint or muscle pain;pain or tenderness in upper abdomen or stomach;red skin lesions, often with a purple center;sores, ulcers, or white spots in the mouth or on the lips;yellow eyes or skin;decreased awareness or responsiveness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;severe sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;breast pain in women;tremors;back pain;chest pain;constipation;heartburn;hot flushes;increased sweating;leg pain;or",,,,,,,,
9,9,nortriptyline,,,,,,,,,,,"abdominal or stomach pain;agitation;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain or discomfort;clay-colored stools;cold sweats;confusion about identity, place, and time false beliefs that cannot be changed by facts;continuing ringing or buzzing or other unexplained noise in the ears;decreased urination;depression;difficulty in passing urine (dribbling);difficulty with speaking;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;double vision;fast, pounding, or irregular heartbeat or pulse;feeling of warmth;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;general feeling of tiredness or weakness;hostility;hyperventilation;inability to move the arms, legs, or facial muscles;inability to speak;irritability;loss of balance control;lower back or side pain;mood or mental changes;muscle spasm or jerking of all extremities;muscle trembling, jerking, or stiffness;nightmares;pain or discomfort in the arms, jaw, back, or neck;painful or difficult urination;panic;perspiration;pinpoint red or purple spots on the skin;redness of the face, neck, arms, and occasionally, upper chest;restlessness;seizures;slurred speech;sores, ulcers, or white spots on the lips or in the mouth;stiffness of the limbs;sweating;swelling of the face, ankles, legs, or hands;talking, feeling, and acting with excitement;trouble sleeping;twisting movements of the body uncontrolled movements, especially of the face, neck, and back;weakness in the arms, hands, legs, or feet;bigger, dilated, or enlarged pupils (black part of the eye);black tongue;decreased interest in sexual ability or desire;difficulty having a bowel movement (stool);enlargement of the breast;hair loss or thinning of the hair;heartburn;hives or welts;increase in sexual ability or desire;increased sensitivity of the eyes or skin to light;pain or discomfort in the chest, upper stomach, or throat;peculiar taste;severe sunburn;small red or purple spots on the skin;swelling of the testicles;swelling or inflammation of the mouth;swollen, painful, or tender lymph glands on side of face or neck;vision changes;waking to urinate at night;or",,,,,,,,
