,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Cymbalta,,,,,,,,,,,"abdominal or stomach pain;area rash;blindness;blistering, peeling, or loosening of the skin;blurred vision;change in consciousness;chills;clay-colored stools;cold sweats;confusion;convulsions;dark urine;decreased urine output;decreased vision;difficulty swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;eye pain;fainting;fast or irregular heartbeat;general tiredness or weakness;hives or welts, itching, or skin rash;hives, itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;increased thirst;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of consciousness;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;sores, ulcers, or white spots in the mouth or on the lips;swelling of the face, ankles, or hands;tearing;tightness in the chest;unpleasant breath odor;upper right stomach pain;vomiting of blood;yellow eyes and skin;agitation;diarrhea;fever;loss of bladder control;muscle spasm or jerking of all extremities;overactive reflexes;poor coordination;restlessness;shivering;sleepiness or unusual drowsiness;sudden loss of consciousness;sweating;talking or acting with excitement you cannot control;trembling or shaking;twitching;unusual tiredness or weakness;vomiting;body aches or pain;cough;difficulty having a bowel movement (stool);dry mouth;ear congestion;frequent urination;headache;lack or loss of strength;loss of appetite;loss of voice;muscle aches;nausea;sleepiness or unusual drowsiness;sneezing;sore throat;stuffy or runny nose;sweating increased;trouble sleeping;weight loss;abnormal orgasm;acid or sour stomach;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;change or problem with discharge of semen;decreased interest in sexual intercourse;difficulty with moving;feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest;heartburn;inability to have or keep an erection;indigestion;joint pain;longer than usual time to ejaculation of semen;loose stools;loss in sexual ability, desire, drive, or performance;loss of taste;muscle aching or cramping;muscle pains or stiffness;shakiness in the legs, arms, hands, or feet;stomach discomfort or upset;sudden sweating;swollen joints;trembling or shaking of the hands or feet;or",,,,,,,,
1,1,Zoloft,,,,,,,,,,,"decreased sexual desire or ability;failure to discharge semen (in men);aggressive reaction;breast tenderness or enlargement;confusion;convulsions;diarrhea;drowsiness;dryness of the mouth;fast talking and excited feelings or actions that are out of control;fever;inability to sit still;increase in body movements;increased sweating;increased thirst;lack of energy;loss of bladder control;mood or behavior changes;muscle spasm or jerking of all extremities;nosebleeds;overactive reflexes;racing heartbeat;red or purple spots on the skin;restlessness;shivering;skin rash, hives, or itching;sudden loss of consciousness;unusual or sudden body or facial movements or postures;unusual secretion of milk (in females);abdominal or stomach pain;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine;bloody, black, or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;chills;clay-colored stools;cough or hoarseness;darkened urine;decreased urine output;decreased vision;depressed mood;difficulty with breathing;difficulty with speaking;difficulty with swallowing;drooling;dry skin and hair;eye pain;fainting;feeling cold;feeling of discomfort;feeling, seeing, or hearing things that are not there;general feeling of discomfort, illness, tiredness, or weakness;hair loss;high fever;high or low blood pressure;hoarseness or husky voice;hostility;increased clotting times;indigestion;inflamed joints;irritability;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lethargy;lightheadedness;loss of appetite;loss of balance control;loss of bladder control;lower back or side pain;muscle aches;muscle cramps and stiffness;muscle trembling, jerking, or stiffness;muscle twitching;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;rash;red, irritated eyes;red, sore, or itching skin;right upper stomach pain and fullness;severe mood or mental changes;severe muscle stiffness;shuffling walk;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sores, welting, or blisters;stiffness of the limbs;sweating;swelling of the face, ankles, or hands;swollen or painful glands;talking or acting with excitement you cannot control;tightness in the chest;troubled breathing;twisting movements of the body;twitching;uncontrolled movements, especially of the face, neck, and back;unexplained bleeding or bruising;unpleasant breath odor;unusual behavior;unusual tiredness or weakness;vomiting of blood;weight gain;yellow eyes and skin;acid or sour stomach;belching;decreased appetite or weight loss;diarrhea or loose stools;heartburn;sleepiness or unusual drowsiness;stomach or abdominal cramps, gas, or pain;trouble sleeping;agitation, anxiety, or nervousness;bladder pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;changes in vision;cloudy urine;constipation;difficult, burning, or painful urination;flushing or redness of the skin, with feeling of warmth or heat;frequent urge to urinate;increased appetite;pain or tenderness around the eyes and cheekbones;stuffy or runny nose;flushed, dry skin;fruit-like breath odor;increased hunger;increased urination;redness or other discoloration of the skin;severe sunburn;swelling of the breasts (in women);unexplained weight loss;unusual secretion of milk (in women);or",,,,,,,,
2,2,Lexapro,,,,,,,,,,,"coma;confusion;convulsions;decreased urine output;dizziness;fast or irregular heartbeat;headache;increased thirst;muscle pain or cramps;nausea or vomiting;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;constipation;decreased interest in sexual intercourse;diarrhea;dry mouth;ejaculation delay;gas in the stomach;heartburn;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;sleepiness or unusual drowsiness;trouble sleeping;bloated or full feeling;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chills;cough;decreased appetite;excess air or gas in the stomach or intestines;fever;general feeling of discomfort or illness;increased sweating;joint pain;muscle aches and pains;not able to have an orgasm;pain in the neck or shoulders;pain or tenderness around the eyes and cheekbones;passing gas;runny nose;shivering;sneezing;sore throat;stuffy nose;tightness of the chest;tooth problems;trouble breathing;unusual dreams;unusual drowsiness, dullness, tiredness, weakness or feeling of sluggishness;yawning;or",,,,,,,,
3,3,Prozac,,,,,,,,,,,"hives, itching, or skin rash;inability to sit still;restlessness;chills or fever;joint or muscle pain;anxiety;cold sweats;confusion;convulsions (seizures);cool pale skin;diarrhea;difficulty with concentration;drowsiness;dryness of the mouth;excessive hunger;fast or irregular heartbeat;headache;increased sweating;increased thirst;lack of energy;mood or behavior changes;overactive reflexes;purple or red spots on the skin;racing heartbeat;shakiness or unsteady walk;shivering or shaking;talking, feeling, and acting with excitement and activity you cannot control;trouble with breathing;unusual or incomplete body or facial movements;unusual tiredness or weakness;abdominal or stomach pain;agitation;back or leg pains;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine or stools;bloody, black or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;clay-colored stools;constipation;continuing vomiting;cough or dry cough;dark urine;decreased urine output;decreased vision;depression;difficulty with breathing;difficulty with swallowing;dizziness or lightheadedness;eye pain;fainting;fast, pounding, or irregular heartbeat or pulse;general body swelling;high fever;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hostility;indigestion;irregular or slow heart rate;irritability;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;loss of bladder control;muscle twitching;nausea;nightmares;noisy breathing;nosebleeds;pain in the ankles or knees;painful, red lumps under the skin, mostly on the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pinpoint red spots on the skin;rapid weight gain;red or irritated eyes;red skin lesions, often with a purple center;redness, tenderness, itching, burning, or peeling of the skin;severe muscle stiffness;severe sleepiness;slurred speech;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stopping of heart;sudden shortness of breath or troubled breathing;sudden weakness in the arms or legs;sudden, severe chest pain;swelling of the face, ankles, or hands;swollen or painful glands;thoughts of killing oneself;tightness in the chest;tiredness;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually pale skin;use of extreme physical or emotional force;vomiting of blood;yellow eyes or skin;decreased appetite;abnormal dreams;breast enlargement or pain;change in sense of taste;changes in vision;feeling of warmth or heat;flushing or redness of the skin, especially on face and neck;frequent urination;hair loss;increased appetite;increased sensitivity of the skin to sunlight;menstrual pain;stomach cramps, gas, or pain;unusual secretion of milk, in females;weight loss;yawning;cracks in the skin;loss of heat from the body;painful or prolonged erections of the penis;scaly skin;swelling of the breasts or breast soreness in both females and males;unusual milk production;or",,,,,,,,
4,4,Celexa,,,,,,,,,,,"agitation;blurred vision;confusion;fever;increase in the frequency of urination or amount of urine produced;lack of emotion;loss of memory;menstrual changes;skin rash or itching;trouble breathing;behavior change similar to drunkenness;bleeding gums;breast tenderness or enlargement or unusual secretion of milk (in females);chills;convulsions (seizures);diarrhea;difficulty with concentrating;dizziness or fainting;drowsiness;increased hunger;increased thirst;irregular heartbeat;lack of energy;lethargy;nosebleed;overactive reflexes;painful urination;poor coordination;purple or red spots on the skin;rapid weight gain;red or irritated eyes;redness, tenderness, itching, burning, or peeling of the skin;shivering;slow or irregular heartbeat (less than 50 beats per minute);sore throat;stupor;sweating;swelling of the face, ankles, or hands;talking or acting with excitement you cannot control;trembling, shaking, or twitching;trouble with holding or releasing urine;unusual or sudden body or facial movements or postures;unusual tiredness or weakness;abdominal or stomach pain;back or leg pains;black, tarry stools;bloating;bloody stools;chest pain;confusion as to time, place, or person;constipation;cough;darkened urine;difficult or fast breathing;difficulty with swallowing;drooling;fast, slow, or irregular heartbeat;general body swelling;hive-like swelling on the face, eyelids, lips, tongue, or throat;hives;holding false beliefs that cannot be changed by fact;impaired consciousness, ranging from confusion to coma;indigestion;itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;loss of appetite;loss of bladder control;loss of consciousness;muscle cramps or spasms;muscle tightness;muscle twitching or jerking;pale skin;penile erections, frequent or continuing;recurrent fainting;rhythmic movement of the muscles;seeing, hearing, or feeling things that are not there;swelling of the breasts or unusual milk production;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;tightness in the chest;total body jerking;twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;uncontrolled jerking or twisting movements;unusual excitement;vomiting of blood or material that looks like coffee grounds;yellowing of the eyes or skin;decrease in sexual desire or ability;sleepiness or unusual drowsiness;body aches or pain;change in sense of taste;gas;headache (severe and throbbing);heartburn;increased sweating;increased yawning;loss of voice;pain in the muscles or joints;sneezing;stuffy or runny nose;tingling, burning, or prickly feelings on the skin;tooth grinding;unusual increase or decrease in weight;watering of the mouth;bruising;inability to sit still;large, flat, blue or purplish patches in the skin;need to keep moving;uncontrolled eye movements;or",,,,,,,,
5,5,bupropion,,,,,,,,,,,"anxiety;dry mouth;hyperventilation;irregular heartbeats;irritability;restlessness;shaking;shortness of breath;trouble sleeping;buzzing or ringing in the ears;headache (severe);skin rash, hives, or itching;confusion;fainting;false beliefs that cannot be changed by facts;having extreme distrust of people;seeing, hearing, or feeling things that are not there;seizures (convulsions);trouble concentrating;actions that are out of control;anger;assaulting others;attacking others;being aggressive;being impulsive;chest pain or discomfort;fast or pounding heartbeat;force;inability to sit still;need to keep moving;sweating;talking, feeling, or acting with excitement;abdominal or stomach pain;constipation;decrease in appetite;dizziness;increased sweating;trembling;weight loss (unusual);blurred vision;change in sense of taste;drowsiness;frequent need to urinate;sore throat;unusual feeling of wellbeing;or",,,,,,,,
6,6,citalopram,,,,,,,,,,,"agitation;blurred vision;confusion;fever;increase in the frequency of urination or amount of urine produced;lack of emotion;loss of memory;menstrual changes;skin rash or itching;trouble breathing;behavior change similar to drunkenness;bleeding gums;breast tenderness or enlargement or unusual secretion of milk (in females);chills;convulsions (seizures);diarrhea;difficulty with concentrating;dizziness or fainting;drowsiness;increased hunger;increased thirst;irregular heartbeat;lack of energy;lethargy;nosebleed;overactive reflexes;painful urination;poor coordination;purple or red spots on the skin;rapid weight gain;red or irritated eyes;redness, tenderness, itching, burning, or peeling of the skin;shivering;slow or irregular heartbeat (less than 50 beats per minute);sore throat;stupor;sweating;swelling of the face, ankles, or hands;talking or acting with excitement you cannot control;trembling, shaking, or twitching;trouble with holding or releasing urine;unusual or sudden body or facial movements or postures;unusual tiredness or weakness;abdominal or stomach pain;back or leg pains;black, tarry stools;bloating;bloody stools;chest pain;confusion as to time, place, or person;constipation;cough;darkened urine;difficult or fast breathing;difficulty with swallowing;drooling;fast, slow, or irregular heartbeat;general body swelling;hive-like swelling on the face, eyelids, lips, tongue, or throat;hives;holding false beliefs that cannot be changed by fact;impaired consciousness, ranging from confusion to coma;indigestion;itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;loss of appetite;loss of bladder control;loss of consciousness;muscle cramps or spasms;muscle tightness;muscle twitching or jerking;pale skin;penile erections, frequent or continuing;recurrent fainting;rhythmic movement of the muscles;seeing, hearing, or feeling things that are not there;swelling of the breasts or unusual milk production;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area;tightness in the chest;total body jerking;twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;uncontrolled jerking or twisting movements;unusual excitement;vomiting of blood or material that looks like coffee grounds;yellowing of the eyes or skin;decrease in sexual desire or ability;sleepiness or unusual drowsiness;body aches or pain;change in sense of taste;gas;headache (severe and throbbing);heartburn;increased sweating;increased yawning;loss of voice;pain in the muscles or joints;sneezing;stuffy or runny nose;tingling, burning, or prickly feelings on the skin;tooth grinding;unusual increase or decrease in weight;watering of the mouth;bruising;inability to sit still;large, flat, blue or purplish patches in the skin;need to keep moving;uncontrolled eye movements;or",,,,,,,,
7,7,Wellbutrin XL,,,,,,,,,,,"anxiety;dry mouth;hyperventilation;irregular heartbeats;irritability;restlessness;shaking;shortness of breath;trouble sleeping;buzzing or ringing in the ears;headache (severe);skin rash, hives, or itching;confusion;fainting;false beliefs that cannot be changed by facts;having extreme distrust of people;seeing, hearing, or feeling things that are not there;seizures (convulsions);trouble concentrating;actions that are out of control;anger;assaulting others;attacking others;being aggressive;being impulsive;chest pain or discomfort;fast or pounding heartbeat;force;inability to sit still;need to keep moving;sweating;talking, feeling, or acting with excitement;abdominal or stomach pain;constipation;decrease in appetite;dizziness;increased sweating;trembling;weight loss (unusual);blurred vision;change in sense of taste;drowsiness;frequent need to urinate;sore throat;unusual feeling of wellbeing;or",,,,,,,,
8,8,sertraline,,,,,,,,,,,"decreased sexual desire or ability;failure to discharge semen (in men);aggressive reaction;breast tenderness or enlargement;confusion;convulsions;diarrhea;drowsiness;dryness of the mouth;fast talking and excited feelings or actions that are out of control;fever;inability to sit still;increase in body movements;increased sweating;increased thirst;lack of energy;loss of bladder control;mood or behavior changes;muscle spasm or jerking of all extremities;nosebleeds;overactive reflexes;racing heartbeat;red or purple spots on the skin;restlessness;shivering;skin rash, hives, or itching;sudden loss of consciousness;unusual or sudden body or facial movements or postures;unusual secretion of milk (in females);abdominal or stomach pain;bleeding gums;blindness;blistering, peeling, or loosening of the skin;bloating;blood in the urine;bloody, black, or tarry stools;blue-yellow color blindness;blurred vision;chest pain or discomfort;chills;clay-colored stools;cough or hoarseness;darkened urine;decreased urine output;decreased vision;depressed mood;difficulty with breathing;difficulty with speaking;difficulty with swallowing;drooling;dry skin and hair;eye pain;fainting;feeling cold;feeling of discomfort;feeling, seeing, or hearing things that are not there;general feeling of discomfort, illness, tiredness, or weakness;hair loss;high fever;high or low blood pressure;hoarseness or husky voice;hostility;increased clotting times;indigestion;inflamed joints;irritability;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lethargy;lightheadedness;loss of appetite;loss of balance control;loss of bladder control;lower back or side pain;muscle aches;muscle cramps and stiffness;muscle trembling, jerking, or stiffness;muscle twitching;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;rash;red, irritated eyes;red, sore, or itching skin;right upper stomach pain and fullness;severe mood or mental changes;severe muscle stiffness;shuffling walk;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sores, welting, or blisters;stiffness of the limbs;sweating;swelling of the face, ankles, or hands;swollen or painful glands;talking or acting with excitement you cannot control;tightness in the chest;troubled breathing;twisting movements of the body;twitching;uncontrolled movements, especially of the face, neck, and back;unexplained bleeding or bruising;unpleasant breath odor;unusual behavior;unusual tiredness or weakness;vomiting of blood;weight gain;yellow eyes and skin;acid or sour stomach;belching;decreased appetite or weight loss;diarrhea or loose stools;heartburn;sleepiness or unusual drowsiness;stomach or abdominal cramps, gas, or pain;trouble sleeping;agitation, anxiety, or nervousness;bladder pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;changes in vision;cloudy urine;constipation;difficult, burning, or painful urination;flushing or redness of the skin, with feeling of warmth or heat;frequent urge to urinate;increased appetite;pain or tenderness around the eyes and cheekbones;stuffy or runny nose;flushed, dry skin;fruit-like breath odor;increased hunger;increased urination;redness or other discoloration of the skin;severe sunburn;swelling of the breasts (in women);unexplained weight loss;unusual secretion of milk (in women);or",,,,,,,,
9,9,Abilify,,,,,,,,,,,"difficulty with speaking;drooling;loss of balance control;muscle trembling, jerking, or stiffness;restlessness;shuffling walk;stiffness of the limbs;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;blurred vision;dizziness;headache;inability to move the eyes;increased blinking or spasms of the eyelid;nervousness;pounding in the ears;slow or fast heartbeat;sticking out the tongue;trouble with breathing or swallowing;unusual facial expressions;convulsions;fast heartbeat;high fever;high or low blood pressure;increased sweating;lip smacking or puckering;loss of bladder control;muscle spasm or jerking of all extremities;puffing of the cheeks;rapid or worm-like movements of the tongue;severe muscle stiffness;sudden loss of consciousness;tiredness;uncontrolled chewing movements;uncontrolled movements of the arms and legs;unusually pale skin;hives or welts, itching, or skin rash;itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;redness of the skin;tightness in the chest;unusual tiredness or weakness;bigger, dilated, or enlarged pupils (black part of the eye);diarrhea;fast, pounding, or irregular heartbeat or pulse;increased sensitivity of the eyes to light;lack or loss of strength;nausea;sleepiness or unusual drowsiness;vomiting;acid or sour stomach;anxiety;belching;blurred vision;difficulty having a bowel movement (stool);dry mouth;fear;fever;headache;heartburn;hyperventilation;inability to sit still;indigestion;irritability;lightheadedness;need to keep moving;nervousness;rash;runny nose;shaking;sore throat;stomach discomfort, upset, or pain;trouble sleeping;weight gain;accidental injury;bloating or swelling of the face, arms, hands, lower legs, or feet;body aches or pain;congestion;coughing;difficulty with moving;dryness or soreness of the throat;hoarseness;increased appetite;increased salivation;joint pain;muscle aching or cramping;muscle pains or stiffness;rapid weight gain;sneezing;stuffy nose;swollen joints;tender, swollen glands in the neck;tingling of the hands or feet;tremor;unusual weight gain or loss;voice changes;or",,,,,,,,
