,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Artificial Tears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
1,1,Systane,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
2,2,GenTeal,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
3,3,hydroxypropyl methylcellulose,,,,,,,,,,,,,,,,,,,
4,4,Xiidra,,,,,,,,,,,changes in vision;eye irritation or discomfort;blurred vision;redness of the white part of the eyes or inside of the eyelids;change in taste;loss of taste;cough;discomfort or itching of the eyes;drainage from the eyes;fever;headache;pain or tenderness around the eyes and cheekbones;stuffy or runny nose;tightness of the chest;troubled breathing;watering of the eyes,,,,,,,,
5,5,FreshKote,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
6,6,TheraTears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
7,7,lifitegrast,,,,,,,,,,,,,,,,,,,
8,8,Celluvisc,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
9,9,Clear Eyes Contact Lens Multi-Action Relief,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
10,10,Hypotears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
11,11,Isopto Tears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
12,12,Lacri-Lube S.O.P.,,,,,,,,,,,,,,,,,,,
13,13,Lacrisert,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
14,14,Liquitears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
15,15,Moisture Drops,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
16,16,Murocel,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
17,17,Oasis Tears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
18,18,ocular lubricant,,,,,,,,,,,,,,,,,,,
19,19,Opti-Free Rewetting Drops,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
20,20,optive,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
21,21,Puralube Tears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
22,22,Refresh,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
23,23,Soothe,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
24,24,Tears Again,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
25,25,Ultra Fresh,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
26,26,Visine Tears,,,,,,,,,,,blurred vision;eye redness or discomfort or other irritation not present before use of this medicine;increased sensitivity of eyes to light;matting or stickiness of eyelashes;swelling of eyelids;watering of eyes,,,,,,,,
27,27,,,,,,,,,,,,,,,,,,,,
