,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Pyridium,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
1,1,phenazopyridine,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
2,2,oxybutynin,,,,,,,,,,,"eye pain;skin rash or hives;clumsiness or unsteadiness;confusion;convulsions;dizziness;drowsiness (severe);fainting;fast, slow, or irregular heartbeat;fever;flushing or redness of the face;hallucinations (seeing, hearing, or feeling things that are not there);troubled breathing;unusual excitement, nervousness, restlessness, or irritability;acid or sour stomach;belching;decreased sweating;diarrhea;difficulty having a bowel movement (stool);drowsiness;dryness of the eyes, mouth, nose, or throat;heartburn;indigestion;runny nose;stomach discomfort, upset, or pain;blurred vision;decreased flow of breast milk;decreased sexual ability;difficulty in swallowing;feeling of warmth or heat;headache;increased sensitivity of the eyes to light;nausea or vomiting;trouble with sleeping;unusual tiredness or weakness;bloating or swelling of the face, arms, hands, lower legs, or feet;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;rapid weight gain;tingling of the hands or feet;unusual weight gain or loss",,,,,,,,
3,3,Ditropan,,,,,,,,,,,"eye pain;skin rash or hives;clumsiness or unsteadiness;confusion;convulsions;dizziness;drowsiness (severe);fainting;fast, slow, or irregular heartbeat;fever;flushing or redness of the face;hallucinations (seeing, hearing, or feeling things that are not there);troubled breathing;unusual excitement, nervousness, restlessness, or irritability;acid or sour stomach;belching;decreased sweating;diarrhea;difficulty having a bowel movement (stool);drowsiness;dryness of the eyes, mouth, nose, or throat;heartburn;indigestion;runny nose;stomach discomfort, upset, or pain;blurred vision;decreased flow of breast milk;decreased sexual ability;difficulty in swallowing;feeling of warmth or heat;headache;increased sensitivity of the eyes to light;nausea or vomiting;trouble with sleeping;unusual tiredness or weakness;bloating or swelling of the face, arms, hands, lower legs, or feet;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;rapid weight gain;tingling of the hands or feet;unusual weight gain or loss",,,,,,,,
4,4,Azo Urinary Pain Relief,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
5,5,Urispas,,,,,,,,,,,"confusion;eye pain;skin rash or hives;sore throat and fever;clumsiness or unsteadiness;dizziness (severe);drowsiness (severe);fever;flushing or redness of face;hallucinations (seeing, hearing, or feeling things that are not there);shortness of breath or troubled breathing;unusual excitement, nervousness, restlessness, or irritability;drowsiness;dryness of mouth and throat;blurred vision;constipation;difficult urination;difficulty concentrating;dizziness;fast heartbeat;headache;increased sensitivity of eyes to light;increased sweating;nausea or vomiting;nervousness;stomach pain",,,,,,,,
6,6,Azo-Standard,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
7,7,Ditropan XL,,,,,,,,,,,"eye pain;skin rash or hives;clumsiness or unsteadiness;confusion;convulsions;dizziness;drowsiness (severe);fainting;fast, slow, or irregular heartbeat;fever;flushing or redness of the face;hallucinations (seeing, hearing, or feeling things that are not there);troubled breathing;unusual excitement, nervousness, restlessness, or irritability;acid or sour stomach;belching;decreased sweating;diarrhea;difficulty having a bowel movement (stool);drowsiness;dryness of the eyes, mouth, nose, or throat;heartburn;indigestion;runny nose;stomach discomfort, upset, or pain;blurred vision;decreased flow of breast milk;decreased sexual ability;difficulty in swallowing;feeling of warmth or heat;headache;increased sensitivity of the eyes to light;nausea or vomiting;trouble with sleeping;unusual tiredness or weakness;bloating or swelling of the face, arms, hands, lower legs, or feet;decreased interest in sexual intercourse;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;rapid weight gain;tingling of the hands or feet;unusual weight gain or loss",,,,,,,,
8,8,Uricalm,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
9,9,Uristat,,,,,,,,,,,"blue or blue-purple color of skin;fever and confusion;shortness of breath, tightness in chest, wheezing, or troubled breathing;skin rash;sudden decrease in the amount of urine;swelling of face, fingers, feet, and/or lower legs;unusual tiredness or weakness;weight gain;yellow eyes or skin;dizziness;headache;indigestion;itching of the skin;stomach cramps or pain;or",,,,,,,,
10,10,flavoxate,,,,,,,,,,,"confusion;eye pain;skin rash or hives;sore throat and fever;clumsiness or unsteadiness;dizziness (severe);drowsiness (severe);fever;flushing or redness of face;hallucinations (seeing, hearing, or feeling things that are not there);shortness of breath or troubled breathing;unusual excitement, nervousness, restlessness, or irritability;drowsiness;dryness of mouth and throat;blurred vision;constipation;difficult urination;difficulty concentrating;dizziness;fast heartbeat;headache;increased sensitivity of eyes to light;increased sweating;nausea or vomiting;nervousness;stomach pain",,,,,,,,
