,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Requip,,,,,,,,,,,"confusion;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drowsiness;falling;nausea;seeing, hearing, or feeling things that are not there (hallucinations);sleepiness or unusual drowsiness;swelling of the legs;twisting, twitching, or other unusual body movements;unusual tiredness or weakness;worsening of parkinsonism;abdominal or stomach pain;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine;blurred vision;burning, pain, or difficulty in urinating;chest pain;chills;cold sweats;cough;double vision or other eye or vision problems;fainting;fear or nervousness;feeling of constant movement of self or surroundings;high or low blood pressure;irregular or pounding heartbeat;loss of memory;mental depression;pain;pain in the arms or legs;pounding in the ears;rapid weight gain;sensation of spinning;slow or fast heartbeat;sore throat;sweating;tightness in chest;tingling of hands or feet;tingling, numbness, or prickly feelings;trouble in concentrating;troubled breathing;unusual weight gain or loss;vomiting;anxiety;buzzing or ringing in the ears;changes in vision;fever;headache;joint pain;loss of bladder control;muscle cramps, pain, or spasms;nasal congestion;runny nose;sneezing;trouble with swallowing;unusual urges;agitation;grogginess;increase in unusual body movements, especially of the face or mouth;increased coughing;increased sweating;lack or loss of strength;nightmares;abnormal dreams;acid or sour stomach;back pain;belching;decrease in sexual desire or performance;difficulty having a bowel movement (stool);dryness of mouth;flushing;general feeling of discomfort or illness;heartburn or gas;hot flashes;indigestion;loss of appetite;tremor;weight loss;yawning;or",,,,,,,,
1,1,ropinirole,,,,,,,,,,,"confusion;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drowsiness;falling;nausea;seeing, hearing, or feeling things that are not there (hallucinations);sleepiness or unusual drowsiness;swelling of the legs;twisting, twitching, or other unusual body movements;unusual tiredness or weakness;worsening of parkinsonism;abdominal or stomach pain;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine;blurred vision;burning, pain, or difficulty in urinating;chest pain;chills;cold sweats;cough;double vision or other eye or vision problems;fainting;fear or nervousness;feeling of constant movement of self or surroundings;high or low blood pressure;irregular or pounding heartbeat;loss of memory;mental depression;pain;pain in the arms or legs;pounding in the ears;rapid weight gain;sensation of spinning;slow or fast heartbeat;sore throat;sweating;tightness in chest;tingling of hands or feet;tingling, numbness, or prickly feelings;trouble in concentrating;troubled breathing;unusual weight gain or loss;vomiting;anxiety;buzzing or ringing in the ears;changes in vision;fever;headache;joint pain;loss of bladder control;muscle cramps, pain, or spasms;nasal congestion;runny nose;sneezing;trouble with swallowing;unusual urges;agitation;grogginess;increase in unusual body movements, especially of the face or mouth;increased coughing;increased sweating;lack or loss of strength;nightmares;abnormal dreams;acid or sour stomach;back pain;belching;decrease in sexual desire or performance;difficulty having a bowel movement (stool);dryness of mouth;flushing;general feeling of discomfort or illness;heartburn or gas;hot flashes;indigestion;loss of appetite;tremor;weight loss;yawning;or",,,,,,,,
2,2,Mirapex,,,,,,,,,,,"dizziness, lightheadedness, or fainting, especially when standing up suddenly from a sitting/lying position;drowsiness;hallucinations (seeing, hearing, or feeling things that are not there);nausea;trouble sleeping;twitching, twisting, or other unusual body movements;unusual tiredness or weakness;confusion;cough;difficulty with swallowing;double vision or other changes in vision;falling asleep without warning;fearfulness, suspiciousness, or other mental changes;fever;frequent urination;memory loss;muscle or joint pain;muscle weakness;restlessness or need to keep moving;swelling of the body;tightness in the chest;troubled breathing;writhing, twisting, or other unusual body movements;abnormal thinking;anxiety;bloody or cloudy urine;chest pain;difficult, burning, or painful urination;dizziness;frequent urge to urinate;loss of bladder control;swelling of the arms or legs;constipation;dryness of the mouth;headache;heartburn, indigestion, or acid stomach;abnormal dreams;decreased sexual drive or ability;general feeling of discomfort or illness;increased cough;increased sweating;itching;joint pain;loss of appetite;runny nose;skin problems, such as rash or itching;weight loss;or",,,,,,,,
3,3,pramipexole,,,,,,,,,,,"dizziness, lightheadedness, or fainting, especially when standing up suddenly from a sitting/lying position;drowsiness;hallucinations (seeing, hearing, or feeling things that are not there);nausea;trouble sleeping;twitching, twisting, or other unusual body movements;unusual tiredness or weakness;confusion;cough;difficulty with swallowing;double vision or other changes in vision;falling asleep without warning;fearfulness, suspiciousness, or other mental changes;fever;frequent urination;memory loss;muscle or joint pain;muscle weakness;restlessness or need to keep moving;swelling of the body;tightness in the chest;troubled breathing;writhing, twisting, or other unusual body movements;abnormal thinking;anxiety;bloody or cloudy urine;chest pain;difficult, burning, or painful urination;dizziness;frequent urge to urinate;loss of bladder control;swelling of the arms or legs;constipation;dryness of the mouth;headache;heartburn, indigestion, or acid stomach;abnormal dreams;decreased sexual drive or ability;general feeling of discomfort or illness;increased cough;increased sweating;itching;joint pain;loss of appetite;runny nose;skin problems, such as rash or itching;weight loss;or",,,,,,,,
4,4,gabapentin,,,,,,,,,,,"clumsiness or unsteadiness;continuous, uncontrolled, back-and-forth, or rolling eye movements;aggressive behavior or other behavior problems;anxiety;concentration problems and change in school performance;crying;depression;false sense of well-being;hyperactivity or increase in body movements;rapidly changing moods;reacting too quickly, too emotional, or overreacting;restlessness;suspiciousness or distrust;black, tarry stools;chest pain;chills;cough;depression, irritability, or other mood or mental changes;fever;loss of memory;pain or swelling in the arms or legs;painful or difficult urination;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain;blistering, peeling, or loosening of the skin;clay-colored stools;coma;confusion;convulsions;dark urine;decreased urine output;diarrhea;dizziness;fast or irregular heartbeat;headache;increased thirst;itching or skin rash;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;muscle ache or pain;nausea;red skin lesions, often with a purple center;red, irritated eyes;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;cold or flu-like symptoms;delusions;dementia;hoarseness;lack or loss of strength;lower back or side pain;swelling of the hands, feet, or lower legs;trembling or shaking;accidental injury;appetite increased;back pain;bloated or full feeling;body aches or pain;burning, dry, or itching eyes;change in vision;change in walking and balance;clumsiness or unsteadiness;congestion;constipation;cough producing mucus;decrease in sexual desire or ability;difficulty with breathing;dryness of the mouth or throat;earache;excess air or gas in the stomach or intestines;excessive tearing;eye discharge;feeling faint, dizzy, or lightheadedness;feeling of warmth or heat;flushed, dry skin;flushing or redness of the skin, especially on the face and neck;frequent urination;fruit-like breath odor;impaired vision;incoordination;increased hunger;increased sensitivity to pain;increased sensitivity to touch;increased thirst;indigestion;noise in the ears;pain, redness, rash, swelling, or bleeding where the skin is rubbed off;passing gas;redness or swelling in the ear;redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid;runny nose;sneezing;sweating;tender, swollen glands in the neck;tightness in the chest;tingling in the hands and feet;trouble sleeping;trouble swallowing;trouble thinking;twitching;unexplained weight loss;voice changes;vomiting;weakness or loss of strength;weight gain;or",,,,,,,,
5,5,clonazepam,,,,,,,,,,,"body aches or pain;chills;cough;difficulty breathing;discouragement;dizziness;ear congestion;feeling sad or empty;fever;headache;irritability;lack of appetite;loss of interest or pleasure;loss of voice;nasal congestion;poor coordination;runny nose;shakiness and unsteady walk;sleepiness or unusual drowsiness;sneezing;sore throat;tiredness;trouble concentrating;trouble sleeping;unsteadiness, trembling, or other problems with muscle control or coordination;unusual tiredness or weakness;being forgetful;bladder pain;bloody or cloudy urine;change in speech;diarrhea;difficult, burning, or painful urination;frequent urge to urinate;general feeling of discomfort or illness;joint pain;loss of appetite;lower back or side pain;mood or mental changes;muscle aches and pains;nausea;nervousness;problems in urination or increase in the amount of urine;shivering;slurred speech;sore throat;sweating;trouble speaking;vomiting;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;changes in skin color;chest pain or discomfort;cold sweats;colds;confusion;cough or hoarseness;difficulty with sleeping;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;excessive dreaming;excessive muscle tone;excitement;falling;fast, irregular, pounding, or racing heartbeat or pulse;feeling mad;feeling of unreality;flu-like symptoms;headache, severe and throbbing;lack of feeling or emotion;lack or loss of self-control;muscle stiffness;muscle tension or tightness;nightmares;pain, inflammation, or swelling in the calves, shoulders, or hands;pain or swelling in the arms or legs without any injury;pain, tenderness, or swelling of the foot or leg;partial or slight paralysis;scaling;sense of detachment from self or body;shakiness in the legs, arms, hands, or feet;skin rash;swelling around the eyes;swelling of the face, ankle, foot, or knees;thoughts of killing oneself changes in behavior;tightness in the chest;trembling or shaking of the hands or feet;uncaring;vision changes;abdominal pain or fullness;anxiety;black, tarry stools;bleeding gums;blood in the urine or stools;change in consciousness;chest congestion;difficulty with coordination;double vision;drowsiness;dry mouth;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;hyperventilation;irregular, fast, slow, or shallow breathing;irregular, twisting uncontrolled movement of the face, hands, arms, or legs;loss of interest or pleasure;loss of memory;loss of strength or energy;loss of voice;muscle weakness;pale or blue lips, fingernails, or skin;pinpoint red spots on the skin;problems with memory;restlessness;severe mood or mental changes;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;troubled breathing with exertion;uncontrolled eye movements;unusual behavior;unusual bleeding or bruising;unusual weakness;vivid dreams;weight loss or gain;decreased interest in sexual intercourse;difficulty with swallowing;dryness or soreness of the throat;heavy bleeding;hives;inability to have or keep an erection;longer than usual time to ejaculation of semen;loss in sexual ability, desire, drive, or performance;pain or tenderness around the eyes and cheekbones;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;voice changes;acid or sour stomach;ankle, knee, or great toe joint pain;belching;bleeding after defecation;blistering, burning, crusting, dryness, or flaking of the skin;bloated;blurred or loss of vision;change in color perception;cracks in the skin at the corners of the mouth;decrease or change in vision;difficulty moving;double vision;dryness of the eyes;earache;excess air or gas in stomach or intestines;feeling of constant movement of self or surroundings;feeling of warmth;frequent bowel movements;full feeling;hair loss or thinning of the hair;halos around lights;heartburn;increased watering of the mouth;indigestion;irregularities in menstruation;itching in the genital or other skin areas;itching, scaling, severe redness, soreness, or swelling of the skin;joint stiffness or swelling;leg or muscle cramps;loss of taste;night blindness;nosebleeds;overbright appearance of lights;pain in the breasts or pelvic area;pain in the leg, nape, or back;passing gas;red, sore eyes;redness of the face, neck, arms, and occasionally, upper chest;redness or swelling in the ear;sensation of spinning;smaller amount of semen ejaculated than usual;sore on the edge of the eyelid;soreness or redness around the fingernails and toenails;stomach discomfort, upset, or pain;thickening of the tongue;thirst;tooth disorder;toothache;tunnel vision;twitching of the eyes;uncomfortable swelling around the anus;worsening of acne;burning feeling in the chest or stomach;difficulty having a bowel movement (stool);increased appetite;increased hair growth, especially on the face;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;sore gums;tenderness in the stomach area;or",,,,,,,,
6,6,Neupro,,,,,,,,,,,"burning, itching, redness, skin rash, swelling, or soreness at the application site;swelling of the hands, ankles, feet, or lower legs;bladder pain;bloody or cloudy urine;blurred vision or other changes in vision;difficult, burning, or painful urination;dizziness;frequent urge to urinate;headache;lower back or side pain;nervousness;pounding in the ears;seeing, hearing, or feeling things that are not there;slow or fast heartbeat;confusion;convulsions;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;nausea;sweating;unusual tiredness or weakness;vomiting;sleepiness or unusual drowsiness;acid or sour stomach;belching;difficulty having a bowel movement (stool);difficulty with moving;dreaming abnormal;dry mouth;feeling of constant movement of self or surroundings;heartburn;indigestion;loss of appetite;muscle pain or stiffness;pain in the joints;sensation of spinning;sleeplessness;stomach discomfort, upset, or pain;trouble sleeping;unable to sleep;weight loss;or",,,,,,,,
7,7,Sinemet,,,,,,,,,,,"twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;bladder pain;bloody or cloudy urine;chest pain;confusion;difficult, burning, or painful urination;discouragement;feeling sad or empty;frequent urge to urinate;inability to move the eyes;increased blinking or spasms of the eyelid;irritability;lack of appetite;loss of interest or pleasure;lower back or side pain;seeing, hearing, or feeling things that are not there;sticking out of tongue;tiredness;trouble concentrating;trouble in breathing, speaking, or swallowing;trouble sleeping;uncontrolled twisting movements of the neck, trunk, arms, or legs;unusual facial expressions;anxiety;black, tarry stools;bluish color;blurred vision;changes in skin color;chest discomfort;chills;convulsions;cough or hoarseness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;dry mouth;false beliefs that cannot be changed by facts;fast, irregular, pounding, or racing heartbeat or pulse;feelings about hurting oneself or others;fever with or without chills;general feeling of tiredness or weakness;high fever;hyperventilation;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased sweating;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of bladder control;lower back or side pain;nausea;pain;pain or discomfort in the arms, jaw, back, or neck;restlessness;seeing, hearing, or feeling things that are not there;severe muscle stiffness;shaking;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the foot or leg;swollen glands;tenderness;tiredness;unusual bleeding or bruising;unusual tiredness or weakness;unusually pale skin;vomiting;acid or sour stomach;back or shoulder pain;belching;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;diarrhea;difficulty having a bowel movement (stool);ear congestion;headache;heartburn;indigestion;loss of voice;muscle cramps;nasal congestion;runny nose;sneezing;stomach discomfort, upset, or pain;unusual dreams;weight loss;abdominal or stomach distress;bad, unusual, or unpleasant (after) taste;belching;change in taste;dark sweat;double vision;enlarged pupils;feeling of warmth;hair loss or thinning of the hair;lack or loss of strength;redness of the face, neck, arms, and occasionally, upper chest;seeing double;skin rash, hives or welts, itching",,,,,,,,
8,8,tramadol,,,,,,,,,,,"abdominal or stomach fullness;abnormal or decreased touch sensation;blisters under the skin;bloating;blood in the urine;blood pressure increased;blurred vision;change in walking and balance;chest pain or discomfort;chills;convulsions (seizures);darkened urine;difficult urination;dizziness or lightheadedness when getting up from a lying or sitting position;fainting;fast heartbeat;frequent urge to urinate;gaseous abdominal or stomach pain;heart rate increased;indigestion;irregular heartbeat;loss of memory;numbness and tingling of the face, fingers, or toes;numbness, tingling, pain, or weakness in the hands or feet;pain in the arms, legs, or lower back, especially pain in the calves or heels upon exertion;pain or discomfort in the arms, jaw, back, or neck;pains in the stomach, side, or abdomen, possibly radiating to the back;pale bluish-colored or cold hands or feet;recurrent fever;seeing, hearing, or feeling things that are not there;severe cramping;severe nausea;severe redness, swelling, and itching of the skin;shortness of breath;sweats;trembling and shaking of the hands or feet;trouble performing routine tasks;weak or absent pulses in the legs;yellow eyes or skin;change in consciousness;decreased awareness or responsiveness;difficulty with breathing;lack of muscle tone;lightheadedness;loss of consciousness;pinpointed pupils of the eyes;severe sleepiness;shortness of breath;slow or irregular heartbeat;unusual tiredness;abdominal or stomach pain;agitation;anxiety;constipation;cough;diarrhea;discouragement;drowsiness;dry mouth;feeling of warmth;feeling sad or empty;feeling unusually cold;fever;general feeling of discomfort or illness;headache;heartburn;irritability;itching of the skin;joint pain;loss of appetite;loss of interest or pleasure;loss of strength or weakness;muscle aches and pains;nausea;nervousness;redness of the face, neck, arms, and occasionally, upper chest;restlessness;runny nose;shivering;skin rash;sleepiness or unusual drowsiness;sore throat;stuffy nose;sweating;tiredness;trouble concentrating;unusual feeling of excitement;weakness;abnormal dreams;appetite decreased;back pain;bladder pain;blistering, crusting, irritation, itching, or reddening of the skin;bloody or cloudy urine;body aches or pain;change in hearing;clamminess;cold flu-like symptoms;confusion;cough producing mucus;cracked, dry, or scaly skin;decreased interest in sexual intercourse;difficult, burning, or painful urination;difficulty with moving;disturbance in attention;ear congestion;ear drainage;earache or pain in ear;excessive gas;fall;false or unusual sense of well-being;feeling hot;feeling jittery;flushing or redness of the skin;general feeling of bodily discomfort;goosebumps;headache, severe and throbbing;hoarseness;hot flashes;inability to have or keep an erection;itching, pain, redness, swelling, tenderness, or warmth on the skin;joint sprain;joint stiffness;joint swelling;loss in sexual ability, desire, drive, or performance;loss of voice;lower back or side pain;muscle aching or cramping;muscle injury;muscle pain or stiffness;muscle spasms or twitching;nasal congestion;neck pain;night sweats;pain;pain in the limbs;pain or tenderness around the eyes and cheekbones;pain, swelling, or redness in the joints;skin discoloration;swelling;swelling of the hands, ankles, feet, or lower legs;tightness of the chest;trouble in holding or releasing urine;trouble with sleeping;troubled breathing;weight increased or decreased;gooseflesh;high blood pressure;increased sweating;increased yawning;shivering or trembling;unusually large pupils;or",,,,,,,,
9,9,carbidopa / levodopa,,,,,,,,,,,"twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;bladder pain;bloody or cloudy urine;chest pain;confusion;difficult, burning, or painful urination;discouragement;feeling sad or empty;frequent urge to urinate;inability to move the eyes;increased blinking or spasms of the eyelid;irritability;lack of appetite;loss of interest or pleasure;lower back or side pain;seeing, hearing, or feeling things that are not there;sticking out of tongue;tiredness;trouble concentrating;trouble in breathing, speaking, or swallowing;trouble sleeping;uncontrolled twisting movements of the neck, trunk, arms, or legs;unusual facial expressions;anxiety;black, tarry stools;bluish color;blurred vision;changes in skin color;chest discomfort;chills;convulsions;cough or hoarseness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;dry mouth;false beliefs that cannot be changed by facts;fast, irregular, pounding, or racing heartbeat or pulse;feelings about hurting oneself or others;fever with or without chills;general feeling of tiredness or weakness;high fever;hyperventilation;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased sweating;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of bladder control;lower back or side pain;nausea;pain;pain or discomfort in the arms, jaw, back, or neck;restlessness;seeing, hearing, or feeling things that are not there;severe muscle stiffness;shaking;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the foot or leg;swollen glands;tenderness;tiredness;unusual bleeding or bruising;unusual tiredness or weakness;unusually pale skin;vomiting;acid or sour stomach;back or shoulder pain;belching;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;diarrhea;difficulty having a bowel movement (stool);ear congestion;headache;heartburn;indigestion;loss of voice;muscle cramps;nasal congestion;runny nose;sneezing;stomach discomfort, upset, or pain;unusual dreams;weight loss;abdominal or stomach distress;bad, unusual, or unpleasant (after) taste;belching;change in taste;dark sweat;double vision;enlarged pupils;feeling of warmth;hair loss or thinning of the hair;lack or loss of strength;redness of the face, neck, arms, and occasionally, upper chest;seeing double;skin rash, hives or welts, itching",,,,,,,,
