,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Symbicort,,,,,,,,,,,"body aches or pain;chills;cough, fever, sneezing, or sore throat;difficulty with breathing;ear congestion;fever;headache;loss of voice;muscle aches;pain or tenderness around the eyes and cheekbones;shortness of breath or troubled breathing;stuffy or runny nose;tightness of the chest or wheezing;unusual tiredness or weakness;abdominal or stomach pain;bladder pain;bloody or cloudy urine;congestion;cough producing mucus;diarrhea;difficult, burning, or painful urination;dryness of the throat;fast, irregular, pounding, or racing heartbeat or pulse;frequent urge to urinate;general feeling of discomfort or illness;hoarseness;joint pain;loss of appetite;lower back or side pain;nausea;noisy breathing;shakiness in the legs, arms, hands, or feet;shivering;sore mouth or tongue;sweating;tender, swollen glands in the neck;trembling or shaking of the hands or feet;trouble with swallowing;trouble with sleeping;voice changes;vomiting;white patches in the mouth or on the tongue;blurred vision;confusion;decreased urine;dizziness or lightheadedness when getting up from a lying or sitting position suddenly;dry mouth;enlarged pupils;fainting;flushed, dry skin;fruit-like breath odor;increased hunger;increased sensitivity of the eyes to light;increased sweating, possibly with fever or cold, clammy skin;increased thirst;increased urination;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;mood changes;muscle cramps;nervousness;numbness or tingling in the hands, feet, or lips;pounding in the ears;seizures;severe chest pain;severe headache;slow, fast, pounding, or irregular heartbeat or pulse;stiff or sore neck;unexplained weight loss;blindness;decreased vision;eye pain;puffiness or swelling of the eyelids or around the eyes, face, lips or tongue;tearing;arm, back, or jaw pain;chest pain or discomfort;darkening of the skin;drowsiness;mental depression;rapid, deep breathing;restlessness;skin rash;sleeplessness;stomach cramps;unable to sleep;stomach discomfort;acid or sour stomach;belching;difficulty with moving;heartburn;indigestion;muscle spasms or stiffness;pain in the arms or legs;stomach upset;swollen joints;bad, unusual, or unpleasant (after) taste;change in taste;deep or fast breathing with dizziness, numbness to feet, hands, and around the mouth;fear;hives or welts;irritability;itching skin;large, flat, blue, or purplish patches in the skin;redness of the skin",,,,,,,,
1,1,prednisone,,,,,,,,,,,"aggression;agitation;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mood changes;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal or stomach cramping or burning (severe);abdominal or stomach pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of the skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in the back, ribs, arms, or legs;painful or difficult urination;skin rash;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
2,2,montelukast,,,,,,,,,,,"abdominal or stomach pain;bloody nose;flu-like symptoms;general feeling of discomfort or illness;headache;joint pain;pain or tenderness around the eyes and cheekbones;shortness of breath or troubled breathing;sweating;tightness of the chest;trouble with swallowing;unusual tiredness or weakness;pus in the urine;agitation;anxiety;attempts at killing oneself;breathing problems;confusion about identity, place, and time;constipation;fast, irregular, pounding, or racing heartbeat or pulse;feeling sad or empty;hives or welts;indigestion;itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;lack of appetite;pains in the stomach, side, or abdomen, possibly moving to the back;redness of the skin;shaking or trembling of the hands or feet;trouble with concentrating;unable to sleep;unpleasant breath odor;upper right abdominal or stomach pain;vomiting of blood;yellow eyes or skin;acid or sour stomach;belching;blurred vision;change in near or distance vision;dental pain;earache;heartburn;lack or loss of strength;pain;skin rash, encrusted, scaly and oozing;stomach discomfort, upset, or pain;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings;dreams that are unusual;increased tendency to bleed;large, flat, blue or purplish patches on the skin;muscle aching or cramping;sleepiness;swollen joints;or",,,,,,,,
3,3,Daliresp,,,,,,,,,,,"unexplained weight loss;chills;cough;diarrhea;discouragement;fear or nervousness;feeling sad or empty;fever;general feeling of discomfort or illness;headache;irritability;joint pain;loss of appetite;loss of interest or pleasure;muscle aches and pains;nausea;runny nose;shivering;sleeplessness;sore throat;sweating;thoughts of killing oneself or changes in behavior;tiredness;trouble concentrating;trouble sleeping;unable to sleep;unusual tiredness or weakness;vomiting;abdominal or stomach pain;back pain;bladder pain;bloody or cloudy urine;burning feeling in the chest or stomach;decreased appetite;difficult, burning, or painful urination;dizziness;frequent urge to urinate;indigestion;lower back or side pain;muscle spasm;pain or tenderness around the eyes and cheekbones;shakiness in the legs, arms, hands, or feet;shortness of breath or troubled breathing;sneezing;stomach upset;stuffy or runny nose;sweating;tenderness in the stomach area;tightness of the chest or wheezing;trembling or shaking of the hands or feet",,,,,,,,
4,4,Anoro Ellipta,,,,,,,,,,,"body aches or pain;chest pain;congestion;cough;dryness or soreness of the throat;fever;headache;hoarseness;pain or tenderness around the eyes and cheekbones;stuffy or runny nose;tender, swollen glands in the neck;tightness of the chest;trouble breathing;trouble swallowing;voice changes;chest discomfort;dizziness;fainting;fast or irregular heartbeat;nausea;pain or discomfort in the arms, jaw, back, or neck;sweating;vomiting;diarrhea;difficulty having a bowel movement (stool);muscle spasms;acid or sour stomach;belching;burning, dry, or itching eyes;discharge or excessive tearing;dry mouth;heartburn;indigestion;lack or loss of strength;rash or itching skin;redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid;stomach discomfort, upset, or pain",,,,,,,,
5,5,Breo Ellipta,,,,,,,,,,,"body aches or pain;chills, fever;cough;difficulty with breathing;ear congestion;headache;loss of voice;muscle aches;sneezing;sore throat;stuffy or runny nose;unusual tiredness or weakness;bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;chest pain;diarrhea;dizziness;general feeling of discomfort or illness;joint or muscle pain;loss of appetite;nausea or vomiting;nervousness;pain or tenderness around the eyes and cheekbones;pounding in the ears;slow or fast heartbeat;sweating;tightness of the chest;tingling of the hands or feet;trouble sleeping;troubled breathing;unusual weight gain or loss;abdominal or stomach pain;arm, back, or jaw pain;chest discomfort;chest tightness or heaviness;confusion;convulsions;decreased urine;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fast, irregular, pounding, or racing heartbeat or pulse;fruit-like breath odor;general feeling of discomfort or illness;increased hunger or thirst;increased urination;loss of appetite;muscle cramps;numbness or tingling in the hands, feet, or lips;rapid, deep breathing;restlessness;shakiness in the legs, arms, hands, or feet;stomach cramps;unexplained weight loss;creamy white, curd-like patches in the mouth or throat;difficulty with moving;muscle stiffness;pain when eating or swallowing",,,,,,,,
6,6,Tudorza Pressair,,,,,,,,,,,"decrease in the frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);eye pain and blurred vision;painful urination;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;cough;diarrhea;pain or tenderness around the eyes and cheekbones;sneezing;troubled breathing;vomiting;chest pain or discomfort;difficulty with moving;dilated neck veins;dry mouth;extreme fatigue;fainting;flushed, dry skin;fruit-like breath odor;increased hunger;increased thirst;loss of consciousness;muscle pain or stiffness;nausea;pain, swelling, or redness in the joints;slow or irregular heartbeat;stomachache;sweating;swelling of the face, fingers, feet, or lower legs;unexplained weight loss;or",,,,,,,,
7,7,budesonide / formoterol,,,,,,,,,,,"body aches or pain;chills;cough, fever, sneezing, or sore throat;difficulty with breathing;ear congestion;fever;headache;loss of voice;muscle aches;pain or tenderness around the eyes and cheekbones;shortness of breath or troubled breathing;stuffy or runny nose;tightness of the chest or wheezing;unusual tiredness or weakness;abdominal or stomach pain;bladder pain;bloody or cloudy urine;congestion;cough producing mucus;diarrhea;difficult, burning, or painful urination;dryness of the throat;fast, irregular, pounding, or racing heartbeat or pulse;frequent urge to urinate;general feeling of discomfort or illness;hoarseness;joint pain;loss of appetite;lower back or side pain;nausea;noisy breathing;shakiness in the legs, arms, hands, or feet;shivering;sore mouth or tongue;sweating;tender, swollen glands in the neck;trembling or shaking of the hands or feet;trouble with swallowing;trouble with sleeping;voice changes;vomiting;white patches in the mouth or on the tongue;blurred vision;confusion;decreased urine;dizziness or lightheadedness when getting up from a lying or sitting position suddenly;dry mouth;enlarged pupils;fainting;flushed, dry skin;fruit-like breath odor;increased hunger;increased sensitivity of the eyes to light;increased sweating, possibly with fever or cold, clammy skin;increased thirst;increased urination;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;mood changes;muscle cramps;nervousness;numbness or tingling in the hands, feet, or lips;pounding in the ears;seizures;severe chest pain;severe headache;slow, fast, pounding, or irregular heartbeat or pulse;stiff or sore neck;unexplained weight loss;blindness;decreased vision;eye pain;puffiness or swelling of the eyelids or around the eyes, face, lips or tongue;tearing;arm, back, or jaw pain;chest pain or discomfort;darkening of the skin;drowsiness;mental depression;rapid, deep breathing;restlessness;skin rash;sleeplessness;stomach cramps;unable to sleep;stomach discomfort;acid or sour stomach;belching;difficulty with moving;heartburn;indigestion;muscle spasms or stiffness;pain in the arms or legs;stomach upset;swollen joints;bad, unusual, or unpleasant (after) taste;change in taste;deep or fast breathing with dizziness, numbness to feet, hands, and around the mouth;fear;hives or welts;irritability;itching skin;large, flat, blue, or purplish patches in the skin;redness of the skin",,,,,,,,
8,8,Rayos,,,,,,,,,,,"aggression;agitation;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mood changes;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal or stomach cramping or burning (severe);abdominal or stomach pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of the skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in the back, ribs, arms, or legs;painful or difficult urination;skin rash;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
9,9,aclidinium,,,,,,,,,,,"decrease in the frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);eye pain and blurred vision;painful urination;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;cough;diarrhea;pain or tenderness around the eyes and cheekbones;sneezing;troubled breathing;vomiting;chest pain or discomfort;difficulty with moving;dilated neck veins;dry mouth;extreme fatigue;fainting;flushed, dry skin;fruit-like breath odor;increased hunger;increased thirst;loss of consciousness;muscle pain or stiffness;nausea;pain, swelling, or redness in the joints;slow or irregular heartbeat;stomachache;sweating;swelling of the face, fingers, feet, or lower legs;unexplained weight loss;or",,,,,,,,
