,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,clobetasol,,,,,,,,,,,"burning or stinging at the application site;burning sensation of the skin;dry skin;flushing or redness of the skin;itching, scaling, severe redness, soreness, or swelling of the skin;skin irritation;skin rash, encrusted, scaly and oozing;thinning of the skin with easy bruising, especially when used on the face or where the skin folds together (eg, between the fingers);burning, itching, and pain in hairy areas, or pus at the root of the hair;hair loss;redness and scaling around the mouth;thinning of the hair;thinning, weakness, or wasting away of the skin;cough;sore throat;body aches or pain;changes in skin coloring;congestion or cough;dryness or soreness of the throat;headache;raised, dark red, wart-like spots on the skin, especially when used on the face;skin discomfort;stuffy or runny nose;tender, swollen glands in the neck;trouble swallowing;unusual tiredness or weakness;voice changes;acne or pimples;burning and itching of the skin with pinhead-sized red blisters;increased hair growth on the forehead, back, arms, and legs;lightening of normal skin color;lightening of treated areas of dark skin;reddish purple lines on the arms, face, legs, trunk, or groin;softening of the skin;or",,,,,,,,
1,1,Humira,,,,,,,,,,,"body aches or pain;chills;cough;diarrhea;difficulty with breathing;ear congestion;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;loss of voice;muscle aches and pains;nausea;pain or tenderness around the eyes and cheekbones;shivering;sneezing;sore throat;stuffy or runny nose;sweating;tightness of the chest or trouble breathing;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach pain;bleeding from the gums or nose;bloating or swelling of the face, arms, hands, lower legs, or feet;chest pain;dizziness;eye pain;fainting;fast, slow, or irregular heartbeat;general feeling of tiredness or weakness;hoarseness;lower back or side pain;painful or difficult urination;rapid weight gain;ringing in the ears;sores, ulcers, or white spots on the lips or in the mouth;tingling of the hands or feet;unusual bleeding or bruising;unusual weight gain or loss;blindness;blistering, peeling, loosening of the skin;blue-yellow color blindness;blurred vision;dark-colored urine;decreased vision;diarrhea;eye pain;general feeling of tiredness or weakness;itching;joint or muscle pain;light-colored stools;red skin lesions, often with a purple center;red, irritated eyes;red, scaling, or crusted skin;stomach pain, continuing;yellow eyes or skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;rash;hair loss or thinning of the hair;or",,,,,,,,
2,2,Stelara,,,,,,,,,,,,,,,,,,,
3,3,methotrexate,,,,,,,,,,,"black, tarry stools;blood in the urine or stools;bloody vomit;diarrhea;joint pain;reddening of the skin;sores in the mouth or lips;stomach pain;swelling of the feet or lower legs;back pain;blurred vision;confusion;convulsions (seizures);cough or hoarseness;dark urine;dizziness;drowsiness;fever or chills;headache;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;hair loss, temporary;loss of appetite;nausea or vomiting;acne;boils on skin;pale skin;skin rash or itching;or",,,,,,,,
4,4,Elocon,,,,,,,,,,,"burning;itching;thinning of the skin with easy bruising, especially when used on the face or where the skin folds together (e.g. between the fingers);dryness;irritation;redness and scaling around the mouth;acne or pimples;burning, itching, and pain in hairy areas, or pus at the root of the hair;dry mouth;loss of elasticity;loss of normal skin markings;raised, dark red, and wart-like spots on the skin, especially when used on the face;shininess;burning and itching of the skin with pinhead-sized red blisters;increased hair growth on the forehead, back, arms, and legs;lightening of normal skin color;lightening of treated areas of dark skin;reddish purple lines on the arms, face, legs, trunk, or groin",,,,,,,,
5,5,triamcinolone,,,,,,,,,,,"aggression;agitation;anxiety;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mental depression;mood changes;nervousness;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal cramping and/or burning (severe);abdominal pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of skin;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fatigue;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn and/or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in back, ribs, arms, or legs;painful or difficult urination;skin rash;sleeplessness;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;blemishes on the skin;bruising;dry, scaly skin;feeling of constant movement of self or surroundings;full or bloated feeling;increased appetite;increased hair growth on the face, forehead, back, arms, and legs;large, flat, blue, or purplish patches in the skin;pimples;pitting or depression of the skin at the injection site;reddish purple lines on the arms, face, legs, trunk, or groin;redness of the skin;redness, swelling, tenderness, or pain at the injection site;sensation of spinning;small, red, or purple spots on the skin;thin, fragile, or shiny skin;thinning of the scalp hair;or",,,,,,,,
6,6,Clobex,,,,,,,,,,,"burning or stinging at the application site;burning sensation of the skin;dry skin;flushing or redness of the skin;itching, scaling, severe redness, soreness, or swelling of the skin;skin irritation;skin rash, encrusted, scaly and oozing;thinning of the skin with easy bruising, especially when used on the face or where the skin folds together (eg, between the fingers);burning, itching, and pain in hairy areas, or pus at the root of the hair;hair loss;redness and scaling around the mouth;thinning of the hair;thinning, weakness, or wasting away of the skin;cough;sore throat;body aches or pain;changes in skin coloring;congestion or cough;dryness or soreness of the throat;headache;raised, dark red, wart-like spots on the skin, especially when used on the face;skin discomfort;stuffy or runny nose;tender, swollen glands in the neck;trouble swallowing;unusual tiredness or weakness;voice changes;acne or pimples;burning and itching of the skin with pinhead-sized red blisters;increased hair growth on the forehead, back, arms, and legs;lightening of normal skin color;lightening of treated areas of dark skin;reddish purple lines on the arms, face, legs, trunk, or groin;softening of the skin;or",,,,,,,,
7,7,Dovonex,,,,,,,,,,,"skin redness, swelling, or itching;skin rash;worsening of psoriasis;burning, dryness, irritation, peeling, or redness of the skin;pain at the application site;darker color in the treated areas of the skin;pus in the hair follicles;or",,,,,,,,
8,8,Tazorac,,,,,,,,,,,"burning or stinging of the skin (severe);changes in color of the treated skin;deep grooves or lines in the skin;dryness, itching, peeling, or redness of the skin (severe);pain or swelling of the treated skin;skin rash (in patients with psoriasis only);burning or stinging after application;dryness, itching, peeling, or redness of the skin (mild)",,,,,,,,
9,9,fluocinonide,,,,,,,,,,,"blistering, burning, crusting, dryness, or flaking of the skin;irritation;itching, scaling, severe redness, soreness, or swelling of the skin;redness and scaling around the mouth;thinning of the skin with easy bruising, especially when used on the face or where the skin folds together (e.g. between the fingers);thinning, weakness, or wasting away of the skin;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;acne or pimples;burning and itching of the skin with pinhead-sized red blisters;burning, itching, and pain in hairy areas, or pus at the root of the hair;increased hair growth on the forehead, back, arms, and legs;lightening of normal skin color;lightening of treated areas of dark skin;reddish purple lines on the arms, face, legs, trunk, or groin;softening of the skin",,,,,,,,
