,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,BeneFix,,,,,,,,,,,"anxiety;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;confusion;cough;difficult or labored breathing;difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast heartbeat;hives, itching, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;nausea;pains in the chest, groin, or legs, especially calves of the legs;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;severe headaches of sudden onset;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden shortness of breath or troubled breathing;sudden vision changes;sweating;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over affected area;tightness in the chest;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusual tiredness or weakness;vomiting;change in taste;loss of taste;headache;pain in the arms or legs",,,,,,,,
1,1,Cyklokapron,,,,,,,,,,,"pale skin;trouble breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;anxiety;change in vision;chest pain or tightness;confusion;cough;difficulty with swallowing;dizziness or lightheadedness;fainting;fast heartbeat;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash, hives, or itching;abdominal or stomach pain, discomfort, or tenderness;chills or fever;difficulty with moving;headache, severe and throbbing;joint or back pain;muscle aching or cramping;muscle pains or stiffness;stuffy or runny nose;diarrhea;nausea;vomiting;or",,,,,,,,
2,2,Alphanine SD,,,,,,,,,,,"anxiety;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;confusion;cough;difficult or labored breathing;difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast heartbeat;hives, itching, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;nausea;pains in the chest, groin, or legs, especially calves of the legs;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;severe headaches of sudden onset;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden shortness of breath or troubled breathing;sudden vision changes;sweating;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over affected area;tightness in the chest;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusual tiredness or weakness;vomiting;change in taste;loss of taste;headache;pain in the arms or legs",,,,,,,,
3,3,tranexamic acid,,,,,,,,,,,"pale skin;trouble breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;anxiety;change in vision;chest pain or tightness;confusion;cough;difficulty with swallowing;dizziness or lightheadedness;fainting;fast heartbeat;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash, hives, or itching;abdominal or stomach pain, discomfort, or tenderness;chills or fever;difficulty with moving;headache, severe and throbbing;joint or back pain;muscle aching or cramping;muscle pains or stiffness;stuffy or runny nose;diarrhea;nausea;vomiting;or",,,,,,,,
4,4,Profilnine SD,,,,,,,,,,,,,,,,,,,
5,5,Mononine,,,,,,,,,,,"anxiety;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;confusion;cough;difficult or labored breathing;difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast heartbeat;hives, itching, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;nausea;pains in the chest, groin, or legs, especially calves of the legs;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;severe headaches of sudden onset;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden shortness of breath or troubled breathing;sudden vision changes;sweating;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over affected area;tightness in the chest;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusual tiredness or weakness;vomiting;change in taste;loss of taste;headache;pain in the arms or legs",,,,,,,,
6,6,Proplex T,,,,,,,,,,,,,,,,,,,
7,7,coagulation factor ix,,,,,,,,,,,"anxiety;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;confusion;cough;difficult or labored breathing;difficulty with swallowing;dizziness or lightheadedness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast heartbeat;hives, itching, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;nausea;pains in the chest, groin, or legs, especially calves of the legs;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;severe headaches of sudden onset;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden shortness of breath or troubled breathing;sudden vision changes;sweating;tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over affected area;tightness in the chest;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusual tiredness or weakness;vomiting;change in taste;loss of taste;headache;pain in the arms or legs",,,,,,,,
8,8,factor ix complex,,,,,,,,,,,,,,,,,,,
9,9,Bebulin VH,,,,,,,,,,,,,,,,,,,
10,10,Bebulin,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,
