,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Rituxan,,,,,,,,,,,"abdominal or stomach pain;black, tarry stools;bleeding gums;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine or stools;blurred vision;body aches or pain;chest pain;confusion;convulsions;cough or hoarseness;difficulty with breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;dry mouth;ear congestion;fever and chills;flushed, dry skin;fruit-like breath odor;headache;hives or welts, itching, or rash;increased hunger;increased thirst;increased urination;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lower back or side pain;nausea;nervousness;noisy breathing;pain or tenderness around the eyes and cheekbones;painful or difficult urination;pale skin;pinpoint red spots on the skin;pounding in the ears;slow or fast heartbeat;sneezing;sore throat;sores, ulcers, or white spots in the mouth or on the lips;stuffy or runny nose;sweating;swelling of the tongue or throat;swollen glands;tightness of the chest;tingling of the hands or feet;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;unusual weight gain or loss;vomiting;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feeling;burning, tingling, numbness or pain in the hands, arms, feet, or legs;decreased frequency and amount of urination;diarrhea;difficulty with moving;discouragement;feeling sad or empty;irregular heartbeat;irritability;joint or muscle pain;loss of appetite;loss of interest or pleasure;muscle cramps;muscle pain or stiffness;numbness or tingling in the hands, feet, or lips;pain at the injection site;pain, swelling, or redness in the joints;red skin lesions, often with a purple center;red, itchy lining of the eye;redness of the face, neck, arms, and occasionally, upper chest;stabbing pain;trouble concentrating;trouble sleeping;abdominal or stomach cramps;blue-yellow color blindness;blurred vision or other change in vision;burning or stinging of the skin;decreased vision;dilated neck veins;dry cough;extreme fatigue;eye pain, tearing;feeling of discomfort, illness, or weakness;irregular breathing;nosebleed;painful cold sores or blisters on the lips, nose, eyes, or genitals;sensitivity of the eye to light;severe abdominal or stomach pain;severe vomiting, sometimes with blood;sores, welting, or blisters;swelling, stiffness, redness, or warmth around many joints;swollen and inflamed joints;swollen lymph glands;vision loss;fear;increased cough;lack or loss of strength;night sweats;throat irritation;agitation or anxiety;change in taste;dry eyes;excessive muscle tone;feeling of constant movement of self or surroundings;heartburn;increase in body movements;lightheadedness;muscle tension;pain or redness at the injection site;sensation of spinning;sleepiness;swelling of the stomach;or",,,,,,,,
1,1,rituximab,,,,,,,,,,,"abdominal or stomach pain;black, tarry stools;bleeding gums;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine or stools;blurred vision;body aches or pain;chest pain;confusion;convulsions;cough or hoarseness;difficulty with breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;dry mouth;ear congestion;fever and chills;flushed, dry skin;fruit-like breath odor;headache;hives or welts, itching, or rash;increased hunger;increased thirst;increased urination;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lower back or side pain;nausea;nervousness;noisy breathing;pain or tenderness around the eyes and cheekbones;painful or difficult urination;pale skin;pinpoint red spots on the skin;pounding in the ears;slow or fast heartbeat;sneezing;sore throat;sores, ulcers, or white spots in the mouth or on the lips;stuffy or runny nose;sweating;swelling of the tongue or throat;swollen glands;tightness of the chest;tingling of the hands or feet;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;unusual weight gain or loss;vomiting;blistering, peeling, or loosening of the skin;blisters in the mouth;blisters on the trunk, scalp, or other areas;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feeling;burning, tingling, numbness or pain in the hands, arms, feet, or legs;decreased frequency and amount of urination;diarrhea;difficulty with moving;discouragement;feeling sad or empty;irregular heartbeat;irritability;joint or muscle pain;loss of appetite;loss of interest or pleasure;muscle cramps;muscle pain or stiffness;numbness or tingling in the hands, feet, or lips;pain at the injection site;pain, swelling, or redness in the joints;red skin lesions, often with a purple center;red, itchy lining of the eye;redness of the face, neck, arms, and occasionally, upper chest;stabbing pain;trouble concentrating;trouble sleeping;abdominal or stomach cramps;blue-yellow color blindness;blurred vision or other change in vision;burning or stinging of the skin;decreased vision;dilated neck veins;dry cough;extreme fatigue;eye pain, tearing;feeling of discomfort, illness, or weakness;irregular breathing;nosebleed;painful cold sores or blisters on the lips, nose, eyes, or genitals;sensitivity of the eye to light;severe abdominal or stomach pain;severe vomiting, sometimes with blood;sores, welting, or blisters;swelling, stiffness, redness, or warmth around many joints;swollen and inflamed joints;swollen lymph glands;vision loss;fear;increased cough;lack or loss of strength;night sweats;throat irritation;agitation or anxiety;change in taste;dry eyes;excessive muscle tone;feeling of constant movement of self or surroundings;heartburn;increase in body movements;lightheadedness;muscle tension;pain or redness at the injection site;sensation of spinning;sleepiness;swelling of the stomach;or",,,,,,,,
2,2,clarithromycin,,,,,,,,,,,"cough;fever or chills;hoarseness;lower back or side pain;painful or difficult urination;abdominal or stomach tenderness;fever with or without chills;nausea and vomiting;severe abdominal or stomach cramps and pain;shortness of breath;skin rash and itching;unusual bleeding or bruising;watery and severe diarrhea, which may also be bloody;yellow eyes or skin;abdominal or stomach pain;anxiety;black, tarry stools;blistering, peeling, or loosening of the skin;blurred vision;chest pain or discomfort;clay-colored stools;confusion about identity, place, and time;cool, pale skin;dark urine;depression;difficulty with swallowing;dizziness;fainting;fast, pounding, or irregular heartbeat or pulse;feeling of unreality;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;hives;increased hunger;irregular heartbeat;joint or muscle pain;light-colored stools;loss of appetite;nightmares;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;recurrent fainting;red skin lesions, often with a purple center;red, irritated eyes;redness, swelling, or soreness of the tongue;seizures;sense of detachment from self or body;severe mood or mental changes;shakiness;slow heartbeat;slurred speech;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sudden death;swollen glands;tightness in the chest;unpleasant breath odor;unusual behavior;unusual tiredness or weakness;vomiting of blood;wheezing;acid or sour stomach;belching;bloated or full feeling;change in sensation of taste;diarrhea (mild);excess air or gas in the stomach or intestines;headache;heartburn;indigestion;passing gas;stomach discomfort, upset, or pain;alterations of sense of smell;continuing ringing or buzzing or other unexplained noise in the ears;feeling of constant movement of self or surroundings;hearing loss;lightheadedness;mental depression;mood or mental changes;sensation of spinning;shakiness in the legs, arms, hands, or feet;skin eruptions;sleeplessness;sore mouth or tongue;swelling or inflammation of the mouth;taste loss;tongue discoloration;tooth discoloration;trouble sleeping;unable to sleep;weight loss;or",,,,,,,,
3,3,idelalisib,,,,,,,,,,,"abdominal or stomach pain or tenderness;black, tarry stools;body aches or pain;chills;clay colored stools;confusion;cough;cough producing mucus;dark urine;decreased appetite;difficulty with breathing;dizziness;ear congestion;fainting;fast heartbeat;fever;headache;itching or skin rash;lightheadedness;loss of appetite;loss of voice;lower back or side pain;nausea and vomiting;pain;pain or tenderness around the eyes and cheekbones;painful or difficult urination;pale skin;rapid, shallow breathing;sneezing;sore throat;stomach cramps;stuffy or runny nose;swelling of the feet or lower legs;tightness in the chest;troubled breathing;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;watery or bloody diarrhea;yellow eyes or skin;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;frequent urge to urinate;lower back or side pain;blistering, peeling, or loosening of the skin;chest pain;cracks in the skin;difficulty with swallowing;general feeling of discomfort or illness;heartburn;hives;indigestion;joint or muscle pain;loss of heat from the body;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;scaly skin;severe abdominal or stomach pain, cramping, or burning;thickening of bronchial secretions;vomiting of material that looks like coffee grounds, severe and continuing;bloating or swelling of the face, arms, hands, lower legs, or feet;decreased appetite;difficulty with moving;muscle pain or stiffness;night sweats;pain in the joints;rapid weight gain;tingling of the hands or feet;trouble sleeping;unusual weight gain or loss",,,,,,,,
4,4,Intron A,,,,,,,,,,,"depression;difficult or labored breathing;swelling or puffiness of the face;tightness in the chest;weight loss;back, leg, or stomach pains;bleeding, tender, or enlarged gums;bloody, black, or tarry stools;bloody nose;bloody or cloudy urine;blurred vision;change in personality;changes in behavior;chest pain, discomfort, or heaviness;chills;clay-colored stools;confusion as to time, place, or person;constipation;cough producing mucus;coughing or spitting up blood;dark urine;decreased urination;diarrhea;difficult or painful urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fainting;fast, slow, pounding, irregular, or racing heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever;hallucinations;headache;hearing loss;heavier menstrual periods;hives or rash;hoarseness or husky voice;inability to speak;increased thirst;increased urination;indigestion;irritability;itching, pain, redness, or swelling of the skin;light-colored stools;lightheadedness;loss of appetite;loss of consciousness;loss of hearing;lower back or side pain;metallic taste;muscle aches or cramps;nausea or vomiting;pale skin;passing of gas;pinpoint red spots on the skin;seizures;severe mood or mental changes;severe stomach pain with nausea and vomiting;slow speech;sneezing;sores, ulcers, or white spots on the lips or tongue or inside the mouth;stiffness of the limbs;stomach cramps, tenderness, or discomfort;stomach pain, continuing;stomach upset;sweating;swelling around the eyes;swelling of the face, fingers, hands, ankles, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thoughts of hurting or killing oneself;trouble sleeping;unusual behavior;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;yellowing of the eyes or skin;acid or sour stomach;bleeding gums;blistering, crusting, irritation, itching, or reddening of the skin;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste, or bad, unusual, or unpleasant (after) taste;cracked, dry, or scaly skin;hair loss or thinning of the hair;irritation in the mouth;joint pain;lack or loss of strength;loss of memory;muscle or bone pain;pain or tenderness around the eyes and cheekbones;poor concentration;problems with memory;redness and swelling of the gums;stuffy or runny nose;swollen joints;abnormal ejaculation;absent, missed, or irregular menstrual periods;bleeding, burning, inflammation, itching, or pain at the injection site;bone deformity;burning, itching, and pain in the hairy areas, pus at the root of the hair;burning, numbness, pain, or tingling in all fingers except smallest finger;cold and clammy skin;decrease in height;decreased interest in sexual intercourse;degenerative disease of the joint;difficulty with moving or walking;discoloration of the skin;inability to have or keep an erection;increased clear or white vaginal discharge;increased sensitivity of the skin to sunlight;itching or pain of the genital area;leg cramps;longer menstrual periods;loss in sexual ability, desire, drive, or performance;multiple swollen and inflamed skin lesions;pain in the ankles or knees;pain in the ribs;pain, inflammation, or swelling in the calves, shoulders, or hands;painful, red lumps under the skin, mostly on the legs;pelvic pain;rash with flat lesions or small raised lesions on the skin;red or irritated eyes;redness or swelling in the arms or legs;redness, tenderness, itching, burning, or peeling of the skin;severe sunburn;shivering;skin rash, encrusted, scaly, and oozing small lumps under the skin;small lumps under the skin;soreness of the muscles;stopping of menstrual bleeding;swelling or redness in the joints;tanning or blue-gray discoloration of the skin;tearing of the eyes;underactive reflexes;unexpected menstrual bleeding",,,,,,,,
5,5,Zydelig,,,,,,,,,,,"abdominal or stomach pain or tenderness;black, tarry stools;body aches or pain;chills;clay colored stools;confusion;cough;cough producing mucus;dark urine;decreased appetite;difficulty with breathing;dizziness;ear congestion;fainting;fast heartbeat;fever;headache;itching or skin rash;lightheadedness;loss of appetite;loss of voice;lower back or side pain;nausea and vomiting;pain;pain or tenderness around the eyes and cheekbones;painful or difficult urination;pale skin;rapid, shallow breathing;sneezing;sore throat;stomach cramps;stuffy or runny nose;swelling of the feet or lower legs;tightness in the chest;troubled breathing;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;watery or bloody diarrhea;yellow eyes or skin;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;frequent urge to urinate;lower back or side pain;blistering, peeling, or loosening of the skin;chest pain;cracks in the skin;difficulty with swallowing;general feeling of discomfort or illness;heartburn;hives;indigestion;joint or muscle pain;loss of heat from the body;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;red, swollen skin;scaly skin;severe abdominal or stomach pain, cramping, or burning;thickening of bronchial secretions;vomiting of material that looks like coffee grounds, severe and continuing;bloating or swelling of the face, arms, hands, lower legs, or feet;decreased appetite;difficulty with moving;muscle pain or stiffness;night sweats;pain in the joints;rapid weight gain;tingling of the hands or feet;trouble sleeping;unusual weight gain or loss",,,,,,,,
6,6,interferon alfa-2b,,,,,,,,,,,"depression;difficult or labored breathing;swelling or puffiness of the face;tightness in the chest;weight loss;back, leg, or stomach pains;bleeding, tender, or enlarged gums;bloody, black, or tarry stools;bloody nose;bloody or cloudy urine;blurred vision;change in personality;changes in behavior;chest pain, discomfort, or heaviness;chills;clay-colored stools;confusion as to time, place, or person;constipation;cough producing mucus;coughing or spitting up blood;dark urine;decreased urination;diarrhea;difficult or painful urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fainting;fast, slow, pounding, irregular, or racing heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever;hallucinations;headache;hearing loss;heavier menstrual periods;hives or rash;hoarseness or husky voice;inability to speak;increased thirst;increased urination;indigestion;irritability;itching, pain, redness, or swelling of the skin;light-colored stools;lightheadedness;loss of appetite;loss of consciousness;loss of hearing;lower back or side pain;metallic taste;muscle aches or cramps;nausea or vomiting;pale skin;passing of gas;pinpoint red spots on the skin;seizures;severe mood or mental changes;severe stomach pain with nausea and vomiting;slow speech;sneezing;sores, ulcers, or white spots on the lips or tongue or inside the mouth;stiffness of the limbs;stomach cramps, tenderness, or discomfort;stomach pain, continuing;stomach upset;sweating;swelling around the eyes;swelling of the face, fingers, hands, ankles, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thoughts of hurting or killing oneself;trouble sleeping;unusual behavior;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;yellowing of the eyes or skin;acid or sour stomach;bleeding gums;blistering, crusting, irritation, itching, or reddening of the skin;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste, or bad, unusual, or unpleasant (after) taste;cracked, dry, or scaly skin;hair loss or thinning of the hair;irritation in the mouth;joint pain;lack or loss of strength;loss of memory;muscle or bone pain;pain or tenderness around the eyes and cheekbones;poor concentration;problems with memory;redness and swelling of the gums;stuffy or runny nose;swollen joints;abnormal ejaculation;absent, missed, or irregular menstrual periods;bleeding, burning, inflammation, itching, or pain at the injection site;bone deformity;burning, itching, and pain in the hairy areas, pus at the root of the hair;burning, numbness, pain, or tingling in all fingers except smallest finger;cold and clammy skin;decrease in height;decreased interest in sexual intercourse;degenerative disease of the joint;difficulty with moving or walking;discoloration of the skin;inability to have or keep an erection;increased clear or white vaginal discharge;increased sensitivity of the skin to sunlight;itching or pain of the genital area;leg cramps;longer menstrual periods;loss in sexual ability, desire, drive, or performance;multiple swollen and inflamed skin lesions;pain in the ankles or knees;pain in the ribs;pain, inflammation, or swelling in the calves, shoulders, or hands;painful, red lumps under the skin, mostly on the legs;pelvic pain;rash with flat lesions or small raised lesions on the skin;red or irritated eyes;redness or swelling in the arms or legs;redness, tenderness, itching, burning, or peeling of the skin;severe sunburn;shivering;skin rash, encrusted, scaly, and oozing small lumps under the skin;small lumps under the skin;soreness of the muscles;stopping of menstrual bleeding;swelling or redness in the joints;tanning or blue-gray discoloration of the skin;tearing of the eyes;underactive reflexes;unexpected menstrual bleeding",,,,,,,,
7,7,Gazyva,,,,,,,,,,,"back pain;black, tarry stools;bleeding gums;blood in the urine or stools;chest tightness;chills;cough or hoarseness;fever;flushing;headache;lower back or side pain;nausea and vomiting;painful or difficult urination;pale skin;pinpoint red spots on the skin;sore throat;trouble breathing;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;joint pain, stiffness, or swelling;lower back, side, or stomach pain;swelling of the feet or lower legs;blurred vision;confusion;convulsions;dark urine;dizziness;drowsiness;general tiredness and weakness;headache;light-colored stools;upper right abdominal or stomach pain;yellow eyes and skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site",,,,,,,,
8,8,obinutuzumab,,,,,,,,,,,"back pain;black, tarry stools;bleeding gums;blood in the urine or stools;chest tightness;chills;cough or hoarseness;fever;flushing;headache;lower back or side pain;nausea and vomiting;painful or difficult urination;pale skin;pinpoint red spots on the skin;sore throat;trouble breathing;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;joint pain, stiffness, or swelling;lower back, side, or stomach pain;swelling of the feet or lower legs;blurred vision;confusion;convulsions;dark urine;dizziness;drowsiness;general tiredness and weakness;headache;light-colored stools;upper right abdominal or stomach pain;yellow eyes and skin;bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site",,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,
