,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Niaspan,,,,,,,,,,,"darkening of urine;light gray-colored stools;loss of appetite;severe stomach pain;yellow eyes or skin;abdominal or stomach pain;cough;diarrhea;feeling of warmth;flushing or redness of the skin, especially on the face and neck;headache;nausea or vomiting;rash or itching;runny nose;sneezing;stuffy nose;dizziness or faintness;dryness of the skin;fever;frequent urination;joint pain;muscle aching or cramping;side, lower back, or stomach pain;swelling of the feet or lower legs;unusual thirst;unusual tiredness or weakness;unusually fast, slow, or irregular heartbeat",,,,,,,,
1,1,Lipitor,,,,,,,,,,,"cough;difficulty with swallowing;dizziness;fast heartbeat;fever;hives;itching;muscle cramps, pain, stiffness, swelling, or weakness;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash;tightness in the chest;unusual tiredness or weakness;wheezing;blistering, peeling, or loosening of the skin;chills;dark-colored urine;diarrhea;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;red skin lesions, often with a purple center sore;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;headache;hoarseness;lower back or side pain;pain or tenderness around the eyes and cheekbones;painful or difficult urination;stuffy or runny nose;abdominal or stomach pain;back pain;belching or excessive gas;constipation;general feeling of discomfort or illness;heartburn, indigestion, or stomach discomfort;lack or loss of strength;loss of appetite;nausea;shivering;sweating;trouble sleeping;vomiting;appetite increased;black, tarry stools;bloody nose;bloody or cloudy urine;blurred vision;continuing ringing or buzzing or other unexplained noise in the ears;difficult, burning, or painful urination;difficulty seeing at night;excessive muscle tone or tension;fruit-like breath odor;groin or scrotum pain;inability to have or keep an erection;increased body movements;increased sensitivity of the eyes to light;increased sensitivity to touch or pain;increased thirst;increased urination;loss of bladder control;loss of sexual ability, drive, or desire;menstrual bleeding occurring earlier or lasting longer than usual;mental depression;nervousness;nightmares;pale skin;paranoia;pinpoint red spots on the skin;slurred speech;swollen or tender lymph glands in the neck, armpit, or groin;unable to move or feel face;unusual bleeding or bruising;weight loss;or",,,,,,,,
2,2,niacin,,,,,,,,,,,"darkening of urine;light gray-colored stools;loss of appetite;severe stomach pain;yellow eyes or skin;abdominal or stomach pain;cough;diarrhea;feeling of warmth;flushing or redness of the skin, especially on the face and neck;headache;nausea or vomiting;rash or itching;runny nose;sneezing;stuffy nose;dizziness or faintness;dryness of the skin;fever;frequent urination;joint pain;muscle aching or cramping;side, lower back, or stomach pain;swelling of the feet or lower legs;unusual thirst;unusual tiredness or weakness;unusually fast, slow, or irregular heartbeat",,,,,,,,
3,3,fenofibrate,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
4,4,TriCor,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
5,5,atorvastatin,,,,,,,,,,,"cough;difficulty with swallowing;dizziness;fast heartbeat;fever;hives;itching;muscle cramps, pain, stiffness, swelling, or weakness;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash;tightness in the chest;unusual tiredness or weakness;wheezing;blistering, peeling, or loosening of the skin;chills;dark-colored urine;diarrhea;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;red skin lesions, often with a purple center sore;red, irritated eyes;sore throat;sores, ulcers, or white spots in the mouth or on the lips;headache;hoarseness;lower back or side pain;pain or tenderness around the eyes and cheekbones;painful or difficult urination;stuffy or runny nose;abdominal or stomach pain;back pain;belching or excessive gas;constipation;general feeling of discomfort or illness;heartburn, indigestion, or stomach discomfort;lack or loss of strength;loss of appetite;nausea;shivering;sweating;trouble sleeping;vomiting;appetite increased;black, tarry stools;bloody nose;bloody or cloudy urine;blurred vision;continuing ringing or buzzing or other unexplained noise in the ears;difficult, burning, or painful urination;difficulty seeing at night;excessive muscle tone or tension;fruit-like breath odor;groin or scrotum pain;inability to have or keep an erection;increased body movements;increased sensitivity of the eyes to light;increased sensitivity to touch or pain;increased thirst;increased urination;loss of bladder control;loss of sexual ability, drive, or desire;menstrual bleeding occurring earlier or lasting longer than usual;mental depression;nervousness;nightmares;pale skin;paranoia;pinpoint red spots on the skin;slurred speech;swollen or tender lymph glands in the neck, armpit, or groin;unable to move or feel face;unusual bleeding or bruising;weight loss;or",,,,,,,,
6,6,Crestor,,,,,,,,,,,"dark-colored urine;fever;muscle cramps or spasms;muscle pain, stiffness, tenderness, wasting, or weakness;unusual tiredness or weakness;abdominal or stomach pain;clay-colored stools;skin rash;unpleasant breath odor;vomiting of blood;yellow eyes or skin;body aches or pain;congestion;cough;difficulty with moving;dry or sore throat;headache;hoarseness;pain in the joints;runny nose;tender, swollen glands in the neck;trouble swallowing;voice changes;accidental injury;accumulation of pus, swollen, red, or tender area of infection near a tooth;acid or sour stomach;arm, back, or jaw pain;belching;bladder pain;bloated or full feeling;bloody or cloudy urine;blurred vision;burning feeling in the chest or stomach;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain or discomfort;chest tightness or heaviness;chills;constipation;depression;diarrhea;difficult or labored breathing;difficult, burning, or painful urination;discouragement;dizziness;dry mouth;excess air or gas in the stomach or intestines;excessive muscle tone;fast, irregular, pounding, or racing heartbeat or pulse;fear;feeling faint;feeling of constant movement of self or surroundings;feeling of warmth or heat;feeling sad or empty;flushed, dry skin;flushing or redness of the skin especially on the face and neck;fruit-like breath odor;general feeling of discomfort or illness;heartburn;increased hunger;increased thirst;increased urination;irritability;itching skin;lack of appetite;lack or loss of strength;lightheadedness;loss of appetite;loss of consciousness;loss of interest or pleasure;muscle tension or tightness;nausea;neck pain;nerve pain;nervousness;pain or swelling in the arms or legs without any injury;pain or tenderness around the eyes and cheekbones;pain, swelling, or redness in the joints;pale skin;passing gas;pounding in the ears;sensation of spinning;shivering;slow heartbeat;sneezing;stomach pain, discomfort, tenderness, or upset;stuffy nose;sweating;swelling of the hands, ankles, feet, or lower legs;trouble concentrating;trouble sleeping;unexplained weight loss;unusual bleeding or bruising;vomiting;or",,,,,,,,
7,7,Zocor,,,,,,,,,,,"dizziness;fainting;fast or irregular heartbeat;bladder pain;bloody or cloudy urine;blurred vision;body aches or pain;chills;cough;dark-colored urine;difficult, burning, or painful urination;difficulty with breathing;difficulty with moving;dry mouth;ear congestion;fever;flushed, dry skin;frequent urge to urinate;fruit-like breath odor;headache;increased hunger;increased thirst;increased urination;joint pain;loss of consciousness;lower back or side pain;muscle cramps, spasms, or stiffness;muscular pain, tenderness, wasting, or weakness;nasal congestion;nausea;runny nose;sneezing;sore throat;stomachache;sweating;swelling;swollen joints;troubled breathing;unexplained weight loss;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;bloating;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;constipation;diarrhea;difficulty with swallowing;general tiredness and weakness;indigestion;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;skin rash, hives, or itching;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;troubled breathing with exertion;unusual bleeding or bruising;upper right abdominal or stomach pain;weakness in the arms, hands, legs, or feet;yellow eyes or skin;acid or sour stomach;belching;burning feeling in the chest or stomach;dizziness or lightheadedness;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;full feeling;heartburn;lack or loss of strength;pain or tenderness around the eyes and cheekbones;passing gas;sensation of spinning;skin rash, encrusted, scaly, and oozing;stomach discomfort, upset, or pain;tenderness in the stomach area;trouble sleeping;being forgetful;depression;discoloration of the skin;hair loss or thinning of the hair;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;or",,,,,,,,
8,8,Lopid,,,,,,,,,,,"bladder pain;bloody or cloudy urine;cough or hoarseness;difficult, burning, or painful urination;fever or chills;frequent urge to urinate;lower back or side pain;black, tarry stools;chest pain;dark-colored urine;indigestion;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;muscle cramps or spasms;muscle pain or stiffness;muscular pain, tenderness, wasting, or weakness;pale skin;severe nausea or vomiting;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stomach pain;swollen glands;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;acid or sour stomach;bad, unusual, or unpleasant (after) taste;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;diarrhea;heartburn;stomach discomfort or upset;difficulty having a bowel movement (stool);dizziness or lightheadedness;feeling of constant movement of self or surroundings;headache;nausea;sensation of spinning;skin rash, encrusted, scaly and oozing;vomiting;or",,,,,,,,
9,9,gemfibrozil,,,,,,,,,,,"bladder pain;bloody or cloudy urine;cough or hoarseness;difficult, burning, or painful urination;fever or chills;frequent urge to urinate;lower back or side pain;black, tarry stools;chest pain;dark-colored urine;indigestion;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;muscle cramps or spasms;muscle pain or stiffness;muscular pain, tenderness, wasting, or weakness;pale skin;severe nausea or vomiting;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stomach pain;swollen glands;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;acid or sour stomach;bad, unusual, or unpleasant (after) taste;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;diarrhea;heartburn;stomach discomfort or upset;difficulty having a bowel movement (stool);dizziness or lightheadedness;feeling of constant movement of self or surroundings;headache;nausea;sensation of spinning;skin rash, encrusted, scaly and oozing;vomiting;or",,,,,,,,
