,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Temodar,,,,,,,,,,,"amnesia;black, tarry stools;blood in the urine or stools;convulsions;cough or hoarseness;fever or chills;lower back or side pain;muscle weakness or paralysis on one or both sides of the body;painful or difficult urination;pinpoint red spots on the skin;swelling of the feet or lower legs;unusual bleeding or bruising;abdominal or stomach pain or tenderness;blistering, peeling, or loosening of the skin;chest pain;clay colored stools;cough;decreased appetite;diarrhea;difficulty swallowing;dizziness;fast heartbeat;headache;hives, itching, or skin rash;joint or muscle pain;nausea or vomiting;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;sneezing;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;troubled breathing;unusual tiredness or weakness;yellow skin or eyes;constipation;anxiety;blurred or double vision;breast pain (in females);burning or prickling feeling on the skin;confusion;diarrhea;difficulty with speaking;drowsiness;increased urge to urinate;loss of appetite;loss of muscle coordination;mental depression;runny or stuffy nose;trouble sleeping;unusual weight gain",,,,,,,,
1,1,Avastin,,,,,,,,,,,"black, tarry stools;bleeding gums;body aches or pain;burning, tingling, numbness, or pain in the hands, arms, feet, or legs;chest pain or discomfort;chills;cloudy urine;convulsions;cough;cracks in the skin;decreased urine output;difficult or labored breathing;dilated neck veins;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;ear congestion;extreme fatigue;fever;irregular breathing;irregular heartbeat;lack or loss of strength;lightheadedness;loss of appetite;loss of heat from the body;loss of voice;mood changes;nasal congestion;nervousness;pain;pain, redness, or swelling in the arm or leg;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;rapid breathing;redness;runny nose;sensation of pins and needles;slow or fast heartbeat;sore throat;sores on the skin;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sunken eyes;sweating;swelling of the face, fingers, feet, or lower legs;swelling or inflammation of the mouth;swollen glands;thirst;tightness in the chest;trouble breathing;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;watery or bloody diarrhea;weight gain;wrinkled skin;yellow skin;abdominal or stomach pain or tenderness;bone pain;difficulty with swallowing;fainting;severe constipation;severe vomiting;back pain;blisters;blurred vision;coma;confusion;dizziness;drowsiness;headache;increased thirst;muscle pain or cramps;open sores;pale skin;bloody mucus or unexplained nosebleeds;hoarseness;sudden weakness in the arms or legs;sudden, severe chest pain;voice changes;acid or sour stomach;belching;bloody nose;change in taste or bad unusual or unpleasant (after) taste;change in walking and balance;clumsiness or unsteadiness;diarrhea;dry mouth;excess flow of tears;hair loss;heartburn;indigestion;stomach discomfort, upset, or pain;thinning of the hair;weight loss;or",,,,,,,,
2,2,temozolomide,,,,,,,,,,,"amnesia;black, tarry stools;blood in the urine or stools;convulsions;cough or hoarseness;fever or chills;lower back or side pain;muscle weakness or paralysis on one or both sides of the body;painful or difficult urination;pinpoint red spots on the skin;swelling of the feet or lower legs;unusual bleeding or bruising;abdominal or stomach pain or tenderness;blistering, peeling, or loosening of the skin;chest pain;clay colored stools;cough;decreased appetite;diarrhea;difficulty swallowing;dizziness;fast heartbeat;headache;hives, itching, or skin rash;joint or muscle pain;nausea or vomiting;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;sneezing;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;troubled breathing;unusual tiredness or weakness;yellow skin or eyes;constipation;anxiety;blurred or double vision;breast pain (in females);burning or prickling feeling on the skin;confusion;diarrhea;difficulty with speaking;drowsiness;increased urge to urinate;loss of appetite;loss of muscle coordination;mental depression;runny or stuffy nose;trouble sleeping;unusual weight gain",,,,,,,,
3,3,Matulane,,,,,,,,,,,"chest pain (severe);enlarged pupils of eyes;fast or slow heartbeat;headache (severe);increased sensitivity of eyes to light;increased sweating (possibly with fever or cold, clammy skin);stiff or sore neck;black, tarry stools;blood in urine or stools;bloody vomit;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;unusual bleeding or bruising;confusion;convulsions (seizures);cough;hallucinations (seeing, hearing, or feeling things that are not there);missing menstrual periods;shortness of breath;thickening of bronchial secretions;tiredness or weakness (continuing);diarrhea;sores in mouth and on lips;tingling or numbness of fingers or toes;unsteadiness or awkwardness;yellow eyes or skin;fainting;skin rash, hives, or itching;wheezing;drowsiness;muscle or joint pain;muscle twitching;nausea and vomiting;nervousness;nightmares;trouble in sleeping;unusual tiredness or weakness;constipation;darkening of skin;difficulty in swallowing;dizziness or lightheadedness when getting up from a lying or sitting position;dry mouth;feeling of warmth and redness in face;headache;loss of appetite;mental depression",,,,,,,,
4,4,BiCNU,,,,,,,,,,,"blurred vision;change in ability to see colors, especially blue or yellow;confusion;fever;headache;nausea and vomiting;problems with movement, walking, or speech;seizures;trouble healing;drowsiness;general feeling of illness;severe headache;stiff neck or back;abdominal or stomach pain;back pain;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;difficulty having a bowel movement (stool);discouragement;feeling sad or empty;frequent urge to urinate;irritability;lack of appetite;lack or loss of strength;loss of interest or pleasure;lower back or side pain;tiredness;trouble concentrating;trouble sleeping;chest pain",,,,,,,,
5,5,Gliadel,,,,,,,,,,,"blurred vision;change in ability to see colors, especially blue or yellow;confusion;fever;headache;nausea and vomiting;problems with movement, walking, or speech;seizures;trouble healing;drowsiness;general feeling of illness;severe headache;stiff neck or back;abdominal or stomach pain;back pain;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;difficulty having a bowel movement (stool);discouragement;feeling sad or empty;frequent urge to urinate;irritability;lack of appetite;lack or loss of strength;loss of interest or pleasure;lower back or side pain;tiredness;trouble concentrating;trouble sleeping;chest pain",,,,,,,,
6,6,bevacizumab,,,,,,,,,,,"black, tarry stools;bleeding gums;body aches or pain;burning, tingling, numbness, or pain in the hands, arms, feet, or legs;chest pain or discomfort;chills;cloudy urine;convulsions;cough;cracks in the skin;decreased urine output;difficult or labored breathing;dilated neck veins;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;ear congestion;extreme fatigue;fever;irregular breathing;irregular heartbeat;lack or loss of strength;lightheadedness;loss of appetite;loss of heat from the body;loss of voice;mood changes;nasal congestion;nervousness;pain;pain, redness, or swelling in the arm or leg;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;rapid breathing;redness;runny nose;sensation of pins and needles;slow or fast heartbeat;sore throat;sores on the skin;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sunken eyes;sweating;swelling of the face, fingers, feet, or lower legs;swelling or inflammation of the mouth;swollen glands;thirst;tightness in the chest;trouble breathing;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;watery or bloody diarrhea;weight gain;wrinkled skin;yellow skin;abdominal or stomach pain or tenderness;bone pain;difficulty with swallowing;fainting;severe constipation;severe vomiting;back pain;blisters;blurred vision;coma;confusion;dizziness;drowsiness;headache;increased thirst;muscle pain or cramps;open sores;pale skin;bloody mucus or unexplained nosebleeds;hoarseness;sudden weakness in the arms or legs;sudden, severe chest pain;voice changes;acid or sour stomach;belching;bloody nose;change in taste or bad unusual or unpleasant (after) taste;change in walking and balance;clumsiness or unsteadiness;diarrhea;dry mouth;excess flow of tears;hair loss;heartburn;indigestion;stomach discomfort, upset, or pain;thinning of the hair;weight loss;or",,,,,,,,
7,7,hydroxyurea,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;black, tarry stools;blackening of the fingernails and toenails;blood in the urine or stools;pinpoint red spots on the skin;sores in the mouth and on the lips;unusual bleeding or bruising;confusion;convulsions (seizures);difficulty with urination;dizziness;headache;joint pain;seeing, hearing, or feeling things that are not there;swelling of the feet or lower legs;bleeding under the skin;blisters on the skin;bluish or pale color on the skin of the fingers or toes;coldness of the fingers or toes;crater-like lesions on the skin;itching skin;numbness or tingling of the fingers or toes;pain in the fingers or toes;unusual tiredness or weakness;weight loss;diarrhea;drowsiness;loss of appetite;nausea or vomiting;constipation;redness of skin at the place of radiation;skin rash and itching;or",,,,,,,,
8,8,carmustine,,,,,,,,,,,"blurred vision;change in ability to see colors, especially blue or yellow;confusion;fever;headache;nausea and vomiting;problems with movement, walking, or speech;seizures;trouble healing;drowsiness;general feeling of illness;severe headache;stiff neck or back;abdominal or stomach pain;back pain;bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;difficulty having a bowel movement (stool);discouragement;feeling sad or empty;frequent urge to urinate;irritability;lack of appetite;lack or loss of strength;loss of interest or pleasure;lower back or side pain;tiredness;trouble concentrating;trouble sleeping;chest pain",,,,,,,,
9,9,procarbazine,,,,,,,,,,,"chest pain (severe);enlarged pupils of eyes;fast or slow heartbeat;headache (severe);increased sensitivity of eyes to light;increased sweating (possibly with fever or cold, clammy skin);stiff or sore neck;black, tarry stools;blood in urine or stools;bloody vomit;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;unusual bleeding or bruising;confusion;convulsions (seizures);cough;hallucinations (seeing, hearing, or feeling things that are not there);missing menstrual periods;shortness of breath;thickening of bronchial secretions;tiredness or weakness (continuing);diarrhea;sores in mouth and on lips;tingling or numbness of fingers or toes;unsteadiness or awkwardness;yellow eyes or skin;fainting;skin rash, hives, or itching;wheezing;drowsiness;muscle or joint pain;muscle twitching;nausea and vomiting;nervousness;nightmares;trouble in sleeping;unusual tiredness or weakness;constipation;darkening of skin;difficulty in swallowing;dizziness or lightheadedness when getting up from a lying or sitting position;dry mouth;feeling of warmth and redness in face;headache;loss of appetite;mental depression",,,,,,,,
