,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,simethicone,,,,,,,,,,,or,,,,,,,,
1,1,Gas-X,,,,,,,,,,,or,,,,,,,,
2,2,Alka-Seltzer Anti-Gas,,,,,,,,,,,or,,,,,,,,
3,3,Phazyme,,,,,,,,,,,or,,,,,,,,
4,4,Mylicon,,,,,,,,,,,or,,,,,,,,
5,5,aluminum hydroxide / magnesium hydroxide / simethicone,,,,,,,,,,,,,,,,,,,
6,6,Maalox Anti-Gas,,,,,,,,,,,or,,,,,,,,
7,7,Mylanta Gas,,,,,,,,,,,or,,,,,,,,
8,8,Gelusil,,,,,,,,,,,,,,,,,,,
9,9,Mylanta Gas Maximum Strength,,,,,,,,,,,or,,,,,,,,
10,10,Anti-Gas Ultra Strength,,,,,,,,,,,or,,,,,,,,
11,11,Belladonna Tincture,,,,,,,,,,,,,,,,,,,
12,12,Gas Aide,,,,,,,,,,,or,,,,,,,,
13,13,Gas Free Extra Strength,,,,,,,,,,,or,,,,,,,,
14,14,Mytab Gas,,,,,,,,,,,or,,,,,,,,
15,15,Ovol,,,,,,,,,,,or,,,,,,,,
16,16,Almacone,,,,,,,,,,,,,,,,,,,
17,17,Baby Gasz,,,,,,,,,,,or,,,,,,,,
18,18,Equalize Gas Relief Drops,,,,,,,,,,,or,,,,,,,,
19,19,Gas-X Extra Strength,,,,,,,,,,,or,,,,,,,,
20,20,Genasyme,,,,,,,,,,,or,,,,,,,,
21,21,Infantaire Gas Relief,,,,,,,,,,,or,,,,,,,,
22,22,Little Tummys,,,,,,,,,,,or,,,,,,,,
23,23,Mi-Acid Gas Relief,,,,,,,,,,,or,,,,,,,,
24,24,SimePed,,,,,,,,,,,or,,,,,,,,
25,25,Di-Gel,,,,,,,,,,,,,,,,,,,
26,26,Mylanta,,,,,,,,,,,,,,,,,,,
27,27,belladonna,,,,,,,,,,,,,,,,,,,
28,28,citric acid / simethicone / sodium bicarbonate,,,,,,,,,,,,,,,,,,,
29,29,Rulox,,,,,,,,,,,,,,,,,,,
30,30,hyoscyamine / phenyltoloxamine,,,,,,,,,,,,,,,,,,,
31,31,Maalox Advanced Regular Strength,,,,,,,,,,,,,,,,,,,
32,32,Mi-Acid,,,,,,,,,,,,,,,,,,,
33,33,Milantex,,,,,,,,,,,,,,,,,,,
34,34,Mintox,,,,,,,,,,,,,,,,,,,
35,35,Mintox Plus,,,,,,,,,,,,,,,,,,,
36,36,Tempo,,,,,,,,,,,,,,,,,,,
37,37,Alamag Plus,,,,,,,,,,,,,,,,,,,
38,38,aspirin / citric acid / sodium bicarbonate,,,,,,,,,,,"changes in behavior;drowsiness or tiredness (severe);fast or deep breathing;any loss of hearing;bloody urine;confusion;convulsions (seizures);diarrhea (severe or continuing);difficulty in swallowing;dizziness, lightheadedness, or feeling faint (severe);drowsiness (severe);excitement or nervousness (severe);fast or deep breathing;flushing, redness, or other change in skin color;hallucinations (seeing, hearing, or feeling things that are not there);nausea or vomiting (severe or continuing);shortness of breath, troubled breathing, tightness in chest, or wheezing;stomach pain (severe or continuing);swelling of eyelids, face, or lips;unexplained fever;uncontrollable flapping movements of the hands (especially in elderly patients);vision problems;bloody or black, tarry stools;frequent urge to urinate;headache (severe or continuing);increased blood pressure;loss of appetite (continuing);mood or mental changes;muscle pain or twitching;ringing or buzzing in ears (continuing);skin rash, hives, or itching;slow breathing;swelling of face, fingers, ankles, feet, or lower legs;unpleasant taste;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weight gain (unusual);heartburn or indigestion;increased thirst;nausea or vomiting;stomach pain (mild)",,,,,,,,
39,39,bismuth subgallate,,,,,,,,,,,,,,,,,,,
40,40,calcium carbonate / magnesium hydroxide / simethicone,,,,,,,,,,,,,,,,,,,
41,41,E-Z-Gas II,,,,,,,,,,,,,,,,,,,
42,42,Mylanta Maximum Strength,,,,,,,,,,,,,,,,,,,
43,43,Mylanta Tonight,,,,,,,,,,,,,,,,,,,
44,44,,,,,,,,,,,,,,,,,,,,
