,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,fluorouracil,,,,,,,,,,,"diarrhea;heartburn;sores in mouth and on lips;black, tarry stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;nausea and vomiting (severe);painful or difficult urination, accompanied by fever or chills;stomach cramps;blood in urine or stools;pinpoint red spots on skin;unusual bleeding or bruising;chest pain;cough;shortness of breath;tingling of hands and feet, followed by pain, redness, and swelling;trouble with balance;loss of appetite;nausea and vomiting;skin rash and itching;weakness;dry or cracked skin;black, tarry stools;blood in urine or stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;or",,,,,,,,
1,1,Adriamycin,,,,,,,,,,,"cough or hoarseness accompanied by fever or chills;darkening or redness of the skin (if you recently had radiation treatment);fast or irregular heartbeat;fever or chills;joint pain;lower back or side pain accompanied by fever or chills;pain at the injection site;painful or difficult urination accompanied by fever or chills;red streaks along the injected vein;shortness of breath;stomach pain;swelling of the feet and lower legs;black, tarry stools;blood in the urine;pinpoint red spots on the skin;unusual bleeding or bruising;hair loss, thinning of hair;nausea and vomiting;sores in the mouth and on the lips;darkening of the soles, palms, or nails;diarrhea;fast or irregular heartbeat;shortness of breath;swelling of the feet and lower legs;or",,,,,,,,
2,2,Adrucil,,,,,,,,,,,"diarrhea;heartburn;sores in mouth and on lips;black, tarry stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;nausea and vomiting (severe);painful or difficult urination, accompanied by fever or chills;stomach cramps;blood in urine or stools;pinpoint red spots on skin;unusual bleeding or bruising;chest pain;cough;shortness of breath;tingling of hands and feet, followed by pain, redness, and swelling;trouble with balance;loss of appetite;nausea and vomiting;skin rash and itching;weakness;dry or cracked skin;black, tarry stools;blood in urine or stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;or",,,,,,,,
3,3,Mutamycin,,,,,,,,,,,"black, tarry stools;blood in urine or stools;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;unusual bleeding or bruising;redness or pain, especially at place of injection;cough;decreased urination;shortness of breath;sores in mouth and on lips;swelling of feet or lower legs;bloody vomit;loss of appetite;nausea and vomiting;numbness or tingling in fingers and toes;purple-colored bands on nails;skin rash;unusual tiredness or weakness;blood in urine;black, tarry stools;blood in stools;cough or hoarseness;decreased urination;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;red or painful skin;shortness of breath;swelling of feet or lower legs;unusual bleeding or bruising",,,,,,,,
4,4,capecitabine,,,,,,,,,,,"abdominal or stomach pain;diarrhea;nausea;numbness, pain, tingling, or other unusual sensations in the palms of the hands or bottoms of the feet;pain, blistering, peeling, redness, or swelling of the palms of the hands or bottoms of the feet;pain, redness, swelling, sores, or ulcers in your mouth or on your lips;unusual tiredness or weakness;vomiting;abdominal or stomach cramping or pain (severe);agitation;back pain;bleeding and bruising;bleeding gums;blood in the urine or stools;bloody nose;bloody or black, tarry stools;blurred vision;burning, dry, or itching eyes;chest pain;chills;clumsiness or unsteadiness;cold;collapse;coma;confusion;constipation;convulsions;cough or hoarseness (accompanied by fever or chills);cough producing mucus;coughing or spitting up blood;dark urine;decreased frequency or amount of urine;difficulty with breathing;difficulty with swallowing or pain in the back of throat or chest when swallowing;discharge from the eyes;drowsiness;dry mouth;excessive tearing;extra heartbeats;eye redness, irritation, or pain;fainting;fast or irregular heartbeat;fever or chills;flu-like symptoms;hallucinations;headache, sudden and severe;heavier menstrual periods;high fever;hot, red skin on the feet or legs;inability to speak;increased menstrual flow or vaginal bleeding;increased thirst;irritability;itching in the genital or other skin areas;lightheadedness;light-colored stools;loss of consciousness;lower back or side pain (accompanied by fever or chills);muscle aches or cramps;muscle spasms;nosebleeds;numbness or tingling in the hands, feet, or lips;painful or difficult urination (accompanied by fever or chills);painful, swollen feet or legs;pain, tenderness, or swelling in the upper abdominal or stomach area;pale skin;paralysis;pinpoint red spots on the skin;problems with coordination;prolonged bleeding from cuts;rapid, shallow breathing;red or dark brown urine;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;scaling;seizures;severe constipation;skin rash or itching;slow or irregular heartbeat;slurred speech;sneezing, sore throat, or stuffy nose;sores, ulcers, or white spots on the lips or in the mouth;stiff neck;stomach bloating, burning, or cramping;swelling of the face, fingers, feet, or lower legs;swelling of the lymph nodes;swollen glands;temporary blindness;tiredness or weakness;trouble with speaking;troubled breathing or tightness in the chest;unexplained nosebleeds;unusual bleeding or bruising;unusual lump or swelling in the chest;vomiting blood or material that looks like coffee grounds;weakness in the arm or leg on one side of the body, sudden and severe;weight gain or loss;white patches in the mouth or throat or on the tongue;white patches with diaper rash;yellow eyes or skin;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings;changes or discoloration in the fingernails or toenails;difficulty with moving;discouragement;dizziness;headache;heartburn;increased sensitivity of the skin to sunlight;muscle pain;pain;pain and redness of the skin at the place of x-ray treatment;pain in the joints or limbs;red, sore eyes;sunken eyes;thirst;trouble sleeping;weakness;wrinkled skin;bone pain;change in color of treated skin;difficulty with walking;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;full or bloated feeling or pressure in the stomach;general feeling of discomfort or illness;hot flushes;impaired balance;increased sweating;joint pain;lack of appetite;loss of interest or pleasure;muscle weakness;noisy breathing;pain in the rectum;pain, swelling, or redness in the joints;passing less gas;rough, scratchy sound to voice;runny nose;sensation of spinning;shakiness in the legs, arms, hands, or feet;shivering;sores on the skin;swelling of abdominal or stomach area;tremor or shaking of the hands or feet;trouble concentrating;voice changes",,,,,,,,
5,5,Cyramza,,,,,,,,,,,"back pain or spasms;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;chills;confusion;convulsions;decreased urine output;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, pounding, or irregular heartbeat or pulse;feeling of warmth;feeling unusually cold;headache;increased thirst;muscle pain or cramps;nausea or vomiting;nervousness;pounding in the ears;redness of the face, neck, arms, and occasionally, upper chest;shakiness in the legs, arms, hands, or feet;shivering;sweating;swelling of the face, ankles, or hands;trembling or shaking of the hands or feet;unusual tiredness or weakness;abdominal or stomach pain, cramping, or burning;bleeding gums;bloody nose;cough;coughing up blood;difficulty with breathing or swallowing;dizziness;fever;inability to speak;increased menstrual flow or vaginal bleeding;low blood pressure or pulse;lower back or side pain;nosebleeds;pain in the chest, groin, or legs, especially calves of the legs;pain or discomfort in the arms, jaw, back, or neck;painful or difficult urination;pale skin;paralysis;prolonged bleeding from cuts;red or black, tarry stools;red or dark brown urine;severe constipation;severe headaches of sudden onset;severe numbness, especially on one side of the face or body;slurred speech;sore throat;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden vision changes;sweating;temporary blindness;ulcers, sores, or white spots in the mouth;unconsciousness;unusual bleeding or bruising;vomiting of material that looks like coffee grounds, severe and continuing;diarrhea",,,,,,,,
6,6,doxorubicin,,,,,,,,,,,"cough or hoarseness accompanied by fever or chills;darkening or redness of the skin (if you recently had radiation treatment);fast or irregular heartbeat;fever or chills;joint pain;lower back or side pain accompanied by fever or chills;pain at the injection site;painful or difficult urination accompanied by fever or chills;red streaks along the injected vein;shortness of breath;stomach pain;swelling of the feet and lower legs;black, tarry stools;blood in the urine;pinpoint red spots on the skin;unusual bleeding or bruising;hair loss, thinning of hair;nausea and vomiting;sores in the mouth and on the lips;darkening of the soles, palms, or nails;diarrhea;fast or irregular heartbeat;shortness of breath;swelling of the feet and lower legs;or",,,,,,,,
7,7,mitomycin,,,,,,,,,,,"black, tarry stools;blood in urine or stools;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;unusual bleeding or bruising;redness or pain, especially at place of injection;cough;decreased urination;shortness of breath;sores in mouth and on lips;swelling of feet or lower legs;bloody vomit;loss of appetite;nausea and vomiting;numbness or tingling in fingers and toes;purple-colored bands on nails;skin rash;unusual tiredness or weakness;blood in urine;black, tarry stools;blood in stools;cough or hoarseness;decreased urination;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;red or painful skin;shortness of breath;swelling of feet or lower legs;unusual bleeding or bruising",,,,,,,,
8,8,ramucirumab,,,,,,,,,,,"back pain or spasms;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;chills;confusion;convulsions;decreased urine output;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, pounding, or irregular heartbeat or pulse;feeling of warmth;feeling unusually cold;headache;increased thirst;muscle pain or cramps;nausea or vomiting;nervousness;pounding in the ears;redness of the face, neck, arms, and occasionally, upper chest;shakiness in the legs, arms, hands, or feet;shivering;sweating;swelling of the face, ankles, or hands;trembling or shaking of the hands or feet;unusual tiredness or weakness;abdominal or stomach pain, cramping, or burning;bleeding gums;bloody nose;cough;coughing up blood;difficulty with breathing or swallowing;dizziness;fever;inability to speak;increased menstrual flow or vaginal bleeding;low blood pressure or pulse;lower back or side pain;nosebleeds;pain in the chest, groin, or legs, especially calves of the legs;pain or discomfort in the arms, jaw, back, or neck;painful or difficult urination;pale skin;paralysis;prolonged bleeding from cuts;red or black, tarry stools;red or dark brown urine;severe constipation;severe headaches of sudden onset;severe numbness, especially on one side of the face or body;slurred speech;sore throat;sudden loss of coordination;sudden onset of shortness of breath for no apparent reason;sudden onset of slurred speech;sudden vision changes;sweating;temporary blindness;ulcers, sores, or white spots in the mouth;unconsciousness;unusual bleeding or bruising;vomiting of material that looks like coffee grounds, severe and continuing;diarrhea",,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,
