,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Imitrex,,,,,,,,,,,"abdominal or stomach pain;anxiety;blurred vision;changes in patterns and rhythms of speech;chest pain or tightness;chills;confusion;dizziness;fast, slow, irregular, pounding, or racing heartbeat or pulse;headache;muscle cramps and stiffness;neck, throat, or jaw pain;nightmares;shivering;sweating;swelling of the fingers, hands, feet, or lower legs;tightness in the chest;trouble breathing;blindness;chest pain or discomfort;chest tightness or heaviness;flushing or redness of the skin, especially on the face and neck;increased blinking or spasms of the eyelid;itching, pain, redness, or swelling;lightheadedness, dizziness, or fainting;nerve pain;severe numbness, especially on one side of the face or body;severe or continuing stomach pain;trouble speaking or swallowing;twitching;unusual bleeding or bruising;vomiting of blood or material that looks like coffee grounds;weakness of the arms and legs;agitation;back, leg, or stomach pains;bleeding gums;changes in vision;muscle twitching;pinpoint red spots on the skin;poor coordination;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;skin rash, hives, or itching;unexplained bleeding or bruising;unusually warm skin;weakness in the arm or leg on one side of the body, sudden and severe;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in color vision;change in hearing;difficulty with concentrating;drowsiness;heartburn;increased sensitivity of the eyes to sunlight;joint pain;muscle aching or cramping;muscle stiffness or tightness;swollen joints;trouble sleeping;aggressiveness;belching;change in taste;feeling halos around lights;increased sensitivity to pain;loss of appetite;numbness, pain, tingling, or weakness;stomach discomfort or upset;tingling in the hands and feet;tunnel vision;weakness;or",,,,,,,,
1,1,sumatriptan,,,,,,,,,,,"abdominal or stomach pain;anxiety;blurred vision;changes in patterns and rhythms of speech;chest pain or tightness;chills;confusion;dizziness;fast, slow, irregular, pounding, or racing heartbeat or pulse;headache;muscle cramps and stiffness;neck, throat, or jaw pain;nightmares;shivering;sweating;swelling of the fingers, hands, feet, or lower legs;tightness in the chest;trouble breathing;blindness;chest pain or discomfort;chest tightness or heaviness;flushing or redness of the skin, especially on the face and neck;increased blinking or spasms of the eyelid;itching, pain, redness, or swelling;lightheadedness, dizziness, or fainting;nerve pain;severe numbness, especially on one side of the face or body;severe or continuing stomach pain;trouble speaking or swallowing;twitching;unusual bleeding or bruising;vomiting of blood or material that looks like coffee grounds;weakness of the arms and legs;agitation;back, leg, or stomach pains;bleeding gums;changes in vision;muscle twitching;pinpoint red spots on the skin;poor coordination;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;skin rash, hives, or itching;unexplained bleeding or bruising;unusually warm skin;weakness in the arm or leg on one side of the body, sudden and severe;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in color vision;change in hearing;difficulty with concentrating;drowsiness;heartburn;increased sensitivity of the eyes to sunlight;joint pain;muscle aching or cramping;muscle stiffness or tightness;swollen joints;trouble sleeping;aggressiveness;belching;change in taste;feeling halos around lights;increased sensitivity to pain;loss of appetite;numbness, pain, tingling, or weakness;stomach discomfort or upset;tingling in the hands and feet;tunnel vision;weakness;or",,,,,,,,
2,2,Maxalt,,,,,,,,,,,"chest pain;heaviness, tightness, or pressure in the chest and/or neck;pounding heartbeat;sensation of burning, warmth, heat, numbness, tightness, or tingling;shortness of breath;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;increased heartbeat;irregular heartbeat;pain, tightness, or pressure in the neck, jaw, or throat;slow heartbeat;dizziness;dry mouth;hot flashes;lack or loss of strength;nausea or vomiting;sleepiness or unusual drowsiness;unusual tiredness or weakness;agitation;anxiety;blurred vision;chills;confusion;constipation;depression;diarrhea;difficulty with swallowing;dry eyes;eye irritation;feeling of constant movement of self or surroundings;gas;headache;heartburn;heat sensitivity;inability to sleep;increased sweating;increased thirst;irritability;itching of the skin;muscle or joint stiffness, tightness, or rigidity;muscle pain or spasms;ringing or buzzing in the ears;sudden, large increase in the frequency or quantity of urine;trembling of the hands or feet;unusual feeling of well-being;warm or cold sensations;or",,,,,,,,
3,3,Relpax,,,,,,,,,,,"chest pain or tightness;difficulty with swallowing;tightness in the throat;chest discomfort;dizziness;headache;nausea;nosebleeds;numbness or tingling in the face, arms or legs;pain or discomfort in the arms, jaw, back or neck;sweating;vision problems;vomiting;abdominal or stomach pain;agitation;bloody diarrhea;confusion;cough;diarrhea;difficulty in speaking;fainting;fast, slow, pounding, or irregular heartbeat or pulse;fever;inability to move arms, legs, or facial muscles;overactive reflexes;pain in the arms legs, or lower back, especially pain in calves or heels upon exertion;pale, bluish-colored, or cold hands or feet;paleness or cold feeling in fingertips and toes;poor coordination;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;restlessness;seizures;severe or sudden headache;shivering;skin rash, hives, or itching;slurred speech;sudden loss of coordination;sweating;talking or acting with excitement you cannot control;tingling or pain in the fingers or toes when exposed to cold;trembling or shaking;twitching;unusual tiredness or weakness;weak or absent pulses in the legs;weakness in the arm or leg on one side of the body, sudden and severe;lack or loss of strength;sleepiness or unusual drowsiness;acid or sour stomach;belching;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings;dry mouth;heartburn;indigestion;stomach soreness or discomfort;stomach upset;or",,,,,,,,
4,4,Amerge,,,,,,,,,,,"chest pain (severe);heaviness, tightness, or pressure in the chest, throat, or neck;sensation of burning, warmth, heat, numbness, tightness, or tingling;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;convulsions (seizures);irregular heartbeat;slow heartbeat;anxiety;bone pain;change in taste sensation;chills or fever;difficulty with sleeping;eye problems;fainting;general feeling of discomfort or illness;joint pain;muscle or joint stiffness, tightness, or rigidity;pounding heartbeat;stomach discomfort or pain;trembling or shaking of the hands or feet;unusual tiredness or weakness;or",,,,,,,,
5,5,Axert,,,,,,,,,,,"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;discharge from the eye;eye irritation;fast, irregular, pounding, or racing heartbeat or pulse;itching, redness, or swelling of the skin;neck pain or rigid neck;redness of the inner lining of the eyelid;skin rash;shortness of breath;tightness in the throat;abdominal or stomach cramping or pain;black, tarry stools;blood in the stools;bringing back up of food;chest pain, severe;cool, pale skin;diarrhea;difficulty with swallowing;earache;fainting;fever;heartburn, repeated;increased sweating;loss of appetite;loss of vision;rapid breathing;tightness in the chest;weight loss;burning, numbness, prickly, or tingling feeling;dizziness;dry mouth;headache;nausea;sleepiness;aching, fullness, or tension in the sinuses;anxious feeling;back pain;belching;change in sense of taste;chills;cough producing mucus;decreased sensitivity to touch;feeling of constant movement of self or surroundings;feeling of spinning;feeling of warmth or heat;flushing or redness of the skin;increased sense of hearing;indigestion;lack or loss of strength;muscle aches or weakness;nosebleed;painful menstrual period;quivering or trembling;restlessness;runny or stuffy nose;sore throat;trouble sleeping;vomiting;abnormal increase in reflexes;abnormally increased feeling of mental and physical well-being;buzzing or ringing in the ears;change in dreams or nightmares;change in sense of smell;change in sense of touch;clumsiness or unsteadiness;continuous, uncontrolled, back-and-forth or rolling eye movements;cough;difficulty in concentrating;double vision;drooling;dry eyes;dry throat;feeling of pins and needles;hoarseness;increased sensitivity to sunlight;increased thirst;loss of voice;mental depression;muscle stiffness;nervousness;pain, redness, swelling, or warmth in the joints;sneezing;stabbing pain;or",,,,,,,,
6,6,Butalbital Compound,,,,,,,,,,,,,,,,,,,
7,7,Cambia,,,,,,,,,,,"abdominal or stomach bloating, burning, cramping, or pain;belching;bloody or black, tarry stools;cloudy urine;constipation;decrease in urine output or decrease in urine-concentrating ability;diarrhea;dizziness;feeling of indigestion;headache;increased bleeding time;itching skin or rash;loss of appetite;nausea and vomiting;pain in the chest below the breastbone;pale skin;severe stomach pain;swelling;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weight loss;agitation;blurred vision;change in consciousness;change in the ability to see colors, especially blue or yellow;confusion;depression;difficult or troubled breathing;hives;hostility;irregular, fast or slow, or shallow breathing;irritability;loss of consciousness;muscle twitching;nervousness;pain or discomfort in the chest, upper stomach, or throat;pale or blue lips, fingernails, or skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;sleepiness;slow or fast heartbeat;stupor;swelling of the face, ankles, or hands;tightness in the chest;trouble sleeping;unusual drowsiness, dullness, or feeling of sluggishness;continuing ringing or buzzing or other unexplained noise in the ears;excess air or gas in the stomach or intestines;hearing loss;lack or loss of strength;passing gas;or",,,,,,,,
8,8,Zomig,,,,,,,,,,,"chest pain (severe);heaviness, tightness, or pressure in the chest or neck;sensation of burning, warmth, heat, numbness, tightness, or tingling;abdominal or stomach pain (severe);changes in facial skin color;cough or hoarseness;diarrhea;fast or irregular heartbeat;fever or chills;hives, itching, or skin rash;itching;loss of appetite;lower back or side pain;nausea;painful or difficult urination;puffiness or swelling of the eyelids or around the eyes, face, or lips;tightness in the chest;trouble breathing;weakness;blurred vision;confusion;difficulty swallowing;dizziness;fainting;frequent strong or increased urge to urinate;headache;increased volume of pale, dilute urine;nervousness;pounding in the ears;severe numbness, especially on one side of the face or body;slow heartbeat;unusual tiredness or weakness;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lack or loss of strength;sleepiness or unusual drowsiness;warm or cold sensation;dizziness or lightheadedness;dry mouth;feeling of constant movement of self or surroundings;sensation of spinning;anxiety;crying;depersonalization;depression;dysphoria;euphoria;hyperventilation;irritability;loss of memory;paranoia;problems with memory;quick to react or overreact emotionally;rapidly changing moods;redness of the skin;seeing, hearing, or feeling things that are not there;shaking;trouble sleeping;welts;or",,,,,,,,
9,9,Treximet,,,,,,,,,,,"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest discomfort or pain;fast, irregular, pounding, or racing heartbeat or pulse;jaw, neck, or throat pain;acid or sour stomach;belching;dizziness;dry mouth;feeling hot;feeling of warmth;heartburn;indigestion;lack or loss of strength;muscle tightness;nausea;redness of the face, neck, arms, and occasionally, upper chest;sleepiness or unusual drowsiness;stomach discomfort, upset, or pain;sudden sweating",,,,,,,,
