,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Advate,,,,,,,,,,,"fever;changes in facial skin color;chills;fast or irregular breathing;nausea;puffiness or swelling of the eyelids or around the eyes;sensation of burning, warmth, heat, numbness, tightness, or tingling;skin rash, hives, or itching;tightness in the chest;troubled breathing;unusual tiredness or weakness;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision;chest pain or discomfort;confusion;cough;deep or fast breathing with dizziness;difficult or labored breathing;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;noisy breathing;numbness of the feet, hands, and around the mouth;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;slow or irregular heartbeat;sweating;swelling of the face, throat, or tongue;unusual tiredness or weakness;headache;burning, stinging, or swelling at the place of injection;diarrhea;dizziness or lightheadedness;dry mouth or bad taste in the mouth;lack or loss of strength;nosebleed;redness of the face;vomiting;change in taste;loss of taste;abdominal or stomach pain;feeling of warmth;increased sweating;irritability;muscle or bone pain;redness of the eye;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;trouble seeing",,,,,,,,
1,1,antihemophilic factor,,,,,,,,,,,"fever;changes in facial skin color;chills;fast or irregular breathing;nausea;puffiness or swelling of the eyelids or around the eyes;sensation of burning, warmth, heat, numbness, tightness, or tingling;skin rash, hives, or itching;tightness in the chest;troubled breathing;unusual tiredness or weakness;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision;chest pain or discomfort;confusion;cough;deep or fast breathing with dizziness;difficult or labored breathing;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;noisy breathing;numbness of the feet, hands, and around the mouth;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;slow or irregular heartbeat;sweating;swelling of the face, throat, or tongue;unusual tiredness or weakness;headache;burning, stinging, or swelling at the place of injection;diarrhea;dizziness or lightheadedness;dry mouth or bad taste in the mouth;lack or loss of strength;nosebleed;redness of the face;vomiting;change in taste;loss of taste;abdominal or stomach pain;feeling of warmth;increased sweating;irritability;muscle or bone pain;redness of the eye;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;trouble seeing",,,,,,,,
2,2,DDAVP,,,,,,,,,,,"confusion;convulsions;decreased urine output;dizziness;fast or irregular heartbeat;headache;increased thirst;muscle pain or cramps;nausea or vomiting;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;weight gain;delusions;dementia;diarrhea;or",,,,,,,,
3,3,Cyklokapron,,,,,,,,,,,"pale skin;trouble breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;anxiety;change in vision;chest pain or tightness;confusion;cough;difficulty with swallowing;dizziness or lightheadedness;fainting;fast heartbeat;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash, hives, or itching;abdominal or stomach pain, discomfort, or tenderness;chills or fever;difficulty with moving;headache, severe and throbbing;joint or back pain;muscle aching or cramping;muscle pains or stiffness;stuffy or runny nose;diarrhea;nausea;vomiting;or",,,,,,,,
4,4,Feiba VH,,,,,,,,,,,"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain or discomfort;cough;difficulty with swallowing;dizziness;fast heartbeat;fever;hives or welts;hoarseness;irritation;itching;joint pain, stiffness, or swelling;nausea;pain in the injection site;pain or discomfort in the arms, jaw, back, or neck;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness of the skin;shortness of breath;skin rash;sweating;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled breathing or swallowing;unusual tiredness or weakness;vomiting;wheezing",,,,,,,,
5,5,Helixate FS,,,,,,,,,,,"fever;changes in facial skin color;chills;fast or irregular breathing;nausea;puffiness or swelling of the eyelids or around the eyes;sensation of burning, warmth, heat, numbness, tightness, or tingling;skin rash, hives, or itching;tightness in the chest;troubled breathing;unusual tiredness or weakness;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision;chest pain or discomfort;confusion;cough;deep or fast breathing with dizziness;difficult or labored breathing;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;noisy breathing;numbness of the feet, hands, and around the mouth;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;slow or irregular heartbeat;sweating;swelling of the face, throat, or tongue;unusual tiredness or weakness;headache;burning, stinging, or swelling at the place of injection;diarrhea;dizziness or lightheadedness;dry mouth or bad taste in the mouth;lack or loss of strength;nosebleed;redness of the face;vomiting;change in taste;loss of taste;abdominal or stomach pain;feeling of warmth;increased sweating;irritability;muscle or bone pain;redness of the eye;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;trouble seeing",,,,,,,,
6,6,NovoSeven RT,,,,,,,,,,,"bleeding problems;fever;high blood pressure;joint or muscle pain or stiffness;bloating or swelling of the face, hands, lower legs, or feet;bluish color of the hands or feet;blurred vision;changes in facial color;chest pain;chills;cold sweats;confusion;continuing thirst;cough;dizziness;excessive sweating;faintness;fast heartbeat;hives, itching, or skin rash;large flat blue or purplish patches on the skin;lightheadedness when getting up suddenly from a lying or sitting position;persistent bleeding or oozing from puncture sites or mucous membranes (bowel, mouth, nose, or urinary bladder);puffiness or swelling of the eyelids or around the eyes;shakiness;slow or irregular heartbeat (less than 50 beats per minute);slurred speech;sneezing;sore throat;sudden decrease in the amount of urine;swelling of the face, fingers, feet, or lower legs;troubled breathing, tightness in the chest;unusual tiredness or weakness;unusual weight gain;burning or stinging at the injection site;drowsiness;feeling of warmth;headache;nausea or vomiting;pinpoint red or purple spots on the skin;redness of the face, neck, arms and occasionally, upper chest",,,,,,,,
7,7,Alphanate,,,,,,,,,,,"difficulty with breathing or swallowing;dizziness;fast heartbeat;fever;hives or welts;itching;nausea;reddening of the skin, especially around the ears;shortness of breath;skin rash;swelling of the face, throat, or tongue;unusual tiredness or weakness;cough;tightness in the chest;vomiting;wheezing",,,,,,,,
8,8,Stimate,,,,,,,,,,,"confusion;convulsions;decreased urine output;dizziness;fast or irregular heartbeat;headache;increased thirst;muscle pain or cramps;nausea or vomiting;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;weight gain;delusions;dementia;diarrhea;or",,,,,,,,
9,9,desmopressin,,,,,,,,,,,"confusion;convulsions;decreased urine output;dizziness;fast or irregular heartbeat;headache;increased thirst;muscle pain or cramps;nausea or vomiting;shortness of breath;swelling of the face, ankles, or hands;unusual tiredness or weakness;weight gain;delusions;dementia;diarrhea;or",,,,,,,,
