,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,hepatitis b adult vaccine,,,,,,,,,,,"fever of 37.7 degrees c (100 degrees f) or higher;aches or pain in the joints, fever, or skin rash or welts (may occur days or weeks after receiving the vaccine);blurred vision or other vision changes;confusion;difficulty with breathing or swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;hives;itching, especially of the feet or hands;muscle weakness;numbness or tingling of the arms and legs;reddening of the skin, especially around the ears;sweating;swelling of the eyes, face, or inside of the nose;unusual tiredness or weakness (sudden and severe);dizziness;headache;soreness at the injection site;hard lump, redness, swelling, pain, itching, purple spot, tenderness, or warmth at the injection site;unusual tiredness or weakness;aches or pain in the muscles;agitation;back pain or stiffness or pain in neck or shoulder;chills;constipation;diarrhea;difficulty with moving;feeling of warmth;general feeling of discomfort or illness;headache (mild), sore throat, runny nose, or fever (mild);increased sweating;itching;lack of appetite or decreased appetite;nausea or vomiting;redness of the face, neck, arms, and occasionally, upper chest;sleepiness or unusual drowsiness;sleeplessness;stomach cramps or pain;sudden redness of skin;swelling of glands in the armpit or neck;trouble with sleeping;unable to sleep;welts;weight loss",,,,,,,,
1,1,Engerix-B,,,,,,,,,,,"fever of 37.7 degrees c (100 degrees f) or higher;aches or pain in the joints, fever, or skin rash or welts (may occur days or weeks after receiving the vaccine);blurred vision or other vision changes;confusion;difficulty with breathing or swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;hives;itching, especially of the feet or hands;muscle weakness;numbness or tingling of the arms and legs;reddening of the skin, especially around the ears;sweating;swelling of the eyes, face, or inside of the nose;unusual tiredness or weakness (sudden and severe);dizziness;headache;soreness at the injection site;hard lump, redness, swelling, pain, itching, purple spot, tenderness, or warmth at the injection site;unusual tiredness or weakness;aches or pain in the muscles;agitation;back pain or stiffness or pain in neck or shoulder;chills;constipation;diarrhea;difficulty with moving;feeling of warmth;general feeling of discomfort or illness;headache (mild), sore throat, runny nose, or fever (mild);increased sweating;itching;lack of appetite or decreased appetite;nausea or vomiting;redness of the face, neck, arms, and occasionally, upper chest;sleepiness or unusual drowsiness;sleeplessness;stomach cramps or pain;sudden redness of skin;swelling of glands in the armpit or neck;trouble with sleeping;unable to sleep;welts;weight loss",,,,,,,,
2,2,Twinrix,,,,,,,,,,,,,,,,,,,
3,3,hepatitis a adult vaccine / hepatitis b adult vaccine,,,,,,,,,,,,,,,,,,,
4,4,Recombivax HB Adult,,,,,,,,,,,"fever of 37.7 degrees c (100 degrees f) or higher;aches or pain in the joints, fever, or skin rash or welts (may occur days or weeks after receiving the vaccine);blurred vision or other vision changes;confusion;difficulty with breathing or swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;hives;itching, especially of the feet or hands;muscle weakness;numbness or tingling of the arms and legs;reddening of the skin, especially around the ears;sweating;swelling of the eyes, face, or inside of the nose;unusual tiredness or weakness (sudden and severe);dizziness;headache;soreness at the injection site;hard lump, redness, swelling, pain, itching, purple spot, tenderness, or warmth at the injection site;unusual tiredness or weakness;aches or pain in the muscles;agitation;back pain or stiffness or pain in neck or shoulder;chills;constipation;diarrhea;difficulty with moving;feeling of warmth;general feeling of discomfort or illness;headache (mild), sore throat, runny nose, or fever (mild);increased sweating;itching;lack of appetite or decreased appetite;nausea or vomiting;redness of the face, neck, arms, and occasionally, upper chest;sleepiness or unusual drowsiness;sleeplessness;stomach cramps or pain;sudden redness of skin;swelling of glands in the armpit or neck;trouble with sleeping;unable to sleep;welts;weight loss",,,,,,,,
5,5,Engerix-B Pediatric,,,,,,,,,,,,,,,,,,,
6,6,hepatitis b pediatric vaccine,,,,,,,,,,,,,,,,,,,
7,7,Recombivax HB Dialysis Formulation,,,,,,,,,,,"fever of 37.7 degrees c (100 degrees f) or higher;aches or pain in the joints, fever, or skin rash or welts (may occur days or weeks after receiving the vaccine);blurred vision or other vision changes;confusion;difficulty with breathing or swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;hives;itching, especially of the feet or hands;muscle weakness;numbness or tingling of the arms and legs;reddening of the skin, especially around the ears;sweating;swelling of the eyes, face, or inside of the nose;unusual tiredness or weakness (sudden and severe);dizziness;headache;soreness at the injection site;hard lump, redness, swelling, pain, itching, purple spot, tenderness, or warmth at the injection site;unusual tiredness or weakness;aches or pain in the muscles;agitation;back pain or stiffness or pain in neck or shoulder;chills;constipation;diarrhea;difficulty with moving;feeling of warmth;general feeling of discomfort or illness;headache (mild), sore throat, runny nose, or fever (mild);increased sweating;itching;lack of appetite or decreased appetite;nausea or vomiting;redness of the face, neck, arms, and occasionally, upper chest;sleepiness or unusual drowsiness;sleeplessness;stomach cramps or pain;sudden redness of skin;swelling of glands in the armpit or neck;trouble with sleeping;unable to sleep;welts;weight loss",,,,,,,,
8,8,Pediarix,,,,,,,,,,,"abdominal or stomach pain;agitation;back pain;black, tarry stools;bleeding gums;blood in the urine or stools;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision;chills;clay colored stools;collapse or shock-like state;coma;confusion;cough;dark urine;diarrhea;difficulty with swallowing;dizziness;drowsiness;fast heartbeat;fever;hallucinations;headache;heavier menstrual periods;hives or hive like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;hoarseness;irritability;irritation;itchiness, puffiness or swelling of the eyelids or around the eyes, face, lips, tongue, hands, or feet;itching;joint pain;loosening of the skin;mood or mental changes;nausea;pain or cramping in the abdomen or stomach;pinpoint red spots on the skin;redness of the skin;red, irritated eyes;seizures;shortness of breath;skin rash;sore throat;sores, ulcers, or white spots in the mouth or on the lips;stiff neck;stiffness or swelling;sudden infant death syndrome (sids);swelling;tightness in the chest;troubled breathing;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;vomiting or vomiting of blood;weight loss;wheezing;yellow eyes or skin;bleeding;blistering;burning;coldness;discoloration of the skin;fussiness;feeling of pressure;infection;inflammation;lumps;numbness;pain;restlessness;scarring;sleeping more than usual;soreness;stinging;tenderness;tingling;ulceration;unusual cry;warmth on the skin;arm or leg swelling;difficulty with moving;dullness, tiredness, weakness, or feeling of sluggishness;feeling of warmth;general feeling of discomfort or illness;hair loss;itching skin;lack or loss of strength;loss of appetite;loss of strength or energy;muscle pain, weakness, or stiffness;pain in the joints;paleness of the skin;redness of the face, neck, arms, and occasionally, upper chest;sneezing;sores, ulcers, or white spots in the mouth or on the lips;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thinning of the hair",,,,,,,,
9,9,Recombivax HB Pediatric / Adolescent,,,,,,,,,,,,,,,,,,,
