,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,acyclovir,,,,,,,,,,,"canker sores;pain in the gums;sores, ulcers, or white spots on the tongue or inside the mouth;flushing or redness of the skin;rash;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually warm skin;or",,,,,,,,
1,1,Zovirax Cream,,,,,,,,,,,"mild pain, burning, or stinging;itching;itching, stinging, or redness of the genital area;skin rash;or",,,,,,,,
2,2,Abreva,,,,,,,,,,,headache;surface problems including:;acne;burning;dryness;itching;rash;redness;soreness;swelling,,,,,,,,
3,3,Zovirax Ointment,,,,,,,,,,,"mild pain, burning, or stinging;itching;itching, stinging, or redness of the genital area;skin rash;or",,,,,,,,
4,4,Zovirax,,,,,,,,,,,"canker sores;pain in the gums;sores, ulcers, or white spots on the tongue or inside the mouth;flushing or redness of the skin;rash;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;unusually warm skin;or",,,,,,,,
5,5,Blistex,,,,,,,,,,,,,,,,,,,
6,6,docosanol,,,,,,,,,,,headache;surface problems including:;acne;burning;dryness;itching;rash;redness;soreness;swelling,,,,,,,,
7,7,allantoin / camphor / phenol,,,,,,,,,,,,,,,,,,,
8,8,benzalkonium chloride / benzocaine,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,
