,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,fenofibrate,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
1,1,Fish Oil,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
2,2,Lovaza,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
3,3,TriCor,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
4,4,Vascepa,,,,,,,,,,,difficulty with moving;muscle pain or stiffness;pain in the joints;pain in the mouth or throat,,,,,,,,
5,5,omega-3 polyunsaturated fatty acids,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
6,6,Lipofen,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
7,7,Trilipix,,,,,,,,,,,"body aches or pain;chills;cough;difficulty with breathing;ear congestion;fever;headache;loss of voice;nasal congestion;runny nose;sneezing;sore throat;unusual tiredness or weakness;bladder pain;bloody or cloudy urine;blurred vision;cough producing mucus;diarrhea;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;general feeling of discomfort or illness;joint pain;loss of appetite;lower back or side pain;muscle aching or cramping;muscle or bone pain;muscle pain or stiffness;muscle spasms;nausea;nervousness;pain in the arms or legs;pounding in the ears;shivering;slow or fast heartbeat;sweating;swollen joints;tightness in the chest;trouble sleeping;vomiting;acid or sour stomach;belching;difficulty having a bowel movement (stool);heartburn;indigestion;pain or tenderness around the eyes and cheekbones;stomach discomfort, upset, or pain",,,,,,,,
8,8,Antara,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
9,9,Fenoglide,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
10,10,Omacor,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
11,11,icosapent,,,,,,,,,,,difficulty with moving;muscle pain or stiffness;pain in the joints;pain in the mouth or throat,,,,,,,,
12,12,Lofibra,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
13,13,Triglide,,,,,,,,,,,"chills or fever;hives, itching, or skin rash;muscle aches and pains;nausea or vomiting;chronic indigestion;dark urine;muscle cramps, pain, stiffness, swelling, or weakness;troubled breathing;unusual bleeding or bruising;unusual tiredness;yellow eyes or skin;agitation;bloating;bloody urine;decreased frequency or amount of urine;lower back or side pain;pains in the stomach, side, or abdomen, possibly radiating to the back;swelling of the face, fingers, or lower legs;swollen joints;upper right abdominal or stomach pain;runny nose;sneezing;stuffy nose;back pain;diarrhea;eye irritation;gas;increased sensitivity of the skin to sunlight;lack or loss of strength;or",,,,,,,,
14,14,fenofibric acid,,,,,,,,,,,"body aches or pain;chills;cough;difficulty with breathing;ear congestion;fever;headache;loss of voice;nasal congestion;runny nose;sneezing;sore throat;unusual tiredness or weakness;bladder pain;bloody or cloudy urine;blurred vision;cough producing mucus;diarrhea;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;general feeling of discomfort or illness;joint pain;loss of appetite;lower back or side pain;muscle aching or cramping;muscle or bone pain;muscle pain or stiffness;muscle spasms;nausea;nervousness;pain in the arms or legs;pounding in the ears;shivering;slow or fast heartbeat;sweating;swollen joints;tightness in the chest;trouble sleeping;vomiting;acid or sour stomach;belching;difficulty having a bowel movement (stool);heartburn;indigestion;pain or tenderness around the eyes and cheekbones;stomach discomfort, upset, or pain",,,,,,,,
15,15,Fibricor,,,,,,,,,,,"body aches or pain;chills;cough;difficulty with breathing;ear congestion;fever;headache;loss of voice;nasal congestion;runny nose;sneezing;sore throat;unusual tiredness or weakness;bladder pain;bloody or cloudy urine;blurred vision;cough producing mucus;diarrhea;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;general feeling of discomfort or illness;joint pain;loss of appetite;lower back or side pain;muscle aching or cramping;muscle or bone pain;muscle pain or stiffness;muscle spasms;nausea;nervousness;pain in the arms or legs;pounding in the ears;shivering;slow or fast heartbeat;sweating;swollen joints;tightness in the chest;trouble sleeping;vomiting;acid or sour stomach;belching;difficulty having a bowel movement (stool);heartburn;indigestion;pain or tenderness around the eyes and cheekbones;stomach discomfort, upset, or pain",,,,,,,,
16,16,MegaKrill,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
17,17,Animi-3 with Vitamin D,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
18,18,MaxEPA,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
19,19,Nature's Bounty Red Krill Oil,,,,,,,,,,,"cough;difficulty swallowing;dizziness;fast heartbeat;hives, itching, or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;unusual tiredness or weakness;change in taste;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;fever;full or bloated feeling;headache;loss of taste;muscle aches;muscle pain or stiffness;nausea;pain in the joints;pressure in the stomach;sore throat;stuffy or runny nose;swelling of the abdominal or stomach area;unusual tiredness or weakness;vomiting;abdominal or stomach pain or discomfort;belching;bloated or full feeling;excess air or gas in the stomach",,,,,,,,
