,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,spironolactone,,,,,,,,,,,"abdominal or stomach cramping, burning, or tenderness;bleeding gums;bloody or black, tarry stools;bloody urine;breast pain;chest pain;chills;clay-colored stools;clear or bloody discharge from the nipple;cloudy urine;coma;confusion;constipation;convulsions;cough or hoarseness;dark urine;decrease in urine output or decrease in urine-concentrating ability;diarrhea;difficulty with swallowing;dimpling of the breast skin;dizziness;drowsiness;fast or irregular heartbeat;fever with or without chills;general feeling of tiredness or weakness;headache;heartburn;hives, itching, or skin rash;increased thirst;indigestion;inverted nipple;loss of appetite;lower back or side pain;lump in the breast or under the arm;muscle pain or cramps;muscle spasms or twitching;nausea and vomiting;painful or difficult urination;persistent crusting or scaling of the nipple;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness or swelling of the breast;severe stomach pain;shakiness and unsteady walk;sore on the skin of the breast that does not heal;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the face, fingers, feet, ankles, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;trembling;troubled breathing;unpleasant breath odor;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weight gain;yellow eyes or skin;irregular heartbeat;nervousness;numbness or tingling in the hands, feet, or lips;rash with flat lesions or small raised lesions on the skin;reddened skin;weakness or heaviness of the legs;burning feeling in the chest or stomach;hair loss or thinning of the hair;leg cramps;sores, welting, or blisters;stomach upset;swelling of the breasts or breast soreness in both females and males;unusual dullness or feeling of sluggishness;or",,,,,,,,
1,1,Aldactone,,,,,,,,,,,"abdominal or stomach cramping, burning, or tenderness;bleeding gums;bloody or black, tarry stools;bloody urine;breast pain;chest pain;chills;clay-colored stools;clear or bloody discharge from the nipple;cloudy urine;coma;confusion;constipation;convulsions;cough or hoarseness;dark urine;decrease in urine output or decrease in urine-concentrating ability;diarrhea;difficulty with swallowing;dimpling of the breast skin;dizziness;drowsiness;fast or irregular heartbeat;fever with or without chills;general feeling of tiredness or weakness;headache;heartburn;hives, itching, or skin rash;increased thirst;indigestion;inverted nipple;loss of appetite;lower back or side pain;lump in the breast or under the arm;muscle pain or cramps;muscle spasms or twitching;nausea and vomiting;painful or difficult urination;persistent crusting or scaling of the nipple;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness or swelling of the breast;severe stomach pain;shakiness and unsteady walk;sore on the skin of the breast that does not heal;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the face, fingers, feet, ankles, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;trembling;troubled breathing;unpleasant breath odor;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weight gain;yellow eyes or skin;irregular heartbeat;nervousness;numbness or tingling in the hands, feet, or lips;rash with flat lesions or small raised lesions on the skin;reddened skin;weakness or heaviness of the legs;burning feeling in the chest or stomach;hair loss or thinning of the hair;leg cramps;sores, welting, or blisters;stomach upset;swelling of the breasts or breast soreness in both females and males;unusual dullness or feeling of sluggishness;or",,,,,,,,
2,2,Vaniqa,,,,,,,,,,,"acne;stinging skin;burning or bleeding skin;chapped, red lips;chronic acne;hair bumps;numbness;rash;reddening of skin;swelling of lips;tingling skin",,,,,,,,
3,3,Lupron,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
4,4,Eulexin,,,,,,,,,,,"black, tarry stools;bloody or cloudy urine;continuing diarrhea;continuing stomach pain;difficult, burning, or painful urination;frequent urge to urinate;pale skin;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;blurred vision;chest pain;chills;cough;difficulty with breathing;dizziness;drowsiness;fever;headache;nervousness;pounding in the ears;shortness of breath;slow or fast heartbeat;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling;swollen glands;abdominal or stomach pain;clay-colored stools;dark urine;general tiredness and weakness;itching;light-colored stools;loss of appetite;nausea and vomiting;rash;tumor;unpleasant breath odor;upper right abdominal pain;vomiting of blood;yellow eyes and skin;back, leg, or stomach pains;bleeding gums;blistering, peeling, or loosening of the skin;bluish-colored lips, fingernails, or palms;discoloration of the urine;dizziness or lightheadedness;flushing or redness of the skin;general body swelling;headache;itching;joint or muscle pain;nosebleeds;rapid heart rate;red irritated eyes;red skin lesions, often with a purple center;unusually warm skin;goosebumps;shakiness and unsteady walk;tearing of the eyes;unsteadiness, trembling, or other problems with muscle control or coordination;weight loss;decreased interest in sexual intercourse;diarrhea;feeling of warmth;inability to have or keep an erection;indigestion;loss in sexual ability, desire, drive, or performance;passing of gas;redness of the face, neck, arms and occasionally, upper chest;stomach pain, fullness, or discomfort;sudden sweating;swelling of the breasts or breast soreness in both females and males;depression;drowsiness;fear or nervousness;mood or mental changes",,,,,,,,
5,5,Viadur,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
6,6,eflornithine,,,,,,,,,,,"acne;stinging skin;burning or bleeding skin;chapped, red lips;chronic acne;hair bumps;numbness;rash;reddening of skin;swelling of lips;tingling skin",,,,,,,,
7,7,flutamide,,,,,,,,,,,"black, tarry stools;bloody or cloudy urine;continuing diarrhea;continuing stomach pain;difficult, burning, or painful urination;frequent urge to urinate;pale skin;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;blurred vision;chest pain;chills;cough;difficulty with breathing;dizziness;drowsiness;fever;headache;nervousness;pounding in the ears;shortness of breath;slow or fast heartbeat;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling;swollen glands;abdominal or stomach pain;clay-colored stools;dark urine;general tiredness and weakness;itching;light-colored stools;loss of appetite;nausea and vomiting;rash;tumor;unpleasant breath odor;upper right abdominal pain;vomiting of blood;yellow eyes and skin;back, leg, or stomach pains;bleeding gums;blistering, peeling, or loosening of the skin;bluish-colored lips, fingernails, or palms;discoloration of the urine;dizziness or lightheadedness;flushing or redness of the skin;general body swelling;headache;itching;joint or muscle pain;nosebleeds;rapid heart rate;red irritated eyes;red skin lesions, often with a purple center;unusually warm skin;goosebumps;shakiness and unsteady walk;tearing of the eyes;unsteadiness, trembling, or other problems with muscle control or coordination;weight loss;decreased interest in sexual intercourse;diarrhea;feeling of warmth;inability to have or keep an erection;indigestion;loss in sexual ability, desire, drive, or performance;passing of gas;redness of the face, neck, arms and occasionally, upper chest;stomach pain, fullness, or discomfort;sudden sweating;swelling of the breasts or breast soreness in both females and males;depression;drowsiness;fear or nervousness;mood or mental changes",,,,,,,,
8,8,Lupron Depot,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
9,9,leuprolide,,,,,,,,,,,"fast or irregular heartbeat;bone, muscle, or joint pain;fainting;fast or irregular breathing;numbness or tingling of the hands or feet;puffiness or swelling of the eyelids or around the eyes;skin rash, hives, or itching;sudden, severe decrease in blood pressure and collapse;tightness in the chest;troubled breathing;arm, back, or jaw pain;bloody or cloudy urine;blurred vision;burning while urinating;chest pain or discomfort;chest tightness or heaviness;difficult or labored breathing;difficult, burning, or painful urination;difficulty with moving;dizziness;frequent urge to urinate;headache;increased urge to urinate during the night;muscle pain or stiffness;nausea;nervousness;pain in the joints;pale skin;pounding in the ears;slow or fast heartbeat;sweating;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;waking to urinate at night;pain in the groin or legs (especially in the calves of the legs);altered mental status;cardiovascular collapse;double vision;visual changes;vomiting;anxiety;deepening of voice;increased hair growth;mental depression;mood changes;body pain;burning, itching, redness, or swelling at the injection site;skin rash;vaginal bleeding (continuing);white vaginal discharge (continuing);sudden sweating and feelings of warmth (also called hot flashes);bleeding, bruising, burning, itching, pain, redness, or swelling at the injection site;decreased interest in sexual intercourse;swelling of the feet or lower legs;swelling or increased tenderness of the breasts;trouble sleeping;weight gain;light, irregular vaginal bleeding;stopping of menstrual periods;burning, dryness, or itching of the vagina;pelvic pain;back pain;chills;constipation;cough;diarrhea;fever;general feeling of discomfort or illness;loss of appetite;pain or discomfort at the injection site;redness of the face, neck, arms, and occasionally, upper chest;runny nose;shivering;sore throat;sudden sweating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;bone pain;decreased size of the testicles;inability to have or keep an erection",,,,,,,,
