,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Zyrtec,,,,,,,,,,,or,,,,,,,,
1,1,Allegra,,,,,,,,,,,"chest tightness;feeling of warmth, redness of the face, neck, arms and occasionally, upper chest;large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;shortness of breath, difficult or labored breathing;vomiting;back pain;body aches or pain;chills;coughing;diarrhea;difficulty with moving;dizziness;ear congestion;earache;fever;headache;joint pain;loss of voice;muscle aching or cramping;muscle pains or stiffness;nasal congestion;nausea;pain in arms or legs;pain or tenderness around eyes or cheekbones;painful menstrual bleeding;redness or swelling in ear;ringing or buzzing in ears;runny or stuffy nose;sleepiness or unusual drowsiness;sneezing;sore throat;stomach upset;swollen joints;unusual feeling of tiredness or weakness;viral infection (such as cold and flu);nervousness;rash;sleeplessness;terrifying dreams;trouble sleeping;or",,,,,,,,
2,2,cetirizine,,,,,,,,,,,or,,,,,,,,
3,3,fexofenadine,,,,,,,,,,,"chest tightness;feeling of warmth, redness of the face, neck, arms and occasionally, upper chest;large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;shortness of breath, difficult or labored breathing;vomiting;back pain;body aches or pain;chills;coughing;diarrhea;difficulty with moving;dizziness;ear congestion;earache;fever;headache;joint pain;loss of voice;muscle aching or cramping;muscle pains or stiffness;nasal congestion;nausea;pain in arms or legs;pain or tenderness around eyes or cheekbones;painful menstrual bleeding;redness or swelling in ear;ringing or buzzing in ears;runny or stuffy nose;sleepiness or unusual drowsiness;sneezing;sore throat;stomach upset;swollen joints;unusual feeling of tiredness or weakness;viral infection (such as cold and flu);nervousness;rash;sleeplessness;terrifying dreams;trouble sleeping;or",,,,,,,,
4,4,loratadine,,,,,,,,,,,or,,,,,,,,
5,5,Claritin,,,,,,,,,,,or,,,,,,,,
6,6,Xyzal,,,,,,,,,,,"bloody nose;fever;anxiety;attack, assault, or force;blurred or loss of vision;cough;dark urine;decrease in the frequency of urination;decrease in urine volume;difficult or labored breathing;difficulty in passing urine (dribbling);difficulty with swallowing;disturbed color perception;dizziness;double vision;dry mouth;fast, irregular, pounding, or racing heartbeat or pulse;general tiredness and weakness;halos around lights;hives or welts;hyperventilation;irritability;itching skin;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;nausea and vomiting;nervousness;night blindness;overbright appearance of lights;painful urination;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness of the skin;restlessness;seizures;shaking;skin rash;tightness in the chest;trouble with sleeping;tunnel vision;upper right abdominal or stomach pain;yellow eyes and skin;headache;muscle aches;sleepiness or unusual drowsiness;sore throat;stuffy or runny nose;body aches or pain;congestion;diarrhea;dryness or soreness of the throat;earache;hoarseness;redness or swelling in the ear;tender, swollen glands in the neck;voice changes;or",,,,,,,,
7,7,ranitidine,,,,,,,,,,,or,,,,,,,,
8,8,Alavert,,,,,,,,,,,or,,,,,,,,
9,9,Benadryl,,,,,,,,,,,or,,,,,,,,
10,10,doxepin,,,,,,,,,,,"abdominal or stomach pain;agitation;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;canker sores;chest pain;chills;clay-colored stools;cold sweats;confusion about identity, place, and time;convulsions;cool, pale skin;cough or hoarseness;dark urine;decrease in the frequency of urination;decrease in urine volume;decreased urine output;depression;difficulty in passing urine (dribbling);difficulty with breathing;difficulty with speaking;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drooling;dry mouth;fast, pounding, or irregular heartbeat or pulse;feeling of warmth;fever;flushed, dry skin;fruit-like breath odor;general feeling of tiredness or weakness;headache;hearing loss;hostility;increased hunger;increased thirst;increased urination;irritability;itching or rash;lethargy;lip smacking or puckering;loss of appetite;loss of balance control;loss of bladder control;lower back or side pain;mood or mental changes;muscle spasm or jerking of all extremities;muscle trembling, jerking, or stiffness;muscle twitching;nausea;nervousness;nightmares;noisy breathing;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;puffing of the cheeks;rapid or worm-like movements of the tongue;rapid weight gain;redness of the face, neck, arms, and occasionally, upper chest;restlessness;ringing or buzzing or other unexplained noise in the ears that continues;seeing, hearing, or feeling things that are not there;seizures;shakiness and unsteady walk;shakiness in the legs, arms, hands, or feet;shuffling walk;sore throat;sores, ulcers, or white spots on the lips, tongue, or in the mouth;slurred speech;stiffness of the limbs;stupor;sudden loss of consciousness;sweating;swelling of the face, ankles, or hands;swollen glands;tightness in the chest;troubled breathing;twisting movements of the body;uncontrolled chewing movements;uncontrolled movements, especially of the arms, face, legs, neck, and back;unexplained weight loss;unpleasant breath odor;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;clumsiness;disturbed concentration;drowsiness;enlarged pupils;increased or excessive unconscious or jerking movements;low body temperature;muscle aches;muscle weakness;shivering;sleepiness;weak or feeble pulse;weight gain;change in taste or bad, unusual or unpleasant (after) taste;decreased interest in sexual intercourse;diarrhea;difficulty having a bowel movement (stool);enlargement of the breasts;gas in the stomach;hair loss or thinning of the hair;heartburn;inability to have or keep an erection;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased sensitivity of the skin to sunlight;loss in sexual ability, desire, drive, or performance;redness or other discoloration of the skin;severe sunburn;swelling of the breasts or breast soreness in both females and males;swelling of the testicles;unexpected or excess milk flow from breasts;weight loss;or",,,,,,,,
11,11,Benadryl Allergy,,,,,,,,,,,or,,,,,,,,
