,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Renvela,,,,,,,,,,,"bloody, black, or tarry stools;heartburn;indigestion;nausea;severe abdominal or stomach pain, cramping, or burning;severe constipation;severe vomiting;trouble with breathing;vomiting;vomiting of material that looks like coffee grounds, severe and continuing;acid or sour stomach;belching;bloating;constipation;diarrhea;excess air or gas in the stomach or intestines;full feeling;passing gas;stomach discomfort or upset;itching skin;rash",,,,,,,,
1,1,Renagel,,,,,,,,,,,"bloody, black, or tarry stools;heartburn;indigestion;nausea;severe abdominal or stomach pain, cramping, or burning;severe constipation;severe vomiting;trouble with breathing;vomiting;vomiting of material that looks like coffee grounds, severe and continuing;acid or sour stomach;belching;bloating;constipation;diarrhea;excess air or gas in the stomach or intestines;full feeling;passing gas;stomach discomfort or upset;itching skin;rash",,,,,,,,
2,2,Carafate,,,,,,,,,,,"drowsiness;convulsions (seizures);constipation;backache;diarrhea;dizziness or lightheadedness;dryness of mouth;indigestion;nausea;skin rash, hives, or itching;stomach cramps or pain;or",,,,,,,,
3,3,Fosrenol,,,,,,,,,,,bone pain;convulsions;difficulty having a bowel movement (stool);itching skin or rash;loss of appetite;trouble breathing;unusual tiredness or weakness;headache;nausea;vomiting;abdominal or stomach pain;belching;heartburn;indigestion;stomach discomfort or upset;tooth injury,,,,,,,,
4,4,sevelamer,,,,,,,,,,,"bloody, black, or tarry stools;heartburn;indigestion;nausea;severe abdominal or stomach pain, cramping, or burning;severe constipation;severe vomiting;trouble with breathing;vomiting;vomiting of material that looks like coffee grounds, severe and continuing;acid or sour stomach;belching;bloating;constipation;diarrhea;excess air or gas in the stomach or intestines;full feeling;passing gas;stomach discomfort or upset;itching skin;rash",,,,,,,,
5,5,sucralfate,,,,,,,,,,,"drowsiness;convulsions (seizures);constipation;backache;diarrhea;dizziness or lightheadedness;dryness of mouth;indigestion;nausea;skin rash, hives, or itching;stomach cramps or pain;or",,,,,,,,
6,6,Velphoro,,,,,,,,,,,dark-colored stools;diarrhea;nausea,,,,,,,,
7,7,lanthanum carbonate,,,,,,,,,,,bone pain;convulsions;difficulty having a bowel movement (stool);itching skin or rash;loss of appetite;trouble breathing;unusual tiredness or weakness;headache;nausea;vomiting;abdominal or stomach pain;belching;heartburn;indigestion;stomach discomfort or upset;tooth injury,,,,,,,,
8,8,Auryxia,,,,,,,,,,,cough;diarrhea;difficulty having a bowel movement (stool);nausea;vomiting;dark-colored stools,,,,,,,,
9,9,calcium carbonate / magnesium carbonate,,,,,,,,,,,,,,,,,,,
10,10,sucroferric oxyhydroxide,,,,,,,,,,,dark-colored stools;diarrhea;nausea,,,,,,,,
11,11,ferric citrate,,,,,,,,,,,cough;diarrhea;difficulty having a bowel movement (stool);nausea;vomiting;dark-colored stools,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,
