,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,methimazole,,,,,,,,,,,"backache;black, tarry stools;chest pain;chills;cough;fever;increase or decrease in urination;painful or difficult urination;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the feet or lower legs;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain;bleeding gums;blood in the urine or stool;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;dark urine;difficulty with moving;general feeling of discomfort or weakness;headache;joint pain;light-colored stools;loss of appetite and weight;lower back or side pain;muscle aching or cramping;muscle pain or stiffness;nausea and vomiting;numbness or tingling of the hands, feet, or face;pinpoint red spots on the skin;sore muscles;swollen joints;swollen salivary glands;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;wheezing;yellow eyes or skin;abnormal loss of hair;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;hives or welts;itching;loss of taste;pain or discomfort in the chest, upper stomach, or throat;red skin;skin rash;sleepiness;vomiting;or",,,,,,,,
1,1,Tapazole,,,,,,,,,,,"backache;black, tarry stools;chest pain;chills;cough;fever;increase or decrease in urination;painful or difficult urination;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the feet or lower legs;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain;bleeding gums;blood in the urine or stool;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;dark urine;difficulty with moving;general feeling of discomfort or weakness;headache;joint pain;light-colored stools;loss of appetite and weight;lower back or side pain;muscle aching or cramping;muscle pain or stiffness;nausea and vomiting;numbness or tingling of the hands, feet, or face;pinpoint red spots on the skin;sore muscles;swollen joints;swollen salivary glands;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;wheezing;yellow eyes or skin;abnormal loss of hair;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;hives or welts;itching;loss of taste;pain or discomfort in the chest, upper stomach, or throat;red skin;skin rash;sleepiness;vomiting;or",,,,,,,,
2,2,propylthiouracil,,,,,,,,,,,"black, tarry stools;chest pain;chills;cough;fever;painful or difficult urination;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;dark-colored urine;general feeling of discomfort, illness, or weakness;headache;light-colored stools;nausea or vomiting;stomach pain, continuing;upper right abdominal or stomach pain;yellow eyes and skin;abdominal or stomach pain;agitation;bleeding gums;bleeding under the skin;blood in the urine or stools;bloody or cloudy urine;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;coma;confusion;cough or hoarseness;cracks in the skin;decreased urine output;depression;difficulty with breathing;difficulty with moving;dizziness;drowsiness;feeling of fullness;fever with or without chills;general feeling of discomfort, illness, or weakness;high blood pressure;hostility;irritability;joint pain;lethargy;loss of appetite and weight;loss of heat from the body;lower back or side pain;muscle aching or cramping;muscle pain or stiffness;muscle twitching;numbness or tingling of the hands, feet, or face;pain in the ankles or knees;painful, red lumps under the skin, mostly on the legs;pinpoint red spots on the skin;rapid weight gain;red, swollen skin;redness, soreness, or itching skin;scaly skin;seizures;soreness of the muscles;sores on the skin;sores, ulcers, or white spots on the lips or in the mouth;sores, welting, or blisters;stupor;swelling of the face, ankles, hands, feet, or lower legs;swollen joints;swollen salivary glands;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;unusual weight gain;wheezing;bloody, black, or tarry stools;high fever;itching skin;pale skin;swelling;abnormal loss of hair;change in taste or bad unusual or unpleasant (after) taste;dizziness or lightheadedness;feeling of constant movement of self or surroundings;heartburn;hives or welts;loss of taste;pain or discomfort in the chest, upper stomach, or throat;sensation of spinning;skin rash;sleepiness;or",,,,,,,,
3,3,potassium iodide,,,,,,,,,,,"hives;joint pain;swelling of arms, face, legs, lips, tongue, and/or throat;swelling of lymph glands;burning of mouth or throat;confusion;headache (severe);increased watering of mouth;irregular heartbeat;metallic taste;numbness, tingling, pain or weakness in hands or feet;soreness of teeth and gums;sores on skin;symptoms of head cold;unusual tiredness;weakness or heaviness of legs;diarrhea;nausea or vomiting;stomach pain",,,,,,,,
4,4,Pima,,,,,,,,,,,"hives;joint pain;swelling of arms, face, legs, lips, tongue, and/or throat;swelling of lymph glands;burning of mouth or throat;confusion;headache (severe);increased watering of mouth;irregular heartbeat;metallic taste;numbness, tingling, pain or weakness in hands or feet;soreness of teeth and gums;sores on skin;symptoms of head cold;unusual tiredness;weakness or heaviness of legs;diarrhea;nausea or vomiting;stomach pain",,,,,,,,
5,5,SSKI,,,,,,,,,,,"hives;joint pain;swelling of arms, face, legs, lips, tongue, and/or throat;swelling of lymph glands;burning of mouth or throat;confusion;headache (severe);increased watering of mouth;irregular heartbeat;metallic taste;numbness, tingling, pain or weakness in hands or feet;soreness of teeth and gums;sores on skin;symptoms of head cold;unusual tiredness;weakness or heaviness of legs;diarrhea;nausea or vomiting;stomach pain",,,,,,,,
6,6,Iodotope,,,,,,,,,,,"changes in menstrual periods;clumsiness;coldness;drowsiness;dry, puffy skin;headache;listlessness;muscle aches;thinning of the hair (temporary);unusual tiredness or weakness;weight gain;excessive sweating;fast, irregular, pounding, or racing heartbeat or pulse;fever;unusual irritability;black, tarry stools;blood in the urine or stools;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult swallowing;painful or difficult urination;pinpoint red spots on the skin;unusual bleeding or bruising;chest pain;fast, pounding, or irregular heartbeat or pulse;hives, itching, and rash;nervousness;sensitivity to heat;sweating;tenderness of salivary glands;trouble sleeping;weight loss;abdominal or stomach cramps;bleeding gums;bone pain;diarrhea;feeling of discomfort;loss of appetite;nausea;sore throat;unusual tiredness or weakness;vomiting;weakness;neck tenderness or swelling;sore throat;loss of taste (temporary);nausea and vomiting (temporary);tenderness of the salivary glands;or",,,,,,,,
7,7,ThyroShield,,,,,,,,,,,"hives;joint pain;swelling of arms, face, legs, lips, tongue, and/or throat;swelling of lymph glands;burning of mouth or throat;confusion;headache (severe);increased watering of mouth;irregular heartbeat;metallic taste;numbness, tingling, pain or weakness in hands or feet;soreness of teeth and gums;sores on skin;symptoms of head cold;unusual tiredness;weakness or heaviness of legs;diarrhea;nausea or vomiting;stomach pain",,,,,,,,
8,8,Yodefan,,,,,,,,,,,"hives;joint pain;swelling of arms, face, legs, lips, tongue, and/or throat;swelling of lymph glands;burning of mouth or throat;confusion;headache (severe);increased watering of mouth;irregular heartbeat;metallic taste;numbness, tingling, pain or weakness in hands or feet;soreness of teeth and gums;sores on skin;symptoms of head cold;unusual tiredness;weakness or heaviness of legs;diarrhea;nausea or vomiting;stomach pain",,,,,,,,
9,9,Hicon,,,,,,,,,,,"changes in menstrual periods;clumsiness;coldness;drowsiness;dry, puffy skin;headache;listlessness;muscle aches;thinning of the hair (temporary);unusual tiredness or weakness;weight gain;excessive sweating;fast, irregular, pounding, or racing heartbeat or pulse;fever;unusual irritability;black, tarry stools;blood in the urine or stools;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult swallowing;painful or difficult urination;pinpoint red spots on the skin;unusual bleeding or bruising;chest pain;fast, pounding, or irregular heartbeat or pulse;hives, itching, and rash;nervousness;sensitivity to heat;sweating;tenderness of salivary glands;trouble sleeping;weight loss;abdominal or stomach cramps;bleeding gums;bone pain;diarrhea;feeling of discomfort;loss of appetite;nausea;sore throat;unusual tiredness or weakness;vomiting;weakness;neck tenderness or swelling;sore throat;loss of taste (temporary);nausea and vomiting (temporary);tenderness of the salivary glands;or",,,,,,,,
