,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,calcium carbonate,,,,,,,,,,,,,,,,,,,
1,1,calcitriol,,,,,,,,,,,or,,,,,,,,
2,2,Vitamin D2,,,,,,,,,,,,,,,,,,,
3,3,Rocaltrol,,,,,,,,,,,or,,,,,,,,
4,4,Calciferol,,,,,,,,,,,,,,,,,,,
5,5,Caltrate,,,,,,,,,,,,,,,,,,,
6,6,ergocalciferol,,,,,,,,,,,,,,,,,,,
7,7,Calcidol,,,,,,,,,,,,,,,,,,,
8,8,Cal-Gest,,,,,,,,,,,,,,,,,,,
9,9,Alcalak,,,,,,,,,,,,,,,,,,,
10,10,calcium gluconate,,,,,,,,,,,,,,,,,,,
11,11,Calcium Oyster Shell,,,,,,,,,,,,,,,,,,,
12,12,Drisdol,,,,,,,,,,,,,,,,,,,
13,13,Oyster Shell Calcium 500,,,,,,,,,,,,,,,,,,,
14,14,Tums Kids,,,,,,,,,,,,,,,,,,,
15,15,calcium lactate,,,,,,,,,,,,,,,,,,,
16,16,"calcium phosphate, tribasic",,,,,,,,,,,,,,,,,,,
17,17,Oyster Calcium,,,,,,,,,,,,,,,,,,,
18,18,Posture,,,,,,,,,,,,,,,,,,,
19,19,calcium chloride,,,,,,,,,,,,,,,,,,,
20,20,Oysco 500,,,,,,,,,,,,,,,,,,,
21,21,Ridactate,,,,,,,,,,,,,,,,,,,
22,22,calcifediol,,,,,,,,,,,"abdominal or stomach pain;chest pain;confusion;cough;cough producing mucus;decreased urine output;difficulty with breathing;difficulty with moving;dilated neck veins;extreme fatigue;fever or chills;irregular breathing;irregular heartbeat;muscle pain or stiffness;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;pain, swelling, or redness in the joints;pale skin;sneezing;sore throat;swelling of the face, fingers, feet, or lower legs;tightness in the chest;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;weakness or heaviness of the legs;weight gain;confusion;constipation;depression;dry mouth;headache;incoherent speech;increased urination;loss of appetite;metallic taste;muscle weakness;thirst;weight loss;decreased appetite;decreased urination;dizziness;dry mouth;fainting;high urine levels of calcium;increase in heart rate;irritability;lightheadedness;muscle weakness;rapid breathing;sunken eyes;wrinkled skin;bruise;muscle aches;stuffy or runny nose",,,,,,,,
23,23,Natpara,,,,,,,,,,,"abdominal or stomach cramps or pain;blurred vision;confusion;constipation;convulsions;depression;difficulty with breathing;dizziness;dry mouth;headache;incoherent speech;increased urination;irregular heartbeats;loss of appetite;metallic taste;muscle cramps in the hands, arms, feet, legs, or face;muscle weakness;nausea;nervousness;numbness and tingling around the mouth, fingertips, or feet;pounding in the ears;slow or fast heartbeat;thirst;tremor;unusual tiredness;vomiting;weight loss;abnormal or decreased touch sensation;body aches or pain;chills;cough;diarrhea;difficulty with moving;ear congestion;fever;loss of voice;muscle pain or stiffness;pain in the joints or neck;pain or tenderness around the eyes and cheekbones;sneezing;sore throat;stuffy or runny nose;tightness of the chest;upper abdominal or stomach pain",,,,,,,,
24,24,parathyroid hormone,,,,,,,,,,,"abdominal or stomach cramps or pain;blurred vision;confusion;constipation;convulsions;depression;difficulty with breathing;dizziness;dry mouth;headache;incoherent speech;increased urination;irregular heartbeats;loss of appetite;metallic taste;muscle cramps in the hands, arms, feet, legs, or face;muscle weakness;nausea;nervousness;numbness and tingling around the mouth, fingertips, or feet;pounding in the ears;slow or fast heartbeat;thirst;tremor;unusual tiredness;vomiting;weight loss;abnormal or decreased touch sensation;body aches or pain;chills;cough;diarrhea;difficulty with moving;ear congestion;fever;loss of voice;muscle pain or stiffness;pain in the joints or neck;pain or tenderness around the eyes and cheekbones;sneezing;sore throat;stuffy or runny nose;tightness of the chest;upper abdominal or stomach pain",,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,
