,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,ferrous sulfate,,,,,,,,,,,,,,,,,,,
1,1,Feosol Original,,,,,,,,,,,,,,,,,,,
2,2,Feraheme,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;chest pain;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fever;rapid weight gain;sweating;tightness in the chest;tingling of the hands or feet;unusual tiredness or weakness;unusual weight gain or loss;bluish color of the fingernails, lips, skin, palms, or nail beds;chest discomfort;cough;decreased urine output;difficulty with swallowing;dilated neck veins;dizziness;extreme fatigue;fainting;fast, pounding, or irregular heartbeat or pulse;hives, itching, or skin rash;irregular breathing;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of consciousness;nausea or vomiting;no blood pressure or pulse;pain in the shoulders, arms, jaw, or neck;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;stopping of the heart;swelling of the face, fingers, feet, or lower legs;unconsciousness;unresponsiveness;weight gain;abdominal or stomach pain;back pain;headache;muscle spasms",,,,,,,,
3,3,Venofer,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;chest pain or tightness in the chest;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;headache;nervousness;pounding in the ears;rapid weight gain;slow or fast heartbeat;sweating;tingling of the hands or feet;unusual tiredness or weakness;unusual weight gain or loss;fever;chest discomfort;difficulty swallowing;hives or itching;increased sweating;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of consciousness;noisy breathing;slow or irregular heartbeat;swelling of the joints;change in taste;diarrhea;muscle cramps;nausea or vomiting;pain in the arms or legs;pain or burning sensation in the injection site;abdominal or stomach pain;ankle, knee, or great toe joint pain;body aches or pain;chills;difficulty with moving;ear congestion or pain;flushed, dry skin;fruit-like breath odor;increased hunger or thirst;increased urination;lack or loss of strength;pain or redness at the injection site;pale skin at the injection site;runny nose, sneezing;sore throat;unexplained weight loss;burning, dry, or itching eyes;discharge or excessive tearing;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;or",,,,,,,,
4,4,Slow Fe,,,,,,,,,,,,,,,,,,,
5,5,FeroSul,,,,,,,,,,,,,,,,,,,
6,6,Niferex,,,,,,,,,,,,,,,,,,,
7,7,Ferrex-150,,,,,,,,,,,,,,,,,,,
8,8,Fer-In-Sol,,,,,,,,,,,,,,,,,,,
9,9,ferrous gluconate,,,,,,,,,,,,,,,,,,,
10,10,Dexferrum,,,,,,,,,,,"backache;blood in the urine;bluish color of the fingernails, lips, skin, palms, or nail beds;blurred vision;chest pain or discomfort;chills;cold, clammy skin;confusion;cough;difficulty with moving;difficulty with swallowing;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, slow, pounding, or irregular heartbeat or pulse;fast, weak pulse;feeling of warmth;fever;headache;hives or welts, itching, or rash;lightheadedness, dizziness, or fainting;muscle pain or stiffness;nausea;nervousness;no blood pressure or pulse;pain in the joints;pounding in the ears;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness of the face, neck, arms, and occasionally, upper chest;redness of the skin;seizures;stopping of heart;sweating;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;unconsciousness;unusual tiredness or weakness;vomiting;abdominal or stomach pain;change in taste;diarrhea;soreness or pain at the injection site",,,,,,,,
11,11,Fergon,,,,,,,,,,,,,,,,,,,
