,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,albumin human,,,,,,,,,,,,,,,,,,,
1,1,Albuminar-25,,,,,,,,,,,,,,,,,,,
2,2,Albutein,,,,,,,,,,,,,,,,,,,
3,3,Human Albumin Grifols,,,,,,,,,,,,,,,,,,,
4,4,Flexbumin,,,,,,,,,,,,,,,,,,,
5,5,Albumin-Alpine,,,,,,,,,,,,,,,,,,,
6,6,Albuminar-20,,,,,,,,,,,,,,,,,,,
7,7,Buminate,,,,,,,,,,,,,,,,,,,
8,8,Albuminar-5,,,,,,,,,,,,,,,,,,,
9,9,Plasbumin,,,,,,,,,,,,,,,,,,,
10,10,Plasbumin-25,,,,,,,,,,,,,,,,,,,
11,11,Albunex,,,,,,,,,,,,,,,,,,,
12,12,Kedbumin,,,,,,,,,,,,,,,,,,,
13,13,Alburx,,,,,,,,,,,,,,,,,,,
14,14,Plasbumin-5,,,,,,,,,,,,,,,,,,,
15,15,Albuked,,,,,,,,,,,,,,,,,,,
16,16,Albumarc,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,
