,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Bentyl,,,,,,,,,,,or,,,,,,,,
1,1,dicyclomine,,,,,,,,,,,or,,,,,,,,
2,2,hyoscyamine,,,,,,,,,,,,,,,,,,,
3,3,Amitiza,,,,,,,,,,,"diarrhea;full or bloated feeling or pressure in the stomach;nausea;stomach pain;swelling of the abdominal or stomach area;abdominal or stomach discomfort;black, tarry stools;blood in the stools;chest discomfort or pain;chills;cold or flu-like symptoms;cough;difficult or labored breathing;fever;general feeling of discomfort or illness;headache;increased sweating;joint pain;loss of appetite;loss of bowel control;muscle aches and pains;runny nose;shivering;sore throat;sweating;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach tenderness;blurred vision;confusion;difficulty with swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, pounding, or irregular heartbeat or pulse;hives or skin rash;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;swelling;dry heaves;dry mouth;feeling of warmth;lack or loss of strength;paleness of the skin;redness of the face, neck, arms, and occasionally, upper chest;severe, unusual tiredness or weakness;weight loss;excess air or gas in the stomach or intestines;passing gas;acid or sour stomach;belching;bladder pain;bloody or cloudy urine;change in taste;cold sweats;difficult, burning, or painful urination;difficulty with moving;discouragement;dizziness;fear or nervousness;feeling sad or empty;frequent urge to urinate;heartburn;increased weight;indigestion;irritability;loss of interest or pleasure;loss of taste;lower back or side pain;muscle cramps;muscle stiffness;sore throat;stomach upset;swollen joints;tingling of the hands or feet;unusual drowsiness, dullness, tiredness, or feeling of sluggishness",,,,,,,,
4,4,Donnatal,,,,,,,,,,,"eye pain;skin rash or hives;sore throat and fever;unusual bleeding or bruising;yellow eyes or skin;constipation;decreased sweating;dizziness;dry mouth, nose, throat, or skin;bloated feeling;blurred vision;decreased flow of breast milk;difficult urination;difficulty in swallowing;headache;increased sensitivity of eyes to sunlight;loss of memory;nausea or vomiting;unusual tiredness or weakness",,,,,,,,
5,5,Librax,,,,,,,,,,,"abdominal or stomach pain;chills;clay-colored stools;confusion;cough or hoarseness;dark urine;difficulty with speaking;dizziness;drooling;drowsiness;fever;fever with or without chills;general feeling of tiredness or weakness;headache;itching;loss of appetite;loss of balance control;lower back or side pain;muscle trembling, jerking, or stiffness;nausea;painful or difficult urination;pale skin;rash;restlessness;shakiness and unsteady walk;shuffling walk;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stiffness of the limbs;swelling;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;unpleasant breath odor;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bruising or bleeding;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;blurred vision;change in consciousness;difficulty having a bowel movement (stool);dry mouth;lack of coordination;loss of consciousness;sleepiness or unusual drowsiness;inability to have or keep an erection;increase or loss in sexual ability, desire, drive, or performance;increased or decreased interest in sexual intercourse;menstrual changes;skin blisters",,,,,,,,
6,6,Levsin,,,,,,,,,,,,,,,,,,,
7,7,Linzess,,,,,,,,,,,"abdominal or stomach pain;severe diarrhea;heartburn;loss of appetite;nausea;vomiting;weakness;bleeding from the rectum;bloody, black, or tarry stools;confusion;cough;decreased urination;difficulty swallowing;dizziness;dry mouth;fainting;fast heartbeat;hives or welts, itching, or skin rash or redness;increase in heart rate;itching;lightheadedness;loss of bowel control;puffiness or swelling of the eyelids or around the eyes, face, lips or tongue;rapid breathing;shortness of breath;sunken eyes;thirst;tightness in chest;unusual tiredness or weakness;wrinkled skin;body aches or pain;chills;ear congestion;excess air or gas in the stomach or intestines;fever;full or bloated feeling;headache;loss of voice;passing gas;sneezing;sore throat;stuffy or runny nose;acid or sour stomach;belching;indigestion;pain or tenderness around the eyes and cheekbones;pressure in the stomach;stomach discomfort or upset;swelling of abdominal or stomach area",,,,,,,,
8,8,Lotronex,,,,,,,,,,,"constipation;bloody diarrhea;new or worsening stomach pain or discomfort;rectal bleeding;abdominal or stomach pain, cramping, or burning;black, tarry stools;diarrhea;fever;heartburn;indigestion;nausea;vomiting with or without blood or material that looks like coffee grounds;clumsiness, unsteadiness, trembling, or other problems with muscle control or coordination;convulsions (seizures);difficulty breathing;shakiness and unsteady walk;withdrawn or socially detached behavior;bleeding after bowel movement;full or bloated feeling;pressure in the stomach;swelling of abdominal or stomach area;uncomfortable swelling around rectal area;headache;skin rash",,,,,,,,
9,9,amitriptyline,,,,,,,,,,,"abdominal or stomach pain;agitation;black, tarry stools;bleeding gums;blood in urine or stools;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in consciousness;changes in patterns and rhythms of speech;chest pain or discomfort;chills;cold sweats;coma;confusion;confusion about identity, place, and time;continuing ringing, buzzing, or other unexplained noise in ears;convulsions;cool, pale skin;cough or hoarseness;dark urine;decrease in frequency of urination;decrease in urine volume;decreased urine output;difficulty in breathing;difficulty in passing urine (dribbling);difficulty in speaking;disturbance of accommodation;disturbed concentration;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;double vision;drooling;dry mouth;excitement;fainting;false beliefs that cannot be changed by facts;fast, slow, or irregular heartbeat;fear or nervousness;fever with or without chills;flushed, dry skin;fruit-like breath odor;general feeling of tiredness or weakness;headache;hearing loss;high fever;high or low blood pressure;hostility;inability to move arms, legs, or facial muscles;inability to speak;increased hunger;increased need to urinate;increased ocular pressure;increased sweating;increased thirst;increased urination;irritability;lack of coordination;lethargy;light-colored stools;lip smacking or puckering;loss of appetite;loss of balance control;loss of bladder control;loss of consciousness;lower back or side pain;mental depression or anxiety;muscle spasm or jerking of all extremities;muscle tightness;muscle trembling, jerking, or stiffness;muscle twitching;nausea and vomiting;nightmares or unusually vivid dreams;overactive reflexes;painful or difficult urination;passing urine more often;pinpoint red spots on skin;poor coordination;pounding in the ears;puffing of cheeks;rapid or worm-like movements of tongue;rapid weight gain;restlessness;seeing, hearing, or feeling things that are not there;seizures;severe muscle stiffness;shakiness and unsteady walk;shivering;shortness of breath;shuffling walk;sleeplessness;slow speech;slurred speech;sore throat;sores, ulcers, or white spots on lips or in mouth;stiffness of limbs;stupor;sudden loss of consciousness;sweating;swelling of face, ankles, or hands;swelling or puffiness of face;swollen glands;talking or acting with excitement you cannot control;trouble in speaking;trouble sleeping;troubled breathing;twisting movements of body pain or discomfort in arms, jaw, back, or neck;unable to sleep;uncontrolled chewing movements;uncontrolled movements, especially of arms, face, neck, back, and legs;unexplained weight loss;unpleasant breath odor;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bleeding or bruising;unusual tiredness or weakness;unusually pale skin;upper right abdominal pain;vomiting of blood;weakness in arms, hands, legs, or feet;weight gain or loss;yellow eyes and skin;clumsiness;drowsiness;low body temperature;muscle aches;muscle weakness;sleepiness;tiredness;weak or feeble pulse;bigger, dilated, or enlarged pupils (black part of eye);black tongue;bloating;breast enlargement in females;constipation;decreased interest in sexual intercourse;diarrhea;hair loss, thinning of hair;hives or welts;inability to have or keep an erection;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased sensitivity of eyes to light;loss in sexual ability, desire, drive, or performance;loss of sense of taste;redness or other discoloration of skin;severe sunburn;skin rash;swelling of testicles;swelling of the breasts or breast soreness in males;swelling of the parotid glands;swelling or inflammation of the mouth;unexpected or excess milk flow from breasts;or",,,,,,,,
