,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Aggrenox,,,,,,,,,,,"abdominal or stomach pain;vomiting;bleeding from the rectum;bloody mucous or unexplained nosebleeds;bloody or black, tarry stools;confusion;convulsions (seizures);difficulty with breathing;difficulty with speaking;double vision;inability to move the arms, legs, or facial muscles;inability to speak;memory loss;pale skin;purple or red spots on skin;slow speech;tightness in the chest;troubled breathing (exertional);unusual bleeding or bruising;vomiting of blood or material that looks like coffee grounds;abdominal or stomach fullness;blood in the urine;chills;clay-colored stools;collection of blood under the skin;cough;deep, dark purple bruise;gaseous abdominal or stomach pain;itching, pain, redness, or swelling of the eye or eyelid;loss of appetite;nausea;noisy breathing;recurrent fever;skin rash or hives (severe);watering of the eyes;yellow eyes or skin;blurred vision;continuing ringing or buzzing or other unexplained noise in the ears;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast or irregular heartbeat;flushes;hearing loss;restlessness;sweating;unusual tiredness or weakness;warm feeling;acid or sour stomach;belching;diarrhea;difficulty with moving;headache;heartburn;indigestion;muscle pain or stiffness;pain, swelling, or redness in the joints;stomach discomfort or upset;back pain;burning feeling in the chest or stomach;loss of strength or energy;rectal pain or swelling;sleepiness or unusual drowsiness;taste loss;tenderness in the stomach area",,,,,,,,
1,1,aspirin,,,,,,,,,,,"abdominal or stomach pain, cramping, or burning;black, tarry stools;bloody or cloudy urine;change in consciousness;chest pain or discomfort;confusion;constipation;convulsions, severe or continuing;dark urine;decreased frequency or amount of urine;diarrhea;difficult breathing;drowsiness;fainting;fast breathing;feeling that something terrible will happen;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;headache;heartburn;increased thirst;indigestion;irregular heartbeat;light-colored stools;loss of appetite;loss of consciousness;lower back or side pain;muscle cramping and weakness;muscle tremors;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;panic;rapid, deep breathing;restlessness;seizures;skin rash;stomach cramps;swelling of the face, fingers, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach;vomiting of blood or material that looks like coffee grounds;weakness or heaviness of the legs;weight gain;yellow eyes and skin;acid or sour stomach;anxiety;belching;dizziness;dry mouth;hyperventilation;irritability;shaking;stomach discomfort, upset, or pain;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;or",,,,,,,,
2,2,Plavix,,,,,,,,,,,"chest pain;collection of blood under the skin;deep, dark purple bruise;itching, pain, redness, or swelling;pain in general;red or purple spots on the skin, varying in size from pinpoint to large bruises;nosebleed;painful or difficult urination;shortness of breath;vomiting of blood or material that looks like coffee grounds;black, tarry stools;blistering, flaking, or peeling of the skin;blood in the urine or stools;confusion;fever, chills, or sore throat;headache (sudden, severe);nausea or vomiting;stomach pain (severe);ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;weakness (sudden);abdominal or stomach cramps or swelling;back pain or backaches;blurred vision;change in mental status;cough or hoarseness;dark urine;difficulty with breathing or swallowing;difficulty with speaking;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast heartbeat;feeling of discomfort;general feeling of tiredness or weakness;hives;inflammation of the joints;itching;light-colored stools;lower back or side pain;muscle aches;pale color of the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;reddening of the skin, especially around the ears;seizures;sweating;swelling of the eyes, face, or inside of the nose;swollen lymph glands;swollen or painful glands;tightness in the chest;unusual tiredness or weakness;upper right abdominal or stomach pain;watery or bloody diarrhea;wheezing;yellow eyes or skin;bad, unusual, or unpleasant (after) taste;bloating;change in taste;constipation;diarrhea;difficulty with moving;headache;hives or welts;indigestion;loss of appetite;muscle pain or stiffness;noisy breathing;pain in the joints;pains in the stomach, side, or abdomen, possibly radiating to the back;redness, soreness, or itching skin;seeing, hearing, or feeling things that are not there;skin blisters;sores, welting, or blisters;swelling or inflammation of the mouth",,,,,,,,
3,3,clopidogrel,,,,,,,,,,,"chest pain;collection of blood under the skin;deep, dark purple bruise;itching, pain, redness, or swelling;pain in general;red or purple spots on the skin, varying in size from pinpoint to large bruises;nosebleed;painful or difficult urination;shortness of breath;vomiting of blood or material that looks like coffee grounds;black, tarry stools;blistering, flaking, or peeling of the skin;blood in the urine or stools;confusion;fever, chills, or sore throat;headache (sudden, severe);nausea or vomiting;stomach pain (severe);ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;weakness (sudden);abdominal or stomach cramps or swelling;back pain or backaches;blurred vision;change in mental status;cough or hoarseness;dark urine;difficulty with breathing or swallowing;difficulty with speaking;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast heartbeat;feeling of discomfort;general feeling of tiredness or weakness;hives;inflammation of the joints;itching;light-colored stools;lower back or side pain;muscle aches;pale color of the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;reddening of the skin, especially around the ears;seizures;sweating;swelling of the eyes, face, or inside of the nose;swollen lymph glands;swollen or painful glands;tightness in the chest;unusual tiredness or weakness;upper right abdominal or stomach pain;watery or bloody diarrhea;wheezing;yellow eyes or skin;bad, unusual, or unpleasant (after) taste;bloating;change in taste;constipation;diarrhea;difficulty with moving;headache;hives or welts;indigestion;loss of appetite;muscle pain or stiffness;noisy breathing;pain in the joints;pains in the stomach, side, or abdomen, possibly radiating to the back;redness, soreness, or itching skin;seeing, hearing, or feeling things that are not there;skin blisters;sores, welting, or blisters;swelling or inflammation of the mouth",,,,,,,,
4,4,pravastatin,,,,,,,,,,,"difficulty with moving;muscle or bone pain;muscle stiffness;pain in the joints;pain, localized;arm, back, or jaw pain;chest pain or discomfort;chills;cough;dark-colored urine;diarrhea;difficult or labored breathing;ear congestion;fast or irregular heartbeat;fever;general feeling of discomfort or illness;headache;loss of appetite;muscle cramps or spasms;muscular tenderness, wasting, or weakness;nasal congestion;nausea;runny nose;shivering;sneezing;sore throat;sweating;swollen joints;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;stomach pain;acid or sour stomach;belching;bloated or full feeling;blurred vision or other changes in vision;difficult or painful urination;difficulty having a bowel movement (stool);dizziness;double vision;fear or nervousness;feeling sad or empty;increased urge to urinate during the night;irritability;loss of interest or pleasure;pain in the chest below the breastbone;passing gas;rash;stomach discomfort or upset;tiredness;trouble concentrating;or",,,,,,,,
5,5,aspirin / dipyridamole,,,,,,,,,,,"abdominal or stomach pain;vomiting;bleeding from the rectum;bloody mucous or unexplained nosebleeds;bloody or black, tarry stools;confusion;convulsions (seizures);difficulty with breathing;difficulty with speaking;double vision;inability to move the arms, legs, or facial muscles;inability to speak;memory loss;pale skin;purple or red spots on skin;slow speech;tightness in the chest;troubled breathing (exertional);unusual bleeding or bruising;vomiting of blood or material that looks like coffee grounds;abdominal or stomach fullness;blood in the urine;chills;clay-colored stools;collection of blood under the skin;cough;deep, dark purple bruise;gaseous abdominal or stomach pain;itching, pain, redness, or swelling of the eye or eyelid;loss of appetite;nausea;noisy breathing;recurrent fever;skin rash or hives (severe);watering of the eyes;yellow eyes or skin;blurred vision;continuing ringing or buzzing or other unexplained noise in the ears;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast or irregular heartbeat;flushes;hearing loss;restlessness;sweating;unusual tiredness or weakness;warm feeling;acid or sour stomach;belching;diarrhea;difficulty with moving;headache;heartburn;indigestion;muscle pain or stiffness;pain, swelling, or redness in the joints;stomach discomfort or upset;back pain;burning feeling in the chest or stomach;loss of strength or energy;rectal pain or swelling;sleepiness or unusual drowsiness;taste loss;tenderness in the stomach area",,,,,,,,
6,6,Aspir 81,,,,,,,,,,,"abdominal or stomach pain, cramping, or burning;black, tarry stools;bloody or cloudy urine;change in consciousness;chest pain or discomfort;confusion;constipation;convulsions, severe or continuing;dark urine;decreased frequency or amount of urine;diarrhea;difficult breathing;drowsiness;fainting;fast breathing;feeling that something terrible will happen;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;headache;heartburn;increased thirst;indigestion;irregular heartbeat;light-colored stools;loss of appetite;loss of consciousness;lower back or side pain;muscle cramping and weakness;muscle tremors;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;panic;rapid, deep breathing;restlessness;seizures;skin rash;stomach cramps;swelling of the face, fingers, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach;vomiting of blood or material that looks like coffee grounds;weakness or heaviness of the legs;weight gain;yellow eyes and skin;acid or sour stomach;anxiety;belching;dizziness;dry mouth;hyperventilation;irritability;shaking;stomach discomfort, upset, or pain;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;or",,,,,,,,
7,7,Bayer Aspirin,,,,,,,,,,,"abdominal or stomach pain, cramping, or burning;black, tarry stools;bloody or cloudy urine;change in consciousness;chest pain or discomfort;confusion;constipation;convulsions, severe or continuing;dark urine;decreased frequency or amount of urine;diarrhea;difficult breathing;drowsiness;fainting;fast breathing;feeling that something terrible will happen;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;headache;heartburn;increased thirst;indigestion;irregular heartbeat;light-colored stools;loss of appetite;loss of consciousness;lower back or side pain;muscle cramping and weakness;muscle tremors;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;panic;rapid, deep breathing;restlessness;seizures;skin rash;stomach cramps;swelling of the face, fingers, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach;vomiting of blood or material that looks like coffee grounds;weakness or heaviness of the legs;weight gain;yellow eyes and skin;acid or sour stomach;anxiety;belching;dizziness;dry mouth;hyperventilation;irritability;shaking;stomach discomfort, upset, or pain;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;or",,,,,,,,
8,8,Arthritis Pain,,,,,,,,,,,"abdominal or stomach pain, cramping, or burning;black, tarry stools;bloody or cloudy urine;change in consciousness;chest pain or discomfort;confusion;constipation;convulsions, severe or continuing;dark urine;decreased frequency or amount of urine;diarrhea;difficult breathing;drowsiness;fainting;fast breathing;feeling that something terrible will happen;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;headache;heartburn;increased thirst;indigestion;irregular heartbeat;light-colored stools;loss of appetite;loss of consciousness;lower back or side pain;muscle cramping and weakness;muscle tremors;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;panic;rapid, deep breathing;restlessness;seizures;skin rash;stomach cramps;swelling of the face, fingers, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach;vomiting of blood or material that looks like coffee grounds;weakness or heaviness of the legs;weight gain;yellow eyes and skin;acid or sour stomach;anxiety;belching;dizziness;dry mouth;hyperventilation;irritability;shaking;stomach discomfort, upset, or pain;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;or",,,,,,,,
9,9,Aspir-Low,,,,,,,,,,,"abdominal or stomach pain, cramping, or burning;black, tarry stools;bloody or cloudy urine;change in consciousness;chest pain or discomfort;confusion;constipation;convulsions, severe or continuing;dark urine;decreased frequency or amount of urine;diarrhea;difficult breathing;drowsiness;fainting;fast breathing;feeling that something terrible will happen;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;headache;heartburn;increased thirst;indigestion;irregular heartbeat;light-colored stools;loss of appetite;loss of consciousness;lower back or side pain;muscle cramping and weakness;muscle tremors;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;panic;rapid, deep breathing;restlessness;seizures;skin rash;stomach cramps;swelling of the face, fingers, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach;vomiting of blood or material that looks like coffee grounds;weakness or heaviness of the legs;weight gain;yellow eyes and skin;acid or sour stomach;anxiety;belching;dizziness;dry mouth;hyperventilation;irritability;shaking;stomach discomfort, upset, or pain;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;or",,,,,,,,
