,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Maxitrol,,,,,,,,,,,,,,,,,,,
1,1,diclofenac,,,,,,,,,,,"abdominal or stomach bloating, burning, cramping, or pain;belching;bloody or black, tarry stools;cloudy urine;constipation;decrease in urine output or decrease in urine-concentrating ability;diarrhea;dizziness;feeling of indigestion;headache;increased bleeding time;itching skin or rash;loss of appetite;nausea and vomiting;pain in the chest below the breastbone;pale skin;severe stomach pain;swelling;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weight loss;agitation;blurred vision;change in consciousness;change in the ability to see colors, especially blue or yellow;confusion;depression;difficult or troubled breathing;hives;hostility;irregular, fast or slow, or shallow breathing;irritability;loss of consciousness;muscle twitching;nervousness;pain or discomfort in the chest, upper stomach, or throat;pale or blue lips, fingernails, or skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;sleepiness;slow or fast heartbeat;stupor;swelling of the face, ankles, or hands;tightness in the chest;trouble sleeping;unusual drowsiness, dullness, or feeling of sluggishness;continuing ringing or buzzing or other unexplained noise in the ears;excess air or gas in the stomach or intestines;hearing loss;lack or loss of strength;passing gas;or",,,,,,,,
2,2,dexamethasone / neomycin / polymyxin b,,,,,,,,,,,,,,,,,,,
3,3,Voltaren Ophthalmic,,,,,,,,,,,"eye redness, irritation, or pain;tearing of the eyes;blindness;blurred vision;burning, dry, or itching eyes;clear or yellow fluid from the eye;decreased vision or any change in vision;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;sensitivity to light;sticky or matted eyelashes;throbbing pain;feeling of something in the eye;burning and stinging of the eye;abdominal or stomach pain;chills;cold flu-like symptoms;cough or hoarseness;dizziness;fever;headache;lack or loss of strength;nausea;pain;runny nose;sleeplessness;sneezing;stuffy nose;swelling or puffiness of the face;trouble with sleeping;unable to sleep;vomiting;or",,,,,,,,
4,4,Alomide,,,,,,,,,,,"blurred vision;feeling of something in eye, itching, discomfort, redness, tearing or discharge, or other eye or eyelid irritation (not present before you started using this medicine or becoming worse while you are using this medicine);dizziness;mucus from eye, eye pain, or swelling of eye or eyelid (not present before you started using this medicine or becoming worse while you are using this medicine);headache;sensitivity of eyes to light;skin rash;burning or stinging (when medicine is applied);aching eyes;crusting in corner of eye or on eyelid;drowsiness or sleepiness;dryness of nose or eyes;feeling of heat in eye;heat sensation on body;nausea or stomach discomfort;scales on eyelid or eyelash;sneezing;sticky feeling of eyes;tired eyes;or",,,,,,,,
5,5,Blephamide,,,,,,,,,,,,,,,,,,,
6,6,Cortisporin Ophthalmic Suspension,,,,,,,,,,,"fainting;lightheadedness (sudden and severe);shortness of breath or trouble breathing (severe);swelling around face;itching, rash, redness, swelling, or other sign of irritation not present before use of this medicine;blurred vision or other change in vision;delayed healing of eye infection;burning or stinging when applying medicine",,,,,,,,
7,7,cromolyn,,,,,,,,,,,"difficulty in swallowing;hives;increased wheezing or difficulty in breathing;itching of skin;low blood pressure;shortness of breath;swelling of face, lips, or eyelids;tightness in chest;coughing;nausea;throat irritation or dryness;or",,,,,,,,
8,8,prednisolone / sulfacetamide sodium,,,,,,,,,,,,,,,,,,,
9,9,AK-Poly-Bac,,,,,,,,,,,,,,,,,,,
10,10,bacitracin / neomycin / polymyxin b,,,,,,,,,,,,,,,,,,,
11,11,lodoxamide,,,,,,,,,,,"blurred vision;feeling of something in eye, itching, discomfort, redness, tearing or discharge, or other eye or eyelid irritation (not present before you started using this medicine or becoming worse while you are using this medicine);dizziness;mucus from eye, eye pain, or swelling of eye or eyelid (not present before you started using this medicine or becoming worse while you are using this medicine);headache;sensitivity of eyes to light;skin rash;burning or stinging (when medicine is applied);aching eyes;crusting in corner of eye or on eyelid;drowsiness or sleepiness;dryness of nose or eyes;feeling of heat in eye;heat sensation on body;nausea or stomach discomfort;scales on eyelid or eyelash;sneezing;sticky feeling of eyes;tired eyes;or",,,,,,,,
12,12,gentamicin / prednisolone,,,,,,,,,,,,,,,,,,,
13,13,Neocin,,,,,,,,,,,"itching, rash, redness, swelling, or other sign of irritation not present before use of this medicine",,,,,,,,
14,14,Pred-G,,,,,,,,,,,,,,,,,,,
