,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,azithromycin,,,,,,,,,,,"diarrhea;loose stools;blistering, crusting, irritation, itching, or reddening of the skin;cracked, dry, or scaly skin;fever;swelling;abdominal or stomach pain;blistering, peeling, or loosening of the skin;bloody or cloudy urine;bloody, black, or tarry stools;body aches or pain;burning while urinating;chest pain;chills;congestion;cough increased;cough producing mucus;dark urine;difficult or labored breathing;difficult or painful urination;dizziness;drowsiness;dryness or soreness of the throat;earache;fainting;fast, irregular, pounding, or racing heartbeat or pulse;general feeling of discomfort or illness;general feeling of tiredness or weakness;headache;indigestion;irregular or slow heart rate;itching;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;muscle aches and pains;nausea or vomiting;noisy breathing;passing of gas;rash;red skin lesions, often with a purple center;red, irritated eyes;redness or swelling in the ear;runny nose;shivering;shortness of breath;sneezing;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;stomach pain, fullness, or discomfort;stuffy nose;sweating;swelling of the face, ankles, hands, feet, or lower legs;tender, swollen glands in the neck;tightness in the chest;trouble with sleeping;trouble with swallowing;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;voice changes;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach cramps or tenderness;bleeding gums;bloating;blood in the urine or stools;blurred vision;change in hearing;clay-colored stools;coma;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;decreased urine output;depression;diarrhea, watery and severe, which may also be bloody;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;greatly decreased frequency of urination or amount of urine;hives;hostility;increased thirst;irritability;lethargy;loss of hearing;lower back or side pain;muscle twitching;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;stupor;unusual weight loss;acid or sour stomach;aggressive or angry;bad, unusual, or unpleasant (after) taste;belching;burning feeling in the chest or stomach;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;changes in the color of the tongue;crying;depersonalization;dry mouth;dysphoria;euphoria;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;full feeling;heartburn;hyperventilation;increase in body movements;itching of the vagina or genital area;lack or loss of strength;mental depression;nervousness;pain during sexual intercourse;paranoia;quick to react or overreact emotionally;rapidly changing moods;rash with flat lesions or small raised lesions on the skin;redness of the skin;restlessness;sensation of spinning;shaking;shortness of breath;sleepiness or unusual drowsiness;sleeplessness;sore mouth or tongue;stomach upset;thick, white vaginal discharge with no odor or with a mild odor;unable to sleep;white patches in the mouth, tongue, or throat;difficulty with moving;fear or nervousness;increased sensitivity of the skin to sunlight;muscle pain or stiffness;pain in the joints;redness or other discoloration of the skin;severe sunburn;trouble sitting still;or",,,,,,,,
1,1,clarithromycin,,,,,,,,,,,"cough;fever or chills;hoarseness;lower back or side pain;painful or difficult urination;abdominal or stomach tenderness;fever with or without chills;nausea and vomiting;severe abdominal or stomach cramps and pain;shortness of breath;skin rash and itching;unusual bleeding or bruising;watery and severe diarrhea, which may also be bloody;yellow eyes or skin;abdominal or stomach pain;anxiety;black, tarry stools;blistering, peeling, or loosening of the skin;blurred vision;chest pain or discomfort;clay-colored stools;confusion about identity, place, and time;cool, pale skin;dark urine;depression;difficulty with swallowing;dizziness;fainting;fast, pounding, or irregular heartbeat or pulse;feeling of unreality;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;hives;increased hunger;irregular heartbeat;joint or muscle pain;light-colored stools;loss of appetite;nightmares;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;recurrent fainting;red skin lesions, often with a purple center;red, irritated eyes;redness, swelling, or soreness of the tongue;seizures;sense of detachment from self or body;severe mood or mental changes;shakiness;slow heartbeat;slurred speech;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sudden death;swollen glands;tightness in the chest;unpleasant breath odor;unusual behavior;unusual tiredness or weakness;vomiting of blood;wheezing;acid or sour stomach;belching;bloated or full feeling;change in sensation of taste;diarrhea (mild);excess air or gas in the stomach or intestines;headache;heartburn;indigestion;passing gas;stomach discomfort, upset, or pain;alterations of sense of smell;continuing ringing or buzzing or other unexplained noise in the ears;feeling of constant movement of self or surroundings;hearing loss;lightheadedness;mental depression;mood or mental changes;sensation of spinning;shakiness in the legs, arms, hands, or feet;skin eruptions;sleeplessness;sore mouth or tongue;swelling or inflammation of the mouth;taste loss;tongue discoloration;tooth discoloration;trouble sleeping;unable to sleep;weight loss;or",,,,,,,,
2,2,Azithromycin Dose Pack,,,,,,,,,,,"diarrhea;loose stools;blistering, crusting, irritation, itching, or reddening of the skin;cracked, dry, or scaly skin;fever;swelling;abdominal or stomach pain;blistering, peeling, or loosening of the skin;bloody or cloudy urine;bloody, black, or tarry stools;body aches or pain;burning while urinating;chest pain;chills;congestion;cough increased;cough producing mucus;dark urine;difficult or labored breathing;difficult or painful urination;dizziness;drowsiness;dryness or soreness of the throat;earache;fainting;fast, irregular, pounding, or racing heartbeat or pulse;general feeling of discomfort or illness;general feeling of tiredness or weakness;headache;indigestion;irregular or slow heart rate;itching;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;muscle aches and pains;nausea or vomiting;noisy breathing;passing of gas;rash;red skin lesions, often with a purple center;red, irritated eyes;redness or swelling in the ear;runny nose;shivering;shortness of breath;sneezing;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;stomach pain, fullness, or discomfort;stuffy nose;sweating;swelling of the face, ankles, hands, feet, or lower legs;tender, swollen glands in the neck;tightness in the chest;trouble with sleeping;trouble with swallowing;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;voice changes;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach cramps or tenderness;bleeding gums;bloating;blood in the urine or stools;blurred vision;change in hearing;clay-colored stools;coma;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;decreased urine output;depression;diarrhea, watery and severe, which may also be bloody;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;greatly decreased frequency of urination or amount of urine;hives;hostility;increased thirst;irritability;lethargy;loss of hearing;lower back or side pain;muscle twitching;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;stupor;unusual weight loss;acid or sour stomach;aggressive or angry;bad, unusual, or unpleasant (after) taste;belching;burning feeling in the chest or stomach;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;changes in the color of the tongue;crying;depersonalization;dry mouth;dysphoria;euphoria;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;full feeling;heartburn;hyperventilation;increase in body movements;itching of the vagina or genital area;lack or loss of strength;mental depression;nervousness;pain during sexual intercourse;paranoia;quick to react or overreact emotionally;rapidly changing moods;rash with flat lesions or small raised lesions on the skin;redness of the skin;restlessness;sensation of spinning;shaking;shortness of breath;sleepiness or unusual drowsiness;sleeplessness;sore mouth or tongue;stomach upset;thick, white vaginal discharge with no odor or with a mild odor;unable to sleep;white patches in the mouth, tongue, or throat;difficulty with moving;fear or nervousness;increased sensitivity of the skin to sunlight;muscle pain or stiffness;pain in the joints;redness or other discoloration of the skin;severe sunburn;trouble sitting still;or",,,,,,,,
3,3,Zithromax,,,,,,,,,,,"diarrhea;loose stools;blistering, crusting, irritation, itching, or reddening of the skin;cracked, dry, or scaly skin;fever;swelling;abdominal or stomach pain;blistering, peeling, or loosening of the skin;bloody or cloudy urine;bloody, black, or tarry stools;body aches or pain;burning while urinating;chest pain;chills;congestion;cough increased;cough producing mucus;dark urine;difficult or labored breathing;difficult or painful urination;dizziness;drowsiness;dryness or soreness of the throat;earache;fainting;fast, irregular, pounding, or racing heartbeat or pulse;general feeling of discomfort or illness;general feeling of tiredness or weakness;headache;indigestion;irregular or slow heart rate;itching;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;muscle aches and pains;nausea or vomiting;noisy breathing;passing of gas;rash;red skin lesions, often with a purple center;red, irritated eyes;redness or swelling in the ear;runny nose;shivering;shortness of breath;sneezing;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;stomach pain, fullness, or discomfort;stuffy nose;sweating;swelling of the face, ankles, hands, feet, or lower legs;tender, swollen glands in the neck;tightness in the chest;trouble with sleeping;trouble with swallowing;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;voice changes;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach cramps or tenderness;bleeding gums;bloating;blood in the urine or stools;blurred vision;change in hearing;clay-colored stools;coma;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;decreased urine output;depression;diarrhea, watery and severe, which may also be bloody;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;greatly decreased frequency of urination or amount of urine;hives;hostility;increased thirst;irritability;lethargy;loss of hearing;lower back or side pain;muscle twitching;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;stupor;unusual weight loss;acid or sour stomach;aggressive or angry;bad, unusual, or unpleasant (after) taste;belching;burning feeling in the chest or stomach;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;changes in the color of the tongue;crying;depersonalization;dry mouth;dysphoria;euphoria;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;full feeling;heartburn;hyperventilation;increase in body movements;itching of the vagina or genital area;lack or loss of strength;mental depression;nervousness;pain during sexual intercourse;paranoia;quick to react or overreact emotionally;rapidly changing moods;rash with flat lesions or small raised lesions on the skin;redness of the skin;restlessness;sensation of spinning;shaking;shortness of breath;sleepiness or unusual drowsiness;sleeplessness;sore mouth or tongue;stomach upset;thick, white vaginal discharge with no odor or with a mild odor;unable to sleep;white patches in the mouth, tongue, or throat;difficulty with moving;fear or nervousness;increased sensitivity of the skin to sunlight;muscle pain or stiffness;pain in the joints;redness or other discoloration of the skin;severe sunburn;trouble sitting still;or",,,,,,,,
4,4,erythromycin,,,,,,,,,,,"blistering, peeling, or loosening of the skin;chills;cough;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;hives or welts;joint or muscle pain;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red, irritated eyes;red skin lesions, often with a purple center;redness of the skin;skin rash;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;unusual tiredness or weakness;wheezing;abdominal or stomach cramps or tenderness;bloating;bloody or cloudy urine;chest pain or discomfort;dark urine;diarrhea, watery and severe, which may also be bloody;fainting;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;hearing loss;increased thirst;irregular heartbeat recurrent;irregular or slow heart rate;light-colored stools;nausea and vomiting;pain;swelling of the feet or lower legs;unusual weight loss;upper right abdominal or stomach pain;yellow eyes and skin;abdominal or stomach pain;diarrhea (mild);loss of appetite;weight loss;or",,,,,,,,
5,5,Biaxin,,,,,,,,,,,"cough;fever or chills;hoarseness;lower back or side pain;painful or difficult urination;abdominal or stomach tenderness;fever with or without chills;nausea and vomiting;severe abdominal or stomach cramps and pain;shortness of breath;skin rash and itching;unusual bleeding or bruising;watery and severe diarrhea, which may also be bloody;yellow eyes or skin;abdominal or stomach pain;anxiety;black, tarry stools;blistering, peeling, or loosening of the skin;blurred vision;chest pain or discomfort;clay-colored stools;confusion about identity, place, and time;cool, pale skin;dark urine;depression;difficulty with swallowing;dizziness;fainting;fast, pounding, or irregular heartbeat or pulse;feeling of unreality;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;hives;increased hunger;irregular heartbeat;joint or muscle pain;light-colored stools;loss of appetite;nightmares;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;recurrent fainting;red skin lesions, often with a purple center;red, irritated eyes;redness, swelling, or soreness of the tongue;seizures;sense of detachment from self or body;severe mood or mental changes;shakiness;slow heartbeat;slurred speech;sore throat;sores, ulcers, or white spots in the mouth or on the lips;sudden death;swollen glands;tightness in the chest;unpleasant breath odor;unusual behavior;unusual tiredness or weakness;vomiting of blood;wheezing;acid or sour stomach;belching;bloated or full feeling;change in sensation of taste;diarrhea (mild);excess air or gas in the stomach or intestines;headache;heartburn;indigestion;passing gas;stomach discomfort, upset, or pain;alterations of sense of smell;continuing ringing or buzzing or other unexplained noise in the ears;feeling of constant movement of self or surroundings;hearing loss;lightheadedness;mental depression;mood or mental changes;sensation of spinning;shakiness in the legs, arms, hands, or feet;skin eruptions;sleeplessness;sore mouth or tongue;swelling or inflammation of the mouth;taste loss;tongue discoloration;tooth discoloration;trouble sleeping;unable to sleep;weight loss;or",,,,,,,,
6,6,rifampin,,,,,,,,,,,"abdominal or stomach pain;agitation;back pain;bleeding gums;blood in the urine or stools;bruising;confusion;cough or hoarseness;coughing or vomiting blood;dark urine;darkening of the skin;decreased frequency or amount of urine;difficulty with swallowing;dizziness;fainting;fast heartbeat;fever with or without chills;general feeling of tiredness or weakness;headache;hives;hostility;increased blood pressure;increased thirst;irritability;lethargy;light-colored stools;loss of appetite;lower back or side pain;mental depression;nausea and vomiting;painful or difficult urination;persistent bleeding or oozing from puncture sites, mouth, or nose;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;shortness of breath;skin itching, rash, or redness;sores, ulcers, or white spots on the lips or in the mouth;swelling of the face, ankles, fingers, hands, or lower legs;tightness in the chest;tiredness;troubled breathing;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;wheezing;yellow eyes or skin;blistering, peeling, or loosening of the skin;bloating;bone pain;chest pain;chills;cold, clammy skin;diarrhea, watery and severe, which may also be bloody;difficulty with speaking;double vision;fast heartbeat;fast, weak pulse;inability to move the arms, legs, or facial muscles;inability to speak;joint or muscle pain;lightheadedness;pale skin;pinpoint red spots on the skin;red skin lesions, often with a purple center;red, irritated eyes;redness, soreness, or itching skin;slow speech;sores, welting, or blisters;sweating;swollen glands;unpleasant breath odor;unusual weight loss;blurred vision;convulsions (seizures);dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;full feeling in the upper abdomen or stomach;itching;low blood pressure or slow pulse;nausea or vomiting;pain in the upper abdomen or stomach;reddish-orange to reddish-brown color of the urine, stool, saliva, sputum, sweat, and tears;swelling around the eyes or face;unconsciousness;unusual tiredness or weakness;yellow eyes or skin;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;muscular pain, tenderness, wasting, or weakness;severe mood or mental changes;unusual behavior;belching;bloated or full feeling;drowsiness;excess air or gas in the stomach or intestines;indigestion;not able to concentrate;pain or discomfort in the chest, upper stomach, or throat;weight loss;or",,,,,,,,
7,7,Zmax,,,,,,,,,,,"diarrhea;loose stools;blistering, crusting, irritation, itching, or reddening of the skin;cracked, dry, or scaly skin;fever;swelling;abdominal or stomach pain;blistering, peeling, or loosening of the skin;bloody or cloudy urine;bloody, black, or tarry stools;body aches or pain;burning while urinating;chest pain;chills;congestion;cough increased;cough producing mucus;dark urine;difficult or labored breathing;difficult or painful urination;dizziness;drowsiness;dryness or soreness of the throat;earache;fainting;fast, irregular, pounding, or racing heartbeat or pulse;general feeling of discomfort or illness;general feeling of tiredness or weakness;headache;indigestion;irregular or slow heart rate;itching;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;muscle aches and pains;nausea or vomiting;noisy breathing;passing of gas;rash;red skin lesions, often with a purple center;red, irritated eyes;redness or swelling in the ear;runny nose;shivering;shortness of breath;sneezing;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;stomach pain, fullness, or discomfort;stuffy nose;sweating;swelling of the face, ankles, hands, feet, or lower legs;tender, swollen glands in the neck;tightness in the chest;trouble with sleeping;trouble with swallowing;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;voice changes;vomiting of blood;wheezing;yellow eyes or skin;abdominal or stomach cramps or tenderness;bleeding gums;bloating;blood in the urine or stools;blurred vision;change in hearing;clay-colored stools;coma;confusion;constipation;continuing ringing or buzzing or other unexplained noise in the ears;decreased urine output;depression;diarrhea, watery and severe, which may also be bloody;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;greatly decreased frequency of urination or amount of urine;hives;hostility;increased thirst;irritability;lethargy;loss of hearing;lower back or side pain;muscle twitching;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;stupor;unusual weight loss;acid or sour stomach;aggressive or angry;bad, unusual, or unpleasant (after) taste;belching;burning feeling in the chest or stomach;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;changes in the color of the tongue;crying;depersonalization;dry mouth;dysphoria;euphoria;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;full feeling;heartburn;hyperventilation;increase in body movements;itching of the vagina or genital area;lack or loss of strength;mental depression;nervousness;pain during sexual intercourse;paranoia;quick to react or overreact emotionally;rapidly changing moods;rash with flat lesions or small raised lesions on the skin;redness of the skin;restlessness;sensation of spinning;shaking;shortness of breath;sleepiness or unusual drowsiness;sleeplessness;sore mouth or tongue;stomach upset;thick, white vaginal discharge with no odor or with a mild odor;unable to sleep;white patches in the mouth, tongue, or throat;difficulty with moving;fear or nervousness;increased sensitivity of the skin to sunlight;muscle pain or stiffness;pain in the joints;redness or other discoloration of the skin;severe sunburn;trouble sitting still;or",,,,,,,,
8,8,Erythrocin,,,,,,,,,,,"blistering, peeling, or loosening of the skin;chills;cough;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;hives or welts;joint or muscle pain;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red, irritated eyes;red skin lesions, often with a purple center;redness of the skin;skin rash;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;unusual tiredness or weakness;wheezing;abdominal or stomach cramps or tenderness;bloating;bloody or cloudy urine;chest pain or discomfort;dark urine;diarrhea, watery and severe, which may also be bloody;fainting;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;hearing loss;increased thirst;irregular heartbeat recurrent;irregular or slow heart rate;light-colored stools;nausea and vomiting;pain;swelling of the feet or lower legs;unusual weight loss;upper right abdominal or stomach pain;yellow eyes and skin;abdominal or stomach pain;diarrhea (mild);loss of appetite;weight loss;or",,,,,,,,
9,9,Erythrocin Lactobionate,,,,,,,,,,,"blistering, peeling, or loosening of the skin;chills;cough;diarrhea;difficulty with swallowing;dizziness;fast heartbeat;hives or welts;joint or muscle pain;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red, irritated eyes;red skin lesions, often with a purple center;redness of the skin;skin rash;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;unusual tiredness or weakness;wheezing;abdominal or stomach cramps or tenderness;bloating;bloody or cloudy urine;chest pain or discomfort;dark urine;diarrhea, watery and severe, which may also be bloody;fainting;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;hearing loss;increased thirst;irregular heartbeat recurrent;irregular or slow heart rate;light-colored stools;nausea and vomiting;pain;swelling of the feet or lower legs;unusual weight loss;upper right abdominal or stomach pain;yellow eyes and skin;abdominal or stomach pain;diarrhea (mild);loss of appetite;weight loss;or",,,,,,,,
