,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,prednisone,,,,,,,,,,,"aggression;agitation;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mood changes;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal or stomach cramping or burning (severe);abdominal or stomach pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of the skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in the back, ribs, arms, or legs;painful or difficult urination;skin rash;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
1,1,Cytoxan,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;missing menstrual periods;painful or difficult urination;blood in the urine;dizziness, confusion, or agitation;fast heartbeat;joint pain;shortness of breath;swelling of the feet or lower legs;unusual tiredness or weakness;black, tarry stools;pinpoint red spots on the skin;unusual bleeding or bruising;frequent urination;redness, swelling, or pain at the injection site;sores in the mouth and on the lips;sudden shortness of breath;unusual thirst;yellow eyes or skin;darkening of the skin and fingernails;loss of appetite;nausea or vomiting;diarrhea;flushing or redness of the face;headache;increased sweating;skin rash, hives, or itching;stomach pain;swollen lips;or",,,,,,,,
2,2,vincristine,,,,,,,,,,,"pain or redness at place of injection;black, tarry stools;blood in urine or stools;cough or hoarseness;fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;blurred or double vision;constipation;difficulty in walking;drooping eyelids;headache;jaw pain;joint pain;lower back or side pain;numbness or tingling in fingers and toes;pain in fingers and toes;pain in testicles;stomach cramps;swelling of feet or lower legs;weakness;agitation;bed-wetting;confusion;convulsions (seizures);decrease or increase in urination;dizziness or lightheadedness when getting up from a lying or sitting position;hallucinations (seeing, hearing, or feeling things that are not there);lack of sweating;loss of appetite;mental depression;painful or difficult urination;trouble in sleeping;unconsciousness;sores in mouth and on lips;bloating;diarrhea;loss of weight;nausea and vomiting;skin rash;or",,,,,,,,
3,3,cyclophosphamide,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;missing menstrual periods;painful or difficult urination;blood in the urine;dizziness, confusion, or agitation;fast heartbeat;joint pain;shortness of breath;swelling of the feet or lower legs;unusual tiredness or weakness;black, tarry stools;pinpoint red spots on the skin;unusual bleeding or bruising;frequent urination;redness, swelling, or pain at the injection site;sores in the mouth and on the lips;sudden shortness of breath;unusual thirst;yellow eyes or skin;darkening of the skin and fingernails;loss of appetite;nausea or vomiting;diarrhea;flushing or redness of the face;headache;increased sweating;skin rash, hives, or itching;stomach pain;swollen lips;or",,,,,,,,
4,4,asparaginase escherichia coli,,,,,,,,,,,,,,,,,,,
5,5,methotrexate,,,,,,,,,,,"black, tarry stools;blood in the urine or stools;bloody vomit;diarrhea;joint pain;reddening of the skin;sores in the mouth or lips;stomach pain;swelling of the feet or lower legs;back pain;blurred vision;confusion;convulsions (seizures);cough or hoarseness;dark urine;dizziness;drowsiness;fever or chills;headache;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;hair loss, temporary;loss of appetite;nausea or vomiting;acne;boils on skin;pale skin;skin rash or itching;or",,,,,,,,
6,6,daunorubicin,,,,,,,,,,,"cough or hoarseness;fever or chills;irregular heartbeat;lower back or side pain;pain at place of injection;painful or difficult urination;shortness of breath;swelling of feet and lower legs;black, tarry stools;blood in urine or stools;pinpoint red spots on skin;unusual bleeding or bruising;sores in mouth and on lips;joint pain;skin rash or itching;nausea and vomiting;darkening or redness of skin;diarrhea;irregular heartbeat;shortness of breath;swelling of feet and lower legs",,,,,,,,
7,7,Oncovin,,,,,,,,,,,"pain or redness at place of injection;black, tarry stools;blood in urine or stools;cough or hoarseness;fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;blurred or double vision;constipation;difficulty in walking;drooping eyelids;headache;jaw pain;joint pain;lower back or side pain;numbness or tingling in fingers and toes;pain in fingers and toes;pain in testicles;stomach cramps;swelling of feet or lower legs;weakness;agitation;bed-wetting;confusion;convulsions (seizures);decrease or increase in urination;dizziness or lightheadedness when getting up from a lying or sitting position;hallucinations (seeing, hearing, or feeling things that are not there);lack of sweating;loss of appetite;mental depression;painful or difficult urination;trouble in sleeping;unconsciousness;sores in mouth and on lips;bloating;diarrhea;loss of weight;nausea and vomiting;skin rash;or",,,,,,,,
8,8,Trexall,,,,,,,,,,,"black, tarry stools;blood in the urine or stools;bloody vomit;diarrhea;joint pain;reddening of the skin;sores in the mouth or lips;stomach pain;swelling of the feet or lower legs;back pain;blurred vision;confusion;convulsions (seizures);cough or hoarseness;dark urine;dizziness;drowsiness;fever or chills;headache;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;hair loss, temporary;loss of appetite;nausea or vomiting;acne;boils on skin;pale skin;skin rash or itching;or",,,,,,,,
9,9,Elspar,,,,,,,,,,,,,,,,,,,
10,10,Vincasar PFS,,,,,,,,,,,"pain or redness at place of injection;black, tarry stools;blood in urine or stools;cough or hoarseness;fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;blurred or double vision;constipation;difficulty in walking;drooping eyelids;headache;jaw pain;joint pain;lower back or side pain;numbness or tingling in fingers and toes;pain in fingers and toes;pain in testicles;stomach cramps;swelling of feet or lower legs;weakness;agitation;bed-wetting;confusion;convulsions (seizures);decrease or increase in urination;dizziness or lightheadedness when getting up from a lying or sitting position;hallucinations (seeing, hearing, or feeling things that are not there);lack of sweating;loss of appetite;mental depression;painful or difficult urination;trouble in sleeping;unconsciousness;sores in mouth and on lips;bloating;diarrhea;loss of weight;nausea and vomiting;skin rash;or",,,,,,,,
11,11,Erwinaze,,,,,,,,,,,"cough;difficulty with swallowing;dizziness;fast heartbeat;fever;hives or welts, itching, or rash;hoarseness;irritation;joint pain, stiffness, or swelling;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness of the skin;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled breathing or swallowing;unusual tiredness or weakness;abdominal or stomach pain;bloating;blurred vision;chills;constipation;dark urine;dry mouth;flushed, dry skin;fruit-like breath odor;increased hunger;increased thirst;increased urination;indigestion;loss of appetite;nausea;pains in the chest, groin, or legs, especially calves of the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;seizures;severe headaches of sudden onset;sudden loss of coordination;sudden onset of slurred speech;sudden vision changes;sweating;unexplained weight loss;vomiting;yellow eyes or skin;blood in the urine or stools;bruising;confusion;coughing or vomiting blood;headache;numbness or tingling in the face, arms, or legs;persistent bleeding or oozing from puncture sites, mouth, or nose;red streaks on the skin;swelling, tenderness, or pain at the injection site;trouble speaking, thinking, or walking;diarrhea",,,,,,,,
12,12,Cerubidine,,,,,,,,,,,"cough or hoarseness;fever or chills;irregular heartbeat;lower back or side pain;pain at place of injection;painful or difficult urination;shortness of breath;swelling of feet and lower legs;black, tarry stools;blood in urine or stools;pinpoint red spots on skin;unusual bleeding or bruising;sores in mouth and on lips;joint pain;skin rash or itching;nausea and vomiting;darkening or redness of skin;diarrhea;irregular heartbeat;shortness of breath;swelling of feet and lower legs",,,,,,,,
13,13,asparaginase erwinia chrysanthemi,,,,,,,,,,,"cough;difficulty with swallowing;dizziness;fast heartbeat;fever;hives or welts, itching, or rash;hoarseness;irritation;joint pain, stiffness, or swelling;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;redness of the skin;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled breathing or swallowing;unusual tiredness or weakness;abdominal or stomach pain;bloating;blurred vision;chills;constipation;dark urine;dry mouth;flushed, dry skin;fruit-like breath odor;increased hunger;increased thirst;increased urination;indigestion;loss of appetite;nausea;pains in the chest, groin, or legs, especially calves of the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;seizures;severe headaches of sudden onset;sudden loss of coordination;sudden onset of slurred speech;sudden vision changes;sweating;unexplained weight loss;vomiting;yellow eyes or skin;blood in the urine or stools;bruising;confusion;coughing or vomiting blood;headache;numbness or tingling in the face, arms, or legs;persistent bleeding or oozing from puncture sites, mouth, or nose;red streaks on the skin;swelling, tenderness, or pain at the injection site;trouble speaking, thinking, or walking;diarrhea",,,,,,,,
14,14,Vumon,,,,,,,,,,,"black, tarry stools;blood in urine or stools;chills;cough or hoarseness;fever;hives;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;shortness of breath;tightness in chest or wheezing;troubled breathing;unusual bleeding or bruising;flushing of face;sores in mouth or on lips;unusually fast heartbeat;unusual tiredness;skin rash;decreased urination;swelling of face, fingers, feet, or lower legs;yellow eyes or skin;diarrhea;nausea and vomiting",,,,,,,,
15,15,Neosar,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;missing menstrual periods;painful or difficult urination;blood in the urine;dizziness, confusion, or agitation;fast heartbeat;joint pain;shortness of breath;swelling of the feet or lower legs;unusual tiredness or weakness;black, tarry stools;pinpoint red spots on the skin;unusual bleeding or bruising;frequent urination;redness, swelling, or pain at the injection site;sores in the mouth and on the lips;sudden shortness of breath;unusual thirst;yellow eyes or skin;darkening of the skin and fingernails;loss of appetite;nausea or vomiting;diarrhea;flushing or redness of the face;headache;increased sweating;skin rash, hives, or itching;stomach pain;swollen lips;or",,,,,,,,
16,16,Cytoxan Lyophilized,,,,,,,,,,,"cough or hoarseness;fever or chills;lower back or side pain;missing menstrual periods;painful or difficult urination;blood in the urine;dizziness, confusion, or agitation;fast heartbeat;joint pain;shortness of breath;swelling of the feet or lower legs;unusual tiredness or weakness;black, tarry stools;pinpoint red spots on the skin;unusual bleeding or bruising;frequent urination;redness, swelling, or pain at the injection site;sores in the mouth and on the lips;sudden shortness of breath;unusual thirst;yellow eyes or skin;darkening of the skin and fingernails;loss of appetite;nausea or vomiting;diarrhea;flushing or redness of the face;headache;increased sweating;skin rash, hives, or itching;stomach pain;swollen lips;or",,,,,,,,
17,17,teniposide,,,,,,,,,,,"black, tarry stools;blood in urine or stools;chills;cough or hoarseness;fever;hives;lower back or side pain;painful or difficult urination;pinpoint red spots on skin;shortness of breath;tightness in chest or wheezing;troubled breathing;unusual bleeding or bruising;flushing of face;sores in mouth or on lips;unusually fast heartbeat;unusual tiredness;skin rash;decreased urination;swelling of face, fingers, feet, or lower legs;yellow eyes or skin;diarrhea;nausea and vomiting",,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,
