,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,bupivacaine,,,,,,,,,,,or,,,,,,,,
1,1,Marcaine,,,,,,,,,,,or,,,,,,,,
2,2,mepivacaine,,,,,,,,,,,,,,,,,,,
3,3,Novocain,,,,,,,,,,,,,,,,,,,
4,4,cocaine,,,,,,,,,,,"abdominal or stomach pain;chills;confusion;dizziness or lightheadedness;excitement, nervousness, restlessness, or any mood or mental changes;fast or irregular heartbeat;general feeling of discomfort or illness;hallucinations or seeing, hearing, or feeling things that are not there;headache (sudden);increased sweating;nausea;loss of sense of taste or smell (after use in the nose or mouth);or",,,,,,,,
5,5,lidocaine,,,,,,,,,,,"flushing or redness of the skin;itching skin;small red or purple spots on the skin;unusually warm skin;bruising, bleeding, burning, swelling, or pain at the application site;nausea;vomiting;or",,,,,,,,
6,6,Carbocaine,,,,,,,,,,,,,,,,,,,
7,7,Akten,,,,,,,,,,,blurred vision or other changes in vision;burning feeling at site of application;redness of the white part of eyes or inside of eyelids;headache;or,,,,,,,,
8,8,articaine / epinephrine,,,,,,,,,,,,,,,,,,,
9,9,Marcaine Spinal,,,,,,,,,,,or,,,,,,,,
10,10,ropivacaine,,,,,,,,,,,burning or prickling sensation;fever;itching;back pain;difficulty urinating;headache;pain;or,,,,,,,,
11,11,Septocaine,,,,,,,,,,,,,,,,,,,
12,12,Nupercainal,,,,,,,,,,,chest pain;fast or irregular heartbeat;tightness in the chest;unusual warmth or flushing of skin;diarrhea;eye irritation;nausea;skin irritation;vomiting;or,,,,,,,,
13,13,Naropin,,,,,,,,,,,burning or prickling sensation;fever;itching;back pain;difficulty urinating;headache;pain;or,,,,,,,,
14,14,epinephrine / lidocaine,,,,,,,,,,,,,,,,,,,
15,15,Articadent,,,,,,,,,,,,,,,,,,,
16,16,chloroprocaine,,,,,,,,,,,,,,,,,,,
17,17,Isocaine,,,,,,,,,,,,,,,,,,,
18,18,Synera,,,,,,,,,,,"flushing or redness of the skin;swelling;unusually warm skin;blistering, burning, crusting, dryness, or flaking of the skin;change in the color of treated skin;itching, scaling, severe redness, soreness, or swelling of the skin;rash;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;cough or hoarseness;fainting or loss of consciousness;fast or irregular breathing;fever or chills;hives or welts;lower back or side pain;painful or difficult urination;swelling of the eyes or eyelids;tightness in the chest or wheezing;trouble with breathing;blurred vision;chest pain or discomfort;cold, clammy, or pale skin;confusion;difficulty with breathing;difficulty with swallowing;dizziness;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;fast, slow, or irregular heartbeat;feelings of coldness, heat, or numbness;irregular, fast or slow, or shallow breathing;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no breathing;noisy breathing;pale or blue lips, fingernails, or skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;seizures;shakiness in the legs, arms, hands, or feet;shortness of breath;slow heart rate;sweating;trembling or shaking of the hands or feet;twitching;unconsciousness;unusual tiredness or weakness;change in consciousness;fast, pounding, or irregular heartbeat or pulse;no blood pressure or pulse;stopping of heart;headache;nausea;sleepiness or unusual drowsiness;vomiting;continuing ringing or buzzing or other unexplained noise in the ears;depression;double vision;drowsiness;false or unusual sense of well-being;fear;hearing loss;nervousness",,,,,,,,
19,19,procaine,,,,,,,,,,,,,,,,,,,
20,20,Sensorcaine,,,,,,,,,,,or,,,,,,,,
21,21,tetracaine,,,,,,,,,,,,,,,,,,,
22,22,Pontocaine,,,,,,,,,,,"blurred vision;chest pain or discomfort;confusion;dizziness;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;fainting;fast or irregular heartbeat;lightheadedness or fainting;no blood pressure or pulse;no breathing;numbness;seizures;shakiness in the legs, arms, hands, or feet;shortness of breath;slow or irregular heartbeat;stopping of heart;sweating;trembling or shaking of the hands or feet;unconsciousness;unusual tiredness or weakness;continuing ringing or buzzing or other unexplained noise in the ears;fear or nervousness;hearing loss;restlessness;sleepiness",,,,,,,,
23,23,dibucaine,,,,,,,,,,,chest pain;fast or irregular heartbeat;tightness in the chest;unusual warmth or flushing of skin;diarrhea;eye irritation;nausea;skin irritation;vomiting;or,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,,
