,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Plaquenil,,,,,,,,,,,"blurred vision or any other change in visionthis side effect may also occur or get worse after you stop taking hydroxychloroquine;convulsions (seizures);increased muscle weakness;mood or other mental changes;ringing or buzzing in ears or any loss of hearing;sore throat and fever;unusual bleeding or bruising;unusual tiredness;weakness;drowsiness;headache;increased excitability;diarrhea;difficulty in seeing to read;headache;itching (more common in black patients);loss of appetite;nausea or vomiting;stomach cramps or pain;bleaching of hair or increased hair loss;blue-black discoloration of skin, fingernails, or inside of mouth;dizziness or lightheadedness;nervousness or restlessness;skin rash;or",,,,,,,,
1,1,hydroxychloroquine,,,,,,,,,,,"blurred vision or any other change in visionthis side effect may also occur or get worse after you stop taking hydroxychloroquine;convulsions (seizures);increased muscle weakness;mood or other mental changes;ringing or buzzing in ears or any loss of hearing;sore throat and fever;unusual bleeding or bruising;unusual tiredness;weakness;drowsiness;headache;increased excitability;diarrhea;difficulty in seeing to read;headache;itching (more common in black patients);loss of appetite;nausea or vomiting;stomach cramps or pain;bleaching of hair or increased hair loss;blue-black discoloration of skin, fingernails, or inside of mouth;dizziness or lightheadedness;nervousness or restlessness;skin rash;or",,,,,,,,
2,2,prednisone,,,,,,,,,,,"aggression;agitation;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mood changes;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal or stomach cramping or burning (severe);abdominal or stomach pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of the skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in the back, ribs, arms, or legs;painful or difficult urination;skin rash;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
3,3,Benlysta,,,,,,,,,,,"bleeding, blistering, burning, coldness, skin discoloration, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site;body aches or pain;chest congestion;chills;cough;diarrhea;difficulty with breathing or swallowing;dizziness;ear congestion;fever;headache;hives;itching, pain, redness, swelling, tenderness, or warmth of the skin;joint pain;loss of appetite;lower back or side pain;muscle aches and pains;nausea or vomiting;pain or tenderness around the eyes and cheekbones;swelling of the eyes, face, or inside of the nose;shortness of breath or trouble breathing;sneezing;sore throat;stuffy or runny nose;sweating;tightness in the chest;unusual tiredness or weakness;black, tarry stools;bloody or cloudy urine;depression;difficult, burning, or painful urination;fast heartbeat;frequent urge to urinate;hoarseness;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;tender, swollen glands in the neck;unusual bleeding or bruising;voice changes;arm or leg pain;headache, severe and throbbing;unable to sleep;abdominal or stomach pain;weakness",,,,,,,,
4,4,Imuran,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chest pain;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain or tenderness;clay-colored stools;dark urine;decreased appetite;fast heartbeat;fever (sudden);headaches;itching;loss of appetite;muscle or joint pain;nausea, vomiting, and diarrhea (severe);redness or blisters on the skin;swelling of the feet or lower legs;unusual feeling of discomfort or illness (sudden);yellow eyes or skin;abdominal or stomach cramps;diarrhea;difficulty with breathing;difficulty with moving;fat in the stool;general feeling of illness;pale skin;sores on the skin;sudden loss of weight;troubled breathing with movement;weight loss;nausea or vomiting (mild);swollen joints;hair loss or thinning of the hair;or",,,,,,,,
5,5,Kenalog-40,,,,,,,,,,,"aggression;agitation;anxiety;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mental depression;mood changes;nervousness;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal cramping and/or burning (severe);abdominal pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of skin;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fatigue;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn and/or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in back, ribs, arms, or legs;painful or difficult urination;skin rash;sleeplessness;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;blemishes on the skin;bruising;dry, scaly skin;feeling of constant movement of self or surroundings;full or bloated feeling;increased appetite;increased hair growth on the face, forehead, back, arms, and legs;large, flat, blue, or purplish patches in the skin;pimples;pitting or depression of the skin at the injection site;reddish purple lines on the arms, face, legs, trunk, or groin;redness of the skin;redness, swelling, tenderness, or pain at the injection site;sensation of spinning;small, red, or purple spots on the skin;thin, fragile, or shiny skin;thinning of the scalp hair;or",,,,,,,,
6,6,azathioprine,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chest pain;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain or tenderness;clay-colored stools;dark urine;decreased appetite;fast heartbeat;fever (sudden);headaches;itching;loss of appetite;muscle or joint pain;nausea, vomiting, and diarrhea (severe);redness or blisters on the skin;swelling of the feet or lower legs;unusual feeling of discomfort or illness (sudden);yellow eyes or skin;abdominal or stomach cramps;diarrhea;difficulty with breathing;difficulty with moving;fat in the stool;general feeling of illness;pale skin;sores on the skin;sudden loss of weight;troubled breathing with movement;weight loss;nausea or vomiting (mild);swollen joints;hair loss or thinning of the hair;or",,,,,,,,
7,7,aspirin,,,,,,,,,,,"abdominal or stomach pain, cramping, or burning;black, tarry stools;bloody or cloudy urine;change in consciousness;chest pain or discomfort;confusion;constipation;convulsions, severe or continuing;dark urine;decreased frequency or amount of urine;diarrhea;difficult breathing;drowsiness;fainting;fast breathing;feeling that something terrible will happen;fever;general tiredness and weakness;greatly decreased frequency of urination or amount of urine;headache;heartburn;increased thirst;indigestion;irregular heartbeat;light-colored stools;loss of appetite;loss of consciousness;lower back or side pain;muscle cramping and weakness;muscle tremors;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;panic;rapid, deep breathing;restlessness;seizures;skin rash;stomach cramps;swelling of the face, fingers, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach;vomiting of blood or material that looks like coffee grounds;weakness or heaviness of the legs;weight gain;yellow eyes and skin;acid or sour stomach;anxiety;belching;dizziness;dry mouth;hyperventilation;irritability;shaking;stomach discomfort, upset, or pain;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;or",,,,,,,,
8,8,Acthar,,,,,,,,,,,"backache;blurred vision;body aches or pain;chest pain;cough;difficulty with breathing;dizziness;ear congestion;earache;facial hair growth in females;fever or chills;fractures;full or round face, neck, or trunk;headache;increased thirst or urination;irritability;loss of sexual desire or ability;loss of voice;menstrual irregularities;muscle wasting;nasal congestion;nervousness;pounding in the ears;redness or swelling in the ear;runny nose;shortness of breath;slow or fast heartbeat;sneezing;sore throat;tightness in the chest;troubled breathing;unusual tiredness or weakness;wheezing;white patches in the mouth or throat or on the tongue;white patches with diaper rash;convulsions (seizures);accumulation of pus;bruising;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;cold, clammy skin;confusion;decreased range of motion;decreased urine output;dilated neck veins;extreme fatigue;eyeballs bulge out of eye sockets;fast, weak pulse;full or bloated feeling;heartburn;insomnia;irregular breathing;irregular heartbeat;joint pain;large, flat, blue, or purplish patches in the skin;lightheadedness;limp;loss of appetite;nausea and vomiting;pressure in the stomach;severe headache;small red or purple spots on the skin;sweating;swelling of abdominal or stomach area;swelling of the face, fingers, feet, or lower legs;swollen, red, or tender area of infection;trouble healing;weight gain;wheezing;bloating;chills;confusion;constipation;coughing up blood;darkened urine;fast heartbeat;fever;headache;headache, sudden and severe;increased sweating;indigestion;loss of appetite;pain in the muscles;pains in the stomach, side, or abdomen, possibly radiating to the back;redness of the face;skin rash;unusual weight loss;weakness;yellow eyes or skin;decreased carbohydrate tolerance;hypokalemic alkalosis;reversible brain shrinkage;blemishes on the skin;diarrhea;pimples;increased or decreased appetite;increased hair growth, especially on the face;menstrual changes;muscle weakness;feeling of constant movement of self or surroundings;sensation of spinning;thinning of the skin",,,,,,,,
9,9,mycophenolate mofetil,,,,,,,,,,,"abdominal or stomach cramps or pain;black, tarry stools;bladder pain;bleeding gums;bloating or swelling of the face, arms, hands, lower legs, or feet;blood in the urine or stools;bloody or cloudy urine;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;confusion;convulsions;cough or hoarseness;decreased urine;difficult or labored breathing;difficult, burning, or painful urination;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;dry mouth;fainting;fast, slow, pounding, or irregular heartbeat or pulse;fever or chills;flushed, dry skin;frequent urge to urinate;fruit-like breath odor;headache;increased hunger;increased thirst;increased urination;irregular heartbeats;irregular pulse;irritability;lightheadedness;loss of appetite;lower back or side pain;muscle cramps in the hands, arms, feet, legs, or face;muscle pain or cramps;muscle spasms (tetany) or twitching;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;painful or difficult urination;pale skin;pinpoint red spots on the skin;pounding in the ears;rapid weight gain;rapid, shallow breathing;seizures;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stomach pain and bloating;sweating;swollen glands;tightness in the chest;tingling of the hands or feet;trembling;tremor;troubled breathing with exertion;unexplained weight loss;unusual bleeding or bruising;unusual tiredness or weakness;unusual weight gain or loss;weakness or heaviness of the legs;back pain;constipation;coughing or spitting up blood;darkened urine;general feeling of illness;indigestion;night sweats;pain;pains in the stomach, side, or abdomen, possibly radiating to the back;severe headache;sudden high fever or low-grade fever for months;tenderness;watery or bloody diarrhea;yellow eyes or skin;acid or sour stomach;belching;fear;heartburn;lack or loss of strength;rash;trouble sleeping;weight loss;or",,,,,,,,
