,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,prednisone,,,,,,,,,,,"aggression;agitation;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mood changes;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal or stomach cramping or burning (severe);abdominal or stomach pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of the skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in the back, ribs, arms, or legs;painful or difficult urination;skin rash;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
1,1,dexamethasone,,,,,,,,,,,"aggression;agitation;anxiety;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mental depression;mood changes;nervousness;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal cramping and/or burning (severe);abdominal pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fatigue;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn and/or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in back, ribs, arms, or legs;painful or difficult urination;skin rash;sleeplessness;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
2,2,Adcetris,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;body aches or pain;burning, numbness, tingling, or painful sensations;chills;cough;difficult or labored breathing;difficulty with breathing;ear congestion;fever;headache;loss of voice;lower back or side pain;pain;painful or difficult urination;pale skin;pinpoint red spots on the skin;sneezing;sore throat;stuffy or runny nose;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tightness in the chest;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unsteadiness or awkwardness;unusual bleeding or bruising;unusual tiredness or weakness;weakness in the arms, hands, legs, or feet;anxiety;back pain;bladder pain;blistering, peeling, or loosening of the skin;bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;chest pain;cloudy urine;confusion;convulsions;diarrhea;dizziness or lightheadedness;drowsiness;fainting;fast heartbeat;frequent urge to urinate;general feeling of discomfort or illness;irregular heartbeat;itching;joint pain, stiffness, or swelling;muscle pain;rapid weight gain;red skin lesions, often with a purple center;red, irritated eyes;severe pain in the chest;stomach pain;sudden onset of severe breathing difficulty;sudden shortness of breath or troubled breathing;thickening of bronchial secretions;unusual weight gain or loss;bloody stools;heartburn;indigestion;nausea;severe abdominal pain, cramping, or burning;severe constipation;severe vomiting;vomiting of material that looks like coffee grounds;decreased appetite or weight;difficulty having a bowel movement (stool);difficulty with moving;hair loss or thinning of the hair;muscle spasms;muscle stiffness;night sweats;pain in the arms or legs;rash;trouble sleeping;vomiting;dry skin",,,,,,,,
3,3,Adriamycin,,,,,,,,,,,"cough or hoarseness accompanied by fever or chills;darkening or redness of the skin (if you recently had radiation treatment);fast or irregular heartbeat;fever or chills;joint pain;lower back or side pain accompanied by fever or chills;pain at the injection site;painful or difficult urination accompanied by fever or chills;red streaks along the injected vein;shortness of breath;stomach pain;swelling of the feet and lower legs;black, tarry stools;blood in the urine;pinpoint red spots on the skin;unusual bleeding or bruising;hair loss, thinning of hair;nausea and vomiting;sores in the mouth and on the lips;darkening of the soles, palms, or nails;diarrhea;fast or irregular heartbeat;shortness of breath;swelling of the feet and lower legs;or",,,,,,,,
4,4,Decadron,,,,,,,,,,,"aggression;agitation;anxiety;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mental depression;mood changes;nervousness;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal cramping and/or burning (severe);abdominal pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fatigue;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn and/or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in back, ribs, arms, or legs;painful or difficult urination;skin rash;sleeplessness;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
5,5,doxorubicin,,,,,,,,,,,"cough or hoarseness accompanied by fever or chills;darkening or redness of the skin (if you recently had radiation treatment);fast or irregular heartbeat;fever or chills;joint pain;lower back or side pain accompanied by fever or chills;pain at the injection site;painful or difficult urination accompanied by fever or chills;red streaks along the injected vein;shortness of breath;stomach pain;swelling of the feet and lower legs;black, tarry stools;blood in the urine;pinpoint red spots on the skin;unusual bleeding or bruising;hair loss, thinning of hair;nausea and vomiting;sores in the mouth and on the lips;darkening of the soles, palms, or nails;diarrhea;fast or irregular heartbeat;shortness of breath;swelling of the feet and lower legs;or",,,,,,,,
6,6,Leukeran,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chest pain;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on the skin;shortness of breath;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;itching;joint pain;large, swollen hives;skin rash;swelling of the feet or lower legs;blistering, peeling, or loosening of the skin;diarrhea;muscle pain;muscle twitching;red skin lesions, often with a purple center;red, irritated eyes;seizures;shakiness and unsteady walk;shakiness in the legs, arms, hands, or feet;sore throat;sudden jerky movements of the body;unsteadiness, trembling, or other problems with muscle control or coordination;abdominal or stomach pain or tenderness;bone pain;clay colored stools;dark urine;decreased appetite;difficult breathing;headache;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;trouble getting pregnant;troubled or quick, shallow breathing;yellow eyes or skin;changes in menstrual period;nausea and vomiting;anxiety;confusion;dry mouth;hyperventilation;irregular heartbeats;irritability;no muscle tone or movement;restlessness;seeing, hearing, or feeling things that are not there;trouble sleeping;hives or welts",,,,,,,,
7,7,Trexall,,,,,,,,,,,"black, tarry stools;blood in the urine or stools;bloody vomit;diarrhea;joint pain;reddening of the skin;sores in the mouth or lips;stomach pain;swelling of the feet or lower legs;back pain;blurred vision;confusion;convulsions (seizures);cough or hoarseness;dark urine;dizziness;drowsiness;fever or chills;headache;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;hair loss, temporary;loss of appetite;nausea or vomiting;acne;boils on skin;pale skin;skin rash or itching;or",,,,,,,,
8,8,Velcade,,,,,,,,,,,,,,,,,,,
9,9,Arranon,,,,,,,,,,,"abdominal pain or cramps;anxiety;black, tarry stools;bleeding gums;blood in the urine or stools;bloody nose;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in walking and balance;chest pain;chills;clumsiness or unsteadiness;cold sweats;coma;convulsions;cool, pale skin;cough or hoarseness;decreased or uncontrolled urination;difficulty with breathing;discouragement;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drowsiness;dry mouth;fast or irregular heartbeat;feeling sad or empty;feeling unusually cold;fever;flushed, dry skin;fruit-like breath odor;headache;incoordination;increased hunger;increased thirst;increased urination;irritability;loss of appetite;loss of interest or pleasure;lower back, side, or stomach pain;mood or mental changes;muscle cramps in hands, arms, feet, legs, or face;muscle pain;muscle spasms (tetany) or twitching seizures;muscle weakness;nausea or vomiting;nervousness;nightmares;numbness, tingling, pain, or weakness in hands, feet, fingertips, or mouth;pain or tenderness around the eyes and cheekbones;painful or difficult urination;paralysis or severe weakness of legs;rapid breathing;seizures;shakiness and unsteady walk;shivering;shortness of breath;sleepiness or unusual drowsiness;sleeplessness;slurred speech;small red or purple spots on skin;sneezing;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stuffy or runny nose;sunken eyes;sweating;swelling of hands, ankles, feet, or lower legs;swollen glands;tightness in chest;trouble concentrating;trouble sleeping;troubled breathing with exertion;unable to sleep;uncontrolled bowel movements;unexplained weight loss;unsteadiness, trembling, or other problems with muscle control or coordination;unusual bleeding or bruising;unusual tiredness or weakness;wheezing;wrinkled skin;yellow eyes or skin;change in taste;loss of memory;loss of taste;problems with memory;back pain;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;full or bloated feeling;joint pain;lack or loss of strength;muscle aching or stiffness;pain in the arms or legs;pressure in the stomach;swelling of the abdomen or stomach area;swelling or inflammation of the mouth;swollen joints",,,,,,,,
