,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Lucentis,,,,,,,,,,,"blindness;bloody eye;blurred vision or loss of vision;decreased vision or other changes in vision;disturbed color perception;dizziness;double vision;dry eye;eye pain;fainting;feeling of having something in the eye;halos around lights;headache;night blindness;overbright appearance of lights;pain or tenderness around the eyes and cheekbones;red, sore eyes;redness of the white part of the eyes or inside of the eyelids;redness, swelling, or itching of the eyelid;seeing flashes or sparks of light;seeing floating spots before the eyes, or a veil or curtain appearing across part of vision;sensitivity of the eye to light;tearing of the eyes;tunnel vision;watering of the eyes;body aches or pain;chest pain;chills;cough;difficulty with breathing;dry mouth;fainting;fast, slow, or irregular heartbeat;general feeling of discomfort or illness;head congestion;hoarseness, loss of voice, or other voice changes;loss of consciousness;muscle aches and pains;nasal congestion;pain in the chest, groin, or legs, especially the calves;painful blisters on the trunk of the body;pale skin;runny nose;severe, sudden headache;shivering;slurred speech;sneezing;sore throat;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;sweating;tightness in the chest;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;back pain;difficulty having a bowel movement (stool);difficulty with moving;muscle stiffness;swelling or redness in the joints;or",,,,,,,,
1,1,Eylea,,,,,,,,,,,"blindness;bloody eye;blurred vision;eye or eyelid redness;eye pain;seeing flashes, sparks of light, or a veil or curtain;seeing floating spots before the eyes;vision changes;bleeding or pain at the injection site;swelling of the eyelid;fast heartbeat;fever;headache;hives, itching, rash, or skin redness;hoarseness;joint pain, stiffness, or swelling;swelling of the face, lips, hands, or feet;troubled breathing or swallowing;pain in the chest, groin, or legs, especially the calves;severe, sudden headache;slurred speech;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;feeling like something is in the eye;watery eyes",,,,,,,,
2,2,Macugen,,,,,,,,,,,"bladder pain;blindness;bloody eye;bloody or cloudy urine;blurred vision;burning, dry, or itching eyes;cough producing mucus;decreased vision or other changes in vision;difficult, burning, or painful urination;difficulty breathing;discharge, excessive tearing;disturbed color perception;double vision;drainage from eyes;eye pain;frequent urge to urinate;gradual loss of vision;halos around lights;itching of eyelid;looking through water;lower back or side pain;nausea;night blindness;overbright appearance of lights;painful irritation of the clear front part of the eye;redness, pain, swelling of eye, eyelid, or inner lining of eyelid;seeing flashes or sparks of light;seeing floating spots before the eyes;shortness of breath;sore eyes;swelling of the eye;tightness in chest;tunnel vision;vomiting;wheezing;bigger, dilated, or enlarged pupils (black part of the eye);change in vision not present before treatment;chest pain;confusion;decrease in frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);dizziness or lightheadedness;dry mouth;eye irritation;fatigue;feeling of constant movement of self or surroundings;flushed, dry skin;fruit-like breath odor;headache;hearing loss;inability to speak;increased hunger;increased sensitivity of eyes to light;increased thirst;increased urination;loss of consciousness;numbness or tingling in face, arms, or legs;seeing floaters, veil or curtain appearing across part of vision;seizures;sensation of spinning;severe or sudden headache;slurred speech;stomachache;sweating;temporary blindness;trouble speaking, thinking, or walking;troubled breathing;unexplained weight loss;weakness in arm and/or leg on one side of the body, sudden and severe;difficulty swallowing;fast heartbeat;hives;itching;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash;unusual tiredness or weakness;diarrhea;acid or sour stomach;belching;blistering, burning, crusting, dryness, or flaking of skin;bruise;difficulty in moving;heartburn;indigestion;itching, scaling, severe redness, soreness, swelling of skin;muscle pain or stiffness;pain, swelling, or redness in joints;stomach discomfort, upset, or pain",,,,,,,,
3,3,Visudyne,,,,,,,,,,,"blurred vision or other change in vision;decrease in vision, may be severe;dizziness;dull nervousness;eye pain;fainting;fast, slow, or irregular heartbeat;itching, redness, or other irritation of eye;pale skin;pounding in the ears;troubled breathing on exertion;unusual bleeding or bruising;unusual tiredness or weakness;bleeding, blistering, burning, coldness, discoloration of skin, feeling of pressure, infection, itching, numbness, pain, rash, redness, scarring, stinging, swelling, tenderness, tingling, ulceration, and/or warmth at the injection site;headache;back pain (during infusion of verteporfin);chills;cloudy urine;constipation;cough;decreased hearing;decreased sensitivity to touch;diarrhea;difficult or painful urination;difficulty in moving;double vision;dry eyes;feeling of constant movement of self or surroundings;fever;general feeling of discomfort or illness;hoarseness;increased sensitivity of skin to sunlight;joint pain;light headedness;loss of appetite;loss of strength or energy;muscle pain or stiffness;nausea;pain, swelling, or redness in joints;pelvic discomfort;redness or other discoloration of skin;runny nose;severe sunburn;shivering;skin rash;sore throat;sweating;tearing;tender, swollen glands in neck;throat congestion;trouble in sleeping;trouble in swallowing;trouble sleeping;varicose veins;voice changes;vomiting",,,,,,,,
4,4,bevacizumab,,,,,,,,,,,"black, tarry stools;bleeding gums;body aches or pain;burning, tingling, numbness, or pain in the hands, arms, feet, or legs;chest pain or discomfort;chills;cloudy urine;convulsions;cough;cracks in the skin;decreased urine output;difficult or labored breathing;dilated neck veins;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;ear congestion;extreme fatigue;fever;irregular breathing;irregular heartbeat;lack or loss of strength;lightheadedness;loss of appetite;loss of heat from the body;loss of voice;mood changes;nasal congestion;nervousness;pain;pain, redness, or swelling in the arm or leg;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;rapid breathing;redness;runny nose;sensation of pins and needles;slow or fast heartbeat;sore throat;sores on the skin;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sunken eyes;sweating;swelling of the face, fingers, feet, or lower legs;swelling or inflammation of the mouth;swollen glands;thirst;tightness in the chest;trouble breathing;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;watery or bloody diarrhea;weight gain;wrinkled skin;yellow skin;abdominal or stomach pain or tenderness;bone pain;difficulty with swallowing;fainting;severe constipation;severe vomiting;back pain;blisters;blurred vision;coma;confusion;dizziness;drowsiness;headache;increased thirst;muscle pain or cramps;open sores;pale skin;bloody mucus or unexplained nosebleeds;hoarseness;sudden weakness in the arms or legs;sudden, severe chest pain;voice changes;acid or sour stomach;belching;bloody nose;change in taste or bad unusual or unpleasant (after) taste;change in walking and balance;clumsiness or unsteadiness;diarrhea;dry mouth;excess flow of tears;hair loss;heartburn;indigestion;stomach discomfort, upset, or pain;thinning of the hair;weight loss;or",,,,,,,,
5,5,ranibizumab,,,,,,,,,,,"blindness;bloody eye;blurred vision or loss of vision;decreased vision or other changes in vision;disturbed color perception;dizziness;double vision;dry eye;eye pain;fainting;feeling of having something in the eye;halos around lights;headache;night blindness;overbright appearance of lights;pain or tenderness around the eyes and cheekbones;red, sore eyes;redness of the white part of the eyes or inside of the eyelids;redness, swelling, or itching of the eyelid;seeing flashes or sparks of light;seeing floating spots before the eyes, or a veil or curtain appearing across part of vision;sensitivity of the eye to light;tearing of the eyes;tunnel vision;watering of the eyes;body aches or pain;chest pain;chills;cough;difficulty with breathing;dry mouth;fainting;fast, slow, or irregular heartbeat;general feeling of discomfort or illness;head congestion;hoarseness, loss of voice, or other voice changes;loss of consciousness;muscle aches and pains;nasal congestion;pain in the chest, groin, or legs, especially the calves;painful blisters on the trunk of the body;pale skin;runny nose;severe, sudden headache;shivering;slurred speech;sneezing;sore throat;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;sweating;tightness in the chest;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;back pain;difficulty having a bowel movement (stool);difficulty with moving;muscle stiffness;swelling or redness in the joints;or",,,,,,,,
6,6,verteporfin,,,,,,,,,,,"blurred vision or other change in vision;decrease in vision, may be severe;dizziness;dull nervousness;eye pain;fainting;fast, slow, or irregular heartbeat;itching, redness, or other irritation of eye;pale skin;pounding in the ears;troubled breathing on exertion;unusual bleeding or bruising;unusual tiredness or weakness;bleeding, blistering, burning, coldness, discoloration of skin, feeling of pressure, infection, itching, numbness, pain, rash, redness, scarring, stinging, swelling, tenderness, tingling, ulceration, and/or warmth at the injection site;headache;back pain (during infusion of verteporfin);chills;cloudy urine;constipation;cough;decreased hearing;decreased sensitivity to touch;diarrhea;difficult or painful urination;difficulty in moving;double vision;dry eyes;feeling of constant movement of self or surroundings;fever;general feeling of discomfort or illness;hoarseness;increased sensitivity of skin to sunlight;joint pain;light headedness;loss of appetite;loss of strength or energy;muscle pain or stiffness;nausea;pain, swelling, or redness in joints;pelvic discomfort;redness or other discoloration of skin;runny nose;severe sunburn;shivering;skin rash;sore throat;sweating;tearing;tender, swollen glands in neck;throat congestion;trouble in sleeping;trouble in swallowing;trouble sleeping;varicose veins;voice changes;vomiting",,,,,,,,
7,7,aflibercept,,,,,,,,,,,"blindness;bloody eye;blurred vision;eye or eyelid redness;eye pain;seeing flashes, sparks of light, or a veil or curtain;seeing floating spots before the eyes;vision changes;bleeding or pain at the injection site;swelling of the eyelid;fast heartbeat;fever;headache;hives, itching, rash, or skin redness;hoarseness;joint pain, stiffness, or swelling;swelling of the face, lips, hands, or feet;troubled breathing or swallowing;pain in the chest, groin, or legs, especially the calves;severe, sudden headache;slurred speech;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;feeling like something is in the eye;watery eyes",,,,,,,,
8,8,pegaptanib,,,,,,,,,,,"bladder pain;blindness;bloody eye;bloody or cloudy urine;blurred vision;burning, dry, or itching eyes;cough producing mucus;decreased vision or other changes in vision;difficult, burning, or painful urination;difficulty breathing;discharge, excessive tearing;disturbed color perception;double vision;drainage from eyes;eye pain;frequent urge to urinate;gradual loss of vision;halos around lights;itching of eyelid;looking through water;lower back or side pain;nausea;night blindness;overbright appearance of lights;painful irritation of the clear front part of the eye;redness, pain, swelling of eye, eyelid, or inner lining of eyelid;seeing flashes or sparks of light;seeing floating spots before the eyes;shortness of breath;sore eyes;swelling of the eye;tightness in chest;tunnel vision;vomiting;wheezing;bigger, dilated, or enlarged pupils (black part of the eye);change in vision not present before treatment;chest pain;confusion;decrease in frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);dizziness or lightheadedness;dry mouth;eye irritation;fatigue;feeling of constant movement of self or surroundings;flushed, dry skin;fruit-like breath odor;headache;hearing loss;inability to speak;increased hunger;increased sensitivity of eyes to light;increased thirst;increased urination;loss of consciousness;numbness or tingling in face, arms, or legs;seeing floaters, veil or curtain appearing across part of vision;seizures;sensation of spinning;severe or sudden headache;slurred speech;stomachache;sweating;temporary blindness;trouble speaking, thinking, or walking;troubled breathing;unexplained weight loss;weakness in arm and/or leg on one side of the body, sudden and severe;difficulty swallowing;fast heartbeat;hives;itching;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;skin rash;unusual tiredness or weakness;diarrhea;acid or sour stomach;belching;blistering, burning, crusting, dryness, or flaking of skin;bruise;difficulty in moving;heartburn;indigestion;itching, scaling, severe redness, soreness, swelling of skin;muscle pain or stiffness;pain, swelling, or redness in joints;stomach discomfort, upset, or pain",,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,
