,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Ozurdex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
1,1,Lucentis,,,,,,,,,,,"blindness;bloody eye;blurred vision or loss of vision;decreased vision or other changes in vision;disturbed color perception;dizziness;double vision;dry eye;eye pain;fainting;feeling of having something in the eye;halos around lights;headache;night blindness;overbright appearance of lights;pain or tenderness around the eyes and cheekbones;red, sore eyes;redness of the white part of the eyes or inside of the eyelids;redness, swelling, or itching of the eyelid;seeing flashes or sparks of light;seeing floating spots before the eyes, or a veil or curtain appearing across part of vision;sensitivity of the eye to light;tearing of the eyes;tunnel vision;watering of the eyes;body aches or pain;chest pain;chills;cough;difficulty with breathing;dry mouth;fainting;fast, slow, or irregular heartbeat;general feeling of discomfort or illness;head congestion;hoarseness, loss of voice, or other voice changes;loss of consciousness;muscle aches and pains;nasal congestion;pain in the chest, groin, or legs, especially the calves;painful blisters on the trunk of the body;pale skin;runny nose;severe, sudden headache;shivering;slurred speech;sneezing;sore throat;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;sweating;tightness in the chest;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;back pain;difficulty having a bowel movement (stool);difficulty with moving;muscle stiffness;swelling or redness in the joints;or",,,,,,,,
2,2,Eylea,,,,,,,,,,,"blindness;bloody eye;blurred vision;eye or eyelid redness;eye pain;seeing flashes, sparks of light, or a veil or curtain;seeing floating spots before the eyes;vision changes;bleeding or pain at the injection site;swelling of the eyelid;fast heartbeat;fever;headache;hives, itching, rash, or skin redness;hoarseness;joint pain, stiffness, or swelling;swelling of the face, lips, hands, or feet;troubled breathing or swallowing;pain in the chest, groin, or legs, especially the calves;severe, sudden headache;slurred speech;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;feeling like something is in the eye;watery eyes",,,,,,,,
3,3,dexamethasone,,,,,,,,,,,"aggression;agitation;anxiety;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mental depression;mood changes;nervousness;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal cramping and/or burning (severe);abdominal pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fatigue;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn and/or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in back, ribs, arms, or legs;painful or difficult urination;skin rash;sleeplessness;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
4,4,Maxidex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
5,5,Dexasol,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
6,6,Ocu-Dex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
7,7,AK-Dex,,,,,,,,,,,bloody eye;blurred vision;change in vision;eye pain;loss of vision;redness of the white part of the eye or inside of the eyelid;blindness;decreased vision;gradual loss of vision;headache;nausea;seeing a veil or curtain across part of your vision;seeing flashes or sparks of light;seeing floating spots before the eyes;vomiting;or,,,,,,,,
8,8,ranibizumab,,,,,,,,,,,"blindness;bloody eye;blurred vision or loss of vision;decreased vision or other changes in vision;disturbed color perception;dizziness;double vision;dry eye;eye pain;fainting;feeling of having something in the eye;halos around lights;headache;night blindness;overbright appearance of lights;pain or tenderness around the eyes and cheekbones;red, sore eyes;redness of the white part of the eyes or inside of the eyelids;redness, swelling, or itching of the eyelid;seeing flashes or sparks of light;seeing floating spots before the eyes, or a veil or curtain appearing across part of vision;sensitivity of the eye to light;tearing of the eyes;tunnel vision;watering of the eyes;body aches or pain;chest pain;chills;cough;difficulty with breathing;dry mouth;fainting;fast, slow, or irregular heartbeat;general feeling of discomfort or illness;head congestion;hoarseness, loss of voice, or other voice changes;loss of consciousness;muscle aches and pains;nasal congestion;pain in the chest, groin, or legs, especially the calves;painful blisters on the trunk of the body;pale skin;runny nose;severe, sudden headache;shivering;slurred speech;sneezing;sore throat;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;sweating;tightness in the chest;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;back pain;difficulty having a bowel movement (stool);difficulty with moving;muscle stiffness;swelling or redness in the joints;or",,,,,,,,
9,9,aflibercept,,,,,,,,,,,"blindness;bloody eye;blurred vision;eye or eyelid redness;eye pain;seeing flashes, sparks of light, or a veil or curtain;seeing floating spots before the eyes;vision changes;bleeding or pain at the injection site;swelling of the eyelid;fast heartbeat;fever;headache;hives, itching, rash, or skin redness;hoarseness;joint pain, stiffness, or swelling;swelling of the face, lips, hands, or feet;troubled breathing or swallowing;pain in the chest, groin, or legs, especially the calves;severe, sudden headache;slurred speech;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;feeling like something is in the eye;watery eyes",,,,,,,,
