,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Malarone,,,,,,,,,,,"blistering, peeling, loosening of skin;chills;convulsions;difficulty swallowing;fast heartbeat;hives or welts;increased sensitivity of skin to sunlight;itching, redness or other discoloration of skin;joint or muscle pain;large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, sex organs;loss of bladder control;muscle spasm or jerking of all extremities;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;red, irritated eyes;red skin lesions, often with a purple center;seeing, hearing, or feeling things that are not there;severe mental changes;severe sunburn;shortness of breath;skin rash;sores, ulcers or white spots in mouth or on lips;sudden loss of consciousness;tightness in chest;unusual tiredness or weakness;wheezing;abdominal pain;back pain;coughing;diarrhea;dreams;fever;headache;itching skin;lack of or loss of strength;nausea;muscle pain;sore throat;sores in mouth;sneezing;vomiting;acid or sour stomach;belching;blurred or loss of vision;disturbed color perception;dizziness;double vision;flu like symptoms;halos around lights;heartburn;indigestion;loss of appetite;night blindness;overbright appearance of lights;sleeplessness;stomach discomfort, upset or pain;trouble sleeping;tunnel vision;unable to sleep;weight loss;discouragement;fear;feeling sad or empty;irritability;lack of appetite;loss of interest or pleasure;nervousness;trouble concentrating",,,,,,,,
1,1,doxycycline,,,,,,,,,,,"abdominal or stomach tenderness;black, tarry stools;bloating;clay-colored stools;cough;dark urine;decreased appetite;diarrhea;diarrhea, watery and severe, which may also be bloody;difficulty with swallowing;dizziness;fast heartbeat;feeling of discomfort;fever;headache;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hives or welts, itching, or rash;increased thirst;inflammation of the joints;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;nausea and vomiting;numbness or tingling of the face, hands, or feet;pain;redness and soreness of the eyes;redness of the skin;severe stomach pain;sore throat;sores in the mouth;stomach cramps;stomach pain or tenderness;swelling of the feet or lower legs;swollen lymph glands;tightness in the chest;unusual tiredness or weakness;unusual weight loss;yellow eyes or skin;back, leg, or stomach pains;bleeding gums;blood in the urine or stools;blurred vision;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;chest pain, discomfort, or burning;chills;cracks in the skin;decrease in vision;difficulty breathing;discoloration of the thyroid glands;double vision;general body swelling;heartburn;increased sensitivity of the skin to sunlight;loss of heat from the body;lower back or side pain;nosebleeds;pain or burning in the throat;pain with swallowing;painful or difficult urination;pale skin;pinpoint red spots on the skin;rash with flat lesions or small raised lesions on the skin;red, swollen skin;redness or other discoloration of the skin;redness, swelling, or soreness of the tongue;scaly skin;severe nausea;severe sunburn;sores, ulcers, or white spots on the lips or tongue or inside the mouth;unusual bleeding or bruising;vomiting blood;or",,,,,,,,
2,2,atovaquone / proguanil,,,,,,,,,,,"blistering, peeling, loosening of skin;chills;convulsions;difficulty swallowing;fast heartbeat;hives or welts;increased sensitivity of skin to sunlight;itching, redness or other discoloration of skin;joint or muscle pain;large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, sex organs;loss of bladder control;muscle spasm or jerking of all extremities;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;red, irritated eyes;red skin lesions, often with a purple center;seeing, hearing, or feeling things that are not there;severe mental changes;severe sunburn;shortness of breath;skin rash;sores, ulcers or white spots in mouth or on lips;sudden loss of consciousness;tightness in chest;unusual tiredness or weakness;wheezing;abdominal pain;back pain;coughing;diarrhea;dreams;fever;headache;itching skin;lack of or loss of strength;nausea;muscle pain;sore throat;sores in mouth;sneezing;vomiting;acid or sour stomach;belching;blurred or loss of vision;disturbed color perception;dizziness;double vision;flu like symptoms;halos around lights;heartburn;indigestion;loss of appetite;night blindness;overbright appearance of lights;sleeplessness;stomach discomfort, upset or pain;trouble sleeping;tunnel vision;unable to sleep;weight loss;discouragement;fear;feeling sad or empty;irritability;lack of appetite;loss of interest or pleasure;nervousness;trouble concentrating",,,,,,,,
3,3,Vibramycin,,,,,,,,,,,"abdominal or stomach tenderness;bloating;clay-colored stools;cough;dark urine;decreased appetite;diarrhea;diarrhea, watery and severe, which may also be bloody;difficulty with swallowing;dizziness;fast heartbeat;feeling of discomfort;fever;headache;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hives or welts, itching, or rash;increased thirst;inflammation of the joints;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;nausea and vomiting;numbness or tingling of the face, hands, or feet;pain;redness and soreness of the eyes;redness of the skin;sore throat;sores in the mouth;stomach cramps;stomach pain or tenderness;swelling of the feet or lower legs;swollen lymph glands;tightness in the chest;unusual tiredness or weakness;unusual weight loss;yellow eyes or skin;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;chest pain, discomfort, or burning;chills;cracks in the skin;decrease in vision;difficulty breathing;discoloration of the thyroid glands;double vision;general body swelling;heartburn;increased sensitivity of the skin to sunlight;loss of heat from the body;lower back or side pain;nosebleeds;pain or burning in the throat;pain with swallowing;painful or difficult urination;pale skin;pinpoint red spots on the skin;rash with flat lesions or small raised lesions on the skin;red, swollen skin;redness or other discoloration of the skin;redness, swelling, or soreness of the tongue;scaly skin;severe nausea;severe stomach pain;severe sunburn;sores, ulcers, or white spots on the lips or tongue or inside the mouth;unusual bleeding or bruising;vomiting blood;or",,,,,,,,
4,4,chloroquine,,,,,,,,,,,"black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blood in the urine or stools;blurred vision;chest pain;chills;confusion;cough;diarrhea;difficulty with swallowing;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast heartbeat;fever;headache;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lower back or side pain;painful or difficult urination;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;skin rash, hives, or itching;sore throat;sores, ulcers, or white spots on the lips or in the mouth;sweating;swollen or painful glands;tightness in the chest;unusual bleeding or bruising;unusual tiredness or weakness;blurred vision or any other change in vision;change in near or distance vision;continuing ringing or buzzing or other unexplained noise in the ears;dark urine;difficulty in focusing the eyes;difficulty with speaking;disturbed color perception;double vision;drooling;general tiredness and weakness;halos around lights;hearing loss;inability to move the eyes;increased blinking or spasms of the eyelid;light-colored stools;loss of balance control;muscle trembling, jerking, or stiffness;muscular pain, tenderness, wasting, or weakness;nausea and vomiting;night blindness;overbright appearance of lights;restlessness;shuffling walk;sticking out of the tongue;stiffness of the limbs;trouble breathing;tunnel vision;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;uncontrolled movements, especially of the face, neck, and back;upper right abdominal or stomach pain;yellow eyes and skin;chest discomfort;cold clammy skin;decreased urine;drowsiness;dry mouth;fainting;fast, slow, or irregular heartbeat;fast, weak pulse;increased thirst;lightheadedness, dizziness or fainting;loss of appetite;muscle pain or cramps;numbness or tingling in the hands, feet, or lips;sweating;change in hair color;hair loss;increased sensitivity of the skin to sunlight;redness or other discoloration of the skin;severe sunburn;abdominal or stomach cramps;weight loss;or",,,,,,,,
5,5,mefloquine,,,,,,,,,,,"aching joints and muscles;anxiety;blistering, loosening, peeling, or redness of the skin;chest pain or discomfort;chills;confusion;convulsions (seizures);cough or hoarseness;dizziness;fainting;fever;hallucinations (seeing, hearing, or feeling things that are not there);irregular, pounding, slow, or fast heartbeat or pulse;irritability;lightheadedness;lower back or side pain;mental depression;painful or difficult urination;pinpoint red spots on the skin;red or irritated eye;restlessness;sore throat;sores, ulcers, or white spots in the mouth or on the lips;stiff neck;swelling of the ankles, feet, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;vomiting;blurred or loss of vision;continuing ringing or buzzing or other unexplained noise in the ears;disturbed color perception;double vision;feeling of constant movement of self or surroundings;halos around lights;hearing loss;hearing problems;loss of balance;loss of bladder control;muscle spasm or jerking of all extremities;night blindness;overbright appearance of lights;sensation of spinning;severe or continuing headache;sudden loss of consciousness;trouble sleeping;troubled breathing;tunnel vision;diarrhea;emotional problems;nausea;stomach pain;abnormal dreams;loss of appetite;skin rash;loss of hair;acid or sour stomach;belching;flushing or redness of the skin;heartburn;indigestion;skin rash with a general disease;stomach discomfort, upset, or pain;swelling;unusually warm skin;or",,,,,,,,
6,6,Lariam,,,,,,,,,,,"aching joints and muscles;anxiety;blistering, loosening, peeling, or redness of the skin;chest pain or discomfort;chills;confusion;convulsions (seizures);cough or hoarseness;dizziness;fainting;fever;hallucinations (seeing, hearing, or feeling things that are not there);irregular, pounding, slow, or fast heartbeat or pulse;irritability;lightheadedness;lower back or side pain;mental depression;painful or difficult urination;pinpoint red spots on the skin;red or irritated eye;restlessness;sore throat;sores, ulcers, or white spots in the mouth or on the lips;stiff neck;swelling of the ankles, feet, or lower legs;unusual bleeding or bruising;unusual tiredness or weakness;vomiting;blurred or loss of vision;continuing ringing or buzzing or other unexplained noise in the ears;disturbed color perception;double vision;feeling of constant movement of self or surroundings;halos around lights;hearing loss;hearing problems;loss of balance;loss of bladder control;muscle spasm or jerking of all extremities;night blindness;overbright appearance of lights;sensation of spinning;severe or continuing headache;sudden loss of consciousness;trouble sleeping;troubled breathing;tunnel vision;diarrhea;emotional problems;nausea;stomach pain;abnormal dreams;loss of appetite;skin rash;loss of hair;acid or sour stomach;belching;flushing or redness of the skin;heartburn;indigestion;skin rash with a general disease;stomach discomfort, upset, or pain;swelling;unusually warm skin;or",,,,,,,,
7,7,Doxy 100,,,,,,,,,,,"abdominal or stomach tenderness;bloating;clay-colored stools;cough;dark urine;decreased appetite;diarrhea;diarrhea, watery and severe, which may also be bloody;difficulty with swallowing;dizziness;fast heartbeat;feeling of discomfort;fever;headache;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hives or welts, itching, or rash;increased thirst;inflammation of the joints;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;nausea and vomiting;numbness or tingling of the face, hands, or feet;pain;redness and soreness of the eyes;redness of the skin;sore throat;sores in the mouth;stomach cramps;stomach pain or tenderness;swelling of the feet or lower legs;swollen lymph glands;tightness in the chest;unusual tiredness or weakness;unusual weight loss;yellow eyes or skin;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;chest pain, discomfort, or burning;chills;cracks in the skin;decrease in vision;difficulty breathing;discoloration of the thyroid glands;double vision;general body swelling;heartburn;increased sensitivity of the skin to sunlight;loss of heat from the body;lower back or side pain;nosebleeds;pain or burning in the throat;pain with swallowing;painful or difficult urination;pale skin;pinpoint red spots on the skin;rash with flat lesions or small raised lesions on the skin;red, swollen skin;redness or other discoloration of the skin;redness, swelling, or soreness of the tongue;scaly skin;severe nausea;severe stomach pain;severe sunburn;sores, ulcers, or white spots on the lips or tongue or inside the mouth;unusual bleeding or bruising;vomiting blood;or",,,,,,,,
8,8,Plaquenil,,,,,,,,,,,"blurred vision or any other change in visionthis side effect may also occur or get worse after you stop taking hydroxychloroquine;convulsions (seizures);increased muscle weakness;mood or other mental changes;ringing or buzzing in ears or any loss of hearing;sore throat and fever;unusual bleeding or bruising;unusual tiredness;weakness;drowsiness;headache;increased excitability;diarrhea;difficulty in seeing to read;headache;itching (more common in black patients);loss of appetite;nausea or vomiting;stomach cramps or pain;bleaching of hair or increased hair loss;blue-black discoloration of skin, fingernails, or inside of mouth;dizziness or lightheadedness;nervousness or restlessness;skin rash;or",,,,,,,,
9,9,Doryx,,,,,,,,,,,"abdominal or stomach tenderness;bloating;clay-colored stools;cough;dark urine;decreased appetite;diarrhea;diarrhea, watery and severe, which may also be bloody;difficulty with swallowing;dizziness;fast heartbeat;feeling of discomfort;fever;headache;hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;hives or welts, itching, or rash;increased thirst;inflammation of the joints;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;nausea and vomiting;numbness or tingling of the face, hands, or feet;pain;redness and soreness of the eyes;redness of the skin;sore throat;sores in the mouth;stomach cramps;stomach pain or tenderness;swelling of the feet or lower legs;swollen lymph glands;tightness in the chest;unusual tiredness or weakness;unusual weight loss;yellow eyes or skin;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;bulging soft spot on the head of an infant;change in the ability to see colors, especially blue or yellow;chest pain, discomfort, or burning;chills;cracks in the skin;decrease in vision;difficulty breathing;discoloration of the thyroid glands;double vision;general body swelling;heartburn;increased sensitivity of the skin to sunlight;loss of heat from the body;lower back or side pain;nosebleeds;pain or burning in the throat;pain with swallowing;painful or difficult urination;pale skin;pinpoint red spots on the skin;rash with flat lesions or small raised lesions on the skin;red, swollen skin;redness or other discoloration of the skin;redness, swelling, or soreness of the tongue;scaly skin;severe nausea;severe stomach pain;severe sunburn;sores, ulcers, or white spots on the lips or tongue or inside the mouth;unusual bleeding or bruising;vomiting blood;or",,,,,,,,
