,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Opdivo,,,,,,,,,,,"back pain;blistering, peeling, or loosening of the skin;chest tightness;chills;constipation;cough;depressed mood;diarrhea;dry skin and hair;feeling cold;fever;flushing;hair loss;headache;hoarseness or husky voice;itching;joint or muscle pain;muscle cramps and stiffness;nausea and vomiting;red, irritated eyes;slowed heartbeat;sore throat;sores, ulcers, or white spots in the mouth or on the lips;trouble breathing;unusual tiredness or weakness;weight gain;chest pain;dark urine;general feeling of discomfort or illness;light-colored stools;nervousness;pain;sensitivity to heat;stomach cramps;sweating;tenderness;thickening of bronchial secretions;trouble sleeping;upper right abdominal or stomach pain;watery or bloody diarrhea;weight loss;yellow eyes and skin;bloating;bloody or cloudy urine;blurred vision or other change in vision;darkening of the skin;dizziness;drowsiness;eye pain;fainting;fast heartbeat;indigestion;loss of appetite;mental depression;pains in the stomach, side, or abdomen, possibly radiating to the back;redness of the eye;sensitivity of the eye to light;skin rash;swelling of the face, feet, or lower legs;tearing;stuffy or runny nose",,,,,,,,
1,1,Intron A,,,,,,,,,,,"depression;difficult or labored breathing;swelling or puffiness of the face;tightness in the chest;weight loss;back, leg, or stomach pains;bleeding, tender, or enlarged gums;bloody, black, or tarry stools;bloody nose;bloody or cloudy urine;blurred vision;change in personality;changes in behavior;chest pain, discomfort, or heaviness;chills;clay-colored stools;confusion as to time, place, or person;constipation;cough producing mucus;coughing or spitting up blood;dark urine;decreased urination;diarrhea;difficult or painful urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fainting;fast, slow, pounding, irregular, or racing heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever;hallucinations;headache;hearing loss;heavier menstrual periods;hives or rash;hoarseness or husky voice;inability to speak;increased thirst;increased urination;indigestion;irritability;itching, pain, redness, or swelling of the skin;light-colored stools;lightheadedness;loss of appetite;loss of consciousness;loss of hearing;lower back or side pain;metallic taste;muscle aches or cramps;nausea or vomiting;pale skin;passing of gas;pinpoint red spots on the skin;seizures;severe mood or mental changes;severe stomach pain with nausea and vomiting;slow speech;sneezing;sores, ulcers, or white spots on the lips or tongue or inside the mouth;stiffness of the limbs;stomach cramps, tenderness, or discomfort;stomach pain, continuing;stomach upset;sweating;swelling around the eyes;swelling of the face, fingers, hands, ankles, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thoughts of hurting or killing oneself;trouble sleeping;unusual behavior;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;yellowing of the eyes or skin;acid or sour stomach;bleeding gums;blistering, crusting, irritation, itching, or reddening of the skin;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste, or bad, unusual, or unpleasant (after) taste;cracked, dry, or scaly skin;hair loss or thinning of the hair;irritation in the mouth;joint pain;lack or loss of strength;loss of memory;muscle or bone pain;pain or tenderness around the eyes and cheekbones;poor concentration;problems with memory;redness and swelling of the gums;stuffy or runny nose;swollen joints;abnormal ejaculation;absent, missed, or irregular menstrual periods;bleeding, burning, inflammation, itching, or pain at the injection site;bone deformity;burning, itching, and pain in the hairy areas, pus at the root of the hair;burning, numbness, pain, or tingling in all fingers except smallest finger;cold and clammy skin;decrease in height;decreased interest in sexual intercourse;degenerative disease of the joint;difficulty with moving or walking;discoloration of the skin;inability to have or keep an erection;increased clear or white vaginal discharge;increased sensitivity of the skin to sunlight;itching or pain of the genital area;leg cramps;longer menstrual periods;loss in sexual ability, desire, drive, or performance;multiple swollen and inflamed skin lesions;pain in the ankles or knees;pain in the ribs;pain, inflammation, or swelling in the calves, shoulders, or hands;painful, red lumps under the skin, mostly on the legs;pelvic pain;rash with flat lesions or small raised lesions on the skin;red or irritated eyes;redness or swelling in the arms or legs;redness, tenderness, itching, burning, or peeling of the skin;severe sunburn;shivering;skin rash, encrusted, scaly, and oozing small lumps under the skin;small lumps under the skin;soreness of the muscles;stopping of menstrual bleeding;swelling or redness in the joints;tanning or blue-gray discoloration of the skin;tearing of the eyes;underactive reflexes;unexpected menstrual bleeding",,,,,,,,
2,2,Yervoy,,,,,,,,,,,"bloody, black, or tarry stools;diarrhea;fever;heartburn;indigestion;itching skin;nausea;rash;severe stomach pain, cramping, or burning;unusual tiredness or weakness;vomiting;vomiting of material that looks like coffee grounds, severe and continuing;watery or bloody diarrhea;abdominal or stomach tenderness;blistering, crusting, irritation, itching, or reddening of the skin;bloody or cloudy urine;blurred vision or other changes in vision;burning, dry, or itching eyes;burning, tingling, numbness or pain in the hands, arms, feet, or legs;chest pain;chills;clay-colored stools;cough;cracked, dry, or scaly skin;dark urine;darkening of the skin;decreased appetite;decreased frequency or amount of urine;difficulty with breathing, chewing, swallowing, or talking;dizziness;double vision;drooping eyelids;drowsiness;eye discharge or excessive tearing;eye pain or sensitivity to light;fainting;headache, possibly severe;hives or welts;loss of appetite;mental depression;muscle weakness;pain, itching, burning, swelling, bleeding, or a lump under the skin where the needle was placed;painful or difficult urination;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;sensation of pins and needles;severe tiredness;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;swelling of the face, feet, or lower legs;swollen glands;unusual bleeding or bruising;unusual weight gain;yellow eyes or skin;anxiety;bloating;blue or pale skin;chest pain, possibly moving to the left arm, neck, or shoulder;confusion;constipation;difficulty with moving;fast heartbeat;general feeling of discomfort or illness;increased thirst;lower back or side pain;muscle pain or stiffness;muscle weakness;pain or burning in the throat;pain, swelling, or redness in the joints;pains in the stomach or side, possibly radiating to the back;skin irritation or rash, including rash that looks like psoriasis;sores, welting, or blisters on the skin;stiff neck or back;back, leg, or stomach pains;bleeding gums;general body swelling;inability to move the arms and legs;nosebleeds;throbbing pain;headache;trouble sleeping;weight loss",,,,,,,,
3,3,interferon alfa-2b,,,,,,,,,,,"depression;difficult or labored breathing;swelling or puffiness of the face;tightness in the chest;weight loss;back, leg, or stomach pains;bleeding, tender, or enlarged gums;bloody, black, or tarry stools;bloody nose;bloody or cloudy urine;blurred vision;change in personality;changes in behavior;chest pain, discomfort, or heaviness;chills;clay-colored stools;confusion as to time, place, or person;constipation;cough producing mucus;coughing or spitting up blood;dark urine;decreased urination;diarrhea;difficult or painful urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness;fainting;fast, slow, pounding, irregular, or racing heartbeat or pulse;feeling, seeing, or hearing things that are not there;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;fever;hallucinations;headache;hearing loss;heavier menstrual periods;hives or rash;hoarseness or husky voice;inability to speak;increased thirst;increased urination;indigestion;irritability;itching, pain, redness, or swelling of the skin;light-colored stools;lightheadedness;loss of appetite;loss of consciousness;loss of hearing;lower back or side pain;metallic taste;muscle aches or cramps;nausea or vomiting;pale skin;passing of gas;pinpoint red spots on the skin;seizures;severe mood or mental changes;severe stomach pain with nausea and vomiting;slow speech;sneezing;sores, ulcers, or white spots on the lips or tongue or inside the mouth;stiffness of the limbs;stomach cramps, tenderness, or discomfort;stomach pain, continuing;stomach upset;sweating;swelling around the eyes;swelling of the face, fingers, hands, ankles, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;thoughts of hurting or killing oneself;trouble sleeping;unusual behavior;unusual bleeding or bruising;unusual tiredness or weakness;weight gain;yellowing of the eyes or skin;acid or sour stomach;bleeding gums;blistering, crusting, irritation, itching, or reddening of the skin;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste, or bad, unusual, or unpleasant (after) taste;cracked, dry, or scaly skin;hair loss or thinning of the hair;irritation in the mouth;joint pain;lack or loss of strength;loss of memory;muscle or bone pain;pain or tenderness around the eyes and cheekbones;poor concentration;problems with memory;redness and swelling of the gums;stuffy or runny nose;swollen joints;abnormal ejaculation;absent, missed, or irregular menstrual periods;bleeding, burning, inflammation, itching, or pain at the injection site;bone deformity;burning, itching, and pain in the hairy areas, pus at the root of the hair;burning, numbness, pain, or tingling in all fingers except smallest finger;cold and clammy skin;decrease in height;decreased interest in sexual intercourse;degenerative disease of the joint;difficulty with moving or walking;discoloration of the skin;inability to have or keep an erection;increased clear or white vaginal discharge;increased sensitivity of the skin to sunlight;itching or pain of the genital area;leg cramps;longer menstrual periods;loss in sexual ability, desire, drive, or performance;multiple swollen and inflamed skin lesions;pain in the ankles or knees;pain in the ribs;pain, inflammation, or swelling in the calves, shoulders, or hands;painful, red lumps under the skin, mostly on the legs;pelvic pain;rash with flat lesions or small raised lesions on the skin;red or irritated eyes;redness or swelling in the arms or legs;redness, tenderness, itching, burning, or peeling of the skin;severe sunburn;shivering;skin rash, encrusted, scaly, and oozing small lumps under the skin;small lumps under the skin;soreness of the muscles;stopping of menstrual bleeding;swelling or redness in the joints;tanning or blue-gray discoloration of the skin;tearing of the eyes;underactive reflexes;unexpected menstrual bleeding",,,,,,,,
4,4,Sylatron,,,,,,,,,,,"abdominal or stomach pain;anxiety;black, tarry stools;blood in the urine or stools;bloody diarrhea;chills;cloudy urine;cough or hoarseness;depression;difficult or labored breathing;fever;irritability;lower back or side pain;mood swings;nausea;painful or difficult urination;pale skin;pinpoint red spots on the skin;tightness in the chest;trouble sleeping;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;vomiting;changes in menstrual cycle;constipation;drowsiness;dry hair and skin;sensitivity to cold;weight gain;aching, pain, or stiffness in the joints;aggressive behavior;attempt to kill yourself;backache;chest pain (severe);cool, pale skin;decrease in vision;diarrhea;difficulty with speaking;dizziness;drug addiction or overdose;eye pain;fast or irregular heartbeat;feeling of constant movement of self or surroundings;headache;loss of appetite;muscle weakness;nervousness;numbness or loss of feeling in one or both limbs on the same side of the body;palpitations;paralysis;possible decrease in the amount of urine;rash, hives, or itching;restlessness;sensation of spinning;sensitivity to heat;sensitivity to sunlight;sweating (excessive);thick, scaly skin;thoughts of killing someone;thoughts of killing yourself;warm, smooth, or moist skin;weight loss;aching, fullness, or tension in the sinuses;bruising, irritation, or itching at the injection site;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;difficulty with moving;flushing of the skin;hair loss;indigestion;loss of taste;muscle pain or stiffness;pain in the bones or muscles;runny nose;sneezing;sore throat;thinning of the hair;muscle rigidity or stiffness",,,,,,,,
5,5,nivolumab,,,,,,,,,,,"back pain;blistering, peeling, or loosening of the skin;chest tightness;chills;constipation;cough;depressed mood;diarrhea;dry skin and hair;feeling cold;fever;flushing;hair loss;headache;hoarseness or husky voice;itching;joint or muscle pain;muscle cramps and stiffness;nausea and vomiting;red, irritated eyes;slowed heartbeat;sore throat;sores, ulcers, or white spots in the mouth or on the lips;trouble breathing;unusual tiredness or weakness;weight gain;chest pain;dark urine;general feeling of discomfort or illness;light-colored stools;nervousness;pain;sensitivity to heat;stomach cramps;sweating;tenderness;thickening of bronchial secretions;trouble sleeping;upper right abdominal or stomach pain;watery or bloody diarrhea;weight loss;yellow eyes and skin;bloating;bloody or cloudy urine;blurred vision or other change in vision;darkening of the skin;dizziness;drowsiness;eye pain;fainting;fast heartbeat;indigestion;loss of appetite;mental depression;pains in the stomach, side, or abdomen, possibly radiating to the back;redness of the eye;sensitivity of the eye to light;skin rash;swelling of the face, feet, or lower legs;tearing;stuffy or runny nose",,,,,,,,
6,6,dacarbazine,,,,,,,,,,,"redness, pain, or swelling at place of injection;black, tarry stools;blood in urine or stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;shortness of breath;stomach pain;swelling of face;yellow eyes or skin;sores in mouth and on lips;loss of appetite;nausea or vomiting (should lessen after 1 or 2 days);feelings of uneasiness;flushing of face;muscle pain;numbness of face;black, tarry stools;blood in urine or stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on skin;unusual bleeding or bruising",,,,,,,,
7,7,pembrolizumab,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;body aches or pain;chills;constipation;cough;depressed mood;difficulty with breathing;difficulty with moving;dry skin and hair;ear congestion;feeling cold;fever;hair loss;headache;hoarseness or husky voice;loss of voice;muscle cramps, pain, and stiffness;pain in the joints;pale skin;rapid weight gain;runny or stuffy nose;slowed heartbeat;sneezing;sore throat;tingling of the hands or feet;trouble breathing;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;unusual weight gain or loss;chest pain;general feeling of discomfort or illness;nervousness;pain;sensitivity to heat;stomach cramps;sweating;tenderness;thickening of bronchial secretions;trouble sleeping;watery or bloody diarrhea;weight loss;back, leg, or stomach pains;bleeding gums;blurred vision or other change in vision;cracks in the skin;darkened urine;difficulty with moving;drowsiness;eye pain;fast heartbeat;general body swelling;general tiredness and weakness;indigestion;light-colored stools;loss of appetite;loss of heat from the body;nausea or vomiting;nosebleeds;pain, swelling, or redness in the joints;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;red, swollen skin;redness of the eye;scaly skin;seizures;sensitivity of the eye to light;sore throat;tearing;upper right abdominal or stomach pain;yellow eyes and skin;decreased appetite;diarrhea;dizziness;headache;rash",,,,,,,,
8,8,Proleukin,,,,,,,,,,,"agitation;confusion;diarrhea;dizziness;drowsiness;fever or chills;mental depression;nausea and vomiting;shortness of breath;sores in the mouth and on lips;tingling of the hands or feet;unusual decrease in urination;unusual tiredness or weakness;weight gain of 5 to 10 pounds or more;bloating and stomach pain;blurred or double vision;faintness;fast or irregular heartbeat;loss of taste;rapid breathing;redness, swelling, and soreness of the tongue;trouble with speaking;yellow eyes and skin;changes in menstrual periods;clumsiness;coldness;convulsions (seizures);listlessness;muscle aches;pain or redness at injection site;sudden inability to move;swelling in the front of the neck;swelling of the feet or lower legs;weakness;black, tarry stools;blisters on the skin;blood in the urine;bloody vomit;chest pain;cough or hoarseness;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;stomach pain (severe);unusual bleeding or bruising;dry skin;loss of appetite;skin rash or redness with burning or itching, followed by peeling;unusual feeling of discomfort or illness;constipation;headache;joint pain;muscle pain",,,,,,,,
9,9,aldesleukin,,,,,,,,,,,"agitation;confusion;diarrhea;dizziness;drowsiness;fever or chills;mental depression;nausea and vomiting;shortness of breath;sores in the mouth and on lips;tingling of the hands or feet;unusual decrease in urination;unusual tiredness or weakness;weight gain of 5 to 10 pounds or more;bloating and stomach pain;blurred or double vision;faintness;fast or irregular heartbeat;loss of taste;rapid breathing;redness, swelling, and soreness of the tongue;trouble with speaking;yellow eyes and skin;changes in menstrual periods;clumsiness;coldness;convulsions (seizures);listlessness;muscle aches;pain or redness at injection site;sudden inability to move;swelling in the front of the neck;swelling of the feet or lower legs;weakness;black, tarry stools;blisters on the skin;blood in the urine;bloody vomit;chest pain;cough or hoarseness;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;stomach pain (severe);unusual bleeding or bruising;dry skin;loss of appetite;skin rash or redness with burning or itching, followed by peeling;unusual feeling of discomfort or illness;constipation;headache;joint pain;muscle pain",,,,,,,,
