,Disease,Symptoms,Sheet Link
0,Abacterial cystitis (Alkylating Agent Cystitis),,
1,Abdominal Adhesions,,
2,Abdominal bloating (Abdominal Distension),,
3,Abdominal Distension Prior to Abdominal X-ray,,
4,Abdominal Distension,,
5,Abdominopelvic Fistulas,,
6,Abnormal Electrocardiogram,,
7,Abnormal Glucose Tolerance,,
8,Abnormal Uterine Bleeding,,
9,Abortion Induction in Ectopic Pregnancy (Ectopic Pregnancy),,
10,Abortion,,
11,"Abscess, brain (CNS Infection)",,
12,Absence Seizure (Seizures),,
13,Acanthosis Nigricans,,
14,Accelerating Angina (Angina),,
15,Accidental Bowel Leakage (Fecal Incontinence),,
16,Acetaminophen Overdose,,
17,Acetaminophen Toxicity (Acetaminophen Overdose),,
18,Achilles Tendinitis (Tendonitis),,
19,Achilles Tendon Rupture (Tendonitis),,
20,Achlorhydria,,
21,Acid reflux (GERD),,
22,"Acidosis, lactic (Acidosis)",,
23,"Acidosis, respiratory (Acidosis)",,
24,Acidosis,,
25,ACL Injury (Muscle Pain),,
26,Acne rosacea (Rosacea),,
27,Acne Vulgaris (Acne),,
28,Acne,,
29,Acquired Immune Deficiency Syndrome (HIV Infection),,
30,Acquired Immunodeficiency Syndrome (HIV Infection),,
31,Acquired Methemoglobinemia (Methemoglobinemia),,
32,Acromegaly,,
33,Acromelalgia (Erythromelalgia),,
34,Actinic Keratosis,,
35,Actinomycosis,,
36,Acute Abdomen,,
37,Acute Alcohol Intoxication,,
38,"Acute Asthma (Asthma, acute)",,
39,Acute Bacterial Cystitis (Urinary Tract Infection),,
40,"Acute blood loss anemia (Anemia, Posthemorrhagic)",,
41,Acute childhood leukemia (Acute Lymphocytic Leukemia),,
42,Acute Cholecystitis,,
43,"Acute Coronary Syndrome, Prophylaxis",,
44,Acute Coronary Syndrome,,
45,Acute Glomerulonephritis (Glomerulonephritis),,
46,Acute Granulocytic Leukemia (Acute Myeloid Leukemia),,
47,Acute HIV Infection (HIV Infection),,
48,Acute Intermittent Porphyria (Porphyria),,
49,Acute Lymphoblastic Leukemia,,
50,Acute Lymphocytic Leukemia,,
51,Acute Myeloblastic Leukemia,,
52,Acute Myelogenous Leukemia (Acute Myeloid Leukemia),,
53,Acute Myeloid Leukemia,,
54,Acute Nonlymphocytic Leukemia,,
55,Acute Otitis Externa,,
56,"Acute post-hemorrhagic anemia (Anemia, Posthemorrhagic)",,
57,"Acute posthemorrhagic anemia (Anemia, Posthemorrhagic)",,
58,Acute Promyelocytic Leukemia,,
59,Acute Respiratory Distress Syndrome (Respiratory Distress Syndrome),,
60,Acute Retroviral Syndrome (HIV Infection),,
61,Acute Sinusitis (Sinusitis),,
62,Acute Stress Reaction (Anxiety and Stress),,
63,ADA Deficiency (Adenosine Deaminase Deficiency),,
64,Adams-Stokes Syndrome,,
65,ADD (ADHD),,
66,Addison's Disease,,
67,Adenocarcinoma of renal cells (Renal Cell Carcinoma),,
68,Adenomyosis,,
69,Adenosine Deaminase Deficiency,,
70,Adenovirus Prophylaxis,,
71,ADHD (Attention Deficit Hyperactivity Disorder),,
72,ADHD,,
73,"Adhesions, Gastrointestinal (Abdominal Adhesions)",,
74,Adhesive Arachnoiditis,,
75,Adhesive capsulitis (Frozen Shoulder),,
76,Adiposis Dolorosa (Dercum's Disease),,
77,Adjunct to Antibiotic Therapy,,
78,ADPKD (Polycystic Kidney Disease),,
79,Adrenal Cortical Carcinoma,,
80,"Adrenal crisis, acute (Adrenal Insufficiency)",,
81,Adrenal failure (Adrenal Insufficiency),,
82,Adrenal Gland Disorders,,
83,Adrenal Hemorrhage,,
84,"Adrenal insufficiency, exogenous (Adrenal Insufficiency)",,
85,Adrenal Insufficiency,,
86,Adrenal Tuberculosis,,
87,Adrenal Tumor,,
88,Adrenocortical Insufficiency,,
89,Adrenogenital Syndrome,,
90,Adult Human Growth Hormone Deficiency,,
91,Adult Still's Disease (Still's Disease),,
92,Adult-Onset Still Disease (Still's Disease),,
93,AF (Atrial Fibrillation),,
94,AFib (Atrial Fibrillation),,
95,African Trypanosomiasis (Trypanosomiasis),,
96,Age-related hearing loss (Hearing Loss),,
97,Aggressive Behavior,,
98,Agitated State,,
99,Agitation,,
100,Agnogenic myeloid metaplasia (Myelofibrosis),,
101,Agoraphobia,,
102,Agranulocytosis (Neutropenia),,
103,AIDS (HIV Infection),,
104,AIDS Related Anorexia (AIDS Related Wasting),,
105,AIDS Related Wasting,,
106,AIDS Wasting (AIDS Related Wasting),,
107,AIDS-Related Complex (HIV Infection),,
108,Alcohol Dependence,,
109,Alcohol Hepatitis,,
110,Alcohol Poisoning (Acute Alcohol Intoxication),,
111,Alcohol Use Disorder (Alcoholism),,
112,Alcohol Withdrawal Delirium (Alcohol Withdrawal),,
113,Alcohol Withdrawal,,
114,Alcohol-Induced Sleep Disorder,,
115,Alcoholic Cardiomyopathy,,
116,Alcoholic Cirrhosis,,
117,Alcoholic Dementia,,
118,Alcoholic Fatty Liver Disease (Alcoholic Liver Damage),,
119,Alcoholic Gastritis with Hemorrhage,,
120,Alcoholic Gastritis,,
121,Alcoholic Hepatitis (Alcohol Hepatitis),,
122,Alcoholic Liver Damage,,
123,Alcoholic Liver Disease (Alcoholic Liver Damage),,
124,Alcoholic Psychosis,,
125,Alcoholism,,
126,Alkaline Vagina (Vaginal pH Imbalance),,
127,"Alkalosis, respiratory (Alkalosis)",,
128,Alkalosis,,
129,Alkylating Agent Cystitis,,
130,ALL Leukemia (Acute Lymphocytic Leukemia),,
131,Allergic Asthma,,
132,Allergic Colitis,,
133,"Allergic Conjunctivitis (Conjunctivitis, Allergic)",,
134,Allergic Dermatitis (Atopic Dermatitis),,
135,Allergic Drug Reaction (Allergic Reactions),,
136,Allergic Purpura,,
137,Allergic Reactions,,
138,Allergic Rhinitis,,
139,Allergic Urticaria,,
140,Allergies,,
141,Allergy (Allergies),,
142,Alopecia Areata (Alopecia),,
143,Alopecia,,
144,Alpha Thalassemia (Thalassemia),,
145,Alpha-1 Antitrypsin Deficiency (Alpha-1 Proteinase Inhibitor Deficiency),,
146,Alpha-1 Proteinase Inhibitor Deficiency,,
147,Alport Syndrome,,
148,ALS (Amyotrophic Lateral Sclerosis),,
149,Altered Consciousness,,
150,Aluminum Toxicity,,
151,Alveolar rhabdomyosarcoma (Soft Tissue Sarcoma),,
152,Alzheimer's Disease,,
153,Amebiasis,,
154,Amebic dysentery (Amebiasis),,
155,Amebic Liver Abscess (Liver Abscess),,
156,"Amenorrhea, primary (Amenorrhea)",,
157,Amenorrhea,,
158,"Amenorrhoea, secondary (Amenorrhea)",,
159,American Trypanosomiasis (Trypanosomiasis),,
160,AML (Acute Myeloid Leukemia),,
161,Amoebic Infection (Amebiasis),,
162,Amyloidogenic Transthyretin Amyloidosis,,
163,"Amyloidosis, primary (Amyloidosis)",,
164,"Amyloidosis, secondary systemic (Amyloidosis)",,
165,Amyloidosis,,
166,Amyotrophic Lateral Sclerosis,,
167,Anaerobic Pneumonia (Aspiration Pneumonia),,
168,Anal Cancer (Colorectal Cancer),,
169,Anal Fissure (Anal Fissure and Fistula),,
170,Anal Fissure and Fistula,,
171,Anal Fistula (Anal Fissure and Fistula),,
172,Anal Incontinence (Fecal Incontinence),,
173,Anal Itching,,
174,Anaphylactic Reaction (Anaphylaxis),,
175,Anaphylactic Shock (Anaphylaxis),,
176,Anaphylaxis,,
177,Anaplastic Astrocytoma,,
178,Anaplastic Oligodendroglioma,,
179,Anaplastic thyroid cancer (Thyroid Cancer),,
180,Ancylostoma (Hookworm Infection (Necator or Ancylostoma)),,
181,Ancylostoma braziliense (Cutaneous Larva Migrans),,
182,Ancylostomiasis (Hookworm Infection (Necator or Ancylostoma)),,
183,Anders Disease (Dercum's Disease),,
184,Androgenetic Alopecia,,
185,"Anemia Associated with Acute Blood Loss (Anemia, Posthemorrhagic)",,
186,Anemia Associated with Chronic Disease,,
187,Anemia Associated with Chronic Renal Failure,,
188,"Anemia Associated with Folate Deficiency (Anemia, Folate Deficiency)",,
189,Anemia Associated with Iron Deficiency,,
190,Anemia Associated with Prematurity,,
191,Anemia Associated with Vitamin B12 Deficiency,,
192,"Anemia Associated with Zidovudine (Anemia, Drug Induced)",,
193,"Anemia due to acute blood loss (Anemia, Posthemorrhagic)",,
194,Anemia of Chronic Disease (Anemia Associated with Chronic Disease),,
195,Anemia of Prematurity (Anemia Associated with Prematurity),,
196,Anemia of Unspecified Nutritional Deficiency,,
197,Anemia Prior to Surgery,,
198,"Anemia, Chemotherapy Induced",,
199,"Anemia, Drug Induced",,
200,"Anemia, drug-induced immune hemolytic (Anemia, Drug Induced)",,
201,"Anemia, Folate Deficiency",,
202,"Anemia, folate-deficiency (Anemia, Folate Deficiency)",,
203,"Anemia, Iron Deficiency (Iron Deficiency Anemia)",,
204,"Anemia, Megaloblastic",,
205,"Anemia, Posthemorrhagic",,
206,"Anemia, Sickle Cell",,
207,Anemia,,
208,Anesthesia,,
209,Anesthetic Adjunct,,
210,"Aneurysm, brain (Cerebral Aneurysm)",,
211,"Aneurysm, cerebral (Cerebral Aneurysm)",,
212,Angina Pectoris (Angina),,
213,Angina Pectoris Prophylaxis,,
214,"Angina, chronic (Angina)",,
215,"Angina, stable (Angina)",,
216,"Angina, unstable (Angina)",,
217,Angina,,
218,Angioblastoma,,
219,Angiocardiography,,
220,Angioedema,,
221,Angiography - magnetic resonance (Magnetic Resonance Angiography),,
222,Angiography - peripheral (Peripheral Angiography),,
223,Angiomyolipoma (Renal Angiomyolipoma),,
224,Angioneurotic Edema (Angioedema),,
225,Angiostrongylosis,,
226,Angular Cheilitis,,
227,Angular Stomatitis (Angular Cheilitis),,
228,"Ankle Fracture (Fracture, bone)",,
229,Ankle Injury (Muscle Pain),,
230,Ankle Pain (Muscle Pain),,
231,Ankle Sprain (Muscle Pain),,
232,Ankle Swelling (Edema),,
233,Ankylosing Hyperostosis (Diffuse Idiopathic Skeletal Hyperostosis),,
234,Ankylosing Spondylitis,,
235,ANLL (Acute Myeloid Leukemia),,
236,Anorexia Nervosa,,
237,Anorexia&Feeding Problems,,
238,"Anorexia, AIDS-Associated (AIDS Related Wasting)",,
239,Anorexia,,
240,Anterior Cruciate Ligament Injury (Muscle Pain),,
241,Anterior Cruciate Ligament Strain (Muscle Pain),,
242,Anthrax Prophylaxis,,
243,"Anthrax, cutaneous (Anthrax)",,
244,"Anthrax, inhalation (Anthrax)",,
245,"Anthrax, skin (Anthrax)",,
246,Anthrax,,
247,Anti NMDA Receptor Encephalitis,,
248,Anti-freeze poisoning (Ethylene Glycol Poisoning),,
249,Antibiotic-associated colitis (Pseudomembranous Colitis),,
250,Anticholinergic Syndrome,,
251,Anticholinesterase Overdose,,
252,Anticholinesterase Poisoning,,
253,Anticoagulation During Pregnancy,,
254,"Antidepressant-Induced Sexual Dysfunction (Sexual Dysfunction, SSRI Induced)",,
255,Antiphospholipid Antibody Syndrome (Antiphospholipid Syndrome),,
256,Antiphospholipid Syndrome,,
257,Antithrombin III Deficiency,,
258,Anuria,,
259,Anxiety and Stress,,
260,Anxiety Disorder (Generalized Anxiety Disorder),,
261,Anxiety States (Anxiety),,
262,anxiety,,
263,Anxious Personality Disorder (Avoidant Personality Disorder),,
264,Aortic Aneurysm,,
265,Aortic Coarctation,,
266,Aortic Insufficiency,,
267,Aortic regurgitation (Aortic Insufficiency),,
268,Aortic Stenosis,,
269,Aortic Valve Insufficiency (Aortic Insufficiency),,
270,Aortic valve prolapse (Aortic Insufficiency),,
271,Aortic Valve Replacement (Prosthetic Heart Valves - Thrombosis Prophylaxis),,
272,Aortic Valve Stenosis (Aortic Stenosis),,
273,Aortography,,
274,APD (Auditory Processing Disorder),,
275,Aphakia,,
276,"Aphthous Stomatitis, Recurrent",,
277,Aphthous Stomatitis,,
278,Aphthous Ulcer,,
279,Aplastic Anemia,,
280,Apnea of Prematurity,,
281,Appendectomy,,
282,Appendicitis,,
283,APS (Antiphospholipid Syndrome),,
284,ARC (HIV Infection),,
285,ARDS (Respiratory Distress Syndrome),,
286,"Arm Fracture (Fracture, bone)",,
287,Arnold's Neuralgia (Occipital Neuralgia),,
288,Arrhythmia,,
289,"Arsenic Poisoning, Mild",,
290,"Arsenic Poisoning, Severe",,
291,Arsenic Poisoning,,
292,Arterial Thrombosis,,
293,Arteriosclerosis (Atherosclerosis),,
294,Arteriosclerotic Dementia with Depression,,
295,Arteriosclerotic Dementia,,
296,Arteriosclerotic Heart Disease (Coronary Artery Disease),,
297,Arteriovenous Shunting,,
298,Arthritis (Rheumatoid Arthritis),,
299,"Arthritis, Osteoarthritis (Osteoarthritis)",,
300,"Arthritis, Reactive (Reiter's Syndrome)",,
301,"Arthritis, Rheumatoid (Rheumatoid Arthritis)",,
302,Arthrography,,
303,Asbestosis (Pulmonary Fibrosis),,
304,Ascariasis,,
305,Ascaris (Ascariasis),,
306,Ascaris lumbricoides Infection (Ascariasis),,
307,Ascites,,
308,Aseptic Necrosis,,
309,Asperger Syndrome,,
310,"Aspergillosis, Aspergilloma",,
311,"Aspergillosis, invasive pulmonary (Aspergillosis, Invasive)",,
312,"Aspergillosis, Invasive",,
313,"Aspergillosis, Meningitis with 5-FC",,
314,"Aspergillosis, Meningitis",,
315,Aspergillosis,,
316,Asphyxia,,
317,Aspiration of vomitus (Aspiration Pneumonia),,
318,Aspiration Pneumonia,,
319,Aspiration Pneumonitis (Aspiration Pneumonia),,
320,Assisted Ventilation Therapy,,
321,Asthenic Personality Disorder (Dependent Personality Disorder),,
322,"Asthma with Status Asthmaticus (Asthma, acute)",,
323,"Asthma, acute",,
324,"Asthma, Allergic (Allergic Asthma)",,
325,"Asthma, Maintenance",,
326,"Asthma, Prevention (Asthma, Maintenance)",,
327,Asthma,,
328,Asystole,,
329,Atherosclerosis,,
330,Athlete's Foot (Tinea Pedis),,
331,Atopic Dermatitis,,
332,Atopic Eczema (Eczema),,
333,Atrial Fibrillation,,
334,Atrial Flutter,,
335,Atrial Tachycardia,,
336,Atrophic Urethritis,,
337,Atrophic Vaginitis,,
338,Attention Deficit Disorder (ADHD),,
339,Attention Deficit Hyperactivity Disorder (ADHD),,
340,Attention-Deficit Hyperactivity Disorder (ADHD) (ADHD),,
341,Atypical Mycobacterial Disease (Atypical Mycobacterial Infection),,
342,Atypical Mycobacterial Infection,,
343,AUD (Alcoholism),,
344,Auditory Comprehension Deficit (Auditory Processing Disorder),,
345,Auditory Perception Problem (Auditory Processing Disorder),,
346,Auditory Processing Disorder,,
347,Autism Spectrum Disorder (Autism),,
348,Autism,,
349,Autistic Disorder (Autism),,
350,Autoimmune Disorders,,
351,Autoimmune Hemolytic Anemia,,
352,Autoimmune Hepatitis,,
353,Autoimmune Neutropenia,,
354,Autoinflammatory Disease (Periodic Fever Syndrome),,
355,Autoinflammatory Syndromes (Periodic Fever Syndrome),,
356,Autonomic Dysreflexia,,
357,Autonomic Neuropathy,,
358,Autosomal Dominant Polycystic Kidney Disease (Polycystic Kidney Disease),,
359,AV Heart Block,,
360,AV Malformations,,
361,Avascular Necrosis (Aseptic Necrosis),,
362,Avian Influenza,,
363,AVN (Aseptic Necrosis),,
364,Avoidant Personality Disorder,,
365,Azul (Pinta),,
366,B-cell Lymphoma (Burkitt Lymphoma),,
367,B12 Nutritional Deficiency,,
368,Babesiosis,,
369,Back Pain,,
370,Backache (Back Pain),,
371,Bacteremia,,
372,"Bacterial Conjunctivitis (Conjunctivitis, Bacterial)",,
